threshold,direction_model,magnitude_model,balanced_accuracy,macro_f1,direction_accuracy,mae,rmse,scope,model,n,median_absolute_error,signed_bias,correlation,overshoot_rate,undershoot_rate
0.25,ordinal_ridge_proxy,ridge,0.5710526315789474,0.5697930112027421,0.7092457420924574,1.0077105712854626,1.3514595998461298,selection_2024,,,,,,,
0.25,ordinal_ridge_proxy,elastic,0.5710526315789474,0.5697930112027421,0.7092457420924574,1.035511112489684,1.4091976077038264,selection_2024,,,,,,,
0.25,gradient_boosted_stumps,two_stage,0.5700865065890534,0.5664456080531731,0.6922141119221411,0.9798905408839381,1.3130709831270955,selection_2024,,,,,,,
0.25,gradient_boosted_stumps,huber,0.5700865065890534,0.5664456080531731,0.6922141119221411,1.0066949366810016,1.352414069258079,selection_2024,,,,,,,
0.25,gradient_boosted_stumps,ridge,0.5700865065890534,0.5664456080531731,0.6922141119221411,1.0077105712854626,1.3514595998461298,selection_2024,,,,,,,
0.25,gradient_boosted_stumps,elastic,0.5700865065890534,0.5664456080531731,0.6922141119221411,1.035511112489684,1.4091976077038264,selection_2024,,,,,,,
1.0,rules_based,huber,0.564706267013879,0.5388472331571381,0.5462287104622872,1.0066949366810016,1.352414069258079,selection_2024,,,,,,,
1.0,rules_based,ridge,0.564706267013879,0.5388472331571381,0.5462287104622872,1.0077105712854626,1.3514595998461298,selection_2024,,,,,,,
1.0,rules_based,two_stage,0.564706267013879,0.5388472331571381,0.5462287104622872,1.015612203640012,1.3478671740627963,selection_2024,,,,,,,
1.0,rules_based,elastic,0.564706267013879,0.5388472331571381,0.5462287104622872,1.035511112489684,1.4091976077038264,selection_2024,,,,,,,
0.5,multinomial_logistic,two_stage,0.5564835545604777,0.5074491051896994,0.6581508515815085,0.9873497001372546,1.3191795558500725,selection_2024,,,,,,,
0.5,multinomial_logistic,huber,0.5564835545604777,0.5074491051896994,0.6581508515815085,1.0066949366810016,1.352414069258079,selection_2024,,,,,,,
0.5,multinomial_logistic,ridge,0.5564835545604777,0.5074491051896994,0.6581508515815085,1.0077105712854626,1.3514595998461298,selection_2024,,,,,,,
0.5,multinomial_logistic,elastic,0.5564835545604777,0.5074491051896994,0.6581508515815085,1.035511112489684,1.4091976077038264,selection_2024,,,,,,,
0.75,rules_based,two_stage,0.5393002428883363,0.5290205120129537,0.5632603406326034,0.9954237900564349,1.3271030350622017,selection_2024,,,,,,,
0.75,rules_based,huber,0.5393002428883363,0.5290205120129537,0.5632603406326034,1.0066949366810016,1.352414069258079,selection_2024,,,,,,,
0.75,rules_based,ridge,0.5393002428883363,0.5290205120129537,0.5632603406326034,1.0077105712854626,1.3514595998461298,selection_2024,,,,,,,
0.75,rules_based,elastic,0.5393002428883363,0.5290205120129537,0.5632603406326034,1.035511112489684,1.4091976077038264,selection_2024,,,,,,,
0.25,multinomial_logistic,two_stage,0.5361535559328429,0.5123475951506372,0.7360097323600974,0.9798905408839381,1.3130709831270955,selection_2024,,,,,,,
0.25,multinomial_logistic,huber,0.5361535559328429,0.5123475951506372,0.7360097323600974,1.0066949366810016,1.352414069258079,selection_2024,,,,,,,
0.25,multinomial_logistic,ridge,0.5361535559328429,0.5123475951506372,0.7360097323600974,1.0077105712854626,1.3514595998461298,selection_2024,,,,,,,
0.25,multinomial_logistic,elastic,0.5361535559328429,0.5123475951506372,0.7360097323600974,1.035511112489684,1.4091976077038264,selection_2024,,,,,,,
0.5,rules_based,two_stage,0.5205298308663693,0.5124834134233608,0.5863746958637469,0.9873497001372546,1.3191795558500725,selection_2024,,,,,,,
0.5,rules_based,huber,0.5205298308663693,0.5124834134233608,0.5863746958637469,1.0066949366810016,1.352414069258079,selection_2024,,,,,,,
0.5,rules_based,ridge,0.5205298308663693,0.5124834134233608,0.5863746958637469,1.0077105712854626,1.3514595998461298,selection_2024,,,,,,,
0.5,rules_based,elastic,0.5205298308663693,0.5124834134233608,0.5863746958637469,1.035511112489684,1.4091976077038264,selection_2024,,,,,,,
0.25,rules_based,two_stage,0.4826865550974209,0.47890280563161114,0.6411192214111923,0.9798905408839381,1.3130709831270955,selection_2024,,,,,,,
0.25,rules_based,huber,0.4826865550974209,0.47890280563161114,0.6411192214111923,1.0066949366810016,1.352414069258079,selection_2024,,,,,,,
