Rank,Overall,Change,SOS (Rank),Standard (Rank),Inference (Rank),Vegas (Rank)
57. Florida State Seminoles (0-0),1.2026,-13,0.0000 (1),0.5407 (84),1.1741 (66),1.9129 (31)
58. New Mexico Lobos (0-0),1.1897,+7,0.0000 (1),1.2370 (50),1.5833 (46),0.7475 (79)
59. South Florida Bulls (0-0),1.1788,-33,0.0000 (1),0.7448 (77),1.9991 (31),0.8056 (76)
60. West Virginia Mountaineers (0-0),1.1695,+24,0.0000 (1),1.6392 (40),0.5526 (88),1.3024 (58)
61. Cincinnati Bearcats (0-0),1.1148,-12,0.0000 (1),1.1064 (59),1.0128 (73),1.2255 (61)
62. Army Black Knights (0-0),1.1048,+1,0.0000 (1),1.0625 (64),1.4399 (50),0.8135 (75)
63. UTSA Roadrunners (0-0),1.0973,-7,0.0000 (1),0.8376 (72),1.7598 (39),0.7025 (81)
64. Rutgers Scarlet Knights (0-0),1.092,-,0.0000 (1),0.9334 (69),1.3563 (54),0.9910 (68)
65. Navy Midshipmen (0-0),1.0893,-36,0.0000 (1),1.4621 (48),1.3268 (58),0.4677 (85)
66. San Diego State Aztecs (0-0),1.0732,+3,0.0000 (1),1.1856 (53),1.2028 (64),0.8277 (73)
67. Oklahoma State Cowboys (0-0),1.069,+58,0.0000 (1),0.7745 (75),1.0568 (71),1.3848 (51)
68. Old Dominion Monarchs (0-0),1.0579,-23,0.0000 (1),1.0258 (67),1.1162 (69),1.0328 (66)
69. Memphis Tigers (0-0),1.0483,-7,0.0000 (1),0.8792 (71),1.0763 (70),1.1944 (63)
70. North Carolina Tar Heels (0-0),1.0427,+19,0.0000 (1),1.0715 (61),0.6809 (84),1.3748 (52)
71. South Carolina Gamecocks (0-0),1.0145,-16,0.0000 (1),0.5261 (85),1.1411 (68),1.3910 (50)
72. Fresno State Bulldogs (0-0),0.9737,+14,0.0000 (1),1.1401 (57),0.9205 (76),0.8553 (70)
73. Michigan State Spartans (0-0),0.9376,+1,0.0000 (1),0.8229 (73),0.7757 (79),1.2178 (62)
74. Hawaii Rainbow Warriors (0-0),0.8862,+2,0.0000 (1),1.0643 (63),1.3526 (55),0.2364 (100)
75. Kansas Jayhawks (0-0),0.8554,-16,0.0000 (1),0.4475 (87),0.7888 (78),1.3423 (57)
76. Western Michigan Broncos (0-0),0.8513,-6,0.0000 (1),1.0815 (60),1.3510 (56),0.1144 (103)
77. UCF Knights (0-0),0.8176,-4,0.0000 (1),0.6290 (82),0.7426 (83),1.0870 (64)
78. Stanford Cardinal (0-0),0.8154,+7,0.0000 (1),1.0287 (66),1.1494 (67),0.2615 (99)
79. Syracuse Orange (0-0),0.8011,+21,0.0000 (1),0.7568 (76),0.3892 (90),1.2587 (59)
80. North Dakota State Bison (0-0),0.7194,-33,0.0000 (1),0.0894 (104),1.2528 (62),0.8183 (74)
81. Arkansas Razorbacks (0-0),0.6935,-6,0.0000 (1),-0.4240 (119),0.7674 (81),1.7710 (36)
82. Iowa State Cyclones (0-0),0.6902,-55,0.0000 (1),0.4032 (89),1.2679 (60),0.4082 (88)
83. Air Force Falcons (0-0),0.6211,+13,0.0000 (1),0.3888 (90),0.6227 (86),0.8588 (69)
