snapshot_date,season,game_date,away_team,home_team,away_current_score,home_current_score,away_projected_points,home_projected_points,away_win_prob,home_win_prob,projected_spread_home,projected_total,source_file,source_url
2026-08-17,2026,2026-09-05,Tulane,Duke,0.0,0.0,24.0,29.0,0.37,0.63,-5.5,55.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Towson,Navy,0.0,0.0,7.0,41.0,0.01,0.99,-34.5,52.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Boise St,Oregon,0.0,0.0,13.0,38.0,0.06,0.94,-24.5,54.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Marshall,Penn St,0.0,0.0,10.0,41.0,0.03,0.97,-30.5,53.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Furman,Tennessee,0.0,0.0,3.0,48.0,0.0,1.0,-45.5,55.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Texas St,Texas,0.0,0.0,14.0,42.0,0.05,0.95,-27.5,56.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,UTRGV,UT San Antonio,0.0,0.0,13.0,43.0,0.06,0.94,-30.5,57.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Fordham,N Dakota St,0.0,0.0,6.0,47.0,0.0,1.0,-41.5,52.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Maine,Appalachian St,0.0,0.0,14.0,38.0,0.08,0.92,-23.5,52.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Oklahoma St,Tulsa,0.0,0.0,31.0,24.0,0.67,0.33,-6.5,54.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Washington St,Washington,0.0,0.0,17.0,33.0,0.14,0.86,-16.5,50.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,North Alabama,Arkansas,0.0,0.0,10.0,49.0,0.01,0.99,-39.5,57.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,N Illinois,Iowa,0.0,0.0,7.0,41.0,0.0,1.0,-33.5,44.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Alcorn St,Southern Miss,0.0,0.0,7.0,42.0,0.01,0.99,-34.5,51.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Wyoming,Colorado St,0.0,0.0,23.0,21.0,0.53,0.47,-2.5,46.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Norfolk St,Old Dominion,0.0,0.0,3.0,48.0,0.0,1.0,-45.5,53.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,San Jose St,E Michigan,0.0,0.0,30.0,27.0,0.58,0.42,-3.5,56.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Nicholls St,Kansas St,0.0,0.0,3.0,45.0,0.0,1.0,-41.5,51.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Arkansas St,Memphis,0.0,0.0,21.0,38.0,0.15,0.85,-17.5,55.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Indiana St,Purdue,0.0,0.0,7.0,42.0,0.01,0.99,-34.5,53.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Houston Chr,Rice,0.0,0.0,10.0,42.0,0.02,0.98,-31.5,51.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Florida Intl,South Florida,0.0,0.0,20.0,42.0,0.11,0.89,-22.5,57.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
