source_date,source_pdf,rank,team_raw,team,last_year_rating,this_year_rating,published_diff
2026-07-15,Powers_7-15-26.pdf,61,Colorado,Colorado,59.37,66.17,6.8
2026-07-15,Powers_7-15-26.pdf,62,Michigan State,Michigan State,65.68,66.03,0.35
2026-07-15,Powers_7-15-26.pdf,63,California,California,62.87,65.91,3.04
2026-07-15,Powers_7-15-26.pdf,64,North Carolina,North Carolina,59.81,65.06,5.25
2026-07-15,Powers_7-15-26.pdf,65,Navy,Navy,65.95,64.72,-1.23
2026-07-15,Powers_7-15-26.pdf,66,UNLV,UNLV,62.47,64.48,2.01
2026-07-15,Powers_7-15-26.pdf,67,Fresno State,Fresno State,60.23,64.19,3.96
2026-07-15,Powers_7-15-26.pdf,68,New Mexico,New Mexico,61.93,63.93,2.0
2026-07-15,Powers_7-15-26.pdf,69,Syracuse,Syracuse,53.12,63.86,10.7
2026-07-15,Powers_7-15-26.pdf,70,UTSA,UTSA,63.04,63.64,0.6
2026-07-15,Powers_7-15-26.pdf,71,James Madison,James Madison,74.06,63.56,-10.5
2026-07-15,Powers_7-15-26.pdf,72,Iowa State,Iowa State,72.52,63.39,-9.13
2026-07-15,Powers_7-15-26.pdf,73,USF,South Florida,73.53,63.21,-10.3
2026-07-15,Powers_7-15-26.pdf,74,Purdue,Purdue,59.56,62.94,3.38
2026-07-15,Powers_7-15-26.pdf,75,Tulane,Tulane,68.17,62.9,-5.27
2026-07-15,Powers_7-15-26.pdf,76,Stanford,Stanford,60.56,62.83,2.27
2026-07-15,Powers_7-15-26.pdf,77,Texas State,Texas State,62.71,62.62,-0.09
2026-07-15,Powers_7-15-26.pdf,78,San Diego State,San Diego State,62.82,62.62,-0.2
2026-07-15,Powers_7-15-26.pdf,79,Army,Army,61.52,62.31,0.79
2026-07-15,Powers_7-15-26.pdf,80,Memphis,Memphis,63.38,61.51,-1.87
2026-07-15,Powers_7-15-26.pdf,81,Old Dominion,Old Dominion,69.87,61.32,-8.55
2026-07-15,Powers_7-15-26.pdf,82,North Dakota State,North Dakota State,67.0,60.8,-6.2
2026-07-15,Powers_7-15-26.pdf,83,Washington State,Washington State,65.81,60.78,-5.03
2026-07-15,Powers_7-15-26.pdf,84,Boston College,Boston College,60.34,60.45,0.11
2026-07-15,Powers_7-15-26.pdf,85,East Carolina,East Carolina,66.93,60.25,-6.68
2026-07-15,Powers_7-15-26.pdf,86,Air Force,Air Force,54.77,60.18,5.41
2026-07-15,Powers_7-15-26.pdf,87,Western Michigan,Western Michigan,60.34,59.48,-0.86
2026-07-15,Powers_7-15-26.pdf,88,Hawaii,Hawaii,60.38,58.59,-1.79
2026-07-15,Powers_7-15-26.pdf,89,Florida Atlantic,Florida Atlantic,52.43,58.41,5.98
2026-07-15,Powers_7-15-26.pdf,90,Utah State,Utah State,59.61,58.23,-1.38
2026-07-15,Powers_7-15-26.pdf,91,Toledo,Toledo,67.54,57.85,-9.69
2026-07-15,Powers_7-15-26.pdf,92,Liberty,Liberty,52.6,57.56,4.96
2026-07-15,Powers_7-15-26.pdf,93,Marshall,Marshall,54.6,56.91,2.31
2026-07-15,Powers_7-15-26.pdf,94,Miami (OH),Miami-OH,53.85,56.76,2.91
2026-07-15,Powers_7-15-26.pdf,95,Troy,Troy,54.51,56.65,2.14
2026-07-15,Powers_7-15-26.pdf,96,Western Kentucky,Western Kentucky,55.6,56.0,0.4
2026-07-15,Powers_7-15-26.pdf,97,Oregon State,Oregon State,52.18,55.67,3.49
2026-07-15,Powers_7-15-26.pdf,98,Tulsa,Tulsa,51.94,55.64,3.7
2026-07-15,Powers_7-15-26.pdf,99,Temple,Temple,54.03,55.62,1.59
2026-07-15,Powers_7-15-26.pdf,100,UL-Lafayette,Louisiana,52.15,55.54,3.39
2026-07-15,Powers_7-15-26.pdf,101,North Texas,North Texas,71.95,55.08,-16.9
2026-07-15,Powers_7-15-26.pdf,102,Jacksonville State,Jacksonville State,53.1,55.08,1.98
2026-07-15,Powers_7-15-26.pdf,103,Arkansas State,Arkansas State,53.96,54.76,0.8
2026-07-15,Powers_7-15-26.pdf,104,Louisiana Tech,Louisiana Tech,54.37,53.77,-0.6
2026-07-15,Powers_7-15-26.pdf,105,Wyoming,Wyoming,50.83,53.66,2.83
2026-07-15,Powers_7-15-26.pdf,106,Colorado State,Colorado State,46.71,53.62,6.91
2026-07-15,Powers_7-15-26.pdf,107,Delaware,Delaware,50.92,53.19,2.27
2026-07-15,Powers_7-15-26.pdf,108,Ohio,Ohio,59.93,52.89,-7.04
2026-07-15,Powers_7-15-26.pdf,109,Kennesaw State,Kennesaw State,54.86,52.74,-2.12
2026-07-15,Powers_7-15-26.pdf,110,Georgia Southern,Georgia Southern,53.19,52.49,-0.7
2026-07-15,Powers_7-15-26.pdf,111,Nevada,Nevada,49.08,52.04,2.96
2026-07-15,Powers_7-15-26.pdf,112,South Alabama,South Alabama,53.62,51.73,-1.89
2026-07-15,Powers_7-15-26.pdf,113,Connecticut,Connecticut,60.75,51.57,-9.18
2026-07-15,Powers_7-15-26.pdf,114,Appalachian State,Appalachian State,49.97,51.56,1.59
2026-07-15,Powers_7-15-26.pdf,115,Central Michigan,Central Michigan,52.48,51.36,-1.12
2026-07-15,Powers_7-15-26.pdf,116,Eastern Michigan,Eastern Michigan,48.38,51.17,2.79
2026-07-15,Powers_7-15-26.pdf,117,FIU,Florida International,52.21,50.7,-1.51
2026-07-15,Powers_7-15-26.pdf,118,Coastal Carolina,Coastal Carolina,46.91,49.91,3.0
2026-07-15,Powers_7-15-26.pdf,119,Rice,Rice,46.59,49.74,3.15
2026-07-15,Powers_7-15-26.pdf,120,San Jose State,San Jose State,50.45,48.61,-1.84
2026-07-15,Powers_7-15-26.pdf,121,Bowling Green,Bowling Green,46.81,48.54,1.73
2026-07-15,Powers_7-15-26.pdf,122,UAB,UAB,48.47,48.12,-0.35
2026-07-15,Powers_7-15-26.pdf,123,New Mexico State,New Mexico State,44.75,47.92,3.17
2026-07-15,Powers_7-15-26.pdf,124,Akron,Akron,46.61,47.24,0.63
2026-07-15,Powers_7-15-26.pdf,125,Buffalo,Buffalo,48.98,47.19,-1.79
2026-07-15,Powers_7-15-26.pdf,126,UL-Monroe,UL-Monroe,46.22,46.75,0.53
2026-07-15,Powers_7-15-26.pdf,127,Georgia State,Georgia State,45.81,46.57,0.76
2026-07-15,Powers_7-15-26.pdf,128,Middle Tennessee,Middle Tennessee,45.47,45.38,-0.09
2026-07-15,Powers_7-15-26.pdf,129,Missouri State,Missouri State,50.74,45.3,-5.44
2026-07-15,Powers_7-15-26.pdf,130,Kent State,Kent State,43.96,44.81,0.85
2026-07-15,Powers_7-15-26.pdf,131,Charlotte,Charlotte,41.51,44.63,3.12
2026-07-15,Powers_7-15-26.pdf,132,Northern Illinois,Northern Illinois,45.16,44.62,-0.54
2026-07-15,Powers_7-15-26.pdf,133,UTEP,UTEP,45.21,44.57,-0.64
2026-07-15,Powers_7-15-26.pdf,134,Southern Miss,Southern Miss,54.73,44.0,-10.7
2026-07-15,Powers_7-15-26.pdf,135,Sam Houston State,Sam Houston,38.19,43.72,5.53
2026-07-15,Powers_7-15-26.pdf,136,Sacramento State,Sacramento State,49.0,43.61,-5.39
2026-07-15,Powers_7-15-26.pdf,137,Ball State,Ball State,40.05,40.78,0.73
2026-07-15,Powers_7-15-26.pdf,138,Massachusetts,Massachusetts,30.23,38.78,8.55
