design,test_season,training_seasons,model,games,mae,rmse,mean_error,median_absolute_error,within_1_point_pct,within_2_points_pct,global_training_hfa,conference_shrinkage,conference_cap_low,conference_cap_high
leave_one_season_out,2024,"2021,2022,2023,2025",generic_2_5,436,4.165825688073395,5.469672432034799,0.36444954128440377,3.55,16.51376146788991,33.02752293577982,2.6422511312217196,80.0,2.25,2.85
leave_one_season_out,2024,"2021,2022,2023,2025",conference_uncapped,436,4.174872383983141,5.475730386132531,0.5381332663816522,3.5463352405992135,16.28440366972477,30.963302752293576,2.6422511312217196,80.0,2.25,2.85
leave_one_season_out,2024,"2021,2022,2023,2025",conference_capped,436,4.173272560859144,5.473776140101691,0.5286851308787933,3.545299364710396,16.28440366972477,31.19266055045872,2.6422511312217196,80.0,2.25,2.85
leave_one_season_out,2024,"2021,2022,2023,2025",current_site,436,4.327293577981651,5.610865523839036,0.32821100917431184,3.6999999999999993,15.137614678899084,28.211009174311926,2.6422511312217196,80.0,2.25,2.85
leave_one_season_out,2024,"2021,2022,2023,2025",blend_current_25,436,4.206261266410831,5.499994161597026,0.47856660045267296,3.5822271415197395,15.36697247706422,30.963302752293576,2.6422511312217196,80.0,2.25,2.85
leave_one_season_out,2024,"2021,2022,2023,2025",blend_current_50,436,4.243825725585533,5.5316456630852135,0.4284480700265527,3.5975322232983107,14.678899082568808,30.504587155963304,2.6422511312217196,80.0,2.25,2.85
leave_one_season_out,2024,"2021,2022,2023,2025",blend_current_75,436,4.284183504994601,5.568637995500411,0.37832953960043225,3.6375316076656894,14.220183486238533,29.357798165137616,2.6422511312217196,80.0,2.25,2.85
leave_one_season_out,2025,"2021,2022,2023,2024",generic_2_5,428,3.7523364485981308,5.303864752085145,-0.4714953271028038,2.8000000000000007,22.19626168224299,39.48598130841122,2.450337837837838,80.0,2.25,2.85
leave_one_season_out,2025,"2021,2022,2023,2024",conference_uncapped,428,3.7488049344554786,5.291260603550137,-0.5054278653307995,2.8384052742062447,21.49532710280374,39.018691588785046,2.450337837837838,80.0,2.25,2.85
leave_one_season_out,2025,"2021,2022,2023,2024",conference_capped,428,3.749050241073338,5.292198468026892,-0.49791784593910215,2.8384052742062447,21.261682242990652,39.018691588785046,2.450337837837838,80.0,2.25,2.85
leave_one_season_out,2025,"2021,2022,2023,2024",current_site,428,3.7957943925233644,5.353547168907697,-0.530841121495327,2.8999999999999995,21.02803738317757,37.149532710280376,2.450337837837838,80.0,2.25,2.85
leave_one_season_out,2025,"2021,2022,2023,2024",blend_current_25,428,3.752909017160965,5.299668389128398,-0.5061486648281583,2.841258896365598,21.02803738317757,39.018691588785046,2.450337837837838,80.0,2.25,2.85
leave_one_season_out,2025,"2021,2022,2023,2024",blend_current_50,428,3.7620811520161674,5.312410841488314,-0.5143794837172145,2.8468597981684622,21.49532710280374,38.55140186915888,2.450337837837838,80.0,2.25,2.85
leave_one_season_out,2025,"2021,2022,2023,2024",blend_current_75,428,3.7760621548988786,5.330388012808591,-0.5226103026062708,2.8567793199336506,21.02803738317757,37.850467289719624,2.450337837837838,80.0,2.25,2.85
temporal_prior_seasons_only,2023,"2021,2022",generic_2_5,441,4.127210884353742,5.850648742058255,-0.01836734693877557,2.8999999999999986,17.687074829931973,35.147392290249435,2.535724137931034,80.0,2.25,2.85
temporal_prior_seasons_only,2023,"2021,2022",conference_uncapped,441,4.130874288416914,5.854065612454773,0.042503680872568075,2.8624538893344003,17.46031746031746,33.560090702947846,2.535724137931034,80.0,2.25,2.85
temporal_prior_seasons_only,2023,"2021,2022",conference_capped,441,4.130874288416914,5.854065612454773,0.042503680872568075,2.8624538893344003,17.46031746031746,33.560090702947846,2.535724137931034,80.0,2.25,2.85
temporal_prior_seasons_only,2023,"2021,2022",current_site,441,4.185941043083901,5.91860512463158,-0.0757369614512472,2.9999999999999982,19.047619047619047,34.467120181405896,2.535724137931034,80.0,2.25,2.85
temporal_prior_seasons_only,2023,"2021,2022",blend_current_25,441,4.137236711028222,5.863229500221481,0.012943520291614203,2.896920613868886,17.913832199546487,34.01360544217687,2.535724137931034,80.0,2.25,2.85
temporal_prior_seasons_only,2023,"2021,2022",blend_current_50,441,4.149771155272823,5.87706439495488,-0.016616640289339662,2.9687730553327984,18.367346938775512,34.69387755102041,2.535724137931034,80.0,2.25,2.85
temporal_prior_seasons_only,2023,"2021,2022",blend_current_75,441,4.167144144389365,5.8955374127777604,-0.0461768008702933,2.98014421906694,17.46031746031746,34.01360544217687,2.535724137931034,80.0,2.25,2.85
temporal_prior_seasons_only,2024,"2021,2022,2023",generic_2_5,436,4.165825688073395,5.469672432034799,0.36444954128440377,3.55,16.51376146788991,33.02752293577982,2.5392492537313434,80.0,2.25,2.85
temporal_prior_seasons_only,2024,"2021,2022,2023",conference_uncapped,436,4.172581702953993,5.472661238345992,0.41001817023632425,3.5142625616506216,15.36697247706422,32.3394495412844,2.5392492537313434,80.0,2.25,2.85
temporal_prior_seasons_only,2024,"2021,2022,2023",conference_capped,436,4.172581702953993,5.472661238345992,0.41001817023632425,3.5142625616506216,15.36697247706422,32.3394495412844,2.5392492537313434,80.0,2.25,2.85
temporal_prior_seasons_only,2024,"2021,2022,2023",current_site,436,4.327293577981651,5.610865523839036,0.32821100917431184,3.6999999999999993,15.137614678899084,28.211009174311926,2.5392492537313434,80.0,2.25,2.85
temporal_prior_seasons_only,2024,"2021,2022,2023",blend_current_25,436,4.206101685965117,5.5000837212447635,0.38956637997082133,3.594079434758979,14.908256880733944,31.19266055045872,2.5392492537313434,80.0,2.25,2.85
temporal_prior_seasons_only,2024,"2021,2022,2023",blend_current_50,436,4.244696995829974,5.53231591594838,0.3691145897053182,3.5924919921496414,14.908256880733944,30.275229357798167,2.5392492537313434,80.0,2.25,2.85
temporal_prior_seasons_only,2024,"2021,2022,2023",blend_current_75,436,4.284561126373189,5.5692743144109045,0.34866279943981504,3.6341140870987543,14.678899082568808,29.357798165137616,2.5392492537313434,80.0,2.25,2.85
temporal_prior_seasons_only,2025,"2021,2022,2023,2024",generic_2_5,428,3.7523364485981308,5.303864752085145,-0.4714953271028038,2.8000000000000007,22.19626168224299,39.48598130841122,2.450337837837838,80.0,2.25,2.85
temporal_prior_seasons_only,2025,"2021,2022,2023,2024",conference_uncapped,428,3.7488049344554786,5.291260603550137,-0.5054278653307995,2.8384052742062447,21.49532710280374,39.018691588785046,2.450337837837838,80.0,2.25,2.85
temporal_prior_seasons_only,2025,"2021,2022,2023,2024",conference_capped,428,3.749050241073338,5.292198468026892,-0.49791784593910215,2.8384052742062447,21.261682242990652,39.018691588785046,2.450337837837838,80.0,2.25,2.85
temporal_prior_seasons_only,2025,"2021,2022,2023,2024",current_site,428,3.7957943925233644,5.353547168907697,-0.530841121495327,2.8999999999999995,21.02803738317757,37.149532710280376,2.450337837837838,80.0,2.25,2.85
temporal_prior_seasons_only,2025,"2021,2022,2023,2024",blend_current_25,428,3.752909017160965,5.299668389128398,-0.5061486648281583,2.841258896365598,21.02803738317757,39.018691588785046,2.450337837837838,80.0,2.25,2.85
temporal_prior_seasons_only,2025,"2021,2022,2023,2024",blend_current_50,428,3.7620811520161674,5.312410841488314,-0.5143794837172145,2.8468597981684622,21.49532710280374,38.55140186915888,2.450337837837838,80.0,2.25,2.85
temporal_prior_seasons_only,2025,"2021,2022,2023,2024",blend_current_75,428,3.7760621548988786,5.330388012808591,-0.5226103026062708,2.8567793199336506,21.02803738317757,37.850467289719624,2.450337837837838,80.0,2.25,2.85
