rating_date,season,team,spplus,fpi,teamrankings,kford,bradpowers,power_rating,spplus_weight,fpi_weight,teamrankings_weight,kford_weight,bradpowers_weight,power_rank
2026-04-29,2026,James Madison,-2.1,,,,,-2.1,1.0,0.0,0.0,0.0,0.0,77
2026-04-29,2026,Kansas,3.7,,,,,3.7,1.0,0.0,0.0,0.0,0.0,56
2026-04-29,2026,Kansas State,10.4,,,,,10.4,1.0,0.0,0.0,0.0,0.0,29
2026-04-29,2026,Kennesaw State,-9.3,,,,,-9.3,1.0,0.0,0.0,0.0,0.0,105
2026-04-29,2026,Kent State,-20.1,,,,,-20.1,1.0,0.0,0.0,0.0,0.0,128
2026-04-29,2026,Kentucky,3.8,,,,,3.8,1.0,0.0,0.0,0.0,0.0,53
2026-04-29,2026,LSU,20.2,,,,,20.2,1.0,0.0,0.0,0.0,0.0,10
2026-04-29,2026,Liberty,-6.4,,,,,-6.4,1.0,0.0,0.0,0.0,0.0,92
2026-04-29,2026,Louisiana,-9.1,,,,,-9.1,1.0,0.0,0.0,0.0,0.0,104
2026-04-29,2026,Louisiana Tech,-8.3,,,,,-8.3,1.0,0.0,0.0,0.0,0.0,99
2026-04-29,2026,Louisville,11.0,,,,,11.0,1.0,0.0,0.0,0.0,0.0,27
2026-04-29,2026,Marshall,-6.4,,,,,-6.4,1.0,0.0,0.0,0.0,0.0,92
2026-04-29,2026,Maryland,3.8,,,,,3.8,1.0,0.0,0.0,0.0,0.0,53
2026-04-29,2026,Massachusetts,-30.9,,,,,-30.9,1.0,0.0,0.0,0.0,0.0,137
2026-04-29,2026,Memphis,-1.1,,,,,-1.1,1.0,0.0,0.0,0.0,0.0,70
2026-04-29,2026,Miami-FL,21.0,,,,,21.0,1.0,0.0,0.0,0.0,0.0,8
2026-04-29,2026,Miami-OH,-2.9,,,,,-2.9,1.0,0.0,0.0,0.0,0.0,81
2026-04-29,2026,Michigan,16.1,,,,,16.1,1.0,0.0,0.0,0.0,0.0,14
2026-04-29,2026,Michigan State,0.4,,,,,0.4,1.0,0.0,0.0,0.0,0.0,67
2026-04-29,2026,Middle Tennessee,-26.0,,,,,-26.0,1.0,0.0,0.0,0.0,0.0,135
2026-04-29,2026,Minnesota,5.2,,,,,5.2,1.0,0.0,0.0,0.0,0.0,45
2026-04-29,2026,Mississippi State,3.9,,,,,3.9,1.0,0.0,0.0,0.0,0.0,52
2026-04-29,2026,Missouri,14.8,,,,,14.8,1.0,0.0,0.0,0.0,0.0,20
2026-04-29,2026,Missouri State,-18.7,,,,,-18.7,1.0,0.0,0.0,0.0,0.0,126
2026-04-29,2026,NC State,4.9,,,,,4.9,1.0,0.0,0.0,0.0,0.0,48
2026-04-29,2026,Navy,1.1,,,,,1.1,1.0,0.0,0.0,0.0,0.0,63
2026-04-29,2026,Nebraska,7.7,,,,,7.7,1.0,0.0,0.0,0.0,0.0,37
2026-04-29,2026,Nevada,-12.2,,,,,-12.2,1.0,0.0,0.0,0.0,0.0,112
2026-04-29,2026,New Mexico,-0.5,,,,,-0.5,1.0,0.0,0.0,0.0,0.0,68
2026-04-29,2026,New Mexico State,-16.4,,,,,-16.4,1.0,0.0,0.0,0.0,0.0,123
2026-04-29,2026,North Carolina,3.8,,,,,3.8,1.0,0.0,0.0,0.0,0.0,53
2026-04-29,2026,North Dakota State,-1.4,,,,,-1.4,1.0,0.0,0.0,0.0,0.0,72
2026-04-29,2026,North Texas,-11.8,,,,,-11.8,1.0,0.0,0.0,0.0,0.0,109
2026-04-29,2026,Northern Illinois,-18.2,,,,,-18.2,1.0,0.0,0.0,0.0,0.0,125
2026-04-29,2026,Northwestern,4.6,,,,,4.6,1.0,0.0,0.0,0.0,0.0,49
2026-04-29,2026,Notre Dame,25.8,,,,,25.8,1.0,0.0,0.0,0.0,0.0,3
2026-04-29,2026,Ohio,-13.6,,,,,-13.6,1.0,0.0,0.0,0.0,0.0,117
2026-04-29,2026,Ohio State,31.8,,,,,31.8,1.0,0.0,0.0,0.0,0.0,1
2026-04-29,2026,Oklahoma,17.2,,,,,17.2,1.0,0.0,0.0,0.0,0.0,12
2026-04-29,2026,Oklahoma State,7.1,,,,,7.1,1.0,0.0,0.0,0.0,0.0,38
2026-04-29,2026,Old Dominion,-5.8,,,,,-5.8,1.0,0.0,0.0,0.0,0.0,88
2026-04-29,2026,Ole Miss,15.9,,,,,15.9,1.0,0.0,0.0,0.0,0.0,16
2026-04-29,2026,Oregon,28.3,,,,,28.3,1.0,0.0,0.0,0.0,0.0,2
2026-04-29,2026,Oregon State,-6.3,,,,,-6.3,1.0,0.0,0.0,0.0,0.0,91
2026-04-29,2026,Penn State,15.7,,,,,15.7,1.0,0.0,0.0,0.0,0.0,17
2026-04-29,2026,Pittsburgh,6.5,,,,,6.5,1.0,0.0,0.0,0.0,0.0,41
2026-04-29,2026,Purdue,-2.9,,,,,-2.9,1.0,0.0,0.0,0.0,0.0,81
2026-04-29,2026,Rice,-14.7,,,,,-14.7,1.0,0.0,0.0,0.0,0.0,120
2026-04-29,2026,Rutgers,1.8,,,,,1.8,1.0,0.0,0.0,0.0,0.0,61
2026-04-29,2026,SMU,10.9,,,,,10.9,1.0,0.0,0.0,0.0,0.0,28
2026-04-29,2026,Sacramento State,-22.7,,,,,-22.7,1.0,0.0,0.0,0.0,0.0,130
2026-04-29,2026,Sam Houston,-26.3,,,,,-26.3,1.0,0.0,0.0,0.0,0.0,136
2026-04-29,2026,San Diego State,-1.3,,,,,-1.3,1.0,0.0,0.0,0.0,0.0,71
2026-04-29,2026,San Jose State,-15.5,,,,,-15.5,1.0,0.0,0.0,0.0,0.0,122
2026-04-29,2026,South Alabama,-13.3,,,,,-13.3,1.0,0.0,0.0,0.0,0.0,115
2026-04-29,2026,South Carolina,12.1,,,,,12.1,1.0,0.0,0.0,0.0,0.0,24
2026-04-29,2026,South Florida,-2.8,,,,,-2.8,1.0,0.0,0.0,0.0,0.0,80
2026-04-29,2026,Southern Miss,-23.3,,,,,-23.3,1.0,0.0,0.0,0.0,0.0,131
2026-04-29,2026,Stanford,-1.9,,,,,-1.9,1.0,0.0,0.0,0.0,0.0,75
2026-04-29,2026,Syracuse,-0.7,,,,,-0.7,1.0,0.0,0.0,0.0,0.0,69
2026-04-29,2026,TCU,9.1,,,,,9.1,1.0,0.0,0.0,0.0,0.0,34
2026-04-29,2026,Temple,-8.7,,,,,-8.7,1.0,0.0,0.0,0.0,0.0,102
2026-04-29,2026,Tennessee,16.0,,,,,16.0,1.0,0.0,0.0,0.0,0.0,15
2026-04-29,2026,Texas,23.7,,,,,23.7,1.0,0.0,0.0,0.0,0.0,6
2026-04-29,2026,Texas A&M,20.3,,,,,20.3,1.0,0.0,0.0,0.0,0.0,9
2026-04-29,2026,Texas State,-5.9,,,,,-5.9,1.0,0.0,0.0,0.0,0.0,89
2026-04-29,2026,Texas Tech,23.1,,,,,23.1,1.0,0.0,0.0,0.0,0.0,7
2026-04-29,2026,Toledo,-11.5,,,,,-11.5,1.0,0.0,0.0,0.0,0.0,108
2026-04-29,2026,Troy,-6.0,,,,,-6.0,1.0,0.0,0.0,0.0,0.0,90
2026-04-29,2026,Tulane,-5.5,,,,,-5.5,1.0,0.0,0.0,0.0,0.0,87
2026-04-29,2026,Tulsa,-7.6,,,,,-7.6,1.0,0.0,0.0,0.0,0.0,96
2026-04-29,2026,UAB,-18.1,,,,,-18.1,1.0,0.0,0.0,0.0,0.0,124
2026-04-29,2026,UCLA,5.1,,,,,5.1,1.0,0.0,0.0,0.0,0.0,46
2026-04-29,2026,UL-Monroe,-24.3,,,,,-24.3,1.0,0.0,0.0,0.0,0.0,132
2026-04-29,2026,UNLV,2.8,,,,,2.8,1.0,0.0,0.0,0.0,0.0,59
2026-04-29,2026,USC,16.8,,,,,16.8,1.0,0.0,0.0,0.0,0.0,13
2026-04-29,2026,UTEP,-20.5,,,,,-20.5,1.0,0.0,0.0,0.0,0.0,129
2026-04-29,2026,UTSA,-1.5,,,,,-1.5,1.0,0.0,0.0,0.0,0.0,73
2026-04-29,2026,Utah,11.9,,,,,11.9,1.0,0.0,0.0,0.0,0.0,25
2026-04-29,2026,Utah State,-7.7,,,,,-7.7,1.0,0.0,0.0,0.0,0.0,97
2026-04-29,2026,Vanderbilt,10.0,,,,,10.0,1.0,0.0,0.0,0.0,0.0,31
2026-04-29,2026,Virginia,6.6,,,,,6.6,1.0,0.0,0.0,0.0,0.0,40
2026-04-29,2026,Virginia Tech,9.4,,,,,9.4,1.0,0.0,0.0,0.0,0.0,32
2026-04-29,2026,Wake Forest,3.6,,,,,3.6,1.0,0.0,0.0,0.0,0.0,58
2026-04-29,2026,Washington,14.5,,,,,14.5,1.0,0.0,0.0,0.0,0.0,21
2026-04-29,2026,Washington State,-5.3,,,,,-5.3,1.0,0.0,0.0,0.0,0.0,85
2026-04-29,2026,West Virginia,0.8,,,,,0.8,1.0,0.0,0.0,0.0,0.0,66
2026-04-29,2026,Western Kentucky,-5.3,,,,,-5.3,1.0,0.0,0.0,0.0,0.0,85
2026-04-29,2026,Western Michigan,-7.2,,,,,-7.2,1.0,0.0,0.0,0.0,0.0,95
2026-04-29,2026,Wisconsin,1.8,,,,,1.8,1.0,0.0,0.0,0.0,0.0,61
2026-04-29,2026,Wyoming,-9.6,,,,,-9.6,1.0,0.0,0.0,0.0,0.0,106
