team,power_rating,power_rank,spplus,fpi,teamrankings,kford,bradpowers,source_count,spplus_weight,fpi_weight,teamrankings_weight,kford_weight,bradpowers_weight
Iowa State,1.0,64,1.0,,,,,1,1.0,0.0,0.0,0.0,0.0
Colorado,0.9,65,0.9,,,,,1,1.0,0.0,0.0,0.0,0.0
West Virginia,0.8,66,0.8,,,,,1,1.0,0.0,0.0,0.0,0.0
Michigan State,0.4,67,0.4,,,,,1,1.0,0.0,0.0,0.0,0.0
New Mexico,-0.5,68,-0.5,,,,,1,1.0,0.0,0.0,0.0,0.0
Syracuse,-0.7,69,-0.7,,,,,1,1.0,0.0,0.0,0.0,0.0
Memphis,-1.1,70,-1.1,,,,,1,1.0,0.0,0.0,0.0,0.0
San Diego State,-1.3,71,-1.3,,,,,1,1.0,0.0,0.0,0.0,0.0
North Dakota State,-1.4,72,-1.4,,,,,1,1.0,0.0,0.0,0.0,0.0
UTSA,-1.5,73,-1.5,,,,,1,1.0,0.0,0.0,0.0,0.0
Boston College,-1.5,74,-1.5,,,,,1,1.0,0.0,0.0,0.0,0.0
Stanford,-1.9,75,-1.9,,,,,1,1.0,0.0,0.0,0.0,0.0
East Carolina,-2.0,76,-2.0,,,,,1,1.0,0.0,0.0,0.0,0.0
James Madison,-2.1,77,-2.1,,,,,1,1.0,0.0,0.0,0.0,0.0
Fresno State,-2.3,78,-2.3,,,,,1,1.0,0.0,0.0,0.0,0.0
Air Force,-2.4,79,-2.4,,,,,1,1.0,0.0,0.0,0.0,0.0
South Florida,-2.8,80,-2.8,,,,,1,1.0,0.0,0.0,0.0,0.0
Miami-OH,-2.9,81,-2.9,,,,,1,1.0,0.0,0.0,0.0,0.0
Purdue,-2.9,82,-2.9,,,,,1,1.0,0.0,0.0,0.0,0.0
Army,-3.0,83,-3.0,,,,,1,1.0,0.0,0.0,0.0,0.0
Hawaii,-3.9,84,-3.9,,,,,1,1.0,0.0,0.0,0.0,0.0
Washington State,-5.3,85,-5.3,,,,,1,1.0,0.0,0.0,0.0,0.0
Western Kentucky,-5.3,86,-5.3,,,,,1,1.0,0.0,0.0,0.0,0.0
Tulane,-5.5,87,-5.5,,,,,1,1.0,0.0,0.0,0.0,0.0
Old Dominion,-5.8,88,-5.8,,,,,1,1.0,0.0,0.0,0.0,0.0
Texas State,-5.9,89,-5.9,,,,,1,1.0,0.0,0.0,0.0,0.0
Troy,-6.0,90,-6.0,,,,,1,1.0,0.0,0.0,0.0,0.0
Oregon State,-6.3,91,-6.3,,,,,1,1.0,0.0,0.0,0.0,0.0
Marshall,-6.4,92,-6.4,,,,,1,1.0,0.0,0.0,0.0,0.0
Liberty,-6.4,93,-6.4,,,,,1,1.0,0.0,0.0,0.0,0.0
Florida Atlantic,-7.1,94,-7.1,,,,,1,1.0,0.0,0.0,0.0,0.0
Western Michigan,-7.2,95,-7.2,,,,,1,1.0,0.0,0.0,0.0,0.0
Tulsa,-7.6,96,-7.6,,,,,1,1.0,0.0,0.0,0.0,0.0
Utah State,-7.7,97,-7.7,,,,,1,1.0,0.0,0.0,0.0,0.0
Jacksonville State,-7.7,98,-7.7,,,,,1,1.0,0.0,0.0,0.0,0.0
Colorado State,-8.3,99,-8.3,,,,,1,1.0,0.0,0.0,0.0,0.0
Louisiana Tech,-8.3,100,-8.3,,,,,1,1.0,0.0,0.0,0.0,0.0
Arkansas State,-8.5,101,-8.5,,,,,1,1.0,0.0,0.0,0.0,0.0
Temple,-8.7,102,-8.7,,,,,1,1.0,0.0,0.0,0.0,0.0
Georgia Southern,-8.9,103,-8.9,,,,,1,1.0,0.0,0.0,0.0,0.0
Louisiana,-9.1,104,-9.1,,,,,1,1.0,0.0,0.0,0.0,0.0
Kennesaw State,-9.3,105,-9.3,,,,,1,1.0,0.0,0.0,0.0,0.0
Wyoming,-9.6,106,-9.6,,,,,1,1.0,0.0,0.0,0.0,0.0
Connecticut,-11.2,107,-11.2,,,,,1,1.0,0.0,0.0,0.0,0.0
Toledo,-11.5,108,-11.5,,,,,1,1.0,0.0,0.0,0.0,0.0
North Texas,-11.8,109,-11.8,,,,,1,1.0,0.0,0.0,0.0,0.0
Buffalo,-11.9,110,-11.9,,,,,1,1.0,0.0,0.0,0.0,0.0
Appalachian State,-12.1,111,-12.1,,,,,1,1.0,0.0,0.0,0.0,0.0
Nevada,-12.2,112,-12.2,,,,,1,1.0,0.0,0.0,0.0,0.0
Central Michigan,-12.4,113,-12.4,,,,,1,1.0,0.0,0.0,0.0,0.0
Delaware,-13.0,114,-13.0,,,,,1,1.0,0.0,0.0,0.0,0.0
Bowling Green,-13.3,115,-13.3,,,,,1,1.0,0.0,0.0,0.0,0.0
South Alabama,-13.3,116,-13.3,,,,,1,1.0,0.0,0.0,0.0,0.0
Ohio,-13.6,117,-13.6,,,,,1,1.0,0.0,0.0,0.0,0.0
Florida International,-13.7,118,-13.7,,,,,1,1.0,0.0,0.0,0.0,0.0
Coastal Carolina,-13.8,119,-13.8,,,,,1,1.0,0.0,0.0,0.0,0.0
Rice,-14.7,120,-14.7,,,,,1,1.0,0.0,0.0,0.0,0.0
Eastern Michigan,-15.0,121,-15.0,,,,,1,1.0,0.0,0.0,0.0,0.0
San Jose State,-15.5,122,-15.5,,,,,1,1.0,0.0,0.0,0.0,0.0
New Mexico State,-16.4,123,-16.4,,,,,1,1.0,0.0,0.0,0.0,0.0
UAB,-18.1,124,-18.1,,,,,1,1.0,0.0,0.0,0.0,0.0
Northern Illinois,-18.2,125,-18.2,,,,,1,1.0,0.0,0.0,0.0,0.0
Missouri State,-18.7,126,-18.7,,,,,1,1.0,0.0,0.0,0.0,0.0
Akron,-19.5,127,-19.5,,,,,1,1.0,0.0,0.0,0.0,0.0
Kent State,-20.1,128,-20.1,,,,,1,1.0,0.0,0.0,0.0,0.0
UTEP,-20.5,129,-20.5,,,,,1,1.0,0.0,0.0,0.0,0.0
Sacramento State,-22.7,130,-22.7,,,,,1,1.0,0.0,0.0,0.0,0.0
Southern Miss,-23.3,131,-23.3,,,,,1,1.0,0.0,0.0,0.0,0.0
UL-Monroe,-24.3,132,-24.3,,,,,1,1.0,0.0,0.0,0.0,0.0
Georgia State,-25.1,133,-25.1,,,,,1,1.0,0.0,0.0,0.0,0.0
Ball State,-25.2,134,-25.2,,,,,1,1.0,0.0,0.0,0.0,0.0
Middle Tennessee,-26.0,135,-26.0,,,,,1,1.0,0.0,0.0,0.0,0.0
Sam Houston,-26.3,136,-26.3,,,,,1,1.0,0.0,0.0,0.0,0.0
Massachusetts,-30.9,137,-30.9,,,,,1,1.0,0.0,0.0,0.0,0.0
Charlotte,-32.4,138,-32.4,,,,,1,1.0,0.0,0.0,0.0,0.0
