team,conference,rank,combo,avg_total_wins,avg_conference_wins,conference_title_pct,make_title_game_pct,bowl_eligibility_pct,win_distribution
Arizona,B12,30,8.7,6.5523,4.7564,0.012,0.0524,0.7846,"[{""wins"":1,""probability"":0.0001},{""wins"":2,""probability"":0.001},{""wins"":3,""probability"":0.0106},{""wins"":4,""probability"":0.0523},{""wins"":5,""probability"":0.1514},{""wins"":6,""probability"":0.2678},{""wins"":7,""probability"":0.2689},{""wins"":8,""probability"":0.1778},{""wins"":9,""probability"":0.0607},{""wins"":10,""probability"":0.009},{""wins"":11,""probability"":0.0004}]"
Vanderbilt,SEC,29,9.6,4.8222,3.154,0.0,0.0014,0.3073,"[{""wins"":0,""probability"":0.0002},{""wins"":1,""probability"":0.004},{""wins"":2,""probability"":0.0359},{""wins"":3,""probability"":0.1285},{""wins"":4,""probability"":0.2471},{""wins"":5,""probability"":0.277},{""wins"":6,""probability"":0.1935},{""wins"":7,""probability"":0.0877},{""wins"":8,""probability"":0.0225},{""wins"":9,""probability"":0.0034},{""wins"":10,""probability"":0.0002}]"
Virginia Tech,ACC,34,8.3333,6.3532,4.8086,0.008,0.0328,0.7377,"[{""wins"":2,""probability"":0.0026},{""wins"":3,""probability"":0.0159},{""wins"":4,""probability"":0.0722},{""wins"":5,""probability"":0.1716},{""wins"":6,""probability"":0.2714},{""wins"":7,""probability"":0.2641},{""wins"":8,""probability"":0.15},{""wins"":9,""probability"":0.0458},{""wins"":10,""probability"":0.0062},{""wins"":11,""probability"":0.0002}]"
Illinois,B1G,35,8.2667,6.0982,4.4001,0.0,0.0024,0.6753,"[{""wins"":1,""probability"":0.0001},{""wins"":2,""probability"":0.0041},{""wins"":3,""probability"":0.0208},{""wins"":4,""probability"":0.0932},{""wins"":5,""probability"":0.2065},{""wins"":6,""probability"":0.2863},{""wins"":7,""probability"":0.2396},{""wins"":8,""probability"":0.1193},{""wins"":9,""probability"":0.0283},{""wins"":10,""probability"":0.0017},{""wins"":11,""probability"":0.0001}]"
TCU,B12,37,7.9667,6.0513,4.4309,0.0074,0.0403,0.6486,"[{""wins"":0,""probability"":0.0002},{""wins"":1,""probability"":0.0003},{""wins"":2,""probability"":0.0068},{""wins"":3,""probability"":0.033},{""wins"":4,""probability"":0.1042},{""wins"":5,""probability"":0.2069},{""wins"":6,""probability"":0.2643},{""wins"":7,""probability"":0.2209},{""wins"":8,""probability"":0.1217},{""wins"":9,""probability"":0.0357},{""wins"":10,""probability"":0.0059},{""wins"":11,""probability"":0.0001}]"
Florida State,ACC,33,8.4667,5.2045,3.8052,0.0026,0.0151,0.414,"[{""wins"":1,""probability"":0.0019},{""wins"":2,""probability"":0.0211},{""wins"":3,""probability"":0.0883},{""wins"":4,""probability"":0.1984},{""wins"":5,""probability"":0.2763},{""wins"":6,""probability"":0.2375},{""wins"":7,""probability"":0.1259},{""wins"":8,""probability"":0.0419},{""wins"":9,""probability"":0.0082},{""wins"":10,""probability"":0.0004},{""wins"":11,""probability"":0.0001}]"
Houston,B12,31,8.6333,6.7774,4.9265,0.0068,0.0386,0.827,"[{""wins"":1,""probability"":0.0002},{""wins"":2,""probability"":0.0011},{""wins"":3,""probability"":0.0068},{""wins"":4,""probability"":0.0435},{""wins"":5,""probability"":0.1214},{""wins"":6,""probability"":0.2377},{""wins"":7,""probability"":0.2819},{""wins"":8,""probability"":0.2076},{""wins"":9,""probability"":0.0852},{""wins"":10,""probability"":0.0141},{""wins"":11,""probability"":0.0005}]"
Nebraska,B1G,36,8.1667,5.2988,3.3592,0.0,0.0,0.4362,"[{""wins"":1,""probability"":0.0003},{""wins"":2,""probability"":0.0068},{""wins"":3,""probability"":0.0571},{""wins"":4,""probability"":0.183},{""wins"":5,""probability"":0.3166},{""wins"":6,""probability"":0.2854},{""wins"":7,""probability"":0.1225},{""wins"":8,""probability"":0.026},{""wins"":9,""probability"":0.0023}]"
Oklahoma State,B12,43,5.7,5.2977,4.3492,0.0021,0.0149,0.445,"[{""wins"":1,""probability"":0.0023},{""wins"":2,""probability"":0.0168},{""wins"":3,""probability"":0.0769},{""wins"":4,""probability"":0.1859},{""wins"":5,""probability"":0.2731},{""wins"":6,""probability"":0.2549},{""wins"":7,""probability"":0.1385},{""wins"":8,""probability"":0.0424},{""wins"":9,""probability"":0.0081},{""wins"":10,""probability"":0.0011}]"
Boise State,PAC12,42,5.8333,8.261,6.5793,0.6399,0.8775,0.9822,"[{""wins"":3,""probability"":0.0002},{""wins"":4,""probability"":0.0019},{""wins"":5,""probability"":0.0157},{""wins"":6,""probability"":0.0606},{""wins"":7,""probability"":0.1622},{""wins"":8,""probability"":0.3024},{""wins"":9,""probability"":0.3167},{""wins"":10,""probability"":0.1375},{""wins"":11,""probability"":0.0028}]"
