team,conference,rank,combo,avg_total_wins,avg_conference_wins,conference_title_pct,make_title_game_pct,bowl_eligibility_pct,win_distribution
Coastal Carolina,Sun Belt,116,-13.2333,3.7233,2.9871,0.0037,0.012,0.1139,"[{""wins"":0,""probability"":0.0073},{""wins"":1,""probability"":0.0489},{""wins"":2,""probability"":0.15},{""wins"":3,""probability"":0.2458},{""wins"":4,""probability"":0.2547},{""wins"":5,""probability"":0.1794},{""wins"":6,""probability"":0.0812},{""wins"":7,""probability"":0.0285},{""wins"":8,""probability"":0.0033},{""wins"":9,""probability"":0.0009}]"
Rice,American,119,-14.4333,2.2072,1.8133,0.0,0.0004,0.0086,"[{""wins"":0,""probability"":0.0746},{""wins"":1,""probability"":0.2351},{""wins"":2,""probability"":0.3046},{""wins"":3,""probability"":0.2345},{""wins"":4,""probability"":0.1063},{""wins"":5,""probability"":0.0363},{""wins"":6,""probability"":0.0076},{""wins"":7,""probability"":0.0009},{""wins"":8,""probability"":0.0001}]"
Eastern Michigan,MAC,122,-15.0667,4.5391,3.8829,0.0093,0.0345,0.2391,"[{""wins"":0,""probability"":0.0008},{""wins"":1,""probability"":0.0095},{""wins"":2,""probability"":0.0568},{""wins"":3,""probability"":0.1576},{""wins"":4,""probability"":0.2597},{""wins"":5,""probability"":0.2765},{""wins"":6,""probability"":0.1677},{""wins"":7,""probability"":0.0576},{""wins"":8,""probability"":0.0118},{""wins"":9,""probability"":0.0019},{""wins"":10,""probability"":0.0001}]"
San Jose State,MW,120,-14.9,3.4951,2.6834,0.001,0.0047,0.0749,"[{""wins"":0,""probability"":0.0078},{""wins"":1,""probability"":0.0565},{""wins"":2,""probability"":0.1724},{""wins"":3,""probability"":0.2805},{""wins"":4,""probability"":0.2568},{""wins"":5,""probability"":0.1511},{""wins"":6,""probability"":0.0582},{""wins"":7,""probability"":0.0135},{""wins"":8,""probability"":0.0029},{""wins"":9,""probability"":0.0003}]"
New Mexico State,CUSA,125,-16.8333,3.3211,3.0789,0.0074,0.0282,0.0635,"[{""wins"":0,""probability"":0.0136},{""wins"":1,""probability"":0.0772},{""wins"":2,""probability"":0.1979},{""wins"":3,""probability"":0.2727},{""wins"":4,""probability"":0.2426},{""wins"":5,""probability"":0.1325},{""wins"":6,""probability"":0.0493},{""wins"":7,""probability"":0.0124},{""wins"":8,""probability"":0.0017},{""wins"":9,""probability"":0.0001}]"
UAB,American,126,-17.2667,2.6099,1.6717,0.0,0.0001,0.0068,"[{""wins"":0,""probability"":0.0168},{""wins"":1,""probability"":0.1232},{""wins"":2,""probability"":0.3462},{""wins"":3,""probability"":0.3173},{""wins"":4,""probability"":0.1477},{""wins"":5,""probability"":0.042},{""wins"":6,""probability"":0.0061},{""wins"":7,""probability"":0.0006},{""wins"":8,""probability"":0.0001}]"
Northern Illinois,MW,128,-17.7667,2.428,1.8882,0.0001,0.0006,0.0094,"[{""wins"":0,""probability"":0.0425},{""wins"":1,""probability"":0.1822},{""wins"":2,""probability"":0.3154},{""wins"":3,""probability"":0.2801},{""wins"":4,""probability"":0.1346},{""wins"":5,""probability"":0.0358},{""wins"":6,""probability"":0.0085},{""wins"":7,""probability"":0.0009}]"
Missouri State,CUSA,124,-15.9667,3.2027,2.8845,0.0042,0.0167,0.0397,"[{""wins"":0,""probability"":0.0088},{""wins"":1,""probability"":0.0791},{""wins"":2,""probability"":0.2136},{""wins"":3,""probability"":0.3026},{""wins"":4,""probability"":0.2369},{""wins"":5,""probability"":0.1193},{""wins"":6,""probability"":0.0337},{""wins"":7,""probability"":0.0057},{""wins"":8,""probability"":0.0003}]"
Akron,MAC,129,-18.1,2.8405,2.7449,0.0022,0.0066,0.0218,"[{""wins"":0,""probability"":0.0189},{""wins"":1,""probability"":0.1186},{""wins"":2,""probability"":0.2736},{""wins"":3,""probability"":0.2999},{""wins"":4,""probability"":0.1949},{""wins"":5,""probability"":0.0723},{""wins"":6,""probability"":0.0189},{""wins"":7,""probability"":0.0027},{""wins"":8,""probability"":0.0002}]"
Kent State,MAC,132,-20.0333,2.5496,2.5055,0.0009,0.0041,0.0118,"[{""wins"":0,""probability"":0.0319},{""wins"":1,""probability"":0.1666},{""wins"":2,""probability"":0.3061},{""wins"":3,""probability"":0.2803},{""wins"":4,""probability"":0.1584},{""wins"":5,""probability"":0.0449},{""wins"":6,""probability"":0.0109},{""wins"":7,""probability"":0.0008},{""wins"":8,""probability"":0.0001}]"
UTEP,MW,130,-19.3667,2.0756,1.8699,0.0,0.0002,0.0033,"[{""wins"":0,""probability"":0.0763},{""wins"":1,""probability"":0.2538},{""wins"":2,""probability"":0.3328},{""wins"":3,""probability"":0.2212},{""wins"":4,""probability"":0.0904},{""wins"":5,""probability"":0.0222},{""wins"":6,""probability"":0.0031},{""wins"":7,""probability"":0.0002}]"
Sacramento State,MAC,127,-17.4333,4.0011,3.7068,0.0058,0.026,0.1357,"[{""wins"":0,""probability"":0.0016},{""wins"":1,""probability"":0.0233},{""wins"":2,""probability"":0.1046},{""wins"":3,""probability"":0.2357},{""wins"":4,""probability"":0.2902},{""wins"":5,""probability"":0.2089},{""wins"":6,""probability"":0.1008},{""wins"":7,""probability"":0.0285},{""wins"":8,""probability"":0.0057},{""wins"":9,""probability"":0.0007}]"
Southern Miss,Sun Belt,123,-15.3667,2.9733,2.4683,0.0008,0.0052,0.0342,"[{""wins"":0,""probability"":0.0177},{""wins"":1,""probability"":0.1195},{""wins"":2,""probability"":0.2397},{""wins"":3,""probability"":0.2872},{""wins"":4,""probability"":0.207},{""wins"":5,""probability"":0.0947},{""wins"":6,""probability"":0.0285},{""wins"":7,""probability"":0.0053},{""wins"":8,""probability"":0.0004}]"
UL-Monroe,Sun Belt,134,-21.1333,1.676,1.2608,0.0001,0.0003,0.0017,"[{""wins"":0,""probability"":0.1538},{""wins"":1,""probability"":0.3233},{""wins"":2,""probability"":0.2941},{""wins"":3,""probability"":0.1653},{""wins"":4,""probability"":0.0511},{""wins"":5,""probability"":0.0107},{""wins"":6,""probability"":0.0013},{""wins"":7,""probability"":0.0003},{""wins"":8,""probability"":0.0001}]"
Georgia State,Sun Belt,131,-19.9,1.9094,1.272,0.0,0.0003,0.0038,"[{""wins"":0,""probability"":0.1097},{""wins"":1,""probability"":0.2841},{""wins"":2,""probability"":0.3168},{""wins"":3,""probability"":0.1918},{""wins"":4,""probability"":0.0757},{""wins"":5,""probability"":0.0181},{""wins"":6,""probability"":0.0036},{""wins"":7,""probability"":0.0002}]"
Ball State,MAC,135,-21.8333,2.3363,2.2617,0.0002,0.0019,0.0073,"[{""wins"":0,""probability"":0.0555},{""wins"":1,""probability"":0.2061},{""wins"":2,""probability"":0.3091},{""wins"":3,""probability"":0.2588},{""wins"":4,""probability"":0.125},{""wins"":5,""probability"":0.0382},{""wins"":6,""probability"":0.0065},{""wins"":7,""probability"":0.0008}]"
Middle Tennessee,CUSA,133,-21.0,2.4307,1.961,0.0004,0.0024,0.0136,"[{""wins"":0,""probability"":0.0513},{""wins"":1,""probability"":0.1901},{""wins"":2,""probability"":0.3035},{""wins"":3,""probability"":0.2604},{""wins"":4,""probability"":0.1363},{""wins"":5,""probability"":0.0448},{""wins"":6,""probability"":0.0122},{""wins"":7,""probability"":0.0012},{""wins"":8,""probability"":0.0002}]"
Sam Houston,CUSA,136,-22.9333,1.8705,1.6489,0.0001,0.0006,0.002,"[{""wins"":0,""probability"":0.1043},{""wins"":1,""probability"":0.2966},{""wins"":2,""probability"":0.3277},{""wins"":3,""probability"":0.1878},{""wins"":4,""probability"":0.0652},{""wins"":5,""probability"":0.0164},{""wins"":6,""probability"":0.0017},{""wins"":7,""probability"":0.0003}]"
Massachusetts,MAC,138,-26.0667,1.4024,1.3211,0.0,0.0,0.0,"[{""wins"":0,""probability"":0.2002},{""wins"":1,""probability"":0.3762},{""wins"":2,""probability"":0.279},{""wins"":3,""probability"":0.1145},{""wins"":4,""probability"":0.0258},{""wins"":5,""probability"":0.0043}]"
Charlotte,American,137,-23.4333,0.7938,0.5683,0.0,0.0,0.0,"[{""wins"":0,""probability"":0.4302},{""wins"":1,""probability"":0.3848},{""wins"":2,""probability"":0.15},{""wins"":3,""probability"":0.0312},{""wins"":4,""probability"":0.0036},{""wins"":5,""probability"":0.0002}]"
