hfa,games,mae,rmse,mean_error,median_error,within_1_point_pct,within_2_points_pct,distance_from_2_5,holdout_season,training_seasons
2.75,899,3.3582313681868743,4.378284401998469,0.21440489432703003,0.05000000000000071,19.799777530589544,39.59955506117909,0.25,2023,"2021,2022"
2.55,899,3.3583426028921024,4.373055264577877,0.014404894327030036,-0.14999999999999858,19.021134593993324,40.48943270300334,0.04999999999999982,2023,"2021,2022"
2.76,899,3.3583759733036707,4.378785494023386,0.22440489432702967,0.0600000000000005,19.799777530589544,39.59955506117909,0.2599999999999998,2023,"2021,2022"
2.54,899,3.3584872080088983,4.373033758063816,0.004404894327029742,-0.16000000000000014,19.021134593993324,40.48943270300334,0.040000000000000036,2023,"2021,2022"
2.77,899,3.358520578420467,4.379309363422065,0.23440489432702993,0.07000000000000028,19.799777530589544,39.59955506117909,0.27,2023,"2021,2022"
2.53,899,3.3586318131256956,4.3730351189167465,-0.005595105672970023,-0.16999999999999993,19.021134593993324,40.48943270300334,0.029999999999999805,2023,"2021,2022"
2.78,899,3.358665183537264,4.3798560020213815,0.24440489432702997,0.08000000000000007,19.799777530589544,39.59955506117909,0.2799999999999998,2023,"2021,2022"
2.52,899,3.3587764182424915,4.373059347115318,-0.01559510567297004,-0.17999999999999972,19.021134593993324,40.48943270300334,0.020000000000000018,2023,"2021,2022"
2.79,899,3.35880978865406,4.380425401297145,0.25440489432702973,0.08999999999999986,19.799777530589544,39.59955506117909,0.29000000000000004,2023,"2021,2022"
2.51,899,3.3589210233592883,4.37310644227946,-0.025595105672970367,-0.1899999999999995,19.021134593993324,40.48943270300334,0.009999999999999787,2023,"2021,2022"
2.8,899,3.358954393770857,4.381017552374767,0.26440489432703,0.10000000000000142,21.023359288097886,40.266963292547274,0.2999999999999998,2023,"2021,2022"
2.5,899,3.3590656284760847,4.3731764036704,-0.03559510567296998,-0.1999999999999993,20.02224694104561,41.045606229143495,0.0,2023,"2021,2022"
2.49,899,3.359343715239155,4.373269230190732,-0.04559510567296947,-0.20999999999999908,19.46607341490545,40.266963292547274,0.009999999999999787,2023,"2021,2022"
2.81,899,3.3593659621802003,4.3816324460299425,0.2744048943270301,0.11000000000000121,20.24471635150167,39.822024471635146,0.31000000000000005,2023,"2021,2022"
2.48,899,3.359621802002225,4.3733849203844954,-0.055595105672969845,-0.21999999999999886,19.46607341490545,40.266963292547274,0.020000000000000018,2023,"2021,2022"
2.82,899,3.359777530589544,4.3822700726893675,0.28440489432703014,0.120000000000001,20.24471635150167,39.822024471635146,0.31999999999999984,2023,"2021,2022"
2.47,899,3.3598998887652947,4.3735234724372924,-0.06559510567296993,-0.22999999999999865,19.46607341490545,40.266963292547274,0.029999999999999805,2023,"2021,2022"
2.46,899,3.360177975528365,4.373684884176432,-0.07559510567296969,-0.23999999999999844,19.46607341490545,40.266963292547274,0.040000000000000036,2023,"2021,2022"
2.83,899,3.360189098998887,4.382930422431483,0.2944048943270299,0.13000000000000078,20.24471635150167,39.822024471635146,0.33000000000000007,2023,"2021,2022"
2.45,899,3.3604560622914352,4.373869153071097,-0.08559510567296995,-0.25,19.46607341490545,40.266963292547274,0.04999999999999982,2023,"2021,2022"
2.84,899,3.3606006674082316,4.383613484987238,0.30440489432703,0.14000000000000057,20.24471635150167,39.822024471635146,0.33999999999999986,2023,"2021,2022"
2.44,899,3.360734149054505,4.374076276232541,-0.09559510567297,-0.2599999999999998,19.46607341490545,40.266963292547274,0.06000000000000005,2023,"2021,2022"
2.43,899,3.3610122358175754,4.374306250414321,-0.1055951056729701,-0.2699999999999996,19.46607341490545,40.266963292547274,0.06999999999999984,2023,"2021,2022"
2.85,899,3.3610122358175754,4.384319249740888,0.3144048943270303,0.15000000000000036,20.24471635150167,39.822024471635146,0.3500000000000001,2023,"2021,2022"
2.42,899,3.361290322580645,4.374559072012544,-0.11559510567296975,-0.27999999999999936,19.46607341490545,40.266963292547274,0.08000000000000007,2023,"2021,2022"
2.86,899,3.3614238042269187,4.38504770573081,0.32440489432702957,0.16000000000000014,20.24471635150167,39.822024471635146,0.3599999999999999,2023,"2021,2022"
2.41,899,3.3615684093437155,4.374834737066157,-0.12559510567296991,-0.28999999999999915,19.46607341490545,40.266963292547274,0.08999999999999986,2023,"2021,2022"
2.87,899,3.3618353726362624,4.385798841650353,0.3344048943270303,0.1700000000000017,20.24471635150167,39.822024471635146,0.3700000000000001,2023,"2021,2022"
2.4,899,3.3618464961067853,4.375133241257251,-0.13559510567297017,-0.29999999999999893,20.02224694104561,40.48943270300334,0.10000000000000009,2023,"2021,2022"
2.88,899,3.362246941045606,4.386572645848706,0.3444048943270298,0.17999999999999972,20.24471635150167,39.822024471635146,0.3799999999999999,2023,"2021,2022"
2.39,899,3.362280311457175,4.375454579911398,-0.14559510567296952,-0.3099999999999987,19.46607341490545,39.59955506117909,0.10999999999999988,2023,"2021,2022"
2.89,899,3.3626585094549495,4.387369106331796,0.35440489432703043,0.19000000000000128,20.24471635150167,39.822024471635146,0.3900000000000001,2023,"2021,2022"
2.38,899,3.362714126807564,4.375798747998026,-0.15559510567297022,-0.3200000000000003,19.46607341490545,39.59955506117909,0.1200000000000001,2023,"2021,2022"
2.9,899,3.3630700778642937,4.388188210763207,0.3644048943270298,0.20000000000000107,20.467185761957733,40.266963292547274,0.3999999999999999,2023,"2021,2022"
2.37,899,3.363147942157953,4.3761657401308,-0.1655951056729697,-0.3299999999999983,19.46607341490545,39.59955506117909,0.1299999999999999,2023,"2021,2022"
2.36,899,3.3635817575083427,4.3765555505680505,-0.1755951056729704,-0.33999999999999986,19.46607341490545,39.59955506117909,0.14000000000000012,2023,"2021,2022"
2.91,899,3.3637486095661844,4.389029946465135,0.3744048943270301,0.21000000000000085,19.799777530589544,39.265850945494996,0.41000000000000014,2023,"2021,2022"
2.35,899,3.3640155728587318,4.3769681732132195,-0.18559510567296972,-0.34999999999999964,19.46607341490545,39.59955506117909,0.1499999999999999,2023,"2021,2022"
2.92,899,3.364427141268076,4.389894300419349,0.3844048943270302,0.22000000000000064,19.799777530589544,39.265850945494996,0.41999999999999993,2023,"2021,2022"
2.34,899,3.3644493882091218,4.377403601615337,-0.19559510567297003,-0.35999999999999943,19.46607341490545,39.59955506117909,0.16000000000000014,2023,"2021,2022"
2.33,899,3.364883203559511,4.377861828969524,-0.20559510567297007,-0.3699999999999992,19.46607341490545,39.59955506117909,0.16999999999999993,2023,"2021,2022"
2.93,899,3.3651056729699667,4.3907812592681985,0.39440489432702985,0.23000000000000043,19.799777530589544,39.265850945494996,0.43000000000000016,2023,"2021,2022"
2.32,899,3.3653170189099,4.378342848117521,-0.21559510567296977,-0.379999999999999,19.46607341490545,39.59955506117909,0.18000000000000016,2023,"2021,2022"
2.31,899,3.3657508342602895,4.3788466515482485,-0.2255951056729699,-0.3899999999999988,19.46607341490545,39.59955506117909,0.18999999999999995,2023,"2021,2022"
2.94,899,3.365784204671858,4.391690809315628,0.40440489432703,0.2400000000000002,19.799777530589544,39.265850945494996,0.43999999999999995,2023,"2021,2022"
2.3,899,3.366184649610678,4.379373231398389,-0.23559510567296996,-0.3999999999999986,19.799777530589544,40.04449388209122,0.20000000000000018,2023,"2021,2022"
2.95,899,3.3664627363737485,4.392622936528231,0.41440489432703004,0.25,19.799777530589544,39.265850945494996,0.4500000000000002,2023,"2021,2022"
2.29,899,3.3668631813125693,4.379922579453001,-0.2455951056729703,-0.41000000000000014,18.909899888765295,39.04338153503893,0.20999999999999996,2023,"2021,2022"
2.96,899,3.3671412680756396,4.393577626536311,0.4244048943270304,0.26000000000000156,19.799777530589544,39.265850945494996,0.45999999999999996,2023,"2021,2022"
2.28,899,3.3675417130144605,4.380494687146154,-0.25559510567297,-0.41999999999999993,18.909899888765295,39.04338153503893,0.2200000000000002,2023,"2021,2022"
2.97,899,3.3678197997775308,4.394554864634982,0.4344048943270301,0.27000000000000135,19.799777530589544,39.265850945494996,0.4700000000000002,2023,"2021,2022"
2.27,899,3.368220244716351,4.3810895455616,-0.26559510567297,-0.4299999999999997,18.909899888765295,39.04338153503893,0.22999999999999998,2023,"2021,2022"
2.98,899,3.3684983314794215,4.395554635785287,0.4444048943270301,0.28000000000000114,19.799777530589544,39.265850945494996,0.48,2023,"2021,2022"
2.26,899,3.3688987764182423,4.381707145433456,-0.27559510567297035,-0.4399999999999995,18.909899888765295,39.04338153503893,0.2400000000000002,2023,"2021,2022"
2.99,899,3.369176863181313,4.3965769246153386,0.4544048943270305,0.2900000000000009,19.799777530589544,39.265850945494996,0.4900000000000002,2023,"2021,2022"
2.25,899,3.3695773081201335,4.38234747714693,-0.28559510567297,-0.4499999999999993,18.909899888765295,39.04338153503893,0.25,2023,"2021,2022"
3.0,899,3.3698553948832037,4.397621715421486,0.46440489432702997,0.3000000000000007,21.023359288097886,39.93325917686318,0.5,2023,"2021,2022"
2.24,899,3.370255839822024,4.383010530739063,-0.2955951056729695,-0.4599999999999991,18.909899888765295,39.04338153503893,0.2599999999999998,2023,"2021,2022"
3.01,899,3.370734149054505,4.398688992169502,0.47440489432702965,0.3100000000000005,20.355951056729698,39.15461624026697,0.5099999999999998,2023,"2021,2022"
2.23,899,3.3709343715239157,4.383696295899498,-0.3055951056729699,-0.46999999999999886,18.909899888765295,39.04338153503893,0.27,2023,"2021,2022"
2.22,899,3.3716129032258064,4.384404761971281,-0.3155951056729699,-0.47999999999999865,18.909899888765295,39.04338153503893,0.2799999999999998,2023,"2021,2022"
3.02,899,3.3716129032258064,4.399778738495799,0.48440489432702993,0.3200000000000003,20.355951056729698,39.15461624026697,0.52,2023,"2021,2022"
2.21,899,3.3722914349276976,4.385135917951677,-0.3255951056729697,-0.48999999999999844,18.909899888765295,39.04338153503893,0.29000000000000004,2023,"2021,2022"
3.03,899,3.372491657397108,4.400890937708663,0.49440489432703,0.33000000000000007,20.355951056729698,39.15461624026697,0.5299999999999998,2023,"2021,2022"
2.2,899,3.3729699666295887,4.3858897524930285,-0.3355951056729699,-0.5,19.35483870967742,39.59955506117909,0.2999999999999998,2023,"2021,2022"
3.04,899,3.373370411568409,4.402025572789505,0.5044048943270297,0.33999999999999986,20.355951056729698,39.15461624026697,0.54,2023,"2021,2022"
2.19,899,3.3738264738598445,4.38666625390362,-0.34559510567296997,-0.5099999999999998,19.13236929922136,38.82091212458287,0.31000000000000005,2023,"2021,2022"
3.05,899,3.3742491657397107,4.403182626394153,0.5144048943270301,0.3500000000000014,20.355951056729698,39.15461624026697,0.5499999999999998,2023,"2021,2022"
2.18,899,3.3746829810901002,4.387465410148583,-0.35559510567297015,-0.5199999999999996,19.13236929922136,38.82091212458287,0.31999999999999984,2023,"2021,2022"
3.06,899,3.375127919911012,4.404362080854145,0.5244048943270301,0.3600000000000012,20.355951056729698,39.15461624026697,0.56,2023,"2021,2022"
2.17,899,3.375539488320356,4.388287208850822,-0.3655951056729698,-0.5299999999999994,19.13236929922136,38.82091212458287,0.33000000000000007,2023,"2021,2022"
3.07,899,3.3760066740823134,4.405563918178057,0.5344048943270302,0.370000000000001,20.355951056729698,39.15461624026697,0.5699999999999998,2023,"2021,2022"
2.16,899,3.3763959955506113,4.3891316372919595,-0.3755951056729699,-0.5399999999999991,19.13236929922136,38.82091212458287,0.33999999999999986,2023,"2021,2022"
3.08,899,3.376885428253615,4.40678812005285,0.5444048943270298,0.3800000000000008,20.355951056729698,39.15461624026697,0.5800000000000001,2023,"2021,2022"
2.15,899,3.3772525027808675,4.389998682413316,-0.3855951056729702,-0.5499999999999989,19.13236929922136,38.82091212458287,0.3500000000000001,2023,"2021,2022"
3.09,899,3.377764182424916,4.408034667845238,0.55440489432703,0.39000000000000057,20.355951056729698,39.15461624026697,0.5899999999999999,2023,"2021,2022"
2.14,899,3.3781090100111237,4.39088833081691,-0.39559510567296946,-0.5599999999999987,19.13236929922136,38.82091212458287,0.3599999999999999,2023,"2021,2022"
3.1,899,3.3786429365962185,4.409303542603073,0.5644048943270302,0.40000000000000036,20.912124582869858,39.48832035595105,0.6000000000000001,2023,"2021,2022"
2.13,899,3.37896551724138,4.39180056876648,-0.4055951056729702,-0.5700000000000003,19.13236929922136,38.82091212458287,0.3700000000000001,2023,"2021,2022"
3.11,899,3.3796774193548385,4.410594725056764,0.5744048943270297,0.41000000000000014,20.467185761957733,39.04338153503893,0.6099999999999999,2023,"2021,2022"
