game_id,week,date,away_team,home_team,signal_team,signal_opponent,signal_side,overall_rp_edge,offense_vs_defense_edge,defense_vs_offense_edge,model_field,projected_home_margin,full_game_model_betting_spread,estimated_1h_spread,estimated_1h_role,candidate_a_defensive_favorite,candidate_b_offensive_underdog,candidate_key,candidate_label,historical_record,historical_ats_pct,historical_avg_ats_margin,historical_median_ats_margin
g229,3,2026-09-19,New Mexico,Oklahoma,New Mexico,Oklahoma,away,-2.0,13.0,-17.0,projection_spread_home,24.1275,24.1275,12.06375,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g191,3,2026-09-19,Northern Illinois,Arizona,Northern Illinois,Arizona,away,-12.0,13.0,-38.0,projection_spread_home,30.08,30.08,15.04,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g223,3,2026-09-19,Troy,Missouri,Troy,Missouri,away,-10.0,7.0,-27.0,projection_spread_home,24.9125,24.9125,12.45625,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g248,3,2026-09-19,UTSA,Texas,UTSA,Texas,away,-14.0,1.0,-29.0,projection_spread_home,30.08,30.08,15.04,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g199,3,2026-09-19,Wyoming,Central Michigan,Wyoming,Central Michigan,away,-6.0,14.0,-26.0,projection_spread_home,1.4125,1.4125,0.70625,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g263,4,2026-09-25,Navy,UAB,Navy,UAB,away,12.0,-5.0,29.0,projection_spread_home,-14.095,-14.095,-7.0475,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g262,4,2026-09-25,Clemson,California,California,Clemson,home,5.0,9.0,-1.0,projection_spread_home,-7.42,7.42,3.71,Underdog,False,True,B_OFFENSIVE_UNDERDOG,Positive offensive RP edge and negative defensive RP edge with estimated 1H underdog,13-6,68.4,2.34,4.5
g284,4,2026-09-26,Houston,Georgia Southern,Houston,Georgia Southern,away,22.0,9.0,35.0,projection_spread_home,-14.9075,-14.9075,-7.45375,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g296,4,2026-09-26,Connecticut,Miami-OH,Miami-OH,Connecticut,home,18.0,8.0,27.0,projection_spread_home,4.175,-4.175,-2.0875,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g311,4,2026-09-26,Missouri State,SMU,SMU,Missouri State,home,28.0,22.0,33.0,projection_spread_home,30.665,-30.665,-15.3325,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
g319,4,2026-09-26,Southern Miss,Tulane,Tulane,Southern Miss,home,18.0,8.0,29.0,projection_spread_home,16.485,-16.485,-8.2425,Favorite,True,False,A_DEFENSIVE_FAVORITE,Defensive RP edge 25+ with estimated 1H favorite,22-10,68.8,3.84,5.5
