venue_key,venue,home_team,latitude,longitude,timezone,roof_type,stadium_orientation_deg,notes
michigan stadium,Michigan Stadium,Michigan,42.265875,-83.748684,,outdoor,,"geocoded via Nominatim: Michigan Stadium stadium United States | Michigan Stadium, 1201, South Main Street, Ann Arbor, Washtenaw County, Michigan, 48104, United States"
middle tennessee,Middle Tennessee,Middle Tennessee,35.848601,-86.360904,,outdoor,,"geocoded via Nominatim: Middle Tennessee Middle Tennessee United States | Middle Tennessee State University, 1301, East Main Street, Murfreesboro, Rutherford County, Middle Tennessee, Tennessee, 37132, United States"
milan puskar stadium,Milan Puskar Stadium,West Virginia,39.650184,-79.954988,,outdoor,,"geocoded via Nominatim: Milan Puskar Stadium stadium United States | Milan Puskar Stadium, Ira Errett Rodgers Drive, Evansdale, Morgantown, Monongalia County, West Virginia, 26505, United States"
missouri state,Missouri State,Missouri State,37.219343,-93.254837,,outdoor,,"geocoded via Nominatim: Missouri State stadium United States | Missouri State University Lady Bears, East Pythian Street, Cooper Park, Springfield, Greene County, Missouri, 65802, United States"
mountain america stadium,Mountain America Stadium,Arizona State,33.42631,-111.932659,,outdoor,,"geocoded via Nominatim: Mountain America Stadium stadium United States | Mountain America Stadium, 500, East Veterans Way, Tempe, Maricopa County, Arizona, 85287, United States"
mwc no. 1,MWC No. 1,MWC No. 1,,,,outdoor,,skipped placeholder/conference TBD venue
navy-marine corps memorial stadium,Navy-Marine Corps Memorial Stadium,Navy,38.984757,-76.507076,,outdoor,,"geocoded via Nominatim: Navy-Marine Corps Memorial Stadium stadium United States | Navy-Marine Corps Memorial Stadium, Navy-Marine Corps Memorial Stadium Trail, West Annapolis, Annapolis, Anne Arundel County, Maryland, 21412, United States"
new mexico state,New Mexico State,New Mexico State,35.403783,-108.221018,,outdoor,,"geocoded via Nominatim: New Mexico State New Mexico State United States | New Mexico State Historic Marker, State Highway 371, Thoreau, McKinley County, New Mexico, 87323, United States"
neyland stadium,Neyland Stadium,Tennessee,35.955065,-83.925987,,outdoor,,"geocoded via Nominatim: Neyland Stadium stadium United States | Neyland Stadium, 1300, Phillip Fulmer Way, South Waterfront, Fort Sanders, Knoxville, Knox County, East Tennessee, Tennessee, 37916, United States"
nilton santos stadium,Nilton Santos Stadium,Virginia,-22.8933,-43.2922,America/Sao_Paulo,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed
nippert stadium,Nippert Stadium,Cincinnati,39.131121,-84.51623,,outdoor,,"geocoded via Nominatim: Nippert Stadium stadium United States | Nippert Stadium, Victory Plaza, Uptown Cincinnati, University Heights, The Heights, Cincinnati, Hamilton County, Ohio, 45221, United States"
nissan stadium,Nissan Stadium,Ole Miss,36.166524,-86.771315,,outdoor,,"geocoded via Nominatim: Nissan Stadium stadium United States | Nissan Stadium, 1, Titans Way, East Nashville, Nashville, Davidson County, Middle Tennessee, Tennessee, 37201, United States"
notre dame stadium,Notre Dame Stadium,Notre Dame,41.698423,-86.233958,,outdoor,,"geocoded via Nominatim: Notre Dame Stadium stadium United States | Notre Dame Stadium, Moose Krause Circle, Notre Dame, Saint Joseph County, Indiana, 46556, United States"
ohio stadium,Ohio Stadium,Ohio State,40.0017,-83.0197,America/New_York,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed
old dominion,Old Dominion,Old Dominion,37.823471,-78.669728,,outdoor,,"geocoded via Nominatim: Old Dominion Old Dominion United States | Old Dominion Road, Old Dominion, Albemarle County, Virginia, 22969, United States"
pac-12 no. 1,Pac-12 No. 1,Pac-12 No. 1,,,,outdoor,,skipped placeholder/conference TBD venue
peden stadium,Peden Stadium,Ohio,39.321113,-82.103025,,outdoor,,"geocoded via Nominatim: Peden Stadium stadium United States | Peden Stadium, Hockhocking Adena Bikeway, La Mar Heights, Athens, Athens Township, Athens County, Ohio, 45701, United States"
pitbull stadium,Pitbull Stadium,Florida International,25.752488,-80.37789,,outdoor,,"geocoded via Nominatim: Pitbull Stadium stadium United States | Pitbull Stadium, 11200, Southwest 8th Street, Miami, Miami-Dade County, Florida, 33199, United States"
pratt & whitney stadium,Pratt & Whitney Stadium,Connecticut,41.759626,-72.618827,,outdoor,,"geocoded via Nominatim: Pratt & Whitney Stadium stadium United States | Pratt & Whitney Stadium, Charter Oak Greenway, Burnside, East Hartford, Capitol Planning Region, Connecticut, 06118, United States"
protective stadium,Protective Stadium,UAB,33.527572,-86.809063,,outdoor,,"geocoded via Nominatim: Protective Stadium stadium United States | Protective Stadium, 24th Street North, Central City, Birmingham, Jefferson County, Alabama, 35203, United States"
raymond james stadium,Raymond James Stadium,South Florida,27.975979,-82.503355,,outdoor,,"geocoded via Nominatim: Raymond James Stadium stadium United States | Raymond James Stadium, West Tampa Bay Boulevard, Fair Ground Farms, Tampa, Hillsborough County, Florida, 33607, United States"
razorback stadium,Razorback Stadium,Arkansas,33.438652,-94.023392,,outdoor,,"geocoded via Nominatim: Razorback Stadium stadium United States | Razorback Stadium, East 18th Street, Texarkana, Miller County, Arkansas, 71854, United States"
reser stadium,Reser Stadium,Oregon State,44.559562,-123.281475,,outdoor,,"geocoded via Nominatim: Reser Stadium stadium United States | Reser Stadium, 660, Southwest 26th Street, Corvallis, Benton County, Oregon, 97331, United States"
rice stadium,Rice Stadium,Rice,29.716323,-95.409324,,outdoor,,"geocoded via Nominatim: Rice Stadium stadium United States | Rice Stadium, Entrance 17 Drive, Southampton, University Place, Houston, Harris County, Texas, 77030, United States"
rice-eccles stadium,Rice-Eccles Stadium,Utah,40.759854,-111.848919,,outdoor,,"geocoded via Nominatim: Rice-Eccles Stadium stadium United States | Rice-Eccles Stadium, 451, 1400 East, East Central, Salt Lake City, Salt Lake County, Utah, 84112, United States"
rose bowl,Rose Bowl,UCLA,34.161349,-118.167667,,outdoor,,"geocoded via Nominatim: Rose Bowl stadium United States | Rose Bowl Stadium, 1001, Rose Bowl Drive, Pasadena Council District 1, Pasadena, Los Angeles County, California, 91103, United States"
ross-ade stadium,Ross-Ade Stadium,Purdue,40.434568,-86.918495,,outdoor,,"geocoded via Nominatim: Ross-Ade Stadium stadium United States | Ross–Ade Stadium, Joe Tiller Drive, West Lafayette, Tippecanoe County, Indiana, 46906, United States"
ryan field,Ryan Field,Northwestern,42.0654,-87.6925,America/Chicago,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed
rynearson stadium,Rynearson Stadium,Eastern Michigan,42.255872,-83.647375,,outdoor,,"geocoded via Nominatim: Rynearson Stadium stadium United States | Rynearson Stadium, Westview Street, Ypsilanti, Washtenaw County, Michigan, 48197, United States"
s.b. ballard stadium,S.B. Ballard Stadium,Old Dominion,36.8886,-76.3059,America/New_York,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed
sam houston,Sam Houston,Sam Houston,29.939055,-95.391899,,outdoor,,"geocoded via Nominatim: Sam Houston Sam Houston United States | Sam Houston Pkwy @ Atrium Dr, North Sam Houston Parkway East, Greenspoint, North Houston District, Houston, Harris County, Texas, 77060, United States"
sanford stadium,Sanford Stadium,Georgia,33.949785,-83.373209,,outdoor,,"geocoded via Nominatim: Sanford Stadium stadium United States | Sanford Stadium, 200, Sanford Drive, Athens, Clarke County, Georgia, 30334, United States"
scheumann stadium,Scheumann Stadium,Ball State,40.216007,-85.416825,,outdoor,,"geocoded via Nominatim: Scheumann Stadium stadium United States | Scheumann Stadium, North Richmond Drive, Muncie, Delaware County, Indiana, 47304, United States"
scott stadium,Scott Stadium,Virginia,38.030925,-78.51361,,outdoor,,"geocoded via Nominatim: Scott Stadium stadium United States | Scott Stadium, Chemistry Drive, McCormick Road Houses, University of Virginia, Albemarle County, Virginia, 22904, United States"
sec no. 1,SEC No. 1,SEC No. 1,,,,outdoor,,skipped placeholder/conference TBD venue
secu stadium,SECU Stadium,Maryland,38.990299,-76.947453,,outdoor,,"geocoded via Nominatim: SECU Stadium stadium United States | SECU Stadium, 90, Stadium Drive, Lakeland, College Park, Prince George's County, Maryland, 20742, United States"
shi stadium,SHI Stadium,Rutgers,40.513504,-74.465143,,outdoor,,"geocoded via Nominatim: SHI Stadium stadium United States | SHI Stadium, Sutphen Road, Piscataway Township, Middlesex County, New Jersey, 08855, United States"
simmons bank liberty stadium,Simmons Bank Liberty Stadium,Memphis,35.12113,-89.977415,,outdoor,,"geocoded via Nominatim: Simmons Bank Liberty Stadium stadium United States | Simmons Bank Liberty Stadium, 335, South Hollywood Street, Buntyn, Memphis, Shelby County, West Tennessee, Tennessee, 38104, United States"
snapdragon stadium,Snapdragon Stadium,San Diego State,32.784242,-117.12239,,outdoor,,"geocoded via Nominatim: Snapdragon Stadium stadium United States | Snapdragon Stadium, 1, Stadium Way, Serra Mesa, San Diego, San Diego County, California, 92182, United States"
south alabama,South Alabama,South Alabama,34.65502,-86.565457,,outdoor,,"geocoded via Nominatim: South Alabama South Alabama United States | United States Post Office, Whitesburg Drive South, Lily Flagg, Huntsville, Madison County, Alabama, 35802, United States"
southern miss,Southern Miss,Southern Miss,32.376176,-90.313249,,outdoor,,"geocoded via Nominatim: Southern Miss Southern Miss United States | Southern Oaks Drive, Southern Oaks, Pinehaven Estates, Clinton, Hinds County, Mississippi, 39056, United States"
spartan stadium,Spartan Stadium,Michigan State,37.31969,-121.868314,,outdoor,,"geocoded via Nominatim: Spartan Stadium stadium United States | CEFCU Stadium, East Alma Avenue, Spartan Keyes, San Jose, Santa Clara County, California, 95192, United States"
stanford stadium,Stanford Stadium,Stanford,37.434526,-122.161987,,outdoor,,"geocoded via Nominatim: Stanford Stadium stadium United States | Stanford Stadium, 625, Nelson Road, Stanford, Santa Clara County, California, 94301, United States"
sun belt west,Sun Belt West,Sun Belt West,,,,outdoor,,placeholder_conference_site_tbd
sun bowl,Sun Bowl,UTEP,31.773365,-106.50794,,outdoor,,"geocoded via Nominatim: Sun Bowl stadium United States | Sun Bowl Stadium, 2701, Sun Bowl Drive, El Paso, El Paso County, Texas, 79902, United States"
tdecu stadium,TDECU Stadium,Houston,29.721879,-95.349186,,outdoor,,"geocoded via Nominatim: TDECU Stadium stadium United States | TDECU Stadium, 3847, Holman Street, College Oaks, Third Ward, Houston, Harris County, Texas, 77204, United States"
tiger stadium (la),Tiger Stadium (LA),LSU,30.411977,-91.18383,,outdoor,,"geocoded via Nominatim: Tiger Stadium (LA) stadium United States | Tiger Stadium, North Stadium Road, Baton Rouge, East Baton Rouge Parish, Louisiana, 70803, United States"
troy,Troy,Troy,40.043962,-84.202241,,outdoor,,"geocoded via Nominatim: Troy stadium United States | Troy Memorial Stadium, West Staunton Road, Troy, Miami County, Ohio, 45373, United States"
ub stadium,UB Stadium,Buffalo,43.0009,-78.7775,America/New_York,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed
ul-monroe,UL-Monroe,UL-Monroe,32.5308,-92.0662,America/Chicago,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed
university stadium (nm),University Stadium (NM),New Mexico,35.066918,-106.628246,,outdoor,,"geocoded via Nominatim: University Stadium (NM) New Mexico United States | University Stadium, 1414, University Boulevard Southeast, Nob Hill, Albuquerque, Bernalillo County, New Mexico, 87106, United States"
utah state,Utah State,Utah State,40.777396,-111.888217,,outdoor,,"geocoded via Nominatim: Utah State Utah State United States | Utah State Capitol Building, 350, State Street, Capitol Hill, Salt Lake City, Salt Lake County, Utah, 84103, United States"
valley children's stadium,Valley Children's Stadium,Fresno State,36.814396,-119.758038,,outdoor,,"geocoded via Nominatim: Valley Children's Stadium stadium United States | Valley Children's Stadium, East Barstow Avenue, Fresno, Fresno County, California, 93710, United States"
vaught-hemingway stadium,Vaught-Hemingway Stadium,Ole Miss,34.361982,-89.534152,,outdoor,,"geocoded via Nominatim: Vaught-Hemingway Stadium stadium United States | Vaught-Hemingway Stadium, Manning Way, The Dell, Oxford, Lafayette County, Mississippi, 38655, United States"
veterans memorial stadium (al),Veterans Memorial Stadium (AL),Troy,31.7996,-85.951963,,outdoor,,"geocoded via Nominatim: Veterans Memorial Stadium (AL) Troy United States | Veterans Memorial Stadium, 338, Highland Avenue, Ridgewood, Troy, Pike County, Alabama, 36082, United States"
waldo stadium,Waldo Stadium,Western Michigan,42.285762,-85.60112,,outdoor,,"geocoded via Nominatim: Waldo Stadium stadium United States | Waldo Stadium, Stadium Drive, West Main Hill, Kalamazoo, Kalamazoo County, Michigan, 49007, United States"
wallace wade stadium,Wallace Wade Stadium,Duke,35.995446,-78.941889,,outdoor,,"geocoded via Nominatim: Wallace Wade Stadium stadium United States | Wallace Wade Stadium, 120, Whitford Drive, Durham, Durham County, North Carolina, 27705, United States"
war memorial stadium,War Memorial Stadium,Wyoming,30.283841,-97.732623,,outdoor,,"geocoded via Nominatim: War Memorial Stadium stadium United States | Darrell K Royal-Texas Memorial Stadium, San Jacinto Boulevard, Austin, Travis County, Texas, 78705, United States"
warren mcguirk alumni stadium,Warren McGuirk Alumni Stadium,Massachusetts,42.377265,-72.536024,,outdoor,,"geocoded via Nominatim: Warren McGuirk Alumni Stadium stadium United States | Warren P. McGuirk Alumni Stadium, Stadium Drive, Plainville, Hadley, Hampshire County, Massachusetts, 01004, United States"
washington state,Washington State,Washington State,47.267718,-122.450163,,outdoor,,"geocoded via Nominatim: Washington State stadium United States | Washington State Historical Society, 315, North Stadium Way, Yakima Hill, Old Tacoma, North End, Tacoma, Pierce County, Washington, 98403, United States"
wembley stadium,Wembley Stadium,Kansas,39.291054,-94.540365,,outdoor,,"geocoded via Nominatim: Kansas football stadium United States | North Kansas City District Football Stadium, NKC District Stadium Drive, Kansas City, Clay County, Missouri, 64166, United States"
western kentucky,Western Kentucky,Western Kentucky,37.376549,-86.81246,,outdoor,,"geocoded via Nominatim: Western Kentucky Western Kentucky United States | Western Kentucky Distilling, Western Kentucky Parkway, Beaver Dam, Ohio County, Kentucky, 42320, United States"
williams stadium (va),Williams Stadium (VA),Liberty,34.787383,-82.702437,,outdoor,,"geocoded via Nominatim: Liberty football stadium United States | Liberty High School Football Stadium, Liberty, Pickens County, South Carolina, United States"
williams-brice stadium,Williams-Brice Stadium,South Carolina,33.973117,-81.019156,,outdoor,,"geocoded via Nominatim: Williams-Brice Stadium stadium United States | Williams-Brice Stadium, Bluff Road, Columbia, Richland County, South Carolina, 29209, United States"
yager stadium,Yager Stadium,Miami-OH,39.519415,-84.733086,,outdoor,,"geocoded via Nominatim: Yager Stadium stadium United States | Fred C. Yager Stadium, Weeb Ewbank Way, Oxford, Oxford Township, Butler County, Ohio, 45056, United States"
yulman stadium,Yulman Stadium,Tulane,29.944651,-90.116051,,outdoor,,"geocoded via Nominatim: Yulman Stadium stadium United States | Yulman Stadium, 2900, Ben Weiner Drive, Broadmoor, New Orleans, Orleans Parish, Louisiana, 70118, United States"
