season,team,overall,overall_rank,offense,offense_rank,defense,defense_rank,source
2024,Arkansas St.,69,27,82,8,56,75,Bill Connelly/SP+ returning production 2024
2024,Oregon,69,28,68,45,70,27,Bill Connelly/SP+ returning production 2024
2024,J'ville St.,69,29,61,69,77,11,Bill Connelly/SP+ returning production 2024
2024,Iowa,69,30,80,12,58,65,Bill Connelly/SP+ returning production 2024
2024,Missouri,68,31,79,16,58,68,Bill Connelly/SP+ returning production 2024
2024,Florida,68,32,70,39,66,41,Bill Connelly/SP+ returning production 2024
2024,App. St.,68,33,68,43,67,32,Bill Connelly/SP+ returning production 2024
2024,Navy,68,34,63,62,73,19,Bill Connelly/SP+ returning production 2024
2024,Arizona St.,68,35,72,33,63,49,Bill Connelly/SP+ returning production 2024
2024,Wake Forest,68,36,61,70,74,15,Bill Connelly/SP+ returning production 2024
2024,Stanford,67,37,69,40,65,44,Bill Connelly/SP+ returning production 2024
2024,Utah St.,67,38,63,61,71,24,Bill Connelly/SP+ returning production 2024
2024,Colorado St.,67,39,72,32,62,58,Bill Connelly/SP+ returning production 2024
2024,Boston Coll.,67,40,80,11,53,86,Bill Connelly/SP+ returning production 2024
2024,Baylor,66,41,71,36,62,59,Bill Connelly/SP+ returning production 2024
2024,UAB,66,42,81,10,52,93,Bill Connelly/SP+ returning production 2024
2024,Arizona,66,43,70,38,62,57,Bill Connelly/SP+ returning production 2024
2024,Louisville,66,44,53,92,79,7,Bill Connelly/SP+ returning production 2024
2024,Miami (Fla.),66,45,79,18,53,84,Bill Connelly/SP+ returning production 2024
2024,Ga. Tech,66,46,83,7,49,105,Bill Connelly/SP+ returning production 2024
2024,Georgia,65,47,76,25,55,80,Bill Connelly/SP+ returning production 2024
2024,CMU,65,48,63,57,68,31,Bill Connelly/SP+ returning production 2024
2024,BYU,65,49,68,46,63,54,Bill Connelly/SP+ returning production 2024
2024,Auburn,65,50,74,27,55,78,Bill Connelly/SP+ returning production 2024
2024,ECU,65,51,77,21,52,90,Bill Connelly/SP+ returning production 2024
2024,Fresno St.,64,52,80,14,48,106,Bill Connelly/SP+ returning production 2024
2024,Pittsburgh,64,53,65,50,62,56,Bill Connelly/SP+ returning production 2024
2024,Clemson,64,54,79,20,49,103,Bill Connelly/SP+ returning production 2024
2024,FIU,64,55,76,24,51,98,Bill Connelly/SP+ returning production 2024
2024,Sam Houston,64,56,63,56,64,48,Bill Connelly/SP+ returning production 2024
2024,NIU,63,57,55,85,72,21,Bill Connelly/SP+ returning production 2024
2024,UNLV,63,58,63,59,63,53,Bill Connelly/SP+ returning production 2024
2024,S. Carolina,63,59,52,94,74,18,Bill Connelly/SP+ returning production 2024
2024,LSU,63,60,55,84,71,26,Bill Connelly/SP+ returning production 2024
2024,WMU,63,61,72,34,54,82,Bill Connelly/SP+ returning production 2024
2024,Cincinnati,62,62,68,47,57,72,Bill Connelly/SP+ returning production 2024
2024,Wyoming,62,63,57,79,67,33,Bill Connelly/SP+ returning production 2024
2024,Marshall,62,64,67,48,57,74,Bill Connelly/SP+ returning production 2024
2024,Illinois,62,65,58,75,65,43,Bill Connelly/SP+ returning production 2024
2024,SMU,62,66,64,55,60,64,Bill Connelly/SP+ returning production 2024
2024,Oklahoma,62,67,44,111,79,8,Bill Connelly/SP+ returning production 2024
2024,Ole Miss,61,68,71,35,52,94,Bill Connelly/SP+ returning production 2024
2024,WKU,61,69,59,73,64,47,Bill Connelly/SP+ returning production 2024
2024,Ohio St.,61,70,61,66,61,60,Bill Connelly/SP+ returning production 2024
