canonical_game_id,market_type,quote_id,reason,sportsbook
g33,,f50770ffd12447d76374d7e1d31a2996fb80ddf9f4e8775f285f451e8f1c7ca0,unavailable,
g33,,fe4aaf2e44e727b34afcbe33ef26e8bf3e9204a167d6ac63f6cac5afa91c8ad4,unavailable,
g33,,ab04ef1ab6718d9163c040755cca8cddb839a6d99b49deb420bb0383663ca012,unavailable,
g33,,a512d98036dadabd0cae013bfdc173bddba76983f1a47eb163ee598fdd5ef0e3,unavailable,
g33,,7c7cae42419f78b62ac7ec90bbd81abf08d1827a6448492b3b168b32fe035bd4,unavailable,
g33,,3734669feb44647047994db26c173ce5bcf41015b4e0b91cc09a9abf888d0ee1,unavailable,
g98,,65cf886945f4f22aa6f94c43253ab9f998c3675d980425bdd8e45fc269019590,unavailable,
g98,,728f231c0f7ffe42a8fa80da9918086eb6acd9137fa3bed434e2312c4dfa5d7f,unavailable,
g98,,66b884737a8ca470bc3b707737e0f9690abe2cba9ae3fe65469277d2673f57b6,unavailable,
g98,,7fa3021018e0d4bc7baacd9888287374716c28b07aff866533c650aaf436a6c8,unavailable,
g142,,56b712a56ad6933c25c788b32986fdce44f67153747946976025efacc11edf79,unavailable,
g142,,5bb2a6b5ef37a9ab981c657d7a1304b803e7d5c8a4dde74c83498ccf3760adce,unavailable,
g142,,b1e00dda5b9623fae9be71c4a62e1256def5189b1ff0f4519f672035bd6bccf0,unavailable,
g142,,225b71e5b5d00e8a7573d3abcfacd70eb6233d855b2f8ee344e4d6b5096f9ff9,unavailable,
g142,,359dc4ed13750fb7eef8c1dd0f7b494ab3580838ea9f37e4d97270a7d0370ede,unavailable,
g142,,22d121f1cdac98061e5e8bbe3011c57433cea04c0d8c5ab3da5634673d1ac485,unavailable,
g142,,5367ad6b3620c29528663c75a56320649bc37bb70711dda3cbe7dc7f055e46a6,unavailable,
g142,,e3cdd0c8b8918dfbdf48074ee94953330c326c674dc53916b6272009b22811fb,unavailable,
g167,,2547e8f4539d9d56aa45fe7832c2001b291d593a006ef2a1f59abda348ed6846,unavailable,
g167,,e3676076e4d80d81a75025589c563afe056d5cc243d909fb44f1b760ae3bbf61,unavailable,
g167,,08ac7db6a9c8f5d2ce9a8c5ab24d7ebb9d23ff887473733812e6f1b9d10b7bdb,unavailable,
g167,,acf4479b1519b246ae98bc22306b875643ffc020382c15a117ee2d336e9a8d1e,unavailable,
g167,,388b56c923025499db1fb88147f98eabae90cdff489bb5d209324f93c926798d,unavailable,
g167,,6989110e93c3db258c76f862cb223dbb323fe49f88cae7bca39435e92803c405,unavailable,
g665,,14ef30cd253ae2b47660da915fa411fbfe3be3be356db01107b0424507086647,unavailable,
g665,,4d686ea1ada1d9aee4a57609c2145f10e7aad4c8394022fbbb4914b4dda87cfc,unavailable,
g665,,60860149284a2862be9501264c0cf523901b79af74bf57cf169ab9c972863e8b,unavailable,
g665,,a772607696badc436b4cdf9fdb8ec326363ba6d4cc4bdbcd8ac6a4c1717e1684,unavailable,
g665,,580b2532c307e22774533b174c3545e1e6e475ea07ca77a4a6ca4e20122a8d04,unavailable,
g665,,944d094a0aa46941a95562fe07e3f7175012fee18cfe4646e1a673db0d5d7f56,unavailable,
g800,,f15d855d4c489b9099d1eba26c51287595c7c742bb0e0e9486bf6de3c5ff3b31,stale,
g800,,814bfc1f8a5acdd229ff9a92d456e5dd5b83a7a3632057f007ef6495c4c8ddd2,stale,
g825,,bf7d92aa8988a3fba20d3a75b716eceb0b147d54d4a097dcb7c10c7d4ed898f5,stale,
g825,,6df5fb4d8103490c68e0d94cc1c5472742861427432a20948b008ee3e796c685,stale,
g830,,f0e482c4ad99850dbbcf65a59c3e7ac96b14eeb5d3fc7d4a6a14a51aef95146a,stale,
g830,,d3df7f0c187f8f3e549228a45f2d8b1665262769a8bbc473b3dc16e7b34e1cc1,stale,
g10,moneyline,,missing_paired_side,fanduel
g2,moneyline,,missing_paired_side,bovada
g24,moneyline,,missing_paired_side,bovada
g29,moneyline,,missing_paired_side,fanduel
g46,moneyline,,missing_paired_side,bovada
g57,moneyline,,missing_paired_side,bovada
g60,moneyline,,missing_paired_side,bovada
g66,moneyline,,missing_paired_side,fanduel
g7,moneyline,,missing_paired_side,fanduel
g70,moneyline,,missing_paired_side,fanduel
g73,spread,,missing_paired_side,betmgm
g74,moneyline,,missing_paired_side,fanduel
g76,moneyline,,missing_paired_side,fanduel
g79,moneyline,,missing_paired_side,fanduel
g85,moneyline,,missing_paired_side,bovada
