threshold,direction_model,magnitude_model,balanced_accuracy,macro_f1,direction_accuracy,mae,rmse
0.25,ordinal_ridge_proxy,huber,0.5215396590177676,0.5226950337525218,0.5723732549595886,0.807415732878389,1.2697748193310512
0.25,ordinal_ridge_proxy,ridge,0.5215396590177676,0.5226950337525218,0.5723732549595886,0.8402070546406356,1.2335550240937085
0.25,ordinal_ridge_proxy,two_stage,0.5215396590177676,0.5226950337525218,0.5723732549595886,0.8458256470150325,1.2652596878460742
0.25,ordinal_ridge_proxy,elastic,0.5215396590177676,0.5226950337525218,0.5723732549595886,0.8503218358005381,1.2744573012160483
0.25,gradient_boosted_stumps,huber,0.5211984605738255,0.5107482844140264,0.5157972079353417,0.807415732878389,1.2697748193310512
0.25,gradient_boosted_stumps,ridge,0.5211984605738255,0.5107482844140264,0.5157972079353417,0.8402070546406356,1.2335550240937085
0.25,gradient_boosted_stumps,two_stage,0.5211984605738255,0.5107482844140264,0.5157972079353417,0.8458256470150325,1.2652596878460742
0.25,gradient_boosted_stumps,elastic,0.5211984605738255,0.5107482844140264,0.5157972079353417,0.8503218358005381,1.2744573012160483
1.0,rules_based,huber,0.5087108185854102,0.37354860071375756,0.37178545187362233,0.807415732878389,1.2697748193310512
1.0,rules_based,ridge,0.5087108185854102,0.37354860071375756,0.37178545187362233,0.8402070546406356,1.2335550240937085
1.0,rules_based,two_stage,0.5087108185854102,0.37354860071375756,0.37178545187362233,0.8488813864787109,1.3062273246320888
1.0,rules_based,elastic,0.5087108185854102,0.37354860071375756,0.37178545187362233,0.8503218358005381,1.2744573012160483
0.25,multinomial_logistic,huber,0.5039977098208271,0.4483193396695507,0.6061719324026451,0.807415732878389,1.2697748193310512
0.25,multinomial_logistic,ridge,0.5039977098208271,0.4483193396695507,0.6061719324026451,0.8402070546406356,1.2335550240937085
0.25,multinomial_logistic,two_stage,0.5039977098208271,0.4483193396695507,0.6061719324026451,0.8458256470150325,1.2652596878460742
0.25,multinomial_logistic,elastic,0.5039977098208271,0.4483193396695507,0.6061719324026451,0.8503218358005381,1.2744573012160483
0.75,multinomial_logistic,huber,0.4997554492373864,0.5234614199887941,0.6465833945628214,0.807415732878389,1.2697748193310512
0.75,multinomial_logistic,ridge,0.4997554492373864,0.5234614199887941,0.6465833945628214,0.8402070546406356,1.2335550240937085
0.75,multinomial_logistic,two_stage,0.4997554492373864,0.5234614199887941,0.6465833945628214,0.8420558670542788,1.2832187400284285
0.75,multinomial_logistic,elastic,0.4997554492373864,0.5234614199887941,0.6465833945628214,0.8503218358005381,1.2744573012160483
0.75,rules_based,huber,0.48745260611682645,0.39300814954171964,0.3894195444526084,0.807415732878389,1.2697748193310512
0.75,rules_based,ridge,0.48745260611682645,0.39300814954171964,0.3894195444526084,0.8402070546406356,1.2335550240937085
0.75,rules_based,two_stage,0.48745260611682645,0.39300814954171964,0.3894195444526084,0.8420558670542788,1.2832187400284285
0.75,rules_based,elastic,0.48745260611682645,0.39300814954171964,0.3894195444526084,0.8503218358005381,1.2744573012160483
0.5,rules_based,huber,0.44576714224013325,0.38210039864685647,0.4114621601763409,0.807415732878389,1.2697748193310512
0.5,rules_based,ridge,0.44576714224013325,0.38210039864685647,0.4114621601763409,0.8402070546406356,1.2335550240937085
0.5,rules_based,two_stage,0.44576714224013325,0.38210039864685647,0.4114621601763409,0.8419838302577243,1.2710838419154684
0.5,rules_based,elastic,0.44576714224013325,0.38210039864685647,0.4114621601763409,0.8503218358005381,1.2744573012160483
0.25,rules_based,huber,0.4275643936181006,0.4043099956408189,0.5018368846436444,0.807415732878389,1.2697748193310512
0.25,rules_based,ridge,0.4275643936181006,0.4043099956408189,0.5018368846436444,0.8402070546406356,1.2335550240937085
0.25,rules_based,two_stage,0.4275643936181006,0.4043099956408189,0.5018368846436444,0.8458256470150325,1.2652596878460742
0.25,rules_based,elastic,0.4275643936181006,0.4043099956408189,0.5018368846436444,0.8503218358005381,1.2744573012160483
1.0,multinomial_logistic,huber,0.40263022523522074,0.4009527597242925,0.6965466568699485,0.807415732878389,1.2697748193310512
1.0,multinomial_logistic,ridge,0.40263022523522074,0.4009527597242925,0.6965466568699485,0.8402070546406356,1.2335550240937085
1.0,multinomial_logistic,two_stage,0.40263022523522074,0.4009527597242925,0.6965466568699485,0.8488813864787109,1.3062273246320888
1.0,multinomial_logistic,elastic,0.40263022523522074,0.4009527597242925,0.6965466568699485,0.8503218358005381,1.2744573012160483
