Team,Slug,Logo File,Status,ESPN Display Name,ESPN ID,ESPN Logo URL,Matched On,Match Type
Troy,troy,logos/troy.png,downloaded,Troy Trojans,2653,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,manual ESPN ID 2653,manual_id
Tulane,tulane,logos/tulane.png,downloaded,Tulane Green Wave,2655,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,manual ESPN ID 2655,manual_id
Tulsa,tulsa,logos/tulsa.png,downloaded,Tulsa Golden Hurricane,202,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png,Tulsa,exact
UAB,uab,logos/uab.png,downloaded,UAB Blazers,5,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,UAB,exact
UCLA,ucla,logos/ucla.png,downloaded,UCLA Bruins,26,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,UCLA,exact
UL-Monroe,ul-monroe,logos/ul-monroe.png,downloaded,UL Monroe Warhawks,2433,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,UL-Monroe,exact
UNLV,unlv,logos/unlv.png,downloaded,UNLV Rebels,2439,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,UNLV,exact
USC,usc,logos/usc.png,downloaded,USC Trojans,30,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,USC,exact
UTEP,utep,logos/utep.png,downloaded,UTEP Miners,2638,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,manual ESPN ID 2638,manual_id
UTSA,utsa,logos/utsa.png,downloaded,UTSA Roadrunners,2636,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,manual ESPN ID 2636,manual_id
Utah,utah,logos/utah.png,downloaded,Utah Utes,254,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,Utah,exact
Utah State,utah-state,logos/utah-state.png,downloaded,Utah State Aggies,328,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png,Utah State,exact
Vanderbilt,vanderbilt,logos/vanderbilt.png,downloaded,Vanderbilt Commodores,238,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,Vanderbilt,exact
Virginia,virginia,logos/virginia.png,downloaded,Virginia Cavaliers,258,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,Virginia,exact
Virginia Tech,virginia-tech,logos/virginia-tech.png,downloaded,Virginia Tech Hokies,259,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,Virginia Tech,exact
Wake Forest,wake-forest,logos/wake-forest.png,downloaded,Wake Forest Demon Deacons,154,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,Wake Forest,exact
Washington,washington,logos/washington.png,downloaded,Washington Huskies,264,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,Washington,exact
Washington State,washington-state,logos/washington-state.png,downloaded,Washington State Cougars,265,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png,Washington State Cougars,exact
West Virginia,west-virginia,logos/west-virginia.png,downloaded,West Virginia Mountaineers,277,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,West Virginia,exact
Western Kentucky,western-kentucky,logos/western-kentucky.png,downloaded,Western Kentucky Hilltoppers,98,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png,Western Kentucky Hilltoppers,exact
Western Michigan,western-michigan,logos/western-michigan.png,downloaded,Western Michigan Broncos,2711,https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,manual ESPN ID 2711,manual_id
Wisconsin,wisconsin,logos/wisconsin.png,downloaded,Wisconsin Badgers,275,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,exact
Wyoming,wyoming,logos/wyoming.png,downloaded,Wyoming Cowboys,2751,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,manual ESPN ID 2751,manual_id
