threshold,direction_model,magnitude_model,balanced_accuracy,macro_f1,direction_accuracy,mae,rmse,component,n,median_absolute_error,signed_bias,correlation,within_1,within_2,within_3,accuracy,per_class
0.5,rules_based,elastic,0.5621098774679448,0.5426203479869879,0.5778588807785888,0.71397815901736,0.9544777246202814,offense,,,,,,,,,
0.25,rules_based,two_stage,0.5333464253703536,0.5292217799312965,0.6435523114355232,0.662674105303637,0.8771268315937735,offense,,,,,,,,,
0.25,rules_based,huber,0.5333464253703536,0.5292217799312965,0.6435523114355232,0.7023629693446303,0.9195092882849767,offense,,,,,,,,,
0.25,rules_based,ridge,0.5333464253703536,0.5292217799312965,0.6435523114355232,0.7027823717348921,0.9163916851448214,offense,,,,,,,,,
0.25,rules_based,elastic,0.5333464253703536,0.5292217799312965,0.6435523114355232,0.71397815901736,0.9544777246202814,offense,,,,,,,,,
1.0,gradient_boosted_stumps,huber,0.4918308106987352,0.5102741487909208,0.6447688564476886,0.7023629693446303,0.9195092882849767,offense,,,,,,,,,
1.0,gradient_boosted_stumps,ridge,0.4918308106987352,0.5102741487909208,0.6447688564476886,0.7027823717348921,0.9163916851448214,offense,,,,,,,,,
1.0,gradient_boosted_stumps,elastic,0.4918308106987352,0.5102741487909208,0.6447688564476886,0.71397815901736,0.9544777246202814,offense,,,,,,,,,
1.0,gradient_boosted_stumps,two_stage,0.4918308106987352,0.5102741487909208,0.6447688564476886,0.7187889814374817,0.9362983522044895,offense,,,,,,,,,
1.0,ordinal_ridge_proxy,huber,0.6842654722751019,0.6981590925130229,0.7360097323600974,0.6093760326677121,0.8396091511139457,defense,,,,,,,,,
1.0,ordinal_ridge_proxy,ridge,0.6842654722751019,0.6981590925130229,0.7360097323600974,0.6153437655210557,0.8450484582044928,defense,,,,,,,,,
1.0,ordinal_ridge_proxy,two_stage,0.6842654722751019,0.6981590925130229,0.7360097323600974,0.6343458044850588,0.8335050572110462,defense,,,,,,,,,
1.0,ordinal_ridge_proxy,elastic,0.6842654722751019,0.6981590925130229,0.7360097323600974,0.6402595393745653,0.8911487062235876,defense,,,,,,,,,
0.5,ordinal_ridge_proxy,two_stage,0.682377196099702,0.6828431408840681,0.6824817518248175,0.5950523688372518,0.8055252712855329,defense,,,,,,,,,
0.5,ordinal_ridge_proxy,huber,0.682377196099702,0.6828431408840681,0.6824817518248175,0.6093760326677121,0.8396091511139457,defense,,,,,,,,,
0.5,ordinal_ridge_proxy,ridge,0.682377196099702,0.6828431408840681,0.6824817518248175,0.6153437655210557,0.8450484582044928,defense,,,,,,,,,
0.5,ordinal_ridge_proxy,elastic,0.682377196099702,0.6828431408840681,0.6824817518248175,0.6402595393745653,0.8911487062235876,defense,,,,,,,,,
0.75,ordinal_ridge_proxy,two_stage,0.672814579822051,0.6818951966980219,0.681265206812652,0.6039147194091927,0.8113476786297428,defense,,,,,,,,,
0.75,ordinal_ridge_proxy,huber,0.672814579822051,0.6818951966980219,0.681265206812652,0.6093760326677121,0.8396091511139457,defense,,,,,,,,,
0.75,ordinal_ridge_proxy,ridge,0.672814579822051,0.6818951966980219,0.681265206812652,0.6153437655210557,0.8450484582044928,defense,,,,,,,,,
0.75,ordinal_ridge_proxy,elastic,0.672814579822051,0.6818951966980219,0.681265206812652,0.6402595393745653,0.8911487062235876,defense,,,,,,,,,
0.5,multinomial_logistic,two_stage,0.6656512238307211,0.649092264482414,0.6678832116788321,0.5950523688372518,0.8055252712855329,defense,,,,,,,,,
0.5,multinomial_logistic,huber,0.6656512238307211,0.649092264482414,0.6678832116788321,0.6093760326677121,0.8396091511139457,defense,,,,,,,,,
0.5,multinomial_logistic,ridge,0.6656512238307211,0.649092264482414,0.6678832116788321,0.6153437655210557,0.8450484582044928,defense,,,,,,,,,
0.5,multinomial_logistic,elastic,0.6656512238307211,0.649092264482414,0.6678832116788321,0.6402595393745653,0.8911487062235876,defense,,,,,,,,,
0.75,multinomial_logistic,two_stage,0.6613502381898256,0.660077364279045,0.6593673965936739,0.6039147194091927,0.8113476786297428,defense,,,,,,,,,
0.75,multinomial_logistic,huber,0.6613502381898256,0.660077364279045,0.6593673965936739,0.6093760326677121,0.8396091511139457,defense,,,,,,,,,
0.75,multinomial_logistic,ridge,0.6613502381898256,0.660077364279045,0.6593673965936739,0.6153437655210557,0.8450484582044928,defense,,,,,,,,,
0.75,multinomial_logistic,elastic,0.6613502381898256,0.660077364279045,0.6593673965936739,0.6402595393745653,0.8911487062235876,defense,,,,,,,,,
1.0,multinomial_logistic,huber,0.6378083138664019,0.6732541171565561,0.7347931873479319,0.6093760326677121,0.8396091511139457,defense,,,,,,,,,
1.0,multinomial_logistic,ridge,0.6378083138664019,0.6732541171565561,0.7347931873479319,0.6153437655210557,0.8450484582044928,defense,,,,,,,,,
1.0,multinomial_logistic,two_stage,0.6378083138664019,0.6732541171565561,0.7347931873479319,0.6343458044850588,0.8335050572110462,defense,,,,,,,,,
1.0,multinomial_logistic,elastic,0.6378083138664019,0.6732541171565561,0.7347931873479319,0.6402595393745653,0.8911487062235876,defense,,,,,,,,,
0.5,gradient_boosted_stumps,two_stage,0.6366149879258677,0.6351894431340028,0.635036496350365,0.5950523688372518,0.8055252712855329,defense,,,,,,,,,
0.5,gradient_boosted_stumps,huber,0.6366149879258677,0.6351894431340028,0.635036496350365,0.6093760326677121,0.8396091511139457,defense,,,,,,,,,
0.5,gradient_boosted_stumps,ridge,0.6366149879258677,0.6351894431340028,0.635036496350365,0.6153437655210557,0.8450484582044928,defense,,,,,,,,,
0.5,gradient_boosted_stumps,elastic,0.6366149879258677,0.6351894431340028,0.635036496350365,0.6402595393745653,0.8911487062235876,defense,,,,,,,,,
0.75,gradient_boosted_stumps,two_stage,0.6197192395253942,0.6276844907127054,0.635036496350365,0.6039147194091927,0.8113476786297428,defense,,,,,,,,,
0.75,gradient_boosted_stumps,huber,0.6197192395253942,0.6276844907127054,0.635036496350365,0.6093760326677121,0.8396091511139457,defense,,,,,,,,,
