team_a,coach_a,team_a_tendency,team_a_toss_wins_sample,team_a_receive_if_wins_toss_pct,team_a_projected_receive_opening_kick_pct,team_b,coach_b,team_b_tendency,team_b_toss_wins_sample,team_b_receive_if_wins_toss_pct,team_b_projected_receive_opening_kick_pct,projected_opening_receiver,edge_pct_points
South Carolina,Shane Beamer,Likely defer,10,30.0,55.0,Notre Dame,Marcus Freeman,Strong defer,5,20.0,45.0,South Carolina,10.0
South Carolina,Shane Beamer,Likely defer,10,30.0,55.0,Tulane,Will Hall,Strong defer,5,20.0,45.0,South Carolina,10.0
South Carolina,Shane Beamer,Likely defer,10,30.0,55.0,Wake Forest,Jake Dickert,Strong defer,5,20.0,45.0,South Carolina,10.0
South Carolina,Shane Beamer,Likely defer,10,30.0,56.6,BYU,Kalani Sitake,Strong defer,6,16.7,43.4,South Carolina,13.2
South Carolina,Shane Beamer,Likely defer,10,30.0,56.6,Louisville,Jeff Brohm,Strong defer,6,16.7,43.4,South Carolina,13.2
South Carolina,Shane Beamer,Likely defer,10,30.0,56.6,Ohio State,Ryan Day,Strong defer,6,16.7,43.4,South Carolina,13.2
South Carolina,Shane Beamer,Likely defer,10,30.0,57.9,Akron,Joe Moorhead,Strong defer,7,14.3,42.1,South Carolina,15.8
South Carolina,Shane Beamer,Likely defer,10,30.0,57.9,Auburn,Alex Golesh,Strong defer,7,14.3,42.1,South Carolina,15.8
South Carolina,Shane Beamer,Likely defer,10,30.0,57.9,Florida State,Mike Norvell,Strong defer,7,14.3,42.1,South Carolina,15.8
South Carolina,Shane Beamer,Likely defer,10,30.0,57.9,James Madison,Billy Napier,Strong defer,7,14.3,42.1,South Carolina,15.8
South Carolina,Shane Beamer,Likely defer,10,30.0,57.9,Michigan,Kyle Whittingham,Strong defer,7,14.3,42.1,South Carolina,15.8
South Carolina,Shane Beamer,Likely defer,10,30.0,57.9,NC State,Dave Doeren,Strong defer,7,14.3,42.1,South Carolina,15.8
South Carolina,Shane Beamer,Likely defer,10,30.0,57.9,New Mexico State,Tony Sanchez,Strong defer,7,14.3,42.1,South Carolina,15.8
South Carolina,Shane Beamer,Likely defer,10,30.0,58.8,Arizona,Brent Brennan,Strong defer,8,12.5,41.2,South Carolina,17.6
South Carolina,Shane Beamer,Likely defer,10,30.0,58.8,Duke,Manny Diaz,Strong defer,8,12.5,41.2,South Carolina,17.6
South Carolina,Shane Beamer,Likely defer,10,30.0,58.8,Illinois,Bret Bielema,Strong defer,8,12.5,41.2,South Carolina,17.6
South Carolina,Shane Beamer,Likely defer,10,30.0,59.5,Arizona State,Kenny Dillingham,Strong defer,9,11.1,40.5,South Carolina,19.0
South Carolina,Shane Beamer,Likely defer,10,30.0,59.5,Boise State,Spencer Danielson,Strong defer,9,11.1,40.5,South Carolina,19.0
South Carolina,Shane Beamer,Likely defer,10,30.0,59.5,Louisiana,Michael Desormeaux,Strong defer,9,11.1,40.5,South Carolina,19.0
South Carolina,Shane Beamer,Likely defer,10,30.0,59.5,Navy,Brian Newberry,Strong defer,9,11.1,40.5,South Carolina,19.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Houston,Willie Fritz,Strong defer,9,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Louisiana Tech,Sonny Cumbie,Strong defer,9,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Nevada,Jeff Choate,Strong defer,9,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,South Alabama,Major Applewhite,Strong defer,9,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Army,Jeff Monken,Strong defer,8,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Baylor,Dave Aranda,Strong defer,8,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Charlotte,Tim Albin,Strong defer,8,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Colorado State,Jim Mora,Strong defer,8,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,58.8,Connecticut,Jason Candle,Strong defer,8,0.0,35.0,South Carolina,23.8
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Colorado,Deion Sanders,Strong defer,7,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,UL-Monroe,Bryant Vincent,Strong defer,7,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,UTSA,Jeff Traylor,Strong defer,7,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Washington,Jedd Fisch,Strong defer,7,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Eastern Michigan,Chris Creighton,Strong defer,6,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Hawaii,Timmy Chang,Strong defer,6,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Liberty,Jamey Chadwell,Strong defer,6,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Memphis,Charles Huff,Strong defer,6,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Penn State,Matt Campbell,Strong defer,6,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Rutgers,Greg Schiano,Strong defer,6,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Virginia,Tony Elliott,Strong defer,6,0.0,35.0,South Carolina,30.0
South Carolina,Shane Beamer,Likely defer,10,30.0,65.0,Wyoming,Jay Sawvel,Strong defer,6,0.0,35.0,South Carolina,30.0
