game_id_example,week_example,away_team_example,home_team_example,team,coach,segment,role,ats_record,ats_pct,ats_sample_size,ou_record,over_pct,ou_sample_size,ats_margin,total_margin
g10,1.0,Bethune-Cookman,Central Florida,Central Florida,Scott Frost,Full game role,Underdog,2-5-0,28.57,7.0,3-3-1,50.0,7.0,-5.5,1.71
g10,1.0,Bethune-Cookman,Central Florida,Central Florida,Scott Frost,Full game role,Favorite,4-2-0,66.67,6.0,3-3-0,50.0,6.0,5.42,2.08
g10,1.0,Bethune-Cookman,Central Florida,Central Florida,Scott Frost,Full game role,Underdog,2-4-0,33.33,6.0,2-4-0,33.33,6.0,-3.42,-6.33
g11,1.0,Merrimack,Delaware,Merrimack,,Full game role,Favorite,,,,,,,,
g11,1.0,Merrimack,Delaware,Merrimack,,Full game role,Underdog,,,,,,,,
g11,1.0,Merrimack,Delaware,Delaware,Ryan Carty,Full game role,Favorite,1-5-0,16.669999999999998,6.0,3-3-0,50.0,6.0,-4.75,4.17
g11,1.0,Merrimack,Delaware,Delaware,Ryan Carty,Full game role,Underdog,3-3-0,50.0,6.0,3-3-0,50.0,6.0,-0.42,11.0
g11,1.0,Merrimack,Delaware,Delaware,Ryan Carty,Full game role,Favorite,4-1-0,80.0,5.0,3-2-0,60.0,5.0,4.0,3.9
g11,1.0,Merrimack,Delaware,Delaware,Ryan Carty,Full game role,Underdog,5-2-0,71.43,7.0,3-4-0,42.86,7.0,-0.57,2.86
g11,1.0,Merrimack,Delaware,Delaware,Ryan Carty,Full game role,Favorite,3-3-0,50.0,6.0,2-4-0,33.33,6.0,-1.0,-0.5
g11,1.0,Merrimack,Delaware,Delaware,Ryan Carty,Full game role,Underdog,3-3-0,50.0,6.0,4-2-0,66.67,6.0,0.33,3.83
g12,1.0,Colorado,Georgia Tech,Colorado,Deion Sanders,Full game role,Favorite,9-5-0,64.29,14.0,5-7-1,41.67,13.0,4.07,2.04
g12,1.0,Colorado,Georgia Tech,Colorado,Deion Sanders,Full game role,Underdog,12-10-0,54.55,22.0,9-11-0,45.0,20.0,-0.09,-1.2
g12,1.0,Colorado,Georgia Tech,Colorado,Deion Sanders,Full game role,Favorite,6-6-0,50.0,12.0,6-6-0,50.0,12.0,-1.29,-1.0
g12,1.0,Colorado,Georgia Tech,Colorado,Deion Sanders,Full game role,Underdog,5-8-0,38.46,13.0,6-6-1,50.0,13.0,-1.58,3.0
g12,1.0,Colorado,Georgia Tech,Colorado,Deion Sanders,Full game role,Favorite,7-3-0,70.0,10.0,5-5-0,50.0,10.0,3.0,3.4
g12,1.0,Colorado,Georgia Tech,Colorado,Deion Sanders,Full game role,Underdog,7-8-0,46.67,15.0,7-7-1,50.0,15.0,1.83,-0.53
g12,1.0,Colorado,Georgia Tech,Georgia Tech,Brent Key,Full game role,Favorite,8-13-1,38.1,22.0,14-7-1,66.67,22.0,-6.27,3.3
g12,1.0,Colorado,Georgia Tech,Georgia Tech,Brent Key,Full game role,Underdog,18-8-0,69.23,26.0,9-15-1,37.5,25.0,7.63,-3.62
g12,1.0,Colorado,Georgia Tech,Georgia Tech,Brent Key,Full game role,Favorite,10-6-0,62.5,16.0,9-7-0,56.25,16.0,-0.66,0.75
g12,1.0,Colorado,Georgia Tech,Georgia Tech,Brent Key,Full game role,Underdog,7-2-0,77.78,9.0,5-4-0,55.559999999999995,9.0,4.22,-3.78
g12,1.0,Colorado,Georgia Tech,Georgia Tech,Brent Key,Full game role,Favorite,6-8-0,42.86,14.0,9-5-0,64.29,14.0,-0.68,5.89
g12,1.0,Colorado,Georgia Tech,Georgia Tech,Brent Key,Full game role,Underdog,7-3-1,70.0,11.0,6-5-0,54.55,11.0,1.68,0.18
g13,1.0,West Georgia,Kennesaw State,West Georgia,,Full game role,Favorite,,,,,,,,
