game_id,week,date,away_team,home_team,away_rp_found,home_rp_found,spread_like_field_count,spread_like_fields,away_overall,away_offense,away_defense,home_overall,home_offense,home_defense,away_off_vs_def,away_def_vs_off,home_off_vs_def,home_def_vs_off,away_candidate_a_rp_only,home_candidate_a_rp_only,away_candidate_b_rp_only,home_candidate_b_rp_only
g38,1.0,2026-09-05,Tulane,Duke,True,True,14,"{""blend_spread_home"": 7.9325, ""market_best_away_spread_home"": -10.5, ""market_best_away_spread_price"": -110.0, ""market_best_home_spread_home"": -9.5, ""market_best_home_spread_price"": -110.0, ""market_spread_hold_away_line"": 10.0, ""market_spread_hold_home_line"": -10.0, ""market_spread_hold_pct"": 2.76, ""market_spread_home"": -9.5, ""market_spread_open_home"": -8.5, ""market_spread_price"": -110.0, ""projected_margin_home"": 7.933, ""projection_spread_home"": 7.9325, ""site_spread_home"": 7.9325}",40.0,,,49.0,,,,,,,False,False,False,False
g39,1.0,2026-09-05,Florida Atlantic,Florida,True,True,14,"{""blend_spread_home"": 26.1075, ""market_best_away_spread_home"": -26.5, ""market_best_away_spread_price"": -110.0, ""market_best_home_spread_home"": -26.5, ""market_best_home_spread_price"": -105.0, ""market_spread_hold_away_line"": 26.5, ""market_spread_hold_home_line"": -26.5, ""market_spread_hold_pct"": 3.6, ""market_spread_home"": -26.5, ""market_spread_open_home"": -25.5, ""market_spread_price"": -105.0, ""projected_margin_home"": 26.108, ""projection_spread_home"": 26.1075, ""site_spread_home"": 26.1075}",64.0,,,66.0,,,,,,,False,False,False,False
g40,1.0,2026-09-05,Tennessee State,Georgia,False,True,9,"{""market_best_away_spread_home"": -50.5, ""market_best_away_spread_price"": -110.0, ""market_best_home_spread_home"": -50.5, ""market_best_home_spread_price"": -110.0, ""market_spread_hold_away_line"": 50.5, ""market_spread_hold_home_line"": -50.5, ""market_spread_hold_pct"": 4.76, ""market_spread_home"": -50.5, ""market_spread_price"": -110.0}",,,,,,,,,,,,,,
g41,1.0,2026-09-05,Charleston So.,Georgia Southern,False,True,0,{},,,,,,,,,,,,,,
g42,1.0,2026-09-05,UNLV,Hawaii,True,True,12,"{""blend_spread_home"": -2.2725, ""market_best_away_spread_home"": 1.5, ""market_best_away_spread_price"": -105.0, ""market_best_home_spread_home"": 2.5, ""market_best_home_spread_price"": -110.0, ""market_spread_hold_pct"": 3.6, ""market_spread_home"": 1.5, ""market_spread_open_home"": 1.5, ""market_spread_price"": -115.0, ""projected_margin_home"": -2.272, ""projection_spread_home"": -2.2725, ""site_spread_home"": -2.2725}",40.0,,,45.0,,,,,,,False,False,False,False
g43,1.0,2026-09-05,Oregon State,Houston,True,True,14,"{""blend_spread_home"": 19.235, ""market_best_away_spread_home"": -19.5, ""market_best_away_spread_price"": -108.0, ""market_best_home_spread_home"": -18.5, ""market_best_home_spread_price"": -110.0, ""market_spread_hold_away_line"": 19.0, ""market_spread_hold_home_line"": -19.0, ""market_spread_hold_pct"": 2.3, ""market_spread_home"": -18.5, ""market_spread_open_home"": -18.5, ""market_spread_price"": -110.0, ""projected_margin_home"": 19.235, ""projection_spread_home"": 19.235, ""site_spread_home"": 19.235}",47.0,,,65.0,,,,,,,False,False,False,False
g44,1.0,2026-09-05,UAB,Illinois,True,True,12,"{""blend_spread_home"": 27.395, ""market_best_away_spread_home"": -27.5, ""market_best_away_spread_price"": -105.0, ""market_best_home_spread_home"": -27.5, ""market_best_home_spread_price"": -108.0, ""market_spread_hold_pct"": 3.14, ""market_spread_home"": -27.5, ""market_spread_open_home"": -27.5, ""market_spread_price"": -108.0, ""projected_margin_home"": 27.395, ""projection_spread_home"": 27.395, ""site_spread_home"": 27.395}",35.0,,,50.0,,,,,,,False,False,False,False
g45,1.0,2026-09-05,North Texas,Indiana,True,True,14,"{""blend_spread_home"": 33.8875, ""market_best_away_spread_home"": -40.5, ""market_best_away_spread_price"": -108.0, ""market_best_home_spread_home"": -39.5, ""market_best_home_spread_price"": -110.0, ""market_spread_hold_away_line"": 40.0, ""market_spread_hold_home_line"": -40.0, ""market_spread_hold_pct"": 2.3, ""market_spread_home"": -39.5, ""market_spread_open_home"": -40.5, ""market_spread_price"": -110.0, ""projected_margin_home"": 33.888, ""projection_spread_home"": 33.8875, ""site_spread_home"": 33.8875}",32.0,,,56.0,,,,,,,False,False,False,False
g46,1.0,2026-09-05,Northern Illinois,Iowa,True,True,14,"{""blend_spread_home"": 34.0475, ""market_best_away_spread_home"": -30.5, ""market_best_away_spread_price"": -109.0, ""market_best_home_spread_home"": -30.5, ""market_best_home_spread_price"": -110.0, ""market_spread_hold_away_line"": 30.5, ""market_spread_hold_home_line"": -30.5, ""market_spread_hold_pct"": 4.53, ""market_spread_home"": -30.5, ""market_spread_open_home"": -29.5, ""market_spread_price"": -110.0, ""projected_margin_home"": 34.047, ""projection_spread_home"": 34.0475, ""site_spread_home"": 34.0475}",48.0,,,44.0,,,,,,,False,False,False,False
g47,1.0,2026-09-05,Southeast Missouri,Iowa State,False,True,0,{},,,,,,,,,,,,,,
