market,snapshot_prev,snapshot_latest,season,conference,team,book,field,previous,latest,change,implied_prob_change_pct,summary
Win Total,2026-05-03,2026-05-04,2026,,Iowa,DraftKings,Under Odds,-120,-115,5.0,-1.06,Iowa DraftKings under -120 → -115
Win Total,2026-05-03,2026-05-04,2026,,Iowa,FanDuel,Over Odds,-122,-138,-16.0,3.03,Iowa FanDuel over -122 → -138
Win Total,2026-05-03,2026-05-04,2026,,Iowa,FanDuel,Under Odds,+100,+112,12.0,-2.83,Iowa FanDuel under +100 → +112
Win Total,2026-05-03,2026-05-04,2026,,Iowa State,DraftKings,Over Odds,+105,+115,10.0,-2.27,Iowa State DraftKings over +105 → +115
Win Total,2026-05-03,2026-05-04,2026,,Iowa State,DraftKings,Under Odds,-125,-135,-10.0,1.89,Iowa State DraftKings under -125 → -135
Win Total,2026-05-03,2026-05-04,2026,,Iowa State,FanDuel,Over Odds,+108,+110,2.0,-0.46,Iowa State FanDuel over +108 → +110
Win Total,2026-05-03,2026-05-04,2026,,Iowa State,FanDuel,Under Odds,-132,-134,-2.0,0.37,Iowa State FanDuel under -132 → -134
Win Total,2026-05-03,2026-05-04,2026,,Michigan,BetMGM,Over Odds,+115,+120,5.0,-1.06,Michigan BetMGM over +115 → +120
Win Total,2026-05-03,2026-05-04,2026,,Michigan,BetMGM,Under Odds,-150,-155,-5.0,0.78,Michigan BetMGM under -150 → -155
Win Total,2026-05-03,2026-05-04,2026,,Minnesota,BetMGM,Over Odds,-155,-175,-20.0,2.85,Minnesota BetMGM over -155 → -175
Win Total,2026-05-03,2026-05-04,2026,,Minnesota,BetMGM,Under Odds,+120,+135,15.0,-2.9,Minnesota BetMGM under +120 → +135
Win Total,2026-05-03,2026-05-04,2026,,Minnesota,DraftKings,Over Odds,-135,-150,-15.0,2.55,Minnesota DraftKings over -135 → -150
Win Total,2026-05-03,2026-05-04,2026,,Minnesota,DraftKings,Under Odds,+115,+125,10.0,-2.07,Minnesota DraftKings under +115 → +125
Win Total,2026-05-03,2026-05-04,2026,,Minnesota,FanDuel,Over Odds,-164,+134,298.0,-19.39,Minnesota FanDuel over -164 → +134
Win Total,2026-05-03,2026-05-04,2026,,Minnesota,FanDuel,Under Odds,+134,-164,-298.0,19.39,Minnesota FanDuel under +134 → -164
Win Total,2026-05-03,2026-05-04,2026,,Minnesota,FanDuel,Win Total,5.5,6.5,1.0,,Minnesota FanDuel win total 5.5 → 6.5
Win Total,2026-05-03,2026-05-04,2026,,Nebraska,FanDuel,Over Odds,+122,+124,2.0,-0.4,Nebraska FanDuel over +122 → +124
Win Total,2026-05-03,2026-05-04,2026,,Nebraska,FanDuel,Under Odds,-150,-152,-2.0,0.32,Nebraska FanDuel under -150 → -152
Win Total,2026-05-03,2026-05-04,2026,,Ohio State,FanDuel,Over Odds,-158,-154,4.0,-0.61,Ohio State FanDuel over -158 → -154
Win Total,2026-05-03,2026-05-04,2026,,Ohio State,FanDuel,Under Odds,+128,+126,-2.0,0.39,Ohio State FanDuel under +128 → +126
Win Total,2026-05-03,2026-05-04,2026,,Ole Miss,DraftKings,Over Odds,-130,-140,-10.0,1.81,Ole Miss DraftKings over -130 → -140
Win Total,2026-05-03,2026-05-04,2026,,Ole Miss,DraftKings,Under Odds,+110,+120,10.0,-2.16,Ole Miss DraftKings under +110 → +120
Win Total,2026-05-03,2026-05-04,2026,,Penn State,BetMGM,Over Odds,+145,+150,5.0,-0.82,Penn State BetMGM over +145 → +150
Win Total,2026-05-03,2026-05-04,2026,,Penn State,BetMGM,Under Odds,-190,-200,-10.0,1.15,Penn State BetMGM under -190 → -200
Win Total,2026-05-03,2026-05-04,2026,,Rutgers,DraftKings,Over Odds,+120,+125,5.0,-1.01,Rutgers DraftKings over +120 → +125
Win Total,2026-05-03,2026-05-04,2026,,Rutgers,DraftKings,Under Odds,-140,-160,-20.0,3.21,Rutgers DraftKings under -140 → -160
Win Total,2026-05-03,2026-05-04,2026,,Syracuse,BetMGM,Over Odds,-110,-115,-5.0,1.11,Syracuse BetMGM over -110 → -115
Win Total,2026-05-03,2026-05-04,2026,,Syracuse,BetMGM,Under Odds,-115,-110,5.0,-1.11,Syracuse BetMGM under -115 → -110
Win Total,2026-05-03,2026-05-04,2026,,Syracuse,DraftKings,Over Odds,+120,+115,-5.0,1.06,Syracuse DraftKings over +120 → +115
Win Total,2026-05-03,2026-05-04,2026,,Syracuse,DraftKings,Under Odds,-140,-135,5.0,-0.89,Syracuse DraftKings under -140 → -135
Win Total,2026-05-03,2026-05-04,2026,,UCLA,FanDuel,Under Odds,-130,-128,2.0,-0.38,UCLA FanDuel under -130 → -128
Win Total,2026-05-03,2026-05-04,2026,,Washington,FanDuel,Under Odds,+124,+122,-2.0,0.4,Washington FanDuel under +124 → +122
Win Total,2026-05-03,2026-05-04,2026,,Wisconsin,DraftKings,Over Odds,+110,+100,-10.0,2.38,Wisconsin DraftKings over +110 → +100
Win Total,2026-05-03,2026-05-04,2026,,Wisconsin,DraftKings,Under Odds,-130,-120,10.0,-1.98,Wisconsin DraftKings under -130 → -120
