model_id,develop_seasons,test_season,checkpoint,edge_threshold,dev_n,dev_mae,dev_rmse,dev_bias,test_n,test_mae,test_rmse,test_bias,test_bet_n,test_bet_record,test_bet_win_pct,test_bet_roi,test_bet_avg_clv,test_bet_median_clv,test_bet_positive_clv_pct,test_bet_beat_close_pct,test_bet_won_line_move_pct
spread_4src_20_25_15_40_v1,2021-2023,2024,SUN_9AM_ET,2,2069,12.42116674722088,15.520106586949572,0.4467438376027067,714,12.430159663865549,15.724929752106476,-0.5984677871148457,221,133-88-0,0.6018099547511312,0.1463588491731557,1.1561085972850678,1.0,0.6561085972850679,0.6561085972850679,0.7671957671957672
spread_4src_20_25_15_40_v1,2021-2023,2024,SUN_9AM_ET,3,2069,12.42116674722088,15.520106586949572,0.4467438376027067,714,12.430159663865549,15.724929752106476,-0.5984677871148457,124,79-45-0,0.6370967741935484,0.21467140886401148,1.2338709677419355,1.0,0.6612903225806451,0.6612903225806451,0.7884615384615384
spread_4src_20_25_15_40_v1,2021-2023,2024,SUN_9AM_ET,4,2069,12.42116674722088,15.520106586949572,0.4467438376027067,714,12.430159663865549,15.724929752106476,-0.5984677871148457,61,41-20-0,0.6721311475409836,0.28467758992308817,1.2131147540983607,1.0,0.6065573770491803,0.6065573770491803,0.74
spread_4src_20_25_15_40_v1,2021-2023,2024,SUN_9AM_ET,5,2069,12.42116674722088,15.520106586949572,0.4467438376027067,714,12.430159663865549,15.724929752106476,-0.5984677871148457,35,21-14-0,0.6,0.14462243096955393,0.8428571428571429,1.0,0.5714285714285714,0.5714285714285714,0.7407407407407407
spread_4src_20_25_15_40_v1,2021-2024,2025,SUN_9AM_ET,2,2783,12.423473948975925,15.572912459079024,0.1785867768595043,683,11.928622254758418,15.206464456296702,-1.0781566617862373,209,114-94-1,0.5480769230769231,0.045269926962678196,1.3732057416267942,1.0,0.6794258373205742,0.6794258373205742,0.8068181818181818
spread_4src_20_25_15_40_v1,2021-2024,2025,SUN_9AM_ET,3,2783,12.423473948975925,15.572912459079024,0.1785867768595043,683,11.928622254758418,15.206464456296702,-1.0781566617862373,110,63-46-1,0.5779816513761468,0.09989293731605454,1.6181818181818182,1.0,0.7090909090909091,0.7090909090909091,0.8297872340425532
spread_4src_20_25_15_40_v1,2021-2024,2025,SUN_9AM_ET,4,2783,12.423473948975925,15.572912459079024,0.1785867768595043,683,11.928622254758418,15.206464456296702,-1.0781566617862373,56,32-24-0,0.5714285714285714,0.0863306662456403,1.7053571428571428,1.25,0.7321428571428571,0.7321428571428571,0.8367346938775511
spread_4src_20_25_15_40_v1,2021-2024,2025,SUN_9AM_ET,5,2783,12.423473948975925,15.572912459079024,0.1785867768595043,683,11.928622254758418,15.206464456296702,-1.0781566617862373,31,17-14-0,0.5483870967741935,0.043584672506204944,1.9193548387096775,1.0,0.7096774193548387,0.7096774193548387,0.88
spread_4src_20_25_20_35_v1,2021-2023,2024,SUN_9AM_ET,2,2069,12.417574915418077,15.514950194025078,0.4394632672788786,714,12.421883053221288,15.70925407053852,-0.5656659663865544,224,132-92-0,0.5892857142857143,0.12244588063345094,1.1629464285714286,1.0,0.6473214285714286,0.6473214285714286,0.7671957671957672
spread_4src_20_25_20_35_v1,2021-2023,2024,SUN_9AM_ET,3,2069,12.417574915418077,15.514950194025078,0.4394632672788786,714,12.421883053221288,15.70925407053852,-0.5656659663865544,127,79-48-0,0.6220472440944882,0.18498542457368303,1.1929133858267718,1.0,0.6456692913385826,0.6456692913385826,0.7735849056603774
spread_4src_20_25_20_35_v1,2021-2023,2024,SUN_9AM_ET,4,2069,12.417574915418077,15.514950194025078,0.4394632672788786,714,12.421883053221288,15.70925407053852,-0.5656659663865544,61,42-19-0,0.6885245901639344,0.314508280597638,1.4098360655737705,1.0,0.639344262295082,0.639344262295082,0.7647058823529411
spread_4src_20_25_20_35_v1,2021-2023,2024,SUN_9AM_ET,5,2069,12.417574915418077,15.514950194025078,0.4394632672788786,714,12.421883053221288,15.70925407053852,-0.5656659663865544,35,21-14-0,0.6,0.14462243096955393,0.8857142857142857,1.0,0.5714285714285714,0.5714285714285714,0.7407407407407407
spread_4src_20_25_20_35_v1,2021-2024,2025,SUN_9AM_ET,2,2783,12.418680201221703,15.565031666963229,0.18158965145526412,683,11.924955344070279,15.198442433164548,-1.0189758418740849,216,118-97-1,0.5488372093023256,0.04686930971090698,1.412037037037037,1.0,0.6805555555555556,0.6805555555555556,0.8076923076923077
spread_4src_20_25_20_35_v1,2021-2024,2025,SUN_9AM_ET,3,2783,12.418680201221703,15.565031666963229,0.18158965145526412,683,11.924955344070279,15.198442433164548,-1.0189758418740849,111,64-46-1,0.5818181818181818,0.10767911257112592,1.6576576576576576,1.0,0.7117117117117117,0.7117117117117117,0.8404255319148937
spread_4src_20_25_20_35_v1,2021-2024,2025,SUN_9AM_ET,4,2783,12.418680201221703,15.565031666963229,0.18158965145526412,683,11.924955344070279,15.198442433164548,-1.0189758418740849,54,30-23-1,0.5660377358490566,0.07437658317729702,1.7592592592592593,1.25,0.7407407407407407,0.7407407407407407,0.851063829787234
spread_4src_20_25_20_35_v1,2021-2024,2025,SUN_9AM_ET,5,2783,12.418680201221703,15.565031666963229,0.18158965145526412,683,11.924955344070279,15.198442433164548,-1.0189758418740849,30,15-15-0,0.5,-0.04890189901631549,2.033333333333333,1.75,0.7333333333333333,0.7333333333333333,0.9166666666666666
spread_4src_20_25_25_30_v1,2021-2023,2024,SUN_9AM_ET,2,2069,12.417158530691156,15.513561036255224,0.4321826969550508,714,12.413942577030813,15.69722888642722,-0.5328641456582633,240,143-97-0,0.5958333333333333,0.13451375115257302,1.06875,1.0,0.6333333333333333,0.6333333333333333,0.7450980392156863
spread_4src_20_25_25_30_v1,2021-2023,2024,SUN_9AM_ET,3,2069,12.417158530691156,15.513561036255224,0.4321826969550508,714,12.413942577030813,15.69722888642722,-0.5328641456582633,129,80-49-0,0.6201550387596899,0.18115644775612327,1.2248062015503876,1.0,0.6511627906976745,0.6511627906976745,0.7777777777777778
spread_4src_20_25_25_30_v1,2021-2023,2024,SUN_9AM_ET,4,2069,12.417158530691156,15.513561036255224,0.4321826969550508,714,12.413942577030813,15.69722888642722,-0.5328641456582633,63,43-20-0,0.6825396825396826,0.3028232104652867,1.4285714285714286,1.0,0.6507936507936508,0.6507936507936508,0.7884615384615384
spread_4src_20_25_25_30_v1,2021-2023,2024,SUN_9AM_ET,5,2069,12.417158530691156,15.513561036255224,0.4321826969550508,714,12.413942577030813,15.69722888642722,-0.5328641456582633,34,22-12-0,0.6470588235294118,0.23316429263927207,1.4411764705882353,1.0,0.5882352941176471,0.5882352941176471,0.7142857142857143
spread_4src_20_25_25_30_v1,2021-2024,2025,SUN_9AM_ET,2,2783,12.416333453108157,15.560889178209866,0.18459252605102408,683,11.923301610541728,15.193791249485525,-0.9597950219619326,218,122-95-1,0.5622119815668203,0.07209561692949312,1.4105504587155964,1.0,0.6788990825688074,0.6788990825688074,0.8043478260869565
spread_4src_20_25_25_30_v1,2021-2024,2025,SUN_9AM_ET,3,2783,12.416333453108157,15.560889178209866,0.18459252605102408,683,11.923301610541728,15.193791249485525,-0.9597950219619326,118,70-47-1,0.5982905982905983,0.13873743055368337,1.6652542372881356,1.0,0.7033898305084746,0.7033898305084746,0.83
spread_4src_20_25_25_30_v1,2021-2024,2025,SUN_9AM_ET,4,2783,12.416333453108157,15.560889178209866,0.18459252605102408,683,11.923301610541728,15.193791249485525,-0.9597950219619326,54,29-24-1,0.5471698113207547,0.03822138035542754,1.8148148148148149,1.5,0.7407407407407407,0.7407407407407407,0.851063829787234
spread_4src_20_25_25_30_v1,2021-2024,2025,SUN_9AM_ET,5,2783,12.416333453108157,15.560889178209866,0.18459252605102408,683,11.923301610541728,15.193791249485525,-0.9597950219619326,26,13-13-0,0.5,-0.05109726276774334,2.269230769230769,2.0,0.7692307692307693,0.7692307692307693,0.9090909090909091
