model_id,checkpoint,threshold,sample_classification,n,record,wins,losses,pushes,win_pct,roi,avg_clv,median_clv,positive_clv_pct,beat_close_pct,won_line_move_pct,clv_implied_ev,mae,rmse,bias,avg_edge,median_edge
spread_4src_25_25_25_25_v1,MON_9AM_ET,4.0,RETROSPECTIVE_TIMING_UNVERIFIED,474,256-211-7,256,211,7,0.5481798715203426,0.04988861962473253,0.9029535864978903,0.5,0.5780590717299579,0.5780590717299579,0.6972010178117048,,12.467768987341772,15.831871077409293,-0.4649208860759492,5.380036919831223,4.90125
spread_4src_25_25_25_25_v1,MON_9AM_ET,4.5,RETROSPECTIVE_TIMING_UNVERIFIED,321,170-148-3,170,148,3,0.5345911949685535,0.025169989698455894,0.9345794392523364,0.5,0.5514018691588785,0.5514018691588785,0.6730038022813688,,13.245903426791276,16.54490808695893,-1.0401557632398752,5.917009345794393,5.3975
spread_4src_25_25_25_25_v1,MON_9AM_ET,5.0,RETROSPECTIVE_TIMING_UNVERIFIED,224,122-100-2,122,100,2,0.5495495495495496,0.052103544661416035,1.0558035714285714,0.5,0.5669642857142857,0.5669642857142857,0.6684210526315789,,13.319888392857141,16.986817944299275,-1.83171875,6.428638392857143,5.862500000000001
spread_4src_25_25_25_25_v1,MON_9AM_ET,6.0,RETROSPECTIVE_TIMING_UNVERIFIED,99,53-46-0,53,46,0,0.5353535353535354,0.024842557524124002,1.3434343434343434,0.5,0.5656565656565656,0.5656565656565656,0.6363636363636364,,12.92909090909091,16.953158573140893,-2.77060606060606,7.684848484848485,6.9675
spread_4src_25_25_25_25_v1,MON_9AM_ET,7.0,RETROSPECTIVE_TIMING_UNVERIFIED,47,22-25-0,22,25,0,0.46808510638297873,-0.10577542288505873,2.4574468085106385,1.5,0.7021276595744681,0.7021276595744681,0.7857142857142857,,15.161702127659575,20.10213447304391,-2.7460638297872335,9.015425531914893,7.6975
spread_4src_25_25_25_25_v1,MON_9AM_ET,8.0,RETROSPECTIVE_TIMING_UNVERIFIED,16,9-7-0,9,7,0,0.5625,0.075551292982171,4.125,1.5,0.75,0.75,0.8,,15.63578125,20.20352895961186,0.007656249999999698,11.99828125,9.4725
spread_4src_25_25_25_25_v1,MON_9AM_ET,9.0,RETROSPECTIVE_TIMING_UNVERIFIED,9,6-3-0,6,3,0,0.6666666666666666,0.2850550604877325,6.333333333333333,1.5,0.7777777777777778,0.7777777777777778,0.7777777777777778,,17.709999999999997,22.91540917762059,3.9405555555555543,14.84,10.3725
spread_4src_25_25_25_25_v1,MON_9AM_ET,10.0,RETROSPECTIVE_TIMING_UNVERIFIED,6,5-1-0,5,1,0,0.8333333333333334,0.5991036263303043,8.75,2.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,,14.875833333333338,22.202291782981927,1.6625000000000003,17.44666666666667,16.1625
spread_4src_25_25_25_25_v1,SAT_11PM_ET,0.5,ESTABLISHED_EXISTING_STUDY,378,197-177-4,197,177,4,0.5267379679144385,0.004426336052506458,0.8849206349206349,0.5,0.5846560846560847,0.5846560846560847,0.7106109324758842,,11.61598544973545,14.609501046127445,-0.7477579365079365,2.6043055555555554,2.2162499999999996
spread_4src_25_25_25_25_v1,SAT_11PM_ET,1.0,ESTABLISHED_EXISTING_STUDY,322,171-147-4,171,147,4,0.5377358490566038,0.024980930075391906,1.0341614906832297,1.0,0.6118012422360248,0.6118012422360248,0.7406015037593985,,11.648641304347827,14.557826782619856,-0.9785791925465839,2.9223835403726706,2.6275000000000004
