model_id,threshold,week_scope,n,record,wins,losses,pushes,win_pct,roi,avg_clv,median_clv,positive_clv_pct,beat_close_pct,won_line_move_pct,clv_implied_ev,mae,rmse,bias,avg_edge,median_edge
total_sp50_massey50_v1,3.0,W5+,1556,814-739-3,814,739,3,0.524146812620734,0.0006426735218509066,0.3602185089974293,0.0,0.390745501285347,0.390745501285347,0.5863066538090647,,12.945228149100258,16.139954990392702,1.0480237789203084,4.936648457583547,4.399999999999999
total_sp50_massey50_v1,3.5,W0-2,245,135-107-3,135,107,3,0.5578512396694215,0.0641929499072356,0.4326530612244898,0.0,0.40408163265306124,0.40408163265306124,0.6305732484076433,,12.85204081632653,16.450402575559032,0.7289795918367348,5.525102040816327,4.950000000000003
total_sp50_massey50_v1,3.5,W0-4,531,297-226-8,297,226,8,0.5678776290630975,0.08286252354048965,0.2966101694915254,0.0,0.3728813559322034,0.3728813559322034,0.5755813953488372,,12.902306967984934,16.43299479802799,0.1524952919020715,5.517655367231638,5.0
total_sp50_massey50_v1,3.5,W5+,1339,697-640-2,697,640,2,0.5213163799551234,-0.004752529024373676,0.359596713965646,0.0,0.3816280806572069,0.3816280806572069,0.5893886966551326,,12.960026138909633,16.204324026577815,1.1106609410007469,5.343483943241225,4.799999999999997
total_sp50_massey50_v1,4.0,W0-2,211,122-88-1,122,88,1,0.580952380952381,0.10857389056441188,0.471563981042654,0.0,0.41706161137440756,0.41706161137440756,0.6518518518518519,,12.971208530805688,16.56717485218703,1.0991706161137442,5.91978672985782,5.200000000000003
total_sp50_massey50_v1,4.0,W0-4,465,267-194-4,267,194,4,0.579175704989154,0.10478983382209188,0.34623655913978496,0.0,0.3870967741935484,0.3870967741935484,0.5980066445182725,,12.963655913978496,16.538771163931834,0.02516129032258056,5.903763440860215,5.399999999999999
total_sp50_massey50_v1,4.0,W5+,1137,590-545-2,590,545,2,0.5198237885462555,-0.007595746382026062,0.3834652594547054,0.0,0.376429199648197,0.376429199648197,0.6036671368124118,,13.146723834652596,16.378889847963293,1.345932277924362,5.760839929639403,5.25
total_sp50_massey50_v1,4.5,W0-2,181,105-75-1,105,75,1,0.5833333333333334,0.11300853842290305,0.5359116022099447,0.0,0.430939226519337,0.430939226519337,0.6724137931034483,,12.808839779005522,16.284249075588384,1.0411602209944755,6.32707182320442,5.774999999999999
total_sp50_massey50_v1,4.5,W0-4,402,230-168-4,230,168,4,0.5778894472361809,0.10221619176843058,0.4141791044776119,0.0,0.39303482587064675,0.39303482587064675,0.6124031007751938,,12.879912935323384,16.43244826653467,-0.2157338308457712,6.302798507462686,5.799999999999997
total_sp50_massey50_v1,4.5,W5+,941,484-456-1,484,456,1,0.5148936170212766,-0.01700318809776833,0.4303931987247609,0.0,0.3698193411264612,0.3698193411264612,0.6105263157894737,,13.340063761955367,16.69924865631508,1.4437832093517533,6.218225292242296,5.75
total_sp50_massey50_v1,5.0,W0-2,143,85-57-1,85,57,1,0.5985915492957746,0.1417673235855054,0.5524475524475524,0.0,0.45454545454545453,0.45454545454545453,0.6701030927835051,,12.607517482517483,16.01375515052541,1.066258741258741,6.854020979020979,6.375
