model_id,develop_seasons,test_season,checkpoint,edge_threshold,test_n,test_mae,test_rmse,test_bias,test_bet_n,test_bet_record,test_bet_win_pct,test_bet_roi,test_bet_avg_clv,test_bet_median_clv,test_bet_positive_clv_pct,test_bet_beat_close_pct,test_bet_won_line_move_pct
total_sp45_massey55_v1,2021-2024,2025,SUN_9AM_ET,2,762,12.677384453781514,15.61127842905333,1.3828116246498627,262,131-131-0,0.5,-0.04545454545454545,0.48091603053435117,0.0,0.44274809160305345,0.44274809160305345,0.5829145728643216
total_sp45_massey55_v1,2021-2024,2025,SUN_9AM_ET,3,762,12.677384453781514,15.61127842905333,1.3828116246498627,173,86-87-0,0.49710982658959535,-0.050972149238045196,0.7138728323699421,0.0,0.4682080924855491,0.4682080924855491,0.6183206106870229
total_sp45_massey55_v1,2021-2024,2025,SUN_9AM_ET,4,762,12.677384453781514,15.61127842905333,1.3828116246498627,101,54-47-0,0.5346534653465347,0.020702070207020702,0.8267326732673267,0.5,0.504950495049505,0.504950495049505,0.6623376623376623
total_sp45_massey55_v1,2021-2024,2025,SUN_9AM_ET,5,762,12.677384453781514,15.61127842905333,1.3828116246498627,57,30-27-0,0.5263157894736842,0.0047846889952153065,0.868421052631579,1.0,0.5263157894736842,0.5263157894736842,0.6976744186046512
total_sp50_massey50_v1,2021-2023,2024,SUN_9AM_ET,2,749,12.849719101123595,16.309623169631887,0.12998595505617963,280,151-129-0,0.5392857142857143,0.029545454545454555,0.39464285714285713,0.0,0.4392857142857143,0.4392857142857143,0.5211864406779662
total_sp50_massey50_v1,2021-2023,2024,SUN_9AM_ET,3,749,12.849719101123595,16.309623169631887,0.12998595505617963,191,107-84-0,0.5602094240837696,0.0694907187053784,0.3586387434554974,0.0,0.41361256544502617,0.41361256544502617,0.48466257668711654
total_sp50_massey50_v1,2021-2023,2024,SUN_9AM_ET,4,749,12.849719101123595,16.309623169631887,0.12998595505617963,119,66-53-0,0.5546218487394958,0.058823529411764684,0.3487394957983193,0.0,0.42016806722689076,0.42016806722689076,0.4807692307692308
total_sp50_massey50_v1,2021-2023,2024,SUN_9AM_ET,5,749,12.849719101123595,16.309623169631887,0.12998595505617963,68,44-24-0,0.6470588235294118,0.23529411764705876,0.36764705882352944,0.0,0.4264705882352941,0.4264705882352941,0.4915254237288136
total_sp50_massey50_v1,2021-2024,2025,SUN_9AM_ET,2,762,12.675735294117647,15.613427955705664,1.3592086834733894,259,130-129-0,0.5019305019305019,-0.04176904176904176,0.5096525096525096,0.0,0.44015444015444016,0.44015444015444016,0.5757575757575758
total_sp50_massey50_v1,2021-2024,2025,SUN_9AM_ET,3,762,12.675735294117647,15.613427955705664,1.3592086834733894,172,85-87-0,0.4941860465116279,-0.05655391120507397,0.6366279069767442,0.0,0.45348837209302323,0.45348837209302323,0.6
total_sp50_massey50_v1,2021-2024,2025,SUN_9AM_ET,4,762,12.675735294117647,15.613427955705664,1.3592086834733894,99,52-47-0,0.5252525252525253,0.002754820936639116,0.8838383838383839,1.0,0.5252525252525253,0.5252525252525253,0.6842105263157895
total_sp50_massey50_v1,2021-2024,2025,SUN_9AM_ET,5,762,12.675735294117647,15.613427955705664,1.3592086834733894,56,31-25-0,0.5535714285714286,0.05681818181818182,0.9732142857142857,1.0,0.5535714285714286,0.5535714285714286,0.7209302325581395
total_sp55_massey45_v1,2021-2023,2024,SUN_9AM_ET,2,749,12.86754915730337,16.31978194745567,0.1365238764044943,283,150-133-0,0.5300353356890459,0.01188564086090587,0.3621908127208481,0.0,0.43462897526501765,0.43462897526501765,0.5168067226890757
total_sp55_massey45_v1,2021-2023,2024,SUN_9AM_ET,3,749,12.86754915730337,16.31978194745567,0.1365238764044943,193,107-86-0,0.5544041450777202,0.05840791333019311,0.3911917098445596,0.0,0.41450777202072536,0.41450777202072536,0.4878048780487805
total_sp55_massey45_v1,2021-2023,2024,SUN_9AM_ET,4,749,12.86754915730337,16.31978194745567,0.1365238764044943,123,68-55-0,0.5528455284552846,0.055432372505543226,0.3130081300813008,0.0,0.4065040650406504,0.4065040650406504,0.4716981132075472
total_sp55_massey45_v1,2021-2023,2024,SUN_9AM_ET,5,749,12.86754915730337,16.31978194745567,0.1365238764044943,68,44-24-0,0.6470588235294118,0.2352941176470588,0.5588235294117647,0.0,0.45588235294117646,0.45588235294117646,0.5166666666666667
total_sp55_massey45_v1,2021-2024,2025,SUN_9AM_ET,2,762,12.674261204481793,15.616817897197999,1.3356057422969188,258,130-128-0,0.5038759689922481,-0.03805496828752642,0.5930232558139535,0.0,0.4573643410852713,0.4573643410852713,0.5989847715736041
total_sp55_massey45_v1,2021-2024,2025,SUN_9AM_ET,3,762,12.674261204481793,15.616817897197999,1.3356057422969188,163,81-82-0,0.49693251533742333,-0.05131065253764639,0.6901840490797546,0.0,0.4662576687116564,0.4662576687116564,0.6178861788617886
total_sp55_massey45_v1,2021-2024,2025,SUN_9AM_ET,4,762,12.674261204481793,15.616817897197999,1.3356057422969188,97,49-48-0,0.5051546391752577,-0.03561387066541706,0.9226804123711341,1.0,0.5360824742268041,0.5360824742268041,0.6933333333333334
total_sp55_massey45_v1,2021-2024,2025,SUN_9AM_ET,5,762,12.674261204481793,15.616817897197999,1.3356057422969188,54,30-24-0,0.5555555555555556,0.0606060606060606,1.1203703703703705,1.0,0.5555555555555556,0.5555555555555556,0.7317073170731707
total_sp60_massey40_v1,2021-2023,2024,SUN_9AM_ET,2,749,12.88637640449438,16.331997192730924,0.14306179775280917,287,151-136-0,0.5261324041811847,0.004434589800443452,0.3501742160278746,0.0,0.4355400696864111,0.4355400696864111,0.5165289256198347
total_sp60_massey40_v1,2021-2023,2024,SUN_9AM_ET,3,749,12.88637640449438,16.331997192730924,0.14306179775280917,198,109-89-0,0.5505050505050505,0.05096418732782371,0.4318181818181818,0.0,0.41919191919191917,0.41919191919191917,0.49700598802395207
total_sp60_massey40_v1,2021-2023,2024,SUN_9AM_ET,4,749,12.88637640449438,16.331997192730924,0.14306179775280917,124,70-54-0,0.5645161290322581,0.07771260997067446,0.24193548387096775,0.0,0.4032258064516129,0.4032258064516129,0.46296296296296297
total_sp60_massey40_v1,2021-2023,2024,SUN_9AM_ET,5,749,12.88637640449438,16.331997192730924,0.14306179775280917,74,45-29-0,0.6081081081081081,0.1609336609336609,0.3108108108108108,0.0,0.40540540540540543,0.40540540540540543,0.47619047619047616
total_sp60_massey40_v1,2021-2024,2025,SUN_9AM_ET,2,762,12.673515406162464,15.621447445999468,1.312002801120448,257,128-129-0,0.4980544747081712,-0.04916873010258223,0.556420233463035,0.0,0.45525291828793774,0.45525291828793774,0.5909090909090909
total_sp60_massey40_v1,2021-2024,2025,SUN_9AM_ET,3,762,12.673515406162464,15.621447445999468,1.312002801120448,163,83-80-0,0.50920245398773,-0.02788622420524261,0.6226993865030674,0.0,0.4539877300613497,0.4539877300613497,0.5967741935483871
total_sp60_massey40_v1,2021-2024,2025,SUN_9AM_ET,4,762,12.673515406162464,15.621447445999468,1.312002801120448,97,48-49-0,0.4948453608247423,-0.05529522024367385,0.9226804123711341,1.0,0.5257731958762887,0.5257731958762887,0.6986301369863014
total_sp60_massey40_v1,2021-2024,2025,SUN_9AM_ET,5,762,12.673515406162464,15.621447445999468,1.312002801120448,51,30-21-0,0.5882352941176471,0.12299465240641709,1.1470588235294117,1.0,0.5490196078431373,0.5490196078431373,0.7567567567567568
