checkpoint,threshold,cohort,evaluated_model,side_agreement_n,side_disagreement_n,n,record,wins,losses,pushes,win_pct,roi,avg_clv,median_clv,positive_clv_pct,beat_close_pct,won_line_move_pct,clv_implied_ev,mae,rmse,bias,avg_edge,median_edge
MON_3PM_ET,7.0,FIVE_SOURCE_SELECTED,4src,47,0,47,26-21-0,26,21,0,0.5531914893617021,0.06988182018319088,2.095744680851064,1.0,0.6382978723404256,0.6382978723404256,0.75,,12.132393617021274,16.139548661100857,-0.03345744680851058,8.993989361702127,7.6825
MON_3PM_ET,7.0,FIVE_SOURCE_SELECTED,5src,47,0,47,26-21-0,26,21,0,0.5531914893617021,0.0698818201831909,2.095744680851064,1.0,0.6382978723404256,0.6382978723404256,0.75,,12.132393617021274,16.139548661100857,-0.03345744680851058,9.158851063829786,7.988
MON_3PM_ET,7.0,BOTH_QUALIFY,4src,43,0,43,24-19-0,24,19,0,0.5581395348837209,0.0774898743309074,2.3255813953488373,1.0,0.6744186046511628,0.6744186046511628,0.7837837837837838,,12.224302325581395,16.429981201067818,0.26534883720930297,9.287325581395349,7.9275
MON_3PM_ET,7.0,BOTH_QUALIFY,5src,43,0,43,24-19-0,24,19,0,0.5581395348837209,0.07748987433090744,2.3255813953488373,1.0,0.6744186046511628,0.6744186046511628,0.7837837837837838,,12.224302325581395,16.429981201067818,0.26534883720930297,9.325767441860465,8.086
MON_3PM_ET,7.0,UNION,4src,60,0,60,32-28-0,32,28,0,0.5333333333333333,0.030551502799420427,1.8,0.75,0.6333333333333333,0.6333333333333333,0.7169811320754716,,12.791374999999999,16.92090884514875,-1.980791666666667,8.629291666666667,7.501250000000001
MON_3PM_ET,7.0,UNION,5src,60,0,60,32-28-0,32,28,0,0.5333333333333333,0.030551502799420427,1.8,0.75,0.6333333333333333,0.6333333333333333,0.7169811320754716,,12.791374999999999,16.92090884514875,-1.980791666666667,8.5733,7.683
MON_3PM_ET,8.0,FOUR_SOURCE_SELECTED,4src,20,0,20,13-7-0,13,7,0,0.65,0.2578983684655472,4.025,1.0,0.75,0.75,0.8823529411764706,,12.953375,17.37055611336321,0.7921249999999997,11.444875000000001,9.381250000000001
MON_3PM_ET,8.0,FOUR_SOURCE_SELECTED,5src,20,0,20,13-7-0,13,7,0,0.65,0.25789836846554726,4.025,1.0,0.75,0.75,0.8823529411764706,,12.953375,17.37055611336321,0.7921249999999997,11.0402,9.068
MON_3PM_ET,8.0,FIVE_SOURCE_SELECTED,4src,23,0,23,15-8-0,15,8,0,0.6521739130434783,0.2622726090757681,3.260869565217391,1.0,0.6086956521739131,0.6086956521739131,0.7777777777777778,,13.2995652173913,18.101191244128707,1.861521739130435,10.779565217391307,9.3225
MON_3PM_ET,8.0,FIVE_SOURCE_SELECTED,5src,23,0,23,15-8-0,15,8,0,0.6521739130434783,0.26227260907576816,3.260869565217391,1.0,0.6086956521739131,0.6086956521739131,0.7777777777777778,,13.2995652173913,18.101191244128707,1.861521739130435,10.916347826086957,8.998
MON_3PM_ET,8.0,BOTH_QUALIFY,4src,16,0,16,11-5-0,11,5,0,0.6875,0.3321435638104811,4.5,1.0,0.75,0.75,0.8571428571428571,,13.438906249999999,18.367991297277854,1.9635937499999998,12.20765625,9.425
MON_3PM_ET,8.0,BOTH_QUALIFY,5src,16,0,16,11-5-0,11,5,0,0.6875,0.3321435638104812,4.5,1.0,0.75,0.75,0.8571428571428571,,13.438906249999999,18.367991297277854,1.9635937499999998,11.857,9.289
