model_id,threshold,checkpoint,n,record,wins,losses,pushes,win_pct,roi,avg_clv,median_clv,positive_clv_pct,beat_close_pct,won_line_move_pct,clv_implied_ev,mae,rmse,bias,avg_edge,median_edge
spread_4src_25_25_25_25_v1,1.5,SUN_4PM_ET,867,429-422-16,429,422,16,0.5041128084606346,-0.038069069192126354,0.9065743944636678,1.0,0.6170703575547867,0.6170703575547867,0.7086092715231788,,12.647696078431371,15.769324510229943,1.3266291810841984,3.196040945790081,2.745
spread_4src_25_25_25_25_v1,1.5,SUN_9AM_ET,486,257-227-2,257,227,2,0.53099173553719,0.01066280506577551,0.9650205761316872,1.0,0.6090534979423868,0.6090534979423868,0.7254901960784313,,12.214398148148149,15.455378129639664,-0.4050977366255143,3.12184670781893,2.69875
spread_4src_25_25_25_25_v1,1.5,SUN_9PM_ET,242,121-119-2,121,119,2,0.5041666666666667,-0.0387168168967593,0.5020661157024794,0.5,0.5661157024793388,0.5661157024793388,0.6650485436893204,,12.629070247933884,15.643550384957189,0.5667355371900825,2.6240082644628098,2.2437500000000004
spread_4src_25_25_25_25_v1,1.5,THU_2PM_ET,53,27-26-0,27,26,0,0.5094339622641509,-0.027195159316121903,1.1132075471698113,1.0,0.7358490566037735,0.7358490566037735,0.8666666666666667,,12.25867924528302,14.709297574714757,0.15443396226415104,2.2132075471698114,1.93
spread_4src_25_25_25_25_v1,1.5,TUE_2PM_ET,84,41-43-0,41,43,0,0.4880952380952381,-0.06140298798891896,0.3333333333333333,0.0,0.47619047619047616,0.47619047619047616,0.6896551724137931,,11.671547619047619,14.237323110235227,-2.767678571428571,2.030595238095238,1.8725
spread_4src_25_25_25_25_v1,1.5,WED_2PM_ET,52,27-24-1,27,24,1,0.5294117647058824,0.003604549619952798,0.6442307692307693,0.5,0.5961538461538461,0.5961538461538461,0.8378378378378378,,11.004615384615384,14.429790349108703,1.014615384615385,2.1748076923076924,1.88
spread_4src_25_25_25_25_v1,2.0,CLOSE,87,52-35-0,52,35,0,0.5977011494252874,0.1410658307210031,0.0,0.0,0.0,0.0,,,12.681752873563218,15.756109622790849,0.1290517241379312,2.856465517241379,2.67
spread_4src_25_25_25_25_v1,2.0,FRI_2PM_ET,53,31-21-1,31,21,1,0.5961538461538461,0.13199716630938232,0.6415094339622641,0.5,0.5094339622641509,0.5094339622641509,0.6585365853658537,,12.013018867924531,14.996063398533304,-0.6282075471698113,2.876037735849056,2.475
spread_4src_25_25_25_25_v1,2.0,MON_3PM_ET,113,53-57-3,53,57,3,0.4818181818181818,-0.0758295537668199,0.6017699115044248,0.5,0.6106194690265486,0.6106194690265486,0.75,,12.33325221238938,15.15222493628944,0.6080309734513275,2.594181415929204,2.4225
spread_4src_25_25_25_25_v1,2.0,MON_9AM_ET,84,44-40-0,44,40,0,0.5238095238095238,0.0019107888446145218,0.7619047619047619,0.5,0.5952380952380952,0.5952380952380952,0.704225352112676,,11.974464285714285,15.269873165422666,0.3099999999999999,2.7349404761904763,2.36
