case,threshold,role,spread_bucket,season,games,ats_graded,ats_w,ats_l,ats_p,ats_pct,avg_ats_margin,clv_games,avg_clv,median_clv,positive_clv_games,positive_clv_pct,zero_clv_games,negative_clv_games,avg_opening_spread,avg_closing_spread
overall_gap,gap_10+,Favorite,favorite_8_to_14,2024,7.0,7.0,4.0,3.0,0.0,0.5714285714285714,-3.4761904761904767,6.0,-0.16666666666666666,0.0,1.0,0.16666666666666666,3.0,2.0,-11.0,-11.214285714285714
overall_gap,gap_10+,Favorite,favorite_8_to_14,2025,9.0,9.0,5.0,4.0,0.0,0.5555555555555556,0.12037037037037142,9.0,1.5555555555555556,1.0,7.0,0.7777777777777778,0.0,2.0,-10.61111111111111,-12.166666666666666
overall_gap,gap_10+,Underdog,underdog_15_to_21,2023,1.0,1.0,0.0,1.0,0.0,0.0,-3.875,0.0,,,0.0,,0.0,0.0,,21.0
overall_gap,gap_10+,Underdog,underdog_15_to_21,2024,2.0,2.0,0.0,2.0,0.0,0.0,-20.25,1.0,-6.0,-6.0,0.0,0.0,0.0,1.0,9.5,17.0
overall_gap,gap_10+,Underdog,underdog_15_to_21,2025,1.0,1.0,0.0,1.0,0.0,0.0,-19.333333333333332,1.0,-2.0,-2.0,0.0,0.0,0.0,1.0,15.5,17.5
overall_gap,gap_10+,Underdog,underdog_1_to_7,2023,12.0,12.0,9.0,3.0,0.0,0.75,6.5381944444444455,0.0,,,0.0,,0.0,0.0,,4.541666666666667
overall_gap,gap_10+,Underdog,underdog_1_to_7,2024,12.0,12.0,4.0,8.0,0.0,0.3333333333333333,-3.083333333333334,9.0,0.6111111111111112,0.0,4.0,0.4444444444444444,3.0,2.0,5.0,4.5
overall_gap,gap_10+,Underdog,underdog_1_to_7,2025,14.0,14.0,7.0,7.0,0.0,0.5,-2.4583333333333335,13.0,0.11538461538461539,0.0,5.0,0.38461538461538464,3.0,5.0,3.6923076923076925,3.642857142857143
overall_gap,gap_10+,Underdog,underdog_22plus,2023,2.0,2.0,1.0,1.0,0.0,0.5,5.3125,0.0,,,0.0,,0.0,0.0,,36.75
overall_gap,gap_10+,Underdog,underdog_22plus,2024,7.0,7.0,5.0,2.0,0.0,0.7142857142857143,-1.3333333333333337,6.0,0.25,0.25,3.0,0.5,1.0,2.0,25.25,26.785714285714285
overall_gap,gap_10+,Underdog,underdog_22plus,2025,5.0,5.0,3.0,1.0,1.0,0.75,5.633333333333334,5.0,-0.6,0.0,2.0,0.4,1.0,2.0,29.7,30.3
overall_gap,gap_10+,Underdog,underdog_8_to_14,2023,10.0,10.0,7.0,3.0,0.0,0.7,2.046666666666666,0.0,,,0.0,,0.0,0.0,,11.25
overall_gap,gap_10+,Underdog,underdog_8_to_14,2024,2.0,2.0,1.0,1.0,0.0,0.5,2.5,1.0,-1.5,-1.5,0.0,0.0,0.0,1.0,10.5,9.75
overall_gap,gap_10+,Underdog,underdog_8_to_14,2025,8.0,8.0,4.0,4.0,0.0,0.5,-3.802083333333334,8.0,0.75,1.0,6.0,0.75,1.0,1.0,11.125,10.375
overall_gap,gap_10+,Underdog,unknown,2024,1.0,1.0,0.0,1.0,0.0,0.0,-1.6666666666666667,0.0,,,0.0,,0.0,0.0,,1.5
