case,role,matchup_class,spread_bucket,games,ats_w,ats_l,ats_p,ats_pct,avg_ats_margin,clv_games,avg_clv,median_clv,positive_clv_pct,seasons
def_vs_off_gap,Underdog,Unknown vs Unknown,underdog_8_to_14,16.0,8.0,8.0,0.0,0.5,-0.2291666666666664,10.0,0.25,0.5,0.5,3.0
def_vs_off_gap,Underdog,Unknown vs Unknown,unknown,1.0,0.0,1.0,0.0,0.0,-1.6666666666666667,0.0,,,,1.0
off_vs_def_gap,Favorite,Independent FBS vs Unknown,favorite_22plus,1.0,1.0,0.0,0.0,1.0,1.5,1.0,-2.0,-2.0,0.0,1.0
off_vs_def_gap,Favorite,Independent FBS vs Unknown,favorite_8_to_14,1.0,1.0,0.0,0.0,1.0,50.333333333333336,1.0,-3.5,-3.5,0.0,1.0
off_vs_def_gap,Favorite,Unknown vs Independent FBS,favorite_1_to_7,1.0,0.0,1.0,0.0,0.0,-12.666666666666666,0.0,,,,1.0
off_vs_def_gap,Favorite,Unknown vs Independent FBS,favorite_22plus,1.0,1.0,0.0,0.0,1.0,11.833333333333332,0.0,,,,1.0
off_vs_def_gap,Favorite,Unknown vs Unknown,favorite_15_to_21,36.0,19.0,17.0,0.0,0.5277777777777778,-1.086805555555556,26.0,0.28846153846153844,0.25,0.5,3.0
off_vs_def_gap,Favorite,Unknown vs Unknown,favorite_1_to_7,58.0,34.0,23.0,1.0,0.5964912280701754,3.460632183908046,34.0,0.0,0.0,0.38235294117647056,3.0
off_vs_def_gap,Favorite,Unknown vs Unknown,favorite_22plus,50.0,23.0,27.0,0.0,0.46,-0.9963333333333333,26.0,0.2692307692307692,0.0,0.4230769230769231,3.0
off_vs_def_gap,Favorite,Unknown vs Unknown,favorite_8_to_14,34.0,23.0,11.0,0.0,0.6764705882352942,2.325735294117647,17.0,0.058823529411764705,0.0,0.4117647058823529,3.0
off_vs_def_gap,Favorite,Unknown vs Unknown,unknown,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.5,1.5,1.0,1.0
off_vs_def_gap,Underdog,Independent FBS vs Unknown,underdog_22plus,1.0,0.0,1.0,0.0,0.0,-11.833333333333332,0.0,,,,1.0
off_vs_def_gap,Underdog,Unknown vs Independent FBS,underdog_22plus,1.0,1.0,0.0,0.0,1.0,2.333333333333332,1.0,-1.0,-1.0,0.0,1.0
off_vs_def_gap,Underdog,Unknown vs Independent FBS,underdog_8_to_14,1.0,1.0,0.0,0.0,1.0,11.666666666666666,1.0,1.0,1.0,1.0,1.0
off_vs_def_gap,Underdog,Unknown vs Unknown,underdog_15_to_21,8.0,4.0,4.0,0.0,0.5,4.057291666666666,6.0,-0.4166666666666667,0.0,0.3333333333333333,3.0
off_vs_def_gap,Underdog,Unknown vs Unknown,underdog_1_to_7,51.0,26.0,25.0,0.0,0.5098039215686274,-0.46274509803921576,25.0,0.66,0.0,0.44,3.0
off_vs_def_gap,Underdog,Unknown vs Unknown,underdog_22plus,15.0,7.0,7.0,1.0,0.5,-0.8583333333333326,8.0,-0.75,0.0,0.375,3.0
off_vs_def_gap,Underdog,Unknown vs Unknown,underdog_8_to_14,32.0,15.0,17.0,0.0,0.46875,-0.7093749999999996,12.0,0.7916666666666666,0.5,0.5,3.0
off_vs_def_gap,Underdog,Unknown vs Unknown,unknown,2.0,0.0,2.0,0.0,0.0,-7.666666666666666,1.0,0.5,0.5,1.0,2.0
overall_gap,Favorite,Independent FBS vs Unknown,favorite_22plus,1.0,1.0,0.0,0.0,1.0,1.5,1.0,-2.0,-2.0,0.0,1.0
overall_gap,Favorite,Unknown vs Independent FBS,favorite_1_to_7,1.0,0.0,1.0,0.0,0.0,-12.666666666666666,0.0,,,,1.0
overall_gap,Favorite,Unknown vs Unknown,favorite_15_to_21,33.0,17.0,16.0,0.0,0.5151515151515151,-2.1628787878787885,23.0,0.45652173913043476,0.5,0.5217391304347826,3.0
overall_gap,Favorite,Unknown vs Unknown,favorite_1_to_7,46.0,22.0,23.0,1.0,0.4888888888888889,0.39528985507246406,28.0,0.08928571428571429,0.0,0.35714285714285715,3.0
overall_gap,Favorite,Unknown vs Unknown,favorite_22plus,47.0,23.0,24.0,0.0,0.48936170212765956,0.32234042553191455,27.0,0.2777777777777778,0.0,0.4074074074074074,3.0
overall_gap,Favorite,Unknown vs Unknown,favorite_8_to_14,23.0,12.0,11.0,0.0,0.5217391304347826,-1.97463768115942,15.0,0.8666666666666667,0.5,0.5333333333333333,3.0
overall_gap,Underdog,Independent FBS vs Unknown,underdog_15_to_21,1.0,0.0,1.0,0.0,0.0,-23.666666666666668,0.0,,,,1.0
overall_gap,Underdog,Unknown vs Independent FBS,underdog_1_to_7,1.0,1.0,0.0,0.0,1.0,7.833333333333333,1.0,0.0,0.0,0.0,1.0
overall_gap,Underdog,Unknown vs Independent FBS,underdog_22plus,1.0,1.0,0.0,0.0,1.0,2.333333333333332,1.0,-1.0,-1.0,0.0,1.0
overall_gap,Underdog,Unknown vs Independent FBS,underdog_8_to_14,1.0,1.0,0.0,0.0,1.0,11.666666666666666,1.0,1.0,1.0,1.0,1.0
overall_gap,Underdog,Unknown vs Unknown,underdog_15_to_21,3.0,0.0,3.0,0.0,0.0,-13.347222222222223,2.0,-4.0,-4.0,0.0,3.0
overall_gap,Underdog,Unknown vs Unknown,underdog_1_to_7,37.0,19.0,18.0,0.0,0.5135135135135135,-0.021396396396396525,21.0,0.3333333333333333,0.0,0.42857142857142855,3.0
overall_gap,Underdog,Unknown vs Unknown,underdog_22plus,13.0,8.0,4.0,1.0,0.6666666666666666,2.0865384615384617,10.0,-0.05,0.25,0.5,3.0
overall_gap,Underdog,Unknown vs Unknown,underdog_8_to_14,19.0,11.0,8.0,0.0,0.5789473684210527,-0.8745614035087723,8.0,0.4375,1.0,0.625,3.0
overall_gap,Underdog,Unknown vs Unknown,unknown,1.0,0.0,1.0,0.0,0.0,-1.6666666666666667,0.0,,,,1.0
