season,week,date,game_id,team,opponent,side,role,spread,spread_bucket,ats_margin,ats_result,team_overall,team_offense,team_defense,opp_overall,opp_offense,opp_defense,overall_gap,off_vs_def_gap,def_vs_off_gap,team_overall_pct,opp_overall_pct,team_offense_pct,opp_offense_pct,team_defense_pct,opp_defense_pct,case,threshold,game_id_key,market_opening_home_spread,market_closing_home_spread,market_season,market_week,market_home_team,market_home_key,market_away_team,market_away_key,team_key,opponent_key,team_is_home_market,team_is_away_market,market_team_identity_valid,team_opening_spread,team_closing_spread,team_clv,market_joined,team_conference,opponent_conference,team_tier,opponent_tier,matchup_class
2023,3,2023-09-17T00:00:00.000Z,401524008,Oregon,Hawai'i,home,Favorite,-38.25,favorite_22plus,6.75,W,65.0,65.0,65.0,47.0,45.0,49.0,18.0,16.0,20.0,,,,,,,overall_gap,gap_10+,401524008,,-38.5,2023,3,Oregon,oregon,Hawai'i,hawai i,oregon,hawai i,True,False,True,,-38.5,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,3,2023-09-17T02:30:00.000Z,401525837,Kansas,Nevada,away,Favorite,-28.5,favorite_22plus,-21.5,L,85.0,91.0,80.0,53.0,53.0,54.0,32.0,37.0,27.0,,,,,,,overall_gap,gap_10+,401525837,,28.5,2023,3,Nevada,nevada,Kansas,kansas,kansas,nevada,False,True,True,,-28.5,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,4,2023-09-23T02:30:00.000Z,401532583,Boise State,San Diego State,away,Favorite,-5.833333333333333,favorite_1_to_7,-2.833333333333333,L,67.0,78.0,55.0,56.0,71.0,40.0,11.0,38.0,-16.0,,,,,,,overall_gap,gap_10+,401532583,,6.5,2023,4,San Diego State,san diego state,Boise State,boise state,boise state,san diego state,False,True,True,,-6.5,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,4,2023-09-23T16:00:00.000Z,401525845,Oklahoma,Cincinnati,away,Favorite,-13.666666666666666,favorite_8_to_14,0.3333333333333339,W,62.0,62.0,63.0,46.0,42.0,49.0,16.0,13.0,21.0,,,,,,,overall_gap,gap_10+,401525845,,13.0,2023,4,Cincinnati,cincinnati,Oklahoma,oklahoma,oklahoma,cincinnati,False,True,True,,-13.0,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,4,2023-09-23T16:00:00.000Z,401525507,Florida State,Clemson,away,Favorite,-2.0,favorite_1_to_7,5.0,W,87.0,80.0,94.0,69.0,64.0,75.0,18.0,5.0,30.0,,,,,,,overall_gap,gap_10+,401525507,,2.0,2023,4,Clemson,clemson,Florida State,florida state,florida state,clemson,False,True,True,,-2.0,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,4,2023-09-23T17:30:00.000Z,401532406,Toledo,Western Michigan,home,Favorite,-21.5,favorite_15_to_21,-3.5,L,77.0,82.0,72.0,49.0,67.0,31.0,28.0,51.0,5.0,,,,,,,overall_gap,gap_10+,401532406,,-21.5,2023,4,Toledo,toledo,Western Michigan,western michigan,toledo,western michigan,True,False,True,,-21.5,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,4,2023-09-23T19:30:00.000Z,401525506,Boston College,Louisville,away,Underdog,13.833333333333334,underdog_8_to_14,-14.166666666666666,L,78.0,78.0,79.0,56.0,61.0,50.0,22.0,28.0,18.0,,,,,,,overall_gap,gap_10+,401525506,,-14.0,2023,4,Louisville,louisville,Boston College,boston college,boston college,louisville,False,True,True,,14.0,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,4,2023-09-23T19:30:00.000Z,401520250,Ole Miss,Alabama,away,Underdog,7.0,underdog_1_to_7,-7.0,L,71.0,80.0,62.0,40.0,43.0,38.0,31.0,42.0,19.0,,,,,,,overall_gap,gap_10+,401520250,,-7.0,2023,4,Alabama,alabama,Ole Miss,ole miss,ole miss,alabama,False,True,True,,7.0,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,4,2023-09-23T19:30:00.000Z,401525847,Kansas,BYU,home,Favorite,-9.333333333333334,favorite_8_to_14,1.666666666666666,W,85.0,91.0,80.0,63.0,62.0,65.0,22.0,26.0,18.0,,,,,,,overall_gap,gap_10+,401525847,,-9.0,2023,4,Kansas,kansas,BYU,byu,kansas,byu,True,False,True,,-9.0,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,4,2023-09-23T19:30:00.000Z,401524017,Utah,UCLA,home,Favorite,-3.8333333333333335,favorite_1_to_7,3.1666666666666665,W,76.0,83.0,69.0,64.0,54.0,75.0,12.0,8.0,15.0,,,,,,,overall_gap,gap_10+,401524017,,-3.0,2023,4,Utah,utah,UCLA,ucla,utah,ucla,True,False,True,,-3.0,,False,,,Unknown,Unknown,Unknown vs Unknown
