season,week,game_id,rp_team,rp_opponent,conference_matchup_type,overall_rp_edge,overall_rp_band,offense_vs_defense_edge,defense_vs_offense_edge,rp_team_spread,rp_team_ats_result,rp_team_ats_margin,rp_team_clv,source_flipped,rp_team_norm,rp_opponent_norm,team_pair_key,season_year,event_id,starts_at,away_team,home_team,away_team_id,home_team_id,completed,odds_present,odds_available,away_final_points,home_final_points,home_final_margin,final_total_points,away_1h_points,home_1h_points,home_1h_margin,one_h_total_points,away_2h_points_incl_ot,home_2h_points_incl_ot,home_2h_margin_incl_ot,two_h_total_points_incl_ot,home_game_spread,home_game_spread_book,home_game_spread_price,away_game_spread,away_game_spread_book,away_game_spread_price,game_total,game_over_book,game_over_price,game_under_price,home_game_ats_result,game_total_result,home_1h_spread,home_1h_spread_book,home_1h_spread_price,away_1h_spread,away_1h_spread_book,away_1h_spread_price,one_h_total,one_h_over_book,one_h_over_price,one_h_under_price,home_1h_ats_result,one_h_total_result,home_2h_spread,home_2h_spread_book,home_2h_spread_price,away_2h_spread,away_2h_spread_book,away_2h_spread_price,two_h_total,two_h_over_book,two_h_over_price,two_h_under_price,home_2h_ats_result,two_h_total_result,away_norm,home_norm,starts_at_dt,_merge
2025,3,401757168,Delaware,UConn,Other,10.0,5_to_14_9,12.0,8.0,9.5,W,12.5,,False,delaware,uconn,delaware||uconn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,1,401757218,Sam Houston,Western Kentucky,G6_vs_G6,6.0,5_to_14_9,27.0,-16.0,10.5,L,-6.5,,False,sam houston,western kentucky,sam houston||western kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,1,401757224,Sam Houston,UNLV,G6_vs_G6,8.0,5_to_14_9,30.0,-14.0,8.5,L,-8.5,,False,sam houston,unlv,sam houston||unlv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,2,401757227,Liberty,Jacksonville State,G6_vs_G6,38.0,25_plus,42.0,35.0,-6.5,L,-16.5,,True,liberty,jacksonville state,jacksonville state||liberty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,2,401757229,New Mexico State,Tulsa,G6_vs_G6,18.0,15_to_24_9,17.0,19.0,3.5,W,10.5,,False,new mexico state,tulsa,new mexico state||tulsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,2,401757230,Hawaii,Sam Houston,G6_vs_G6,18.0,15_to_24_9,38.0,-2.0,-7.5,W,9.5,,False,hawaii,sam houston,hawaii||sam houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,3,401757256,Liberty,Bowling Green,G6_vs_G6,28.0,25_plus,31.0,27.0,-6.5,L,-16.5,,True,liberty,bowling green,bowling green||liberty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,3,401757258,Middle Tennessee,Nevada,G6_vs_G6,27.0,25_plus,32.0,22.0,9.5,W,10.5,,False,middle tennessee,nevada,middle tennessee||nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,4,401757262,Liberty,James Madison,G6_vs_G6,7.0,5_to_14_9,10.0,5.0,7.5,L,-10.5,,True,liberty,james madison,james madison||liberty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,4,401757264,Middle Tennessee,Marshall,G6_vs_G6,24.0,15_to_24_9,25.0,24.0,2.5,L,-11.5,,True,middle tennessee,marshall,marshall||middle tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,4,401757267,UL Monroe,UTEP,G6_vs_G6,3.0,under_5,10.0,-3.0,5.5,W,11.5,,False,ul monroe,utep,ul monroe||utep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,1,401761592,Louisiana,Rice,G6_vs_G6,2.0,under_5,-9.0,12.0,-9.5,L,-11.5,,False,louisiana,rice,louisiana||rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,4,401761610,Eastern Michigan,Louisiana,G6_vs_G6,6.0,5_to_14_9,2.0,10.0,1.5,W,4.5,,False,eastern michigan,louisiana,eastern michigan||louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
