game_id,week,date,away_team,home_team,projected_margin_home,projected_total,market_spread_home,market_spread_text,market_spread_book,market_spread_price,market_line_source,market_price_status,market_line_note,market_books_count,market_books_available,market_total,market_total_book,market_total_over_price,market_total_under_price,market_total_last_update,has_actual_market_spread,has_actual_market_total,spread_edge_home_if_actual,total_edge_if_actual
g33,1,2026-09-05,UCLA,California,1.6675,53.65,-1.5,California -1.5,fanduel,-110.0,SportsGameOdds,actual,,26.0,"1xbet,ballybet,betfairsportsbook,betmgm,betonline,betparx,betrivers,bovada,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,paddypower,pointsbet,sportsbet,tabtouch,unibet,virginbet",54.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,0.16749999999999998,-0.8500000000000014
g34,1,2026-09-05,The Citadel,Charlotte,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g35,1,2026-09-05,Boston College,Cincinnati,9.44,53.9,-7.5,Cincinnati -7.5,fanduel,100.0,SportsGameOdds,actual,,14.0,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",53.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,1.9399999999999995,0.3999999999999986
g36,1,2026-09-05,Wyoming,Colorado State,1.995,43.4,-3.5,Colorado State -3.5,fanduel,-115.0,SportsGameOdds,actual,,12.0,"1xbet,betmgm,betonline,bovada,caesars,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,sportsbet",47.5,draftkings,-120.0,100.0,2026-07-03T00:13:41.000Z,True,True,-1.505,-4.100000000000001
g37,1,2026-09-05,Lafayette,Connecticut,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g38,1,2026-09-05,Tulane,Duke,7.9325,55.4,-10.5,Duke -10.5,fanduel,-115.0,SportsGameOdds,actual,,14.0,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",53.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,-2.5675,1.8999999999999986
g39,1,2026-09-05,Florida Atlantic,Florida,26.1075,54.1,-26.5,Florida -26.5,fanduel,-105.0,SportsGameOdds,actual,,24.0,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,bovada,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,pointsbet,sportsbet,tabtouch,unibet,virginbet",58.5,betmgm,-110.0,-110.0,2026-07-03T00:15:04.000Z,True,True,-0.3924999999999983,-4.399999999999999
g40,1,2026-09-05,Tennessee State,Georgia,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g41,1,2026-09-05,Charleston So.,Georgia Southern,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g42,1,2026-09-05,UNLV,Hawaii,-2.2725,57.35,2.5,UNLV -2.5,fanduel,-110.0,SportsGameOdds,actual,,11.0,"1xbet,betonline,bovada,caesars,coolbet,draftkings,fanduel,hardrockbet,lowvig,pointsbet,sportsbet",58.5,fanduel,-115.0,-105.0,2026-07-03T00:15:22.288Z,True,True,0.22750000000000004,-1.1499999999999986
g43,1,2026-09-05,Oregon State,Houston,19.235,50.75,-18.5,Houston -18.5,fanduel,-110.0,SportsGameOdds,actual,,14.0,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",50.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,0.7349999999999994,0.25
g44,1,2026-09-05,UAB,Illinois,27.395,56.2,-27.5,Illinois -27.5,fanduel,-115.0,SportsGameOdds,actual,,14.0,"1xbet,betmgm,betonline,betsson,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,pointsbet,sportsbet",55.5,fanduel,-110.0,-110.0,2026-07-03T00:15:17.000Z,True,True,-0.10500000000000043,0.7000000000000028
g45,1,2026-09-05,North Texas,Indiana,33.8875,54.85,-39.5,Indiana -39.5,fanduel,-105.0,SportsGameOdds,actual,,13.0,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,sportsbet",54.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,-5.612499999999997,0.3500000000000014
g46,1,2026-09-05,Northern Illinois,Iowa,34.0475,46.6,-30.5,Iowa -30.5,fanduel,-110.0,SportsGameOdds,actual,,14.0,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",45.5,fanduel,-105.0,-115.0,2026-07-03T00:15:17.000Z,True,True,3.5474999999999994,1.1000000000000014
g47,1,2026-09-05,Southeast Missouri,Iowa State,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g48,1,2026-09-05,Liberty,James Madison,12.19,54.45,-6.5,James Madison -6.5,fanduel,-112.0,SportsGameOdds,actual,,13.0,"betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",52.5,fanduel,-105.0,-115.0,2026-07-03T00:15:22.288Z,True,True,5.6899999999999995,1.9500000000000028
g49,1,2026-09-05,Eastern Kentucky,Jacksonville State,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g50,1,2026-09-05,Nicholls,Kansas State,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g51,1,2026-09-05,Youngstown State,Kentucky,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g52,1,2026-09-05,Clemson,LSU,9.8,45.75,-11.5,LSU -11.5,fanduel,-110.0,SportsGameOdds,actual,,28.0,"1xbet,ballybet,betfairsportsbook,betmgm,betonline,betparx,betrivers,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,nordicbet,paddypower,pointsbet,sportsbet,tabtouch,unibet,virginbet",50.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,-1.6999999999999993,-4.75
g53,1,2026-09-05,Lamar,Louisiana,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g54,1,2026-09-05,Northwestern State,Louisiana Tech,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g55,1,2026-09-05,Hampton,Maryland,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g56,1,2026-09-05,Arkansas State,Memphis,11.03,57.15,-10.5,Memphis -10.5,fanduel,-110.0,SportsGameOdds,actual,,11.0,"1xbet,betonline,bovada,caesars,coolbet,draftkings,fanduel,hardrockbet,lowvig,pointsbet,sportsbet",56.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,0.5299999999999994,0.6499999999999986
g57,1,2026-09-05,Western Michigan,Michigan,25.26,46.9,-25.5,Michigan -25.5,fanduel,-112.0,SportsGameOdds,actual,,14.0,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",46.5,fanduel,-115.0,-105.0,2026-07-03T00:15:22.288Z,True,True,-0.23999999999999844,0.3999999999999986
g58,1,2026-09-05,Toledo,Michigan State,7.785,48.6,-11.5,Michigan State -11.5,fanduel,-105.0,SportsGameOdds,actual,,16.0,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,pointsbet,sportsbet",48.5,fanduel,-115.0,-105.0,2026-07-03T00:15:22.288Z,True,True,-3.715,0.10000000000000142
g59,1,2026-09-05,Murray State,Middle Tennessee,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g60,1,2026-09-05,UL-Monroe,Mississippi State,28.3225,54.5,-28.5,Mississippi State -28.5,betmgm,-110.0,SportsGameOdds,actual,,14.0,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",56.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,-0.17749999999999844,-2.0
g61,1,2026-09-05,Towson,Navy,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g62,1,2026-09-05,Ohio,Nebraska,17.5575,45.1,-23.5,Nebraska -23.5,fanduel,-115.0,SportsGameOdds,actual,,24.0,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,bovada,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,pointsbet,sportsbet,tabtouch,unibet,virginbet",48.5,fanduel,-115.0,-105.0,2026-07-03T00:15:22.288Z,True,True,-5.942499999999999,-3.3999999999999986
g63,1,2026-09-05,Western Kentucky,Nevada,-5.43,51.8,2.5,Western Kentucky -2.5,fanduel,100.0,SportsGameOdds,actual,,11.0,"1xbet,betonline,bovada,caesars,coolbet,draftkings,fanduel,hardrockbet,lowvig,pointsbet,sportsbet",52.5,fanduel,-115.0,-105.0,2026-07-03T00:15:22.288Z,True,True,-2.9299999999999997,-0.7000000000000028
g64,1,2026-09-05,Central Michigan,New Mexico,11.1875,49.35,-12.5,New Mexico -12.5,fanduel,-115.0,SportsGameOdds,actual,,10.0,"1xbet,betonline,caesars,coolbet,draftkings,fanduel,hardrockbet,lowvig,pointsbet,sportsbet",48.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,-1.3125,0.8500000000000014
g65,1,2026-09-05,Mercyhurst,New Mexico State,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g66,1,2026-09-05,Fordham,North Dakota State,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g67,1,2026-09-05,South Dakota State,Northwestern,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g68,1,2026-09-05,Ball State,Ohio State,55.85,49.15,-50.5,Ohio State -50.5,fanduel,-105.0,SportsGameOdds,actual,,13.0,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,sportsbet",57.5,fanduel,-115.0,-105.0,2026-07-03T00:15:22.288Z,True,True,5.350000000000001,-8.350000000000001
g69,1,2026-09-05,UTEP,Oklahoma,41.1825,47.85,-39.5,Oklahoma -39.5,fanduel,-115.0,SportsGameOdds,actual,,15.0,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,sportsbet",49.5,fanduel,-114.0,-106.0,2026-07-03T00:15:22.288Z,True,True,1.6824999999999974,-1.6499999999999986
g70,1,2026-09-05,Norfolk State,Old Dominion,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g71,1,2026-09-05,Boise State,Oregon,24.4675,53.0,-24.5,Oregon -24.5,fanduel,-110.0,SportsGameOdds,actual,,26.0,"1xbet,ballybet,betfairsportsbook,betmgm,betonline,betparx,betrivers,bovada,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,paddypower,pointsbet,sportsbet,tabtouch,unibet,virginbet",53.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,-0.03249999999999886,-0.5
g72,1,2026-09-05,Marshall,Penn State,27.0225,57.95,-23.5,Penn State -23.5,fanduel,-110.0,SportsGameOdds,actual,,14.0,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",53.5,fanduel,-105.0,-115.0,2026-07-03T00:15:22.288Z,True,True,3.522500000000001,4.450000000000003
g73,1,2026-09-05,Miami-OH,Pittsburgh,17.395,48.2,-15.5,Pittsburgh -15.5,fanduel,-115.0,SportsGameOdds,actual,,14.0,"1xbet,betmgm,betonline,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,pointsbet,sportsbet",50.5,fanduel,-110.0,-110.0,2026-07-03T00:15:22.288Z,True,True,1.8949999999999996,-2.299999999999997
g74,1,2026-09-05,Indiana State,Purdue,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g75,1,2026-09-05,HCU,Rice,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
g76,1,2026-09-05,MVSU,Sacramento State,,,,,,,,missing,No SportsGameOdds market returned for this game.,,,,,,,,False,False,,
