source,pulled_at,sgo_event_id,week,start_time_utc,away_team,home_team,home_spread,home_spread_price,spread_book,total,over_price,under_price,total_book,away_moneyline,away_moneyline_book,home_moneyline,home_moneyline_book
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,Vv702wdDL9UTjPpUz33t,1,2026-09-05T16:45:00.000Z,Kent State,South Carolina,-34.5,-120,fanduel,51.5,-115,-105,draftkings,3500.0,draftkings,-20000.0,draftkings
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,cq5qD0OhWf6h7LKEOTok,1,2026-09-05T17:00:00.000Z,Southeast Missouri State,Iowa State,-30.5,-108,fanduel,52.5,-105,-115,fanduel,2500.0,fanduel,-10000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,qSEcSd2nxNKOt6IUPtKs,1,2026-09-05T17:00:00.000Z,Youngstown State,Kentucky,-23.5,-110,fanduel,62.5,-110,-110,fanduel,1200.0,fanduel,-3000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,YX8NmwDI9ck1pCvAC6k1,1,2026-09-05T18:00:00.000Z,Rhode Island,Temple,-10.5,-110,fanduel,53.5,-112,-108,fanduel,340.0,fanduel,-430.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,35ixAmNGCYeG1ZUoJYAd,1,2026-09-05T19:30:00.000Z,Boston College,Cincinnati,-7.5,100,fanduel,54.5,-110,-110,fanduel,225.0,fanduel,-280.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,7E4NVGk8rSOZkq38zL8k,1,2026-09-05T19:30:00.000Z,Tulane,Duke,-10.5,-110,fanduel,52.5,-110,-110,fanduel,330.0,fanduel,-430.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,OohgfMztifcxuXCIxTIC,1,2026-09-05T19:30:00.000Z,Towson,Navy,-31.5,-110,fanduel,53.5,-112,-108,fanduel,3500.0,fanduel,-20000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,QEX6ohNIEja9RlrRxQik,1,2026-09-05T19:30:00.000Z,The Citadel,Charlotte,-12.5,-110,fanduel,45.5,-105,-115,fanduel,400.0,fanduel,-550.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,UPDAxh2NwSvHC9O92Pf8,1,2026-09-05T19:30:00.000Z,Texas State,Texas,-30.5,-110,fanduel,59.5,-115,-105,fanduel,2400.0,fanduel,-10000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,ciyi8mDL3QdYXhwbLgqU,1,2026-09-05T19:30:00.000Z,Fordham,North Dakota State,-38.5,-115,fanduel,57.5,-110,-110,fanduel,8000.0,fanduel,-50000.0,fanduel
