venue_key,venue,home_team,latitude,longitude,timezone,roof_type,stadium_orientation_deg,notes
dowdy-ficklen stadium,Dowdy-Ficklen Stadium,East Carolina,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
doyt l. perry stadium,Doyt L. Perry Stadium,Bowling Green,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
elliott t. bowers stadium,Elliott T. Bowers Stadium,Sam Houston,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
falcon stadium,Falcon Stadium,Air Force,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
fargodome,Fargodome,North Dakota State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
fau stadium,FAU Stadium,Florida Atlantic,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
fbc mortgage stadium,FBC Mortgage Stadium,Central Florida,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
fifth third stadium,Fifth Third Stadium,Kennesaw State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
firstbank stadium,FirstBank Stadium,Vanderbilt,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
florida international,Florida International,Florida International,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
folsom field,Folsom Field,Colorado,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
ford field,Ford Field,Eastern Michigan,,,,dome,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
fresno state,Fresno State,Fresno State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
georgia southern,Georgia Southern,Georgia Southern,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
georgia state,Georgia State,Georgia State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
gerald j. ford stadium,Gerald J. Ford Stadium,SMU,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
gesa field,Gesa Field,Washington State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
gillette stadium,Gillette Stadium,Navy,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
glass bowl,Glass Bowl,Toledo,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
hancock whitney stadium,Hancock Whitney Stadium,South Alabama,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
hard rock stadium,Hard Rock Stadium,Miami-FL,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
hornet stadium,Hornet Stadium,Sacramento State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
huntington bank stadium,Huntington Bank Stadium,Minnesota,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
huskie stadium,Huskie Stadium,Northern Illinois,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
husky stadium,Husky Stadium,Washington,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
infocision stadium,InfoCision Stadium,Akron,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
jack trice stadium,Jack Trice Stadium,Iowa State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
jacksonville state,Jacksonville State,Jacksonville State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
james madison,James Madison,James Madison,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
jerry richardson stadium,Jerry Richardson Stadium,Charlotte,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
jma wireless dome,JMA Wireless Dome,Syracuse,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
jmu,JMU,JMU,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
joan c. edwards stadium,Joan C. Edwards Stadium,Marshall,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
joe aillet stadium,Joe Aillet Stadium,Louisiana Tech,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
"johnny ""red"" floyd stadium","Johnny ""Red"" Floyd Stadium",Middle Tennessee,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
jones at&t stadium,Jones AT&T Stadium,Texas Tech,,,,retractable,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
jordan-hare stadium,Jordan-Hare Stadium,Auburn,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
kelly/shorts stadium,Kelly/Shorts Stadium,Central Michigan,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
kenan stadium,Kenan Stadium,North Carolina,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
kennesaw state,Kennesaw State,Kennesaw State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
kidd brewer stadium,Kidd Brewer Stadium,Appalachian State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
kinnick stadium,Kinnick Stadium,Iowa,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
kroger field,Kroger Field,Kentucky,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
kyle field,Kyle Field,Texas A&M,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
l&n federal credit union stadium,L&N Federal Credit Union Stadium,Louisville,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
lambeau field,Lambeau Field,Notre Dame,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
lane stadium,Lane Stadium,Virginia Tech,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
lanny and sharon martin stadium,Lanny and Sharon Martin Stadium,Northwestern,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
lavell edwards stadium,LaVell Edwards Stadium,BYU,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
liberty,Liberty,Liberty,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
lincoln financial field,Lincoln Financial Field,Temple,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
los angeles memorial coliseum,Los Angeles Memorial Coliseum,USC,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
louisiana,Louisiana,Louisiana,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
louisiana tech,Louisiana Tech,Louisiana Tech,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
m. m. roberts stadium,M. M. Roberts Stadium,Southern Miss,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
mac no. 1,MAC No. 1,MAC No. 1,,,,outdoor,,skipped placeholder/conference TBD venue
mackay stadium,Mackay Stadium,Nevada,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
malone stadium,Malone Stadium,UL-Monroe,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
marshall,Marshall,Marshall,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
maryland,Maryland,Maryland,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
maverik stadium,Maverik Stadium,Utah State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
mclane stadium,McLane Stadium,Baylor,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
memorial stadium,Memorial Stadium,Missouri,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
"memorial stadium (bloomington, in)","Memorial Stadium (Bloomington, IN)",Indiana,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
"memorial stadium (champaign, il)","Memorial Stadium (Champaign, IL)",Illinois,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
