venue_key,venue,home_team,latitude,longitude,timezone,roof_type,stadium_orientation_deg,notes
mercedes-benz stadium,Mercedes-Benz Stadium,Auburn,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
metlife stadium,MetLife Stadium,Army,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
michie stadium,Michie Stadium,Army,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
michigan stadium,Michigan Stadium,Michigan,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
middle tennessee,Middle Tennessee,Middle Tennessee,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
milan puskar stadium,Milan Puskar Stadium,West Virginia,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
missouri state,Missouri State,Missouri State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
mountain america stadium,Mountain America Stadium,Arizona State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
mwc no. 1,MWC No. 1,MWC No. 1,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
navy-marine corps memorial stadium,Navy-Marine Corps Memorial Stadium,Navy,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
new mexico state,New Mexico State,New Mexico State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
neyland stadium,Neyland Stadium,Tennessee,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
nilton santos stadium,Nilton Santos Stadium,Virginia,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
nippert stadium,Nippert Stadium,Cincinnati,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
nissan stadium,Nissan Stadium,Ole Miss,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
notre dame stadium,Notre Dame Stadium,Notre Dame,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
ohio stadium,Ohio Stadium,Ohio State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
old dominion,Old Dominion,Old Dominion,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
pac-12 no. 1,Pac-12 No. 1,Pac-12 No. 1,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
peden stadium,Peden Stadium,Ohio,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
pitbull stadium,Pitbull Stadium,Florida International,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
pratt & whitney stadium,Pratt & Whitney Stadium,Connecticut,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
protective stadium,Protective Stadium,UAB,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
raymond james stadium,Raymond James Stadium,South Florida,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
