team,conference,rank,combo,rating_spplus,rating_fpi,rating_teamrankings,avg_total_wins,avg_conference_wins,make_title_game_pct,conference_title_pct,lose_title_game_pct,bowl_eligibility_pct
Northwestern,B1G,54,3.6,4.6,1.4,4.8,4.1652,2.5174,0.0001,0.0,0.0001,0.1375
Baylor,B12,45,5.2,4.5,6.5,4.6,5.0244,3.8514,0.0094,0.0017,0.0077,0.3708
Cincinnati,B12,57,3.0667,4.5,4.4,0.3,4.4785,2.8697,0.0025,0.0002,0.0023,0.2272
Mississippi State,SEC,48,4.8,3.9,4.1,6.4,2.9848,1.5865,0.0001,0.0,0.0001,0.0214
Kentucky,SEC,41,6.0333,3.8,5.4,8.9,3.0525,1.6868,0.0,0.0,0.0,0.0319
Maryland,B1G,60,2.5667,3.8,1.0,2.9,4.3538,3.129,0.0002,0.0,0.0002,0.2029
North Carolina,ACC,55,3.6,3.8,4.9,2.1,3.9502,2.7007,0.0008,0.0002,0.0006,0.1235
California,ACC,58,2.8667,3.7,0.9,4.0,4.671,3.6581,0.0049,0.0002,0.0047,0.2931
Kansas,B12,52,3.9667,3.7,2.8,5.4,4.4623,3.243,0.0055,0.0007,0.0048,0.2343
Wake Forest,ACC,56,3.1333,3.6,3.4,2.4,4.8813,3.2561,0.0034,0.0002,0.0032,0.3201
UNLV,MW,63,1.2667,2.8,1.8,-0.8,9.2332,6.3168,0.6938,0.4511,0.2427,0.9965
Central Florida,B12,59,2.5667,2.3,2.1,3.3,4.7752,3.5396,0.0049,0.0001,0.0048,0.3033
Rutgers,B1G,64,0.8,1.8,-0.2,0.8,3.7111,2.1343,0.0,0.0,0.0,0.0803
Wisconsin,B1G,46,5.0,1.8,4.8,8.4,5.1196,4.1235,0.0011,0.0002,0.0009,0.3894
Navy,American,65,0.4333,1.1,-0.7,0.9,7.7084,6.4494,0.631,0.3925,0.2385,0.955
Iowa State,B12,68,0.0333,1.0,-0.9,0.0,3.7219,2.696,0.0014,0.0,0.0014,0.0951
Colorado,B12,62,1.3333,0.9,4.5,-1.4,3.2798,2.6393,0.0011,0.0003,0.0008,0.0694
West Virginia,B12,61,1.8333,0.8,0.2,4.5,4.4068,3.1877,0.001,0.0,0.001,0.2152
Michigan State,B1G,67,0.1333,0.4,0.3,-0.3,3.9029,2.1434,0.0,0.0,0.0,0.1072
New Mexico,MW,75,-2.0333,-0.5,-3.5,-2.1,7.2771,5.534,0.4292,0.1998,0.2294,0.9095
Syracuse,ACC,69,-0.5667,-0.7,-0.8,-0.2,3.1684,2.3642,0.0007,0.0001,0.0006,0.0412
Memphis,American,71,-1.5,-1.1,-1.9,-1.5,6.4731,5.1566,0.2387,0.1156,0.1231,0.7648
San Diego State,PAC12,66,0.4,-1.3,1.4,1.1,6.6347,4.9911,0.4472,0.1619,0.2853,0.7788
North Dakota State,MW,84,-4.1667,-1.4,-8.3,-2.8,7.4302,5.0391,0.2246,0.0887,0.1359,0.9286
Boston College,ACC,81,-3.4667,-1.5,-2.7,-6.2,2.0495,1.4139,0.0,0.0,0.0,0.0048
UTSA,American,79,-2.7667,-1.5,-5.3,-1.5,6.4927,5.2122,0.195,0.0859,0.1091,0.7712
Stanford,ACC,78,-2.7333,-1.9,-3.3,-3.0,2.0533,1.4371,0.0002,0.0,0.0002,0.0039
East Carolina,American,77,-2.1,-2.0,-0.6,-3.7,7.1279,5.7267,0.2708,0.1226,0.1482,0.8959
James Madison,Sun Belt,72,-1.8667,-2.1,-2.0,-1.5,7.3366,6.2382,0.6279,0.4342,0.1937,0.9216
Fresno State,PAC12,70,-0.9333,-2.3,-2.5,2.0,7.3458,4.5895,0.285,0.1012,0.1838,0.9058
Air Force,MW,87,-5.5333,-2.4,-6.8,-7.4,6.8172,5.2824,0.2533,0.0984,0.1549,0.8213
South Florida,American,75,-2.0333,-2.8,-0.9,-2.4,7.6796,4.967,0.1914,0.0842,0.1072,0.9394
Miami-OH,MAC,91,-6.8333,-2.9,-7.0,-10.6,7.0698,6.0833,0.5456,0.3044,0.2412,0.8944
Purdue,B1G,73,-1.9667,-2.9,-0.9,-2.1,1.9358,1.5692,0.0,0.0,0.0,0.0031
Army,American,80,-3.2667,-3.0,-5.6,-1.2,6.3956,4.756,0.1259,0.0527,0.0732,0.7169
Hawaii,MW,85,-4.2,-3.9,-2.4,-6.3,7.8592,5.5293,0.3669,0.1544,0.2125,0.9495
Washington State,PAC12,82,-3.6667,-5.3,-4.1,-1.6,4.4432,4.1175,0.1664,0.0489,0.1175,0.2237
Western Kentucky,CUSA,89,-6.2,-5.3,-4.9,-8.4,6.7584,6.0477,0.6468,0.3842,0.2626,0.843
Tulane,American,74,-2.0,-5.5,2.3,-2.8,7.6363,5.5307,0.2904,0.1316,0.1588,0.9416
Old Dominion,Sun Belt,86,-4.9333,-5.8,-4.4,-4.6,6.7216,5.5224,0.3741,0.192,0.1821,0.8069
Texas State,PAC12,83,-4.0667,-5.9,-4.3,-2.0,5.3622,4.0601,0.1441,0.0353,0.1088,0.4663
Troy,Sun Belt,92,-7.0333,-6.0,-7.4,-7.7,6.1412,4.8174,0.1741,0.0756,0.0985,0.6842
Oregon State,PAC12,96,-8.1333,-6.3,-8.1,-10.0,3.6671,2.797,0.031,0.004,0.027,0.0899
Liberty,CUSA,93,-7.5333,-6.4,-7.7,-8.5,7.3396,5.7658,0.5276,0.285,0.2426,0.9127
Marshall,Sun Belt,95,-8.0,-6.4,-8.8,-8.8,6.3868,4.7753,0.1442,0.056,0.0882,0.7537
Florida Atlantic,American,101,-9.0333,-7.1,-11.3,-8.7,4.529,2.9504,0.0099,0.0025,0.0074,0.2363
Western Michigan,MAC,90,-6.5,-7.2,-4.0,-8.3,6.6627,5.7878,0.4864,0.272,0.2144,0.809
Tulsa,American,98,-8.9667,-7.6,-9.0,-10.3,4.4257,3.4011,0.0109,0.0032,0.0077,0.2087
Jacksonville State,CUSA,98,-8.9667,-7.7,-8.5,-10.7,6.6652,5.3358,0.3149,0.1416,0.1733,0.7964
Utah State,PAC12,88,-6.0667,-7.7,-6.7,-3.8,3.6924,2.982,0.0427,0.0082,0.0345,0.0946
Colorado State,PAC12,106,-10.4667,-8.3,-12.4,-10.7,2.7206,1.8835,0.0061,0.0006,0.0055,0.0232
Louisiana Tech,Sun Belt,97,-8.8333,-8.3,-9.6,-8.6,5.0277,4.5711,0.1459,0.0505,0.0954,0.3741
Arkansas State,Sun Belt,104,-9.5667,-8.5,-9.2,-11.0,5.8066,4.9473,0.1505,0.0525,0.098,0.5874
Temple,American,103,-9.4,-8.7,-8.6,-10.9,4.647,3.6034,0.0105,0.003,0.0075,0.2415
Georgia Southern,Sun Belt,105,-9.7667,-8.9,-8.7,-11.7,4.6269,4.1375,0.0759,0.0325,0.0434,0.2759
Louisiana,Sun Belt,102,-9.2333,-9.1,-8.3,-10.3,6.9585,5.2341,0.2086,0.075,0.1336,0.8567
Kennesaw State,CUSA,108,-10.8333,-9.3,-9.0,-14.2,6.0508,4.8278,0.2329,0.0928,0.1401,0.6549
Wyoming,MW,113,-12.0,-9.6,-13.1,-13.3,4.5952,3.1865,0.0203,0.0052,0.0151,0.266
Connecticut,Independent,111,-11.1,-11.2,-11.2,-10.9,3.8021,0.0,0.0,0.0,0.0,0.1116
Toledo,MAC,94,-7.7,-11.5,-3.0,-8.6,7.1091,5.9608,0.4612,0.2376,0.2236,0.8773
North Texas,American,98,-8.9667,-11.8,-6.4,-8.7,4.6851,4.1932,0.025,0.0062,0.0188,0.255
Buffalo,MAC,115,-13.0667,-11.9,-10.8,-16.5,4.8788,4.4173,0.0858,0.0287,0.0571,0.321
Appalachian State,Sun Belt,110,-10.9333,-12.1,-9.8,-10.9,5.0076,3.8939,0.0376,0.0132,0.0244,0.3523
Nevada,MW,118,-14.0667,-12.2,-11.9,-18.1,3.6526,2.6704,0.0064,0.0013,0.0051,0.0839
Central Michigan,MAC,114,-12.6,-12.4,-12.8,-12.6,4.9512,4.2543,0.0862,0.0335,0.0527,0.351
Delaware,CUSA,107,-10.7,-13.0,-6.6,-12.5,5.2118,4.456,0.176,0.0696,0.1064,0.4242
Bowling Green,MAC,120,-14.9,-13.3,-13.7,-17.7,4.0905,3.8582,0.0263,0.0086,0.0177,0.1232
South Alabama,Sun Belt,112,-11.5333,-13.3,-10.5,-10.8,4.6043,3.8746,0.0434,0.0139,0.0295,0.2703
Ohio,MAC,108,-10.8333,-13.6,-8.0,-10.9,6.2238,5.2154,0.2354,0.0968,0.1386,0.6971
Florida International,CUSA,117,-13.7667,-13.7,-12.6,-15.0,4.912,3.9936,0.0539,0.0147,0.0392,0.3367
Coastal Carolina,Sun Belt,116,-13.2333,-13.8,-12.1,-13.8,3.7233,2.9871,0.012,0.0037,0.0083,0.1139
Rice,American,119,-14.4333,-14.7,-13.4,-15.2,2.2072,1.8133,0.0004,0.0,0.0004,0.0086
Eastern Michigan,MAC,122,-15.0667,-15.0,-16.3,-13.9,4.5391,3.8829,0.0345,0.0093,0.0252,0.2391
San Jose State,MW,120,-14.9,-15.5,-14.3,-14.9,3.4951,2.6834,0.0047,0.001,0.0037,0.0749
New Mexico State,CUSA,125,-16.8333,-16.4,-15.7,-18.4,3.3211,3.0789,0.0282,0.0074,0.0208,0.0635
UAB,American,126,-17.2667,-18.1,-15.5,-18.2,2.6099,1.6717,0.0001,0.0,0.0001,0.0068
Northern Illinois,MW,128,-17.7667,-18.2,-14.5,-20.6,2.428,1.8882,0.0006,0.0001,0.0005,0.0094
Missouri State,CUSA,124,-15.9667,-18.7,-10.3,-18.9,3.2027,2.8845,0.0167,0.0042,0.0125,0.0397
Akron,MAC,129,-18.1,-19.5,-16.9,-17.9,2.8405,2.7449,0.0066,0.0022,0.0044,0.0218
Kent State,MAC,132,-20.0333,-20.1,-17.9,-22.1,2.5496,2.5055,0.0041,0.0009,0.0032,0.0118
UTEP,MW,130,-19.3667,-20.5,-16.6,-21.0,2.0756,1.8699,0.0002,0.0,0.0002,0.0033
Sacramento State,MAC,127,-17.4333,-22.7,-10.4,-19.2,4.0011,3.7068,0.026,0.0058,0.0202,0.1357
Southern Miss,Sun Belt,123,-15.3667,-23.3,-5.1,-17.7,2.9733,2.4683,0.0052,0.0008,0.0044,0.0342
UL-Monroe,Sun Belt,134,-21.1333,-24.3,-19.3,-19.8,1.676,1.2608,0.0003,0.0001,0.0002,0.0017
Georgia State,Sun Belt,131,-19.9,-25.1,-15.2,-19.4,1.9094,1.272,0.0003,0.0,0.0003,0.0038
Ball State,MAC,135,-21.8333,-25.2,-17.3,-23.0,2.3363,2.2617,0.0019,0.0002,0.0017,0.0073
Middle Tennessee,CUSA,133,-21.0,-26.0,-16.1,-20.9,2.4307,1.961,0.0024,0.0004,0.002,0.0136
Sam Houston,CUSA,136,-22.9333,-26.3,-18.4,-24.1,1.8705,1.6489,0.0006,0.0001,0.0005,0.002
Massachusetts,MAC,138,-26.0667,-30.9,-18.8,-28.5,1.4024,1.3211,0.0,0.0,0.0,0.0
Charlotte,American,137,-23.4333,-32.4,-14.6,-23.3,0.7938,0.5683,0.0,0.0,0.0,0.0
