away_classification,away_moneyline_change,away_team,canonical_cfbd_game_id,canonical_game_id,date,home_classification,home_moneyline_change,home_spread_change,home_team,moneyline_available,moneyline_comparison_book,moneyline_comparison_status,moneyline_source_timestamp,moneyline_stale,neutral_site,previous_away_moneyline,previous_home_moneyline,previous_home_spread,previous_total,season,spread_available,spread_comparison_book,spread_comparison_status,spread_source_timestamp,spread_stale,staged_away_moneyline,staged_away_moneyline_price,staged_away_spread,staged_away_spread_price,staged_home_moneyline,staged_home_moneyline_price,staged_home_spread,staged_home_spread_price,staged_over_price,staged_total,staged_under_price,total_available,total_change,total_comparison_book,total_comparison_status,total_source_timestamp,total_stale,week
FBS,,Kent State,401856665,g79,2026-09-05,FBS,,0.0,South Carolina,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-34.5,51.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,3000,3000,34.5,-112,-10000,-10000,-34.5,-108,-110,52.5,-110,True,1.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FCS,,Southeast Missouri,401856779,g47,2026-09-05,FBS,,,Iowa State,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,Youngstown State,401856659,g51,2026-09-05,FBS,,,Kentucky,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,Rhode Island,401862698,g83,2026-09-05,FBS,,,Temple,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FBS,,Boston College,401856777,g35,2026-09-05,FBS,,2.0,Cincinnati,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-9.5,54.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,210,210,7.5,-112,-258,-258,-7.5,-108,-110,54.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FBS,,Tulane,401858209,g38,2026-09-05,FBS,,-1.5,Duke,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-8.5,52.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,330,330,10.0,-110,-425,-425,-10.0,-110,-110,52.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FCS,,Towson,401862696,g61,2026-09-05,FBS,,,Navy,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,The Citadel,401862694,g34,2026-09-05,FBS,,,Charlotte,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FBS,,Texas State,401856667,g85,2026-09-05,FBS,,0.0,Texas,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-30.5,59.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,2500,2500,30.5,-110,-9000,-9000,-30.5,-110,-110,59.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FCS,,Fordham,401864499,g66,2026-09-05,FBS,,,North Dakota State,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
