season,week,game_id,team,opponent,prior_games,prior_off_drives,prior_off_start_ytg_sum,prior_off_short_fields,prior_off_opportunities,prior_off_opportunity_points,prior_off_opportunity_tds,prior_off_points,prior_def_drives,prior_def_opponent_start_ytg_sum,prior_def_short_fields_allowed,prior_def_opportunities_allowed,prior_def_opportunity_points_allowed,prior_def_opportunity_tds_allowed,prior_def_points_allowed,pregame_off_avg_start_ytg,pregame_off_short_field_rate,pregame_off_opportunity_rate,pregame_off_points_per_opportunity,pregame_off_td_rate_per_opportunity,pregame_off_points_per_drive,pregame_def_opponent_avg_start_ytg,pregame_def_short_field_rate_allowed,pregame_def_opportunity_rate_allowed,pregame_def_points_per_opportunity_allowed,pregame_def_td_rate_per_opportunity_allowed,pregame_def_points_per_drive_allowed
2022,8,401426353,Georgia State,App State,6,79.0,5523.0,14.0,46.0,172.0,22.0,173.0,76.0,5465.0,12.0,44.0,185.0,23.0,191.0,69.9113924050633,0.17721518987341772,0.5822784810126582,3.739130434782609,0.4782608695652174,2.189873417721519,71.90789473684211,0.15789473684210525,0.5789473684210527,4.204545454545454,0.5227272727272727,2.513157894736842
2022,9,401426361,Georgia State,Old Dominion,7,90.0,6332.0,15.0,50.0,189.0,24.0,190.0,88.0,6263.0,14.0,50.0,227.0,29.0,233.0,70.35555555555555,0.16666666666666666,0.5555555555555556,3.78,0.48,2.111111111111111,71.17045454545455,0.1590909090909091,0.5681818181818182,4.54,0.58,2.647727272727273
2022,10,401426369,Georgia State,Southern Miss,8,102.0,7052.0,19.0,58.0,213.0,27.0,214.0,100.0,7172.0,15.0,54.0,244.0,31.0,250.0,69.13725490196079,0.18627450980392157,0.5686274509803921,3.6724137931034484,0.46551724137931033,2.0980392156862746,71.72,0.15,0.54,4.518518518518518,0.5740740740740741,2.5
2022,11,401426372,Georgia State,UL Monroe,9,115.0,7993.0,21.0,64.0,255.0,33.0,256.0,111.0,7950.0,17.0,56.0,258.0,33.0,264.0,69.50434782608696,0.1826086956521739,0.5565217391304348,3.984375,0.515625,2.226086956521739,71.62162162162163,0.15315315315315314,0.5045045045045045,4.607142857142857,0.5892857142857143,2.3783783783783785
2022,12,401426378,Georgia State,James Madison,10,128.0,8989.0,21.0,70.0,283.0,37.0,284.0,122.0,8679.0,21.0,61.0,274.0,34.0,280.0,70.2265625,0.1640625,0.546875,4.042857142857143,0.5285714285714286,2.21875,71.13934426229508,0.1721311475409836,0.5,4.491803278688525,0.5573770491803278,2.2950819672131146
2022,13,401426390,Georgia State,Marshall,11,141.0,9864.0,23.0,75.0,309.0,40.0,310.0,137.0,9668.0,25.0,68.0,316.0,40.0,322.0,69.95744680851064,0.16312056737588654,0.5319148936170213,4.12,0.5333333333333333,2.198581560283688,70.56934306569343,0.18248175182481752,0.49635036496350365,4.647058823529412,0.5882352941176471,2.3503649635036497
2022,1,401411101,Georgia Tech,Clemson,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2022,2,401411104,Georgia Tech,Western Carolina,1,12.0,906.0,1.0,3.0,10.0,1.0,10.0,13.0,800.0,3.0,7.0,34.0,4.0,34.0,75.5,0.08333333333333333,0.25,3.3333333333333335,0.3333333333333333,0.8333333333333334,61.53846153846154,0.23076923076923078,0.5384615384615384,4.857142857142857,0.5714285714285714,2.6153846153846154
2022,3,401403886,Georgia Tech,Ole Miss,2,24.0,1605.0,6.0,10.0,45.0,6.0,45.0,13.0,800.0,3.0,7.0,34.0,4.0,34.0,66.875,0.25,0.4166666666666667,4.5,0.6,1.875,61.53846153846154,0.23076923076923078,0.5384615384615384,4.857142857142857,0.5714285714285714,2.6153846153846154
2022,4,401411122,Georgia Tech,UCF,3,32.0,2202.0,6.0,11.0,45.0,6.0,45.0,21.0,1358.0,4.0,14.0,69.0,9.0,69.0,68.8125,0.1875,0.34375,4.090909090909091,0.5454545454545454,1.40625,64.66666666666667,0.19047619047619047,0.6666666666666666,4.928571428571429,0.6428571428571429,3.2857142857142856
2022,5,401411129,Georgia Tech,Pittsburgh,4,44.0,3079.0,8.0,18.0,55.0,7.0,55.0,32.0,2136.0,6.0,21.0,89.0,10.0,89.0,69.97727272727273,0.18181818181818182,0.4090909090909091,3.0555555555555554,0.3888888888888889,1.25,66.75,0.1875,0.65625,4.238095238095238,0.47619047619047616,2.78125
2022,6,401411132,Georgia Tech,Duke,5,58.0,3957.0,12.0,25.0,81.0,9.0,81.0,46.0,3198.0,6.0,27.0,110.0,13.0,110.0,68.22413793103448,0.20689655172413793,0.43103448275862066,3.24,0.36,1.396551724137931,69.52173913043478,0.13043478260869565,0.5869565217391305,4.074074074074074,0.48148148148148145,2.391304347826087
2022,8,401411141,Georgia Tech,Virginia,6,69.0,4819.0,12.0,30.0,101.0,11.0,101.0,56.0,3891.0,8.0,35.0,123.0,14.0,123.0,69.84057971014492,0.17391304347826086,0.43478260869565216,3.3666666666666667,0.36666666666666664,1.463768115942029,69.48214285714286,0.14285714285714285,0.625,3.5142857142857142,0.4,2.1964285714285716
2022,9,401411147,Georgia Tech,Florida State,7,84.0,5965.0,13.0,33.0,104.0,11.0,104.0,72.0,4978.0,13.0,41.0,139.0,16.0,139.0,71.01190476190476,0.15476190476190477,0.39285714285714285,3.1515151515151514,0.3333333333333333,1.2380952380952381,69.13888888888889,0.18055555555555555,0.5694444444444444,3.3902439024390243,0.3902439024390244,1.9305555555555556
