game_id,date,week,away_team,home_team,projected_margin_home,projected_total,win_prob_home,market_spread_home,market_total
g235,2026-09-19,3,Buffalo,Penn State,31.7334,48.0,0.99247567605,,
g236,2026-09-19,3,Western Michigan,Rice,-5.0333,47.0,0.315538035331,,
g237,2026-09-19,3,USC,Rutgers,-15.3333,58.7,0.086355485682,,
g238,2026-09-19,3,North Dakota State,Sacramento State,-10.7666,51.6,0.160245846232,,
g239,2026-09-19,3,Nicholls,Sam Houston,,,,,
g240,2026-09-19,3,James Madison,San Diego State,4.1667,49.9,0.654986430217,,
g241,2026-09-19,3,Fresno State,San Jose State,-11.4667,47.9,0.146276626414,,
g242,2026-09-19,3,Ohio,South Alabama,1.8,48.8,0.568791714393,,
g243,2026-09-19,3,Mississippi State,South Carolina,9.5,52.5,0.811767865698,,
g244,2026-09-19,3,Delaware State,South Florida,,,,,
g245,2026-09-19,3,Connecticut,Southern Miss,-2.1667,54.0,0.41742854645,,
g246,2026-09-19,3,Arkansas State,TCU,19.7334,54.6,0.954170207199,,
g247,2026-09-19,3,Kennesaw State,Tennessee,29.1,56.6,0.988759447511,,
g248,2026-09-19,3,UTSA,Texas,32.1,56.3,0.992885366797,,
g249,2026-09-19,3,Kentucky,Texas A&M,17.4667,50.1,0.936266188766,,
g250,2026-09-19,3,North Texas,Texas State,7.2,64.2,0.751698635985,,
g251,2026-09-19,3,Temple,Toledo,4.3,52.0,0.659605897772,,
g252,2026-09-19,3,East Texas A&M,Tulsa,,,,,
g253,2026-09-19,3,Purdue,UCLA,8.2667,52.0,0.781050722515,,
g254,2026-09-19,3,Southeastern La.,UL-Monroe,,,,,
g255,2026-09-19,3,Utah State,Utah,20.4334,54.3,0.958655802009,,
g256,2026-09-19,3,NC State,Vanderbilt,5.5667,56.8,0.701911181799,,
g257,2026-09-19,3,Eastern Washington,Washington,,,,,
g258,2026-09-19,3,Duquesne,Washington State,,,,,
g259,2026-09-19,3,Virginia,West Virginia,-6.0,49.1,0.284331365062,,
g260,2026-09-19,3,Eastern Michigan,Wisconsin,22.0667,44.8,0.967544042302,,
g261,2026-09-24,4,Liberty,Coastal Carolina,-3.4,56.3,0.3721330281,,
g262,2026-09-25,4,Clemson,California,-6.9333,50.5,0.256038485509,,
g263,2026-09-25,4,Navy,UAB,-13.9,56.5,0.105414381768,,
g264,2026-09-26,4,UNLV,Akron,-18.6667,52.2,0.053565325697,,
g265,2026-09-26,4,South Carolina,Alabama,11.1667,46.1,0.84786509103,,
g266,2026-09-26,4,Tulsa,Arkansas,16.0667,59.3,0.922141097518,,
g267,2026-09-26,4,Kennesaw State,Arkansas State,4.1666,53.7,0.654982953605,,
g268,2026-09-26,4,Vanderbilt,Auburn,5.2,51.7,0.689974481128,,
g269,2026-09-26,4,Colorado,Baylor,6.3667,55.9,0.727007467476,,
g270,2026-09-26,4,Virginia Tech,Boston College,-9.9,52.7,0.179008873635,,
