season,week,game_id,team,opponent,prior_games,pregame_off_plays,pregame_off_pass_rate,pregame_off_neutral_pass_rate,pregame_off_early_down_pass_rate,pregame_off_qb_run_share,pregame_off_rush_success_rate,pregame_off_pass_success_rate,pregame_off_explosive_rush_rate,pregame_off_explosive_pass_rate,pregame_off_ppa,pregame_off_game_clock_seconds_per_play,pregame_def_plays,pregame_def_pass_rate_faced,pregame_def_rush_success_allowed,pregame_def_pass_success_allowed,pregame_def_explosive_rush_allowed,pregame_def_explosive_pass_allowed,pregame_def_ppa_allowed,pregame_def_havoc_rate,pregame_def_front_seven_havoc_rate,pregame_def_db_havoc_rate
2024,14,401645378,Army,UTSA,10,63.1,0.13386327848690188,0.1369800328347,0.12153837803518111,0.45212648722184756,0.5321017755566627,0.46269480519480527,0.15227112785062535,0.20139610389610393,0.3616363968644257,30.25908483055965,59.4,0.5761116078125731,0.42745551542736526,0.456557146188858,0.1316739405258242,0.08270868086701826,0.12801920178534304,0.1468335042711864,0.09682691342321896,0.05000659084796747
2024,15,401673462,Army,Tulane,11,64.36363636363636,0.1441260028747514,0.15050132855102596,0.12867125275925553,0.4502090322706451,0.5213464417286275,0.4636938420431244,0.14469789052251206,0.2117955011495682,0.3436349587386341,30.619054391417865,58.81818181818182,0.5734805354042259,0.44541410493396844,0.4589390984162032,0.13485509744771898,0.09399848730857459,0.1420277773929495,0.15252052421443812,0.09640348134015632,0.05611704287428183
2024,16,401645383,Army,Navy,12,63.833333333333336,0.1349890658535796,0.14223305544527806,0.1198425877565903,0.44989399386713896,0.5165913811083848,0.5083860218728641,0.149008780598017,0.19414587605377084,0.34318545995352084,31.28855496084053,58.333333333333336,0.5649986668878361,0.4499629295228044,0.46736084021485286,0.1325457440889805,0.09283194669952671,0.14745783544678517,0.1558076806752182,0.09793112368830678,0.05787655698691144
2024,1,401628323,Georgia,Clemson,0,,,,,,,,,,,,,,,,,,,,,
2024,2,401628339,Georgia,Tennessee Tech,1,60.0,0.5666666666666667,0.6511627906976745,0.5510204081632653,0.07692307692307693,0.46153846153846156,0.5,0.23076923076923078,0.17647058823529413,0.38172962457577875,34.208333333333336,52.0,0.5961538461538461,0.38095238095238093,0.3870967741935484,0.0,0.03225806451612903,-0.1274414036010846,0.17307692307692307,0.11538461538461539,0.057692307692307696
2024,3,401628354,Georgia,Kentucky,2,60.0,0.5916666666666667,0.6827242524916943,0.5918367346938775,0.14715719063545152,0.5133779264214047,0.5337837837837838,0.22408026755852845,0.14228934817170114,0.44891457552747316,21.365530303030305,49.0,0.4067725752508361,0.3849206349206349,0.2935483870967742,0.041666666666666664,0.016129032258064516,-0.1444480834430904,0.21697324414715718,0.18812709030100333,0.028846153846153848
2024,5,401628374,Georgia,Alabama,3,58.0,0.5425925925925926,0.6305880981523576,0.5165090426414468,0.15366034931252323,0.47558528428093644,0.5086336336336336,0.17160906726124117,0.13652623211446743,0.3322859020677183,24.367717876438807,57.0,0.4127342282494158,0.43915343915343913,0.31397849462365596,0.06746031746031746,0.01075268817204301,-0.09544019600917962,0.19944334997938332,0.1619477405659657,0.03749560941341763
2024,6,401628381,Georgia,Auburn,4,62.75,0.5757756132756133,0.6604410736142682,0.5554852302569472,0.16524526198439243,0.5129389632107023,0.49685984060984056,0.15870680044593088,0.14566390485508135,0.32203203406901504,24.078207762167814,60.5,0.43983236132790693,0.42027417027417024,0.3976460331299041,0.09471288515406162,0.035091543156059286,0.0019228456907282587,0.19243965534168034,0.15003223399590285,0.04240742134577751
2024,7,401628386,Georgia,Mississippi State,5,63.4,0.5545598845598846,0.6241861922247478,0.5363881842055578,0.13791049530179966,0.49606545628284754,0.5200685176491627,0.161251154642459,0.1358859625937425,0.31142424313267536,25.11256620973425,60.0,0.45531416492439447,0.41479076479076477,0.40478349317059,0.11862745098039215,0.04807323452484743,0.039718560450377347,0.17808965530782703,0.1372671665070671,0.040822488800759935
2024,8,401628398,Georgia,Texas,6,65.5,0.567396395027974,0.6386736787058084,0.547519254033732,0.12087779370388067,0.48481645166427767,0.5445015424854134,0.15223310505919202,0.14101607993922985,0.3295150354922965,21.655208683550473,60.333333333333336,0.4788908363617266,0.38565897065897065,0.40488714520972585,0.11218954248366013,0.05807904678872421,0.07465721494010687,0.1645370783479204,0.12245382155158817,0.04208325679633221
