market,snapshot_prev,snapshot_latest,season,conference,team,book,field,previous,latest,change,implied_prob_change_pct,summary
Win Total,2026-05-05,2026-05-06,2026,,Florida State,FanDuel,Over Odds,+130,+134,4.0,-0.74,Florida State FanDuel over +130 → +134
Win Total,2026-05-05,2026-05-06,2026,,Florida State,FanDuel,Under Odds,-160,-164,-4.0,0.58,Florida State FanDuel under -160 → -164
Win Total,2026-05-05,2026-05-06,2026,,Georgia,FanDuel,Over Odds,-176,-172,4.0,-0.53,Georgia FanDuel over -176 → -172
Win Total,2026-05-05,2026-05-06,2026,,Georgia,FanDuel,Under Odds,+142,+140,-2.0,0.34,Georgia FanDuel under +142 → +140
Win Total,2026-05-05,2026-05-06,2026,,Houston,FanDuel,Over Odds,-162,-154,8.0,-1.2,Houston FanDuel over -162 → -154
Win Total,2026-05-05,2026-05-06,2026,,Houston,FanDuel,Under Odds,+132,+126,-6.0,1.14,Houston FanDuel under +132 → +126
Win Total,2026-05-05,2026-05-06,2026,,Illinois,FanDuel,Over Odds,+142,+144,2.0,-0.34,Illinois FanDuel over +142 → +144
Win Total,2026-05-05,2026-05-06,2026,,Illinois,FanDuel,Under Odds,-176,-178,-2.0,0.26,Illinois FanDuel under -176 → -178
Win Total,2026-05-05,2026-05-06,2026,,Iowa,FanDuel,Over Odds,-138,-140,-2.0,0.35,Iowa FanDuel over -138 → -140
Win Total,2026-05-05,2026-05-06,2026,,Iowa State,FanDuel,Over Odds,+110,+106,-4.0,0.92,Iowa State FanDuel over +110 → +106
Win Total,2026-05-05,2026-05-06,2026,,Iowa State,FanDuel,Under Odds,-134,-130,4.0,-0.74,Iowa State FanDuel under -134 → -130
Win Total,2026-05-05,2026-05-06,2026,,K State,DraftKings,Over Odds,-155,+115,270.0,-14.27,K State DraftKings over -155 → +115
Win Total,2026-05-05,2026-05-06,2026,,K State,DraftKings,Under Odds,+130,-135,-265.0,13.97,K State DraftKings under +130 → -135
Win Total,2026-05-05,2026-05-06,2026,,K State,DraftKings,Win Total,7.5,8.5,1.0,,K State DraftKings win total 7.5 → 8.5
Win Total,2026-05-05,2026-05-06,2026,,Kansas State,FanDuel,Over Odds,-164,-104,60.0,-11.14,Kansas State FanDuel over -164 → -104
Win Total,2026-05-05,2026-05-06,2026,,Kansas State,FanDuel,Under Odds,+134,-118,-252.0,11.39,Kansas State FanDuel under +134 → -118
Win Total,2026-05-05,2026-05-06,2026,,Kansas State,FanDuel,Win Total,7.5,8.5,1.0,,Kansas State FanDuel win total 7.5 → 8.5
Win Total,2026-05-05,2026-05-06,2026,,Louisville,FanDuel,Over Odds,-158,-154,4.0,-0.61,Louisville FanDuel over -158 → -154
Win Total,2026-05-05,2026-05-06,2026,,Louisville,FanDuel,Under Odds,+128,+126,-2.0,0.39,Louisville FanDuel under +128 → +126
Win Total,2026-05-05,2026-05-06,2026,,Maryland,FanDuel,Over Odds,-152,-170,-18.0,2.65,Maryland FanDuel over -152 → -170
Win Total,2026-05-05,2026-05-06,2026,,Maryland,FanDuel,Under Odds,+124,+138,14.0,-2.63,Maryland FanDuel under +124 → +138
Win Total,2026-05-05,2026-05-06,2026,,Michigan,DraftKings,Over Odds,+145,+130,-15.0,2.66,Michigan DraftKings over +145 → +130
Win Total,2026-05-05,2026-05-06,2026,,Michigan,DraftKings,Under Odds,-175,-165,10.0,-1.37,Michigan DraftKings under -175 → -165
Win Total,2026-05-05,2026-05-06,2026,,Michigan,FanDuel,Over Odds,+118,+120,2.0,-0.42,Michigan FanDuel over +118 → +120
Win Total,2026-05-05,2026-05-06,2026,,Michigan,FanDuel,Under Odds,-144,-148,-4.0,0.66,Michigan FanDuel under -144 → -148
Win Total,2026-05-05,2026-05-06,2026,,Minnesota,FanDuel,Over Odds,+134,+130,-4.0,0.74,Minnesota FanDuel over +134 → +130
Win Total,2026-05-05,2026-05-06,2026,,Minnesota,FanDuel,Under Odds,-164,-160,4.0,-0.58,Minnesota FanDuel under -164 → -160
Win Total,2026-05-05,2026-05-06,2026,,Mississippi State,FanDuel,Over Odds,-118,-115,3.0,-0.64,Mississippi State FanDuel over -118 → -115
Win Total,2026-05-05,2026-05-06,2026,,Mississippi State,FanDuel,Under Odds,-104,-105,-1.0,0.24,Mississippi State FanDuel under -104 → -105
Win Total,2026-05-05,2026-05-06,2026,,Missouri,FanDuel,Over Odds,-142,-140,2.0,-0.34,Missouri FanDuel over -142 → -140
Win Total,2026-05-05,2026-05-06,2026,,Missouri,FanDuel,Under Odds,+116,+114,-2.0,0.43,Missouri FanDuel under +116 → +114
Win Total,2026-05-05,2026-05-06,2026,,NC State,DraftKings,Over Odds,+120,+110,-10.0,2.16,NC State DraftKings over +120 → +110
Win Total,2026-05-05,2026-05-06,2026,,NC State,DraftKings,Under Odds,-140,-130,10.0,-1.81,NC State DraftKings under -140 → -130
Win Total,2026-05-05,2026-05-06,2026,,NC State,FanDuel,Over Odds,-172,-110,62.0,-10.85,NC State FanDuel over -172 → -110
Win Total,2026-05-05,2026-05-06,2026,,NC State,FanDuel,Under Odds,+140,-110,-250.0,10.71,NC State FanDuel under +140 → -110
Win Total,2026-05-05,2026-05-06,2026,,NC State,FanDuel,Win Total,6.5,7.5,1.0,,NC State FanDuel win total 6.5 → 7.5
Win Total,2026-05-05,2026-05-06,2026,,Nebraska,FanDuel,Over Odds,+124,+126,2.0,-0.4,Nebraska FanDuel over +124 → +126
Win Total,2026-05-05,2026-05-06,2026,,Nebraska,FanDuel,Under Odds,-152,-154,-2.0,0.31,Nebraska FanDuel under -152 → -154
Win Total,2026-05-05,2026-05-06,2026,,Northwestern,FanDuel,Over Odds,-122,-112,10.0,-2.12,Northwestern FanDuel over -122 → -112
Win Total,2026-05-05,2026-05-06,2026,,Northwestern,FanDuel,Under Odds,+100,-108,-208.0,1.92,Northwestern FanDuel under +100 → -108
Win Total,2026-05-05,2026-05-06,2026,,Oklahoma,FanDuel,Over Odds,+100,-110,-210.0,2.38,Oklahoma FanDuel over +100 → -110
Win Total,2026-05-05,2026-05-06,2026,,Oklahoma,FanDuel,Under Odds,-122,-110,12.0,-2.57,Oklahoma FanDuel under -122 → -110
Win Total,2026-05-05,2026-05-06,2026,,Oklahoma State,FanDuel,Over Odds,-170,-164,6.0,-0.84,Oklahoma State FanDuel over -170 → -164
Win Total,2026-05-05,2026-05-06,2026,,Oklahoma State,FanDuel,Under Odds,+138,+134,-4.0,0.72,Oklahoma State FanDuel under +138 → +134
Win Total,2026-05-05,2026-05-06,2026,,Ole Miss,FanDuel,Over Odds,-168,-164,4.0,-0.57,Ole Miss FanDuel over -168 → -164
Win Total,2026-05-05,2026-05-06,2026,,Ole Miss,FanDuel,Under Odds,+136,+134,-2.0,0.36,Ole Miss FanDuel under +136 → +134
Win Total,2026-05-05,2026-05-06,2026,,Oregon,FanDuel,Over Odds,+114,+112,-2.0,0.44,Oregon FanDuel over +114 → +112
Win Total,2026-05-05,2026-05-06,2026,,Oregon,FanDuel,Under Odds,-140,-138,2.0,-0.35,Oregon FanDuel under -140 → -138
Win Total,2026-05-05,2026-05-06,2026,,Penn State,FanDuel,Over Odds,+148,-134,-282.0,16.94,Penn State FanDuel over +148 → -134
Win Total,2026-05-05,2026-05-06,2026,,Penn State,FanDuel,Under Odds,-184,+110,294.0,-17.17,Penn State FanDuel under -184 → +110
Win Total,2026-05-05,2026-05-06,2026,,Penn State,FanDuel,Win Total,9.5,8.5,-1.0,,Penn State FanDuel win total 9.5 → 8.5
Win Total,2026-05-05,2026-05-06,2026,,Pittsburgh,FanDuel,Over Odds,-144,-148,-4.0,0.66,Pittsburgh FanDuel over -144 → -148
Win Total,2026-05-05,2026-05-06,2026,,Pittsburgh,FanDuel,Under Odds,+118,+120,2.0,-0.42,Pittsburgh FanDuel under +118 → +120
Win Total,2026-05-05,2026-05-06,2026,,SMU,FanDuel,Over Odds,-140,-142,-2.0,0.34,SMU FanDuel over -140 → -142
Win Total,2026-05-05,2026-05-06,2026,,SMU,FanDuel,Under Odds,+114,+116,2.0,-0.43,SMU FanDuel under +114 → +116
Win Total,2026-05-05,2026-05-06,2026,,Stanford,FanDuel,Over Odds,-128,-118,10.0,-2.01,Stanford FanDuel over -128 → -118
Win Total,2026-05-05,2026-05-06,2026,,Stanford,FanDuel,Under Odds,+104,-104,-208.0,1.96,Stanford FanDuel under +104 → -104
Win Total,2026-05-05,2026-05-06,2026,,Syracuse,DraftKings,Over Odds,+115,+105,-10.0,2.27,Syracuse DraftKings over +115 → +105
Win Total,2026-05-05,2026-05-06,2026,,Syracuse,DraftKings,Under Odds,-135,-125,10.0,-1.89,Syracuse DraftKings under -135 → -125
Win Total,2026-05-05,2026-05-06,2026,,Syracuse,FanDuel,Over Odds,-110,-102,8.0,-1.89,Syracuse FanDuel over -110 → -102
Win Total,2026-05-05,2026-05-06,2026,,Syracuse,FanDuel,Under Odds,-110,-120,-10.0,2.16,Syracuse FanDuel under -110 → -120
Win Total,2026-05-05,2026-05-06,2026,,Tennessee,DraftKings,Over Odds,+115,+105,-10.0,2.27,Tennessee DraftKings over +115 → +105
Win Total,2026-05-05,2026-05-06,2026,,Tennessee,DraftKings,Under Odds,-135,-125,10.0,-1.89,Tennessee DraftKings under -135 → -125
Win Total,2026-05-05,2026-05-06,2026,,Tennessee,FanDuel,Over Odds,-118,-114,4.0,-0.86,Tennessee FanDuel over -118 → -114
Win Total,2026-05-05,2026-05-06,2026,,Tennessee,FanDuel,Under Odds,-104,-106,-2.0,0.48,Tennessee FanDuel under -104 → -106
Win Total,2026-05-05,2026-05-06,2026,,Texas Tech,FanDuel,Over Odds,-150,-172,-22.0,3.24,Texas Tech FanDuel over -150 → -172
Win Total,2026-05-05,2026-05-06,2026,,Texas Tech,FanDuel,Under Odds,+122,+140,18.0,-3.38,Texas Tech FanDuel under +122 → +140
Win Total,2026-05-05,2026-05-06,2026,,UCLA,FanDuel,Under Odds,-128,-130,-2.0,0.38,UCLA FanDuel under -128 → -130
Win Total,2026-05-05,2026-05-06,2026,,USC,FanDuel,Over Odds,+112,+110,-2.0,0.45,USC FanDuel over +112 → +110
Win Total,2026-05-05,2026-05-06,2026,,USC,FanDuel,Under Odds,-138,-134,4.0,-0.72,USC FanDuel under -138 → -134
Win Total,2026-05-05,2026-05-06,2026,,Utah,FanDuel,Over Odds,-124,-128,-4.0,0.78,Utah FanDuel over -124 → -128
Win Total,2026-05-05,2026-05-06,2026,,Utah,FanDuel,Under Odds,+102,+104,2.0,-0.49,Utah FanDuel under +102 → +104
Win Total,2026-05-05,2026-05-06,2026,,Vanderbilt,FanDuel,Over Odds,-142,-140,2.0,-0.34,Vanderbilt FanDuel over -142 → -140
Win Total,2026-05-05,2026-05-06,2026,,Vanderbilt,FanDuel,Under Odds,+116,+114,-2.0,0.43,Vanderbilt FanDuel under +116 → +114
Win Total,2026-05-05,2026-05-06,2026,,Virginia,BetMGM,Over Odds,-160,-150,10.0,-1.54,Virginia BetMGM over -160 → -150
Win Total,2026-05-05,2026-05-06,2026,,Virginia,BetMGM,Under Odds,+125,+115,-10.0,2.07,Virginia BetMGM under +125 → +115
Win Total,2026-05-05,2026-05-06,2026,,Virginia Tech,BetMGM,Over Odds,-155,-160,-5.0,0.75,Virginia Tech BetMGM over -155 → -160
Win Total,2026-05-05,2026-05-06,2026,,Virginia Tech,BetMGM,Under Odds,+120,+125,5.0,-1.01,Virginia Tech BetMGM under +120 → +125
Win Total,2026-05-05,2026-05-06,2026,,Virginia Tech,FanDuel,Over Odds,-150,-152,-2.0,0.32,Virginia Tech FanDuel over -150 → -152
Win Total,2026-05-05,2026-05-06,2026,,Virginia Tech,FanDuel,Under Odds,+122,+124,2.0,-0.4,Virginia Tech FanDuel under +122 → +124
Win Total,2026-05-05,2026-05-06,2026,,WV,FanDuel,Over Odds,-160,-164,-4.0,0.58,WV FanDuel over -160 → -164
Win Total,2026-05-05,2026-05-06,2026,,WV,FanDuel,Under Odds,+130,+134,4.0,-0.74,WV FanDuel under +130 → +134
Win Total,2026-05-05,2026-05-06,2026,,Wake Forest,BetMGM,Over Odds,-135,-125,10.0,-1.89,Wake Forest BetMGM over -135 → -125
Win Total,2026-05-05,2026-05-06,2026,,Wake Forest,BetMGM,Under Odds,+105,+100,-5.0,1.22,Wake Forest BetMGM under +105 → +100
Win Total,2026-05-05,2026-05-06,2026,,Washington,FanDuel,Over Odds,-150,-152,-2.0,0.32,Washington FanDuel over -150 → -152
Win Total,2026-05-05,2026-05-06,2026,,Washington,FanDuel,Under Odds,+122,+124,2.0,-0.4,Washington FanDuel under +122 → +124
Win Total,2026-05-05,2026-05-06,2026,,Wisconsin,DraftKings,Over Odds,+100,-105,-205.0,1.22,Wisconsin DraftKings over +100 → -105
Win Total,2026-05-05,2026-05-06,2026,,Wisconsin,DraftKings,Under Odds,-120,-115,5.0,-1.06,Wisconsin DraftKings under -120 → -115
