team,conference,rank,combo,rating_spplus,rating_fpi,rating_teamrankings,avg_total_wins,avg_conference_wins,make_title_game_pct,conference_title_pct,lose_title_game_pct,bowl_eligibility_pct
Boston College,ACC,73,-1.5,-1.5,-2.7,-6.2,2.4063,1.7157,0.0,0.0,0.0,0.0107
UTSA,American,74,-1.5,-1.5,-5.3,-1.5,7.0067,5.6215,0.3387,0.1656,0.1731,0.8671
Stanford,ACC,75,-1.9,-1.9,-3.3,-3.0,2.142,1.5051,0.0003,0.0,0.0003,0.0051
East Carolina,American,76,-2.0,-2.0,-0.6,-3.7,7.2023,5.734,0.2811,0.1207,0.1604,0.9039
James Madison,Sun Belt,77,-2.1,-2.1,-2.0,-1.5,7.4209,6.2779,0.5795,0.3945,0.185,0.9316
Fresno State,PAC12,78,-2.3,-2.3,-2.5,2.0,7.1686,4.4187,0.2799,0.0761,0.2038,0.8765
Air Force,MW,79,-2.4,-2.4,-6.8,-7.4,7.4342,5.6246,0.3735,0.1666,0.2069,0.9159
South Florida,American,80,-2.8,-2.8,-0.9,-2.4,7.378,4.737,0.1391,0.0567,0.0824,0.9053
Miami-OH,MAC,81,-2.9,-2.9,-7.0,-10.6,8.0364,6.8139,0.815,0.5781,0.2369,0.9817
Purdue,B1G,82,-2.9,-2.9,-0.9,-2.1,1.7301,1.4082,0.0,0.0,0.0,0.001
Army,American,83,-3.0,-3.0,-5.6,-1.2,6.3492,4.8425,0.1384,0.0564,0.082,0.7094
Hawaii,MW,84,-3.9,-3.9,-2.4,-6.3,7.6328,5.2669,0.2377,0.0907,0.147,0.9369
Washington State,PAC12,85,-5.3,-5.3,-4.1,-1.6,3.9245,3.7071,0.1303,0.0263,0.104,0.1272
Western Kentucky,CUSA,86,-5.3,-5.3,-4.9,-8.4,6.9567,6.2735,0.6507,0.381,0.2697,0.8927
Tulane,American,87,-5.5,-5.5,2.3,-2.8,6.7124,4.7595,0.0921,0.0306,0.0615,0.8157
Old Dominion,Sun Belt,88,-5.8,-5.8,-4.4,-4.6,6.5651,5.4442,0.2907,0.1437,0.147,0.7767
Texas State,PAC12,89,-5.9,-5.9,-4.3,-2.0,4.7817,3.5706,0.1027,0.0167,0.086,0.3066
Troy,Sun Belt,90,-6.0,-6.0,-7.4,-7.7,6.6295,5.1738,0.2138,0.0974,0.1164,0.8079
Oregon State,PAC12,91,-6.3,-6.3,-8.1,-10.0,4.477,3.5229,0.096,0.0152,0.0808,0.2212
Liberty,CUSA,92,-6.4,-6.4,-7.7,-8.5,7.7637,6.1018,0.5689,0.3112,0.2577,0.9611
Marshall,Sun Belt,93,-6.4,-6.4,-8.8,-8.8,7.1299,5.327,0.1926,0.0891,0.1035,0.9074
Florida Atlantic,American,94,-7.1,-7.1,-11.3,-8.7,5.1908,3.4716,0.0257,0.0093,0.0164,0.4094
Western Michigan,MAC,95,-7.2,-7.2,-4.0,-8.3,6.4011,5.5723,0.4098,0.1894,0.2204,0.7506
Tulsa,American,96,-7.6,-7.6,-9.0,-10.3,4.9629,3.8545,0.0233,0.0069,0.0164,0.3358
Jacksonville State,CUSA,97,-7.7,-7.7,-8.5,-10.7,7.1483,5.696,0.3372,0.1476,0.1896,0.8924
Utah State,PAC12,98,-7.7,-7.7,-6.7,-3.8,3.2449,2.6526,0.0276,0.0025,0.0251,0.0485
Colorado State,PAC12,99,-8.3,-8.3,-12.4,-10.7,3.4508,2.5931,0.0302,0.0051,0.0251,0.0816
Louisiana Tech,Sun Belt,100,-8.3,-8.3,-9.6,-8.6,5.3574,4.8764,0.1516,0.057,0.0946,0.4579
Arkansas State,Sun Belt,101,-8.5,-8.5,-9.2,-11.0,6.3527,5.4963,0.2056,0.0776,0.128,0.7413
Temple,American,102,-8.7,-8.7,-8.6,-10.9,5.0266,3.7837,0.0171,0.0041,0.013,0.3485
Georgia Southern,Sun Belt,103,-8.9,-8.9,-8.7,-11.7,4.949,4.4527,0.0947,0.0404,0.0543,0.3512
Louisiana,Sun Belt,104,-9.1,-9.1,-8.3,-10.3,7.4447,5.6089,0.2275,0.0871,0.1404,0.938
Kennesaw State,CUSA,105,-9.3,-9.3,-9.0,-14.2,6.7136,5.3829,0.2966,0.1193,0.1773,0.8264
Wyoming,MW,106,-9.6,-9.6,-13.1,-13.3,5.1399,3.5482,0.0301,0.0075,0.0226,0.3974
Connecticut,Independent,107,-11.2,-11.2,-11.2,-10.9,3.7916,0.0,0.0,0.0,0.0,0.0952
Toledo,MAC,108,-11.5,-11.5,-3.0,-8.6,6.2291,5.3972,0.2722,0.0864,0.1858,0.6987
North Texas,American,109,-11.8,-11.8,-6.4,-8.7,4.0022,3.6413,0.0066,0.0017,0.0049,0.1101
Buffalo,MAC,110,-11.9,-11.9,-10.8,-16.5,5.343,4.8395,0.1532,0.0472,0.106,0.4624
Appalachian State,Sun Belt,111,-12.1,-12.1,-9.8,-10.9,4.9488,3.802,0.0191,0.0057,0.0134,0.3222
Nevada,MW,112,-12.2,-12.2,-11.9,-18.1,4.1605,2.9411,0.0067,0.0018,0.0049,0.1431
Central Michigan,MAC,113,-12.4,-12.4,-12.8,-12.6,5.078,4.4906,0.0947,0.0306,0.0641,0.3788
Delaware,CUSA,114,-13.0,-13.0,-6.6,-12.5,4.5709,3.8912,0.0615,0.019,0.0425,0.2521
Bowling Green,MAC,115,-13.3,-13.3,-13.7,-17.7,4.7539,4.4523,0.0655,0.0189,0.0466,0.2536
South Alabama,Sun Belt,116,-13.3,-13.3,-10.5,-10.8,4.4563,3.6577,0.0186,0.0054,0.0132,0.226
Ohio,MAC,117,-13.6,-13.6,-8.0,-10.9,5.6769,4.863,0.12,0.0342,0.0858,0.5599
Florida International,CUSA,118,-13.7,-13.7,-12.6,-15.0,5.0411,4.2044,0.0458,0.0128,0.033,0.3608
Coastal Carolina,Sun Belt,119,-13.8,-13.8,-12.1,-13.8,3.6939,2.9515,0.0063,0.0021,0.0042,0.1027
Rice,American,120,-14.7,-14.7,-13.4,-15.2,2.2005,1.7794,0.0004,0.0001,0.0003,0.0089
Eastern Michigan,MAC,121,-15.0,-15.0,-16.3,-13.9,5.1261,4.4261,0.0597,0.0136,0.0461,0.3947
San Jose State,MW,122,-15.5,-15.5,-14.3,-14.9,3.0883,2.3595,0.0019,0.0003,0.0016,0.0401
New Mexico State,CUSA,123,-16.4,-16.4,-15.7,-18.4,3.7879,3.5616,0.0361,0.0082,0.0279,0.1055
UAB,American,124,-18.1,-18.1,-15.5,-18.2,2.698,1.722,0.0,0.0,0.0,0.0053
Northern Illinois,MW,125,-18.2,-18.2,-14.5,-20.6,2.3808,1.6727,0.0001,0.0,0.0001,0.0048
Missouri State,CUSA,126,-18.7,-18.7,-10.3,-18.9,2.5297,2.3395,0.0031,0.0009,0.0022,0.0088
Akron,MAC,127,-19.5,-19.5,-16.9,-17.9,2.6472,2.5807,0.003,0.0007,0.0023,0.0112
Kent State,MAC,128,-20.1,-20.1,-17.9,-22.1,2.877,2.8289,0.0034,0.0005,0.0029,0.0147
UTEP,MW,129,-20.5,-20.5,-16.6,-21.0,1.6633,1.5196,0.0,0.0,0.0,0.001
Sacramento State,MAC,130,-22.7,-22.7,-10.4,-19.2,2.9363,2.8227,0.003,0.0004,0.0026,0.0203
Southern Miss,Sun Belt,131,-23.3,-23.3,-5.1,-17.7,1.4085,1.1885,0.0,0.0,0.0,0.0
UL-Monroe,Sun Belt,132,-24.3,-24.3,-19.3,-19.8,1.3743,1.1047,0.0,0.0,0.0,0.0005
Georgia State,Sun Belt,133,-25.1,-25.1,-15.2,-19.4,1.0066,0.6384,0.0,0.0,0.0,0.0001
Ball State,MAC,134,-25.2,-25.2,-17.3,-23.0,2.0254,1.987,0.0005,0.0,0.0005,0.0022
Middle Tennessee,CUSA,135,-26.0,-26.0,-16.1,-20.9,1.4298,1.2254,0.0001,0.0,0.0001,0.0005
Sam Houston,CUSA,136,-26.3,-26.3,-18.4,-24.1,1.4406,1.3237,0.0,0.0,0.0,0.0002
Massachusetts,MAC,137,-30.9,-30.9,-18.8,-28.5,0.9655,0.9258,0.0,0.0,0.0,0.0
Charlotte,American,138,-32.4,-32.4,-14.6,-23.3,0.244,0.1761,0.0,0.0,0.0,0.0
