snapshot_prev,snapshot_latest,team,book,previous_win_total,latest_win_total,previous_over_odds,latest_over_odds,previous_under_odds,latest_under_odds,source_file
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,BYU,FanDuel,8.5,8.5,-130.0,-132.0,106.0,108.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Baylor,FanDuel,6.5,6.5,140.0,142.0,-172.0,-176.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Boston College,FanDuel,3.5,3.5,118.0,114.0,-144.0,-140.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Clemson,FanDuel,7.5,7.5,-130.0,-132.0,106.0,108.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Duke,FanDuel,5.5,5.5,-138.0,-134.0,112.0,110.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Florida,FanDuel,7.5,7.5,112.0,118.0,-140.0,-144.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Florida State,BetMGM,6.5,6.5,135.0,150.0,-175.0,-200.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Houston,FanDuel,7.5,7.5,-160.0,-162.0,130.0,132.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Illinois,FanDuel,7.5,7.5,148.0,146.0,-184.0,-180.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Indiana,FanDuel,10.5,10.5,-114.0,-112.0,-106.0,-108.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Iowa State,FanDuel,4.5,4.5,-164.0,-168.0,134.0,136.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Minnesota,FanDuel,6.5,6.5,128.0,126.0,-158.0,-154.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Mississippi State,FanDuel,4.5,4.5,-120.0,-118.0,-102.0,-104.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Ohio,Caesars,6.5,6.5,-165.0,-150.0,130.0,120.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Ohio State,FanDuel,9.5,9.5,-168.0,-160.0,136.0,130.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Oklahoma,FanDuel,7.5,7.5,-115.0,-118.0,-105.0,-104.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Oklahoma State,FanDuel,5.5,5.5,-176.0,-172.0,142.0,140.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Ole Miss,FanDuel,7.5,7.5,-176.0,-172.0,140.0,140.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Oregon,FanDuel,10.5,10.5,114.0,112.0,-140.0,-138.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Penn State,FanDuel,8.5,8.5,-150.0,-152.0,122.0,124.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Pittsburgh,FanDuel,7.5,7.5,-148.0,-150.0,122.0,122.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Purdue,FanDuel,3.5,3.5,122.0,126.0,-150.0,-154.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Rutgers,FanDuel,4.5,4.5,-144.0,-142.0,118.0,116.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,SMU,FanDuel,8.5,8.5,-140.0,-140.0,114.0,112.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,South Carolina,FanDuel,6.5,6.5,116.0,114.0,-142.0,-140.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Stanford,FanDuel,3.5,3.5,-120.0,-122.0,-102.0,100.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Tennessee,FanDuel,7.5,7.5,-112.0,-114.0,-108.0,-106.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Texas,FanDuel,9.5,9.5,110.0,108.0,-134.0,-132.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Texas Tech,FanDuel,10.5,10.5,-220.0,-215.0,176.0,172.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,UCLA,FanDuel,6.5,6.5,118.0,116.0,-144.0,-142.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,USC,FanDuel,8.5,8.5,112.0,110.0,-138.0,-134.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Utah,FanDuel,8.5,8.5,-132.0,-134.0,108.0,110.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Vanderbilt,FanDuel,5.5,5.5,-140.0,-140.0,114.0,112.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Virginia,FanDuel,7.5,7.5,-168.0,-170.0,136.0,138.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Virginia Tech,FanDuel,6.5,6.5,-154.0,-152.0,126.0,124.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,WV,FanDuel,5.5,5.5,-160.0,-158.0,130.0,128.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Wake Forest,FanDuel,5.5,5.5,-130.0,-128.0,106.0,104.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Washington,FanDuel,7.5,7.5,-150.0,-152.0,122.0,124.0,market_win_totals_history.csv
2026-07-05T12:26:56+00:00,2026-07-06T12:00:57+00:00,Alabama,FanDuel,8.5,8.5,-118.0,-118.0,-102.0,-104.0,market_win_totals_history.csv
2026-07-05T12:26:56+00:00,2026-07-06T12:00:57+00:00,Arizona,FanDuel,7.5,7.5,112.0,112.0,-138.0,-140.0,market_win_totals_history.csv
2026-07-05T12:26:56+00:00,2026-07-06T12:00:57+00:00,BYU,Caesars,8.5,8.5,-125.0,-130.0,-105.0,100.0,market_win_totals_history.csv
2026-07-05T12:26:56+00:00,2026-07-06T12:00:57+00:00,Cincinnati,FanDuel,5.5,5.5,118.0,120.0,-144.0,-148.0,market_win_totals_history.csv
2026-07-05T12:26:56+00:00,2026-07-06T12:00:57+00:00,Houston,FanDuel,7.5,7.5,-162.0,-170.0,132.0,138.0,market_win_totals_history.csv
2026-07-05T12:26:56+00:00,2026-07-06T12:00:57+00:00,Kansas State,FanDuel,8.5,8.5,-106.0,-105.0,-114.0,-115.0,market_win_totals_history.csv
2026-07-05T12:26:56+00:00,2026-07-06T12:00:57+00:00,Notre Dame,Caesars,11.5,11.5,165.0,150.0,-220.0,-205.0,market_win_totals_history.csv
2026-07-05T12:26:56+00:00,2026-07-06T12:00:57+00:00,Ole Miss,Caesars,7.5,7.5,-200.0,-195.0,160.0,155.0,market_win_totals_history.csv
2026-07-05T12:26:56+00:00,2026-07-06T12:00:57+00:00,Oregon,Caesars,10.5,10.5,115.0,105.0,-150.0,-135.0,market_win_totals_history.csv
2026-07-05T12:26:56+00:00,2026-07-06T12:00:57+00:00,UNLV,DraftKings,7.5,7.5,-130.0,-160.0,100.0,125.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,Arizona,FanDuel,7.5,7.5,112.0,112.0,-140.0,-138.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,Baylor,FanDuel,6.5,6.5,142.0,140.0,-176.0,-172.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,Boston College,FanDuel,3.5,3.5,114.0,116.0,-140.0,-142.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,California,FanDuel,6.5,6.5,118.0,120.0,-144.0,-148.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,Cincinnati,FanDuel,5.5,5.5,120.0,118.0,-148.0,-144.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,Clemson,FanDuel,7.5,7.5,-132.0,-130.0,108.0,106.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,Florida State,Caesars,6.5,6.5,145.0,140.0,-190.0,-180.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,Georgia Tech,FanDuel,6.5,6.5,108.0,110.0,-132.0,-134.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,Iowa State,FanDuel,4.5,4.5,-168.0,-150.0,136.0,122.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,Kansas State,FanDuel,8.5,8.5,-105.0,-106.0,-115.0,-114.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,Miami Florida,FanDuel,10.5,10.5,-128.0,-124.0,104.0,102.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,Nebraska,Caesars,6.5,6.5,130.0,115.0,-160.0,-145.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,Oklahoma State,FanDuel,5.5,5.5,-172.0,-176.0,140.0,140.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,Pittsburgh,FanDuel,7.5,7.5,-150.0,-148.0,122.0,122.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,SMU,FanDuel,8.5,8.5,-140.0,-138.0,112.0,112.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,USC,Caesars,8.5,8.5,-130.0,-115.0,100.0,-115.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,Utah,Caesars,8.5,8.5,-150.0,-135.0,115.0,105.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,Virginia,FanDuel,7.5,7.5,-170.0,-168.0,138.0,136.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,Virginia Tech,FanDuel,6.5,6.5,-152.0,-160.0,124.0,130.0,market_win_totals_history.csv
2026-07-06T12:00:57+00:00,2026-07-07T12:11:37+00:00,WV,FanDuel,5.5,5.5,-158.0,-160.0,128.0,130.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,California,FanDuel,6.5,6.5,120.0,118.0,-148.0,-144.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Clemson,FanDuel,7.5,7.5,-130.0,-132.0,106.0,108.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Florida,FanDuel,7.5,7.5,118.0,120.0,-144.0,-148.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Georgia,FanDuel,9.5,9.5,-176.0,-172.0,142.0,140.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Maryland,Caesars,4.5,4.5,-180.0,-200.0,140.0,150.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Michigan,FanDuel,8.5,8.5,136.0,138.0,-168.0,-170.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Missouri,Caesars,6.5,6.5,-125.0,-130.0,-105.0,100.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Missouri,FanDuel,6.5,6.5,-110.0,-108.0,-110.0,-112.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Missouri State,DraftKings,4.5,4.5,120.0,130.0,-152.0,-170.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,North Texas,DraftKings,5.5,5.5,-150.0,-130.0,120.0,100.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Northern Illinois Huskies,DraftKings,3.5,3.5,-136.0,-120.0,105.0,-110.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Ohio Bobcats,DraftKings,6.5,6.5,-150.0,-130.0,120.0,100.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Oklahoma,FanDuel,7.5,7.5,-118.0,-130.0,-104.0,106.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Sacramento State Hornets,DraftKings,4.5,4.5,-140.0,-125.0,110.0,-105.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Southern Miss,DraftKings,3.5,3.5,-150.0,-130.0,120.0,100.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Tennessee,FanDuel,7.5,7.5,-114.0,-114.0,-106.0,-108.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Texas,FanDuel,9.5,9.5,108.0,110.0,-132.0,-134.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,UConn Huskies,DraftKings,5.5,5.5,-146.0,-105.0,115.0,-125.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,UNLV,DraftKings,7.5,7.5,-160.0,-174.0,125.0,134.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Utah State,DraftKings,5.5,5.5,144.0,175.0,-190.0,-230.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Vanderbilt,FanDuel,5.5,5.5,-140.0,-138.0,112.0,112.0,market_win_totals_history.csv
2026-07-07T12:11:37+00:00,2026-07-08T12:05:59+00:00,Western Michigan,DraftKings,7.5,6.5,120.0,-160.0,-150.0,125.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,Auburn,FanDuel,6.5,6.5,-118.0,-115.0,-104.0,-105.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,Baylor,FanDuel,6.5,6.5,140.0,140.0,-172.0,-176.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,Boston College,FanDuel,3.5,3.5,116.0,110.0,-142.0,-134.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,California,FanDuel,6.5,6.5,118.0,120.0,-144.0,-148.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,FL Atlantic,BetMGM,5.5,5.5,-125.0,-160.0,-105.0,125.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,Florida Atlantic,Caesars,5.5,5.5,-125.0,-160.0,-105.0,120.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,Florida Atlantic,DraftKings,5.5,5.5,-125.0,-160.0,-105.0,125.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,Georgia Tech,FanDuel,6.5,6.5,110.0,118.0,-134.0,-144.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,Minnesota,FanDuel,6.5,6.5,126.0,128.0,-154.0,-158.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,Mississippi State,FanDuel,4.5,4.5,-118.0,-130.0,-104.0,106.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,Missouri,FanDuel,6.5,6.5,-108.0,-106.0,-112.0,-114.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,North Dakota St.,Caesars,9.5,9.5,180.0,180.0,-220.0,-240.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,Ole Miss,FanDuel,7.5,7.5,-172.0,-172.0,140.0,138.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,Pittsburgh,FanDuel,7.5,7.5,-148.0,-150.0,122.0,122.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,South Carolina,FanDuel,6.5,6.5,114.0,116.0,-140.0,-142.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,Stanford,FanDuel,3.5,3.5,-122.0,-124.0,100.0,102.0,market_win_totals_history.csv
2026-07-08T12:05:59+00:00,2026-07-09T12:20:58+00:00,Tennessee,FanDuel,7.5,7.5,-114.0,-114.0,-108.0,-106.0,market_win_totals_history.csv
2026-07-09T12:20:58+00:00,2026-07-10T12:01:41+00:00,Arizona State,FanDuel,6.5,6.5,-110.0,-112.0,-110.0,-110.0,market_win_totals_history.csv
2026-07-09T12:20:58+00:00,2026-07-10T12:01:41+00:00,BYU,FanDuel,8.5,8.5,-132.0,-142.0,108.0,116.0,market_win_totals_history.csv
2026-07-09T12:20:58+00:00,2026-07-10T12:01:41+00:00,Baylor,FanDuel,6.5,6.5,140.0,152.0,-176.0,-188.0,market_win_totals_history.csv
2026-07-09T12:20:58+00:00,2026-07-10T12:01:41+00:00,California,Caesars,6.5,6.5,-105.0,110.0,-125.0,-140.0,market_win_totals_history.csv
2026-07-09T12:20:58+00:00,2026-07-10T12:01:41+00:00,Central Florida,FanDuel,5.5,5.5,-158.0,-158.0,128.0,130.0,market_win_totals_history.csv
2026-07-09T12:20:58+00:00,2026-07-10T12:01:41+00:00,Colorado,FanDuel,4.5,4.5,134.0,132.0,-164.0,-162.0,market_win_totals_history.csv
2026-07-09T12:20:58+00:00,2026-07-10T12:01:41+00:00,Houston,FanDuel,7.5,7.5,-170.0,-172.0,138.0,140.0,market_win_totals_history.csv
2026-07-09T12:20:58+00:00,2026-07-10T12:01:41+00:00,Iowa State,BetMGM,5.5,4.5,125.0,-145.0,-160.0,110.0,market_win_totals_history.csv
2026-07-09T12:20:58+00:00,2026-07-10T12:01:41+00:00,Iowa State,FanDuel,4.5,4.5,-150.0,-152.0,122.0,124.0,market_win_totals_history.csv
2026-07-09T12:20:58+00:00,2026-07-10T12:01:41+00:00,Kansas,FanDuel,5.5,5.5,-164.0,-168.0,134.0,136.0,market_win_totals_history.csv
2026-07-09T12:20:58+00:00,2026-07-10T12:01:41+00:00,Kansas State,FanDuel,8.5,8.5,-106.0,104.0,-114.0,-128.0,market_win_totals_history.csv
2026-07-09T12:20:58+00:00,2026-07-10T12:01:41+00:00,Maryland,FanDuel,4.5,4.5,-194.0,-192.0,156.0,154.0,market_win_totals_history.csv
2026-07-09T12:20:58+00:00,2026-07-10T12:01:41+00:00,Oklahoma State,FanDuel,5.5,5.5,-176.0,-176.0,140.0,142.0,market_win_totals_history.csv
2026-07-09T12:20:58+00:00,2026-07-10T12:01:41+00:00,Ole Miss,Caesars,7.5,7.5,-195.0,-180.0,155.0,140.0,market_win_totals_history.csv
2026-07-09T12:20:58+00:00,2026-07-10T12:01:41+00:00,Ole Miss,FanDuel,7.5,7.5,-172.0,-170.0,138.0,138.0,market_win_totals_history.csv
2026-07-09T12:20:58+00:00,2026-07-10T12:01:41+00:00,Syracuse,FanDuel,4.5,4.5,-102.0,100.0,-120.0,-122.0,market_win_totals_history.csv
2026-07-10T12:01:41+00:00,2026-07-11T12:26:50+00:00,Alabama,BetMGM,8.5,8.5,-125.0,-120.0,100.0,-105.0,market_win_totals_history.csv
2026-07-10T12:01:41+00:00,2026-07-11T12:26:50+00:00,Arkansas St,BetMGM,6.5,5.5,120.0,-200.0,-150.0,155.0,market_win_totals_history.csv
2026-07-10T12:01:41+00:00,2026-07-11T12:26:50+00:00,BYU,BetMGM,8.5,8.5,-125.0,-150.0,100.0,115.0,market_win_totals_history.csv
2026-07-10T12:01:41+00:00,2026-07-11T12:26:50+00:00,BYU,Caesars,8.5,8.5,-130.0,-150.0,100.0,120.0,market_win_totals_history.csv
2026-07-10T12:01:41+00:00,2026-07-11T12:26:50+00:00,Baylor,BetMGM,6.5,6.5,140.0,150.0,-185.0,-190.0,market_win_totals_history.csv
2026-07-10T12:01:41+00:00,2026-07-11T12:26:50+00:00,Colorado St,BetMGM,3.5,3.5,-130.0,-150.0,100.0,115.0,market_win_totals_history.csv
2026-07-10T12:01:41+00:00,2026-07-11T12:26:50+00:00,Louisville,BetMGM,7.5,8.5,-200.0,135.0,150.0,-175.0,market_win_totals_history.csv
2026-07-10T12:01:41+00:00,2026-07-11T12:26:50+00:00,Marshall,BetMGM,7.5,7.5,125.0,105.0,-160.0,-135.0,market_win_totals_history.csv
2026-07-10T12:01:41+00:00,2026-07-11T12:26:50+00:00,Michigan St,BetMGM,4.5,4.5,140.0,120.0,-185.0,-155.0,market_win_totals_history.csv
2026-07-10T12:01:41+00:00,2026-07-11T12:26:50+00:00,Missouri St,BetMGM,4.5,4.5,120.0,130.0,-155.0,-165.0,market_win_totals_history.csv
2026-07-10T12:01:41+00:00,2026-07-11T12:26:50+00:00,North Texas,BetMGM,6.5,5.5,150.0,-130.0,-200.0,100.0,market_win_totals_history.csv
2026-07-10T12:01:41+00:00,2026-07-11T12:26:50+00:00,Sac State,BetMGM,4.5,4.5,-130.0,-125.0,100.0,-105.0,market_win_totals_history.csv
2026-07-10T12:01:41+00:00,2026-07-11T12:26:50+00:00,Southern Miss,BetMGM,4.5,3.5,155.0,-135.0,-200.0,105.0,market_win_totals_history.csv
2026-07-10T12:01:41+00:00,2026-07-11T12:26:50+00:00,Texas Tech,DraftKings,10.5,10.5,-190.0,-200.0,154.0,160.0,market_win_totals_history.csv
2026-07-10T12:01:41+00:00,2026-07-11T12:26:50+00:00,W. Michigan,BetMGM,7.5,7.5,120.0,135.0,-155.0,-175.0,market_win_totals_history.csv
2026-07-11T12:26:50+00:00,2026-07-12T01:26:46+00:00,Boise State,DraftKings,8.5,8.5,230.0,200.0,-320.0,-270.0,market_win_totals_history.csv
2026-07-11T12:26:50+00:00,2026-07-12T01:26:46+00:00,Iowa State,Caesars,5.5,5.5,135.0,145.0,-165.0,-180.0,market_win_totals_history.csv
