team,book,win_total,over_odds,under_odds,snapshot_ts,source_file
Ole Miss,DraftKings,7.5,-140.0,120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Ole Miss,FanDuel,7.5,-176.0,140.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Oregon,BetMGM,10.5,110.0,-145.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Oregon,Caesars,10.5,115.0,-150.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Oregon,DraftKings,10.5,100.0,-120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Oregon,FanDuel,10.5,114.0,-140.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Oregon St,BetMGM,3.5,-150.0,120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Oregon State Beavers,DraftKings,4.5,154.0,-200.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Penn State,BetMGM,8.5,-165.0,130.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Penn State,Caesars,9.5,135.0,-170.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Penn State,DraftKings,8.5,-166.0,130.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Penn State,FanDuel,8.5,-150.0,122.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Pittsburgh,BetMGM,7.5,-155.0,120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Pittsburgh,Caesars,7.5,-135.0,105.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Pittsburgh,DraftKings,7.5,-146.0,125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Pittsburgh,FanDuel,7.5,-148.0,122.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Purdue,BetMGM,3.5,115.0,-145.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Purdue,Caesars,3.5,110.0,-140.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Purdue,FanDuel,3.5,122.0,-150.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Purdue Boilermakers,DraftKings,3.5,100.0,-120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
