season,week,game_id,away_team,home_team,home_key,away_key,mapping_status,archive_row
2025,10,401752757,Oklahoma,Tennessee,tennessee,oklahoma,matched,506.0
2025,10,401752758,Vanderbilt,Texas,texas,vanderbilt,matched,507.0
2025,11,401752759,LSU,Alabama,alabama,lsu,matched,517.0
2025,11,401752760,Florida,Kentucky,kentucky,florida,matched,535.0
2025,11,401752763,Texas A&M,Missouri,missouri,texas a m,matched,544.0
2025,11,401752764,Auburn,Vanderbilt,vanderbilt,auburn,matched,563.0
2025,12,401752765,Oklahoma,Alabama,alabama,oklahoma,matched,568.0
2025,12,401752766,Texas,Georgia,georgia,texas,matched,583.0
2025,12,401752768,Arkansas,LSU,lsu,arkansas,matched,590.0
2025,12,401752769,Florida,Ole Miss,ole miss,florida,matched,597.0
2025,12,401752772,South Carolina,Texas A&M,texas a m,south carolina,matched,613.0
2025,13,401752775,Tennessee,Florida,florida,tennessee,matched,636.0
2025,13,401752776,Charlotte,Georgia,georgia,charlotte,matched,640.0
2025,13,401752778,Missouri,Oklahoma,oklahoma,missouri,matched,660.0
2025,13,401752780,Arkansas,Texas,texas,arkansas,matched,670.0
2025,13,401752782,Kentucky,Vanderbilt,vanderbilt,kentucky,matched,680.0
2025,14,401752783,Missouri,Arkansas,arkansas,missouri,matched,687.0
2025,14,401752784,Alabama,Auburn,auburn,alabama,matched,688.0
2025,14,401752785,Florida State,Florida,florida,florida state,matched,699.0
2025,14,401752787,Kentucky,Louisville,louisville,kentucky,matched,709.0
2025,14,401752789,LSU,Oklahoma,oklahoma,lsu,matched,726.0
2025,14,401752790,Clemson,South Carolina,south carolina,clemson,matched,734.0
2025,14,401752791,Vanderbilt,Tennessee,tennessee,vanderbilt,matched,740.0
2025,14,401752792,Texas A&M,Texas,texas,texas a m,matched,741.0
2025,4,401752841,Oregon State,Oregon,oregon,oregon state,matched,179.0
2025,4,401752843,Illinois,Indiana,indiana,illinois,matched,162.0
2025,4,401752844,Iowa,Rutgers,rutgers,iowa,matched,180.0
2025,4,401752845,Maryland,Wisconsin,wisconsin,maryland,matched,194.0
2025,4,401752846,Michigan,Nebraska,nebraska,michigan,matched,175.0
2025,4,401752847,Michigan State,USC,usc,michigan state,matched,186.0
2025,4,401752848,Purdue,Notre Dame,notre dame,purdue,matched,176.0
2025,5,401752849,Rutgers,Minnesota,minnesota,rutgers,matched,216.0
2025,5,401752850,USC,Illinois,illinois,usc,matched,207.0
2025,5,401752851,UCLA,Northwestern,northwestern,ucla,matched,226.0
2025,5,401752852,Ohio State,Washington,washington,ohio state,matched,244.0
2025,5,401752853,Indiana,Iowa,iowa,indiana,matched,208.0
2025,5,401752854,Oregon,Penn State,penn state,oregon,matched,231.0
2025,6,401752855,Penn State,UCLA,ucla,penn state,matched,293.0
2025,6,401752856,Wisconsin,Michigan,michigan,wisconsin,matched,270.0
2025,6,401752857,Washington,Maryland,maryland,washington,matched,267.0
2025,6,401752859,Minnesota,Ohio State,ohio state,minnesota,matched,278.0
2025,6,401752860,Michigan State,Nebraska,nebraska,michigan state,matched,272.0
2025,6,401752861,Illinois,Purdue,purdue,illinois,matched,282.0
2025,7,401752862,Rutgers,Washington,washington,rutgers,matched,348.0
2025,7,401752863,UCLA,Michigan State,michigan state,ucla,matched,322.0
2025,7,401752864,Purdue,Minnesota,minnesota,purdue,matched,324.0
2025,7,401752865,Ohio State,Illinois,illinois,ohio state,matched,314.0
2025,7,401752866,Northwestern,Penn State,penn state,northwestern,matched,333.0
2025,7,401752867,Nebraska,Maryland,maryland,nebraska,matched,321.0
2025,7,401752868,Michigan,USC,usc,michigan,matched,345.0
2025,7,401752869,Iowa,Wisconsin,wisconsin,iowa,matched,350.0
2025,7,401752870,Indiana,Oregon,oregon,indiana,matched,331.0
2025,8,401752871,USC,Notre Dame,notre dame,usc,matched,391.0
2025,8,401752872,Nebraska,Minnesota,minnesota,nebraska,matched,387.0
2025,8,401752873,Washington,Michigan,michigan,washington,matched,386.0
2025,8,401752874,Purdue,Northwestern,northwestern,purdue,matched,390.0
2025,8,401752875,Penn State,Iowa,iowa,penn state,matched,375.0
2025,8,401752876,Oregon,Rutgers,rutgers,oregon,matched,394.0
2025,8,401752877,Ohio State,Wisconsin,wisconsin,ohio state,matched,410.0
2025,8,401752878,Michigan State,Indiana,indiana,michigan state,matched,374.0
2025,8,401752879,Maryland,UCLA,ucla,maryland,matched,405.0
2025,9,401752880,Illinois,Washington,washington,illinois,matched,460.0
2025,9,401752881,Michigan,Michigan State,michigan state,michigan,matched,436.0
2025,9,401752882,Minnesota,Iowa,iowa,minnesota,matched,425.0
2025,9,401752883,Northwestern,Nebraska,nebraska,northwestern,matched,439.0
2025,9,401752884,Rutgers,Purdue,purdue,rutgers,matched,449.0
2025,9,401752885,UCLA,Indiana,indiana,ucla,matched,424.0
2025,9,401752886,Wisconsin,Oregon,oregon,wisconsin,matched,447.0
2025,10,401752887,Indiana,Maryland,maryland,indiana,matched,487.0
2025,10,401752888,Michigan State,Minnesota,minnesota,michigan state,matched,490.0
2025,10,401752889,Penn State,Ohio State,ohio state,penn state,matched,496.0
2025,10,401752890,Purdue,Michigan,michigan,purdue,matched,488.0
2025,10,401752891,Rutgers,Illinois,illinois,rutgers,matched,479.0
2025,10,401752892,USC,Nebraska,nebraska,usc,matched,494.0
2025,11,401752893,Indiana,Penn State,penn state,indiana,matched,550.0
2025,11,401752894,Maryland,Rutgers,rutgers,maryland,matched,553.0
2025,11,401752895,Nebraska,UCLA,ucla,nebraska,matched,559.0
2025,11,401752896,Northwestern,USC,usc,northwestern,matched,560.0
2025,11,401752897,Ohio State,Purdue,purdue,ohio state,matched,551.0
2025,11,401752898,Oregon,Iowa,iowa,oregon,matched,534.0
2025,11,401752899,Washington,Wisconsin,wisconsin,washington,matched,566.0
2025,12,401752900,UCLA,Ohio State,ohio state,ucla,matched,604.0
2025,12,401752901,Wisconsin,Indiana,indiana,wisconsin,matched,587.0
2025,12,401752902,Purdue,Washington,washington,purdue,matched,621.0
2025,12,401752903,Penn State,Michigan State,michigan state,penn state,matched,596.0
2025,12,401752904,Minnesota,Oregon,oregon,minnesota,matched,607.0
2025,12,401752905,Michigan,Northwestern,northwestern,michigan,matched,603.0
2025,12,401752906,Maryland,Illinois,illinois,maryland,matched,586.0
2025,12,401752907,Iowa,USC,usc,iowa,matched,619.0
2025,13,401752908,Nebraska,Penn State,penn state,nebraska,matched,662.0
2025,13,401752909,Minnesota,Northwestern,northwestern,minnesota,matched,656.0
2025,13,401752910,Washington,UCLA,ucla,washington,matched,676.0
2025,13,401752911,USC,Oregon,oregon,usc,matched,661.0
2025,13,401752912,Rutgers,Ohio State,ohio state,rutgers,matched,659.0
2025,13,401752913,Michigan State,Iowa,iowa,michigan state,matched,644.0
2025,13,401752914,Michigan,Maryland,maryland,michigan,matched,651.0
2025,13,401752915,Illinois,Wisconsin,wisconsin,illinois,matched,683.0
2025,14,401752916,Iowa,Nebraska,nebraska,iowa,matched,720.0
2025,14,401752917,Oregon,Washington,washington,oregon,matched,749.0
2025,14,401752918,Wisconsin,Minnesota,minnesota,wisconsin,matched,716.0
2025,14,401752919,UCLA,USC,usc,ucla,matched,746.0
2025,14,401752920,Penn State,Rutgers,rutgers,penn state,matched,731.0
