game_id,away_team,home_team,has_site_spread,has_site_total,has_dratings_spread,has_dratings_total,has_fpi_spread,has_fpi_total,has_massey_spread,has_massey_total,has_sp_spread,has_sp_total,has_sagarin_predictor_spread,has_sagarin_predictor_total,has_sagarin_rating_spread,has_sagarin_rating_total,has_teamrankings_spread,has_teamrankings_total
g93,Austin Peay,Vanderbilt,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g94,VMI,Virginia Tech,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g95,Washington State,Washington,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g96,Coastal Carolina,West Virginia,True,True,True,True,True,False,False,False,True,True,False,False,True,False,True,False
g97,Wisconsin,Notre Dame,True,True,True,True,True,False,False,False,True,True,False,False,True,False,True,False
g98,Louisville,Ole Miss,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g99,SMU,Florida State,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g100,Florida A&M,Miami-FL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g101,Rutgers,Boston College,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g102,Missouri,Kansas,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g103,Villanova,Louisville,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g104,North Dakota State,Air Force,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g105,Robert Morris,Akron,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g106,West Georgia,Arkansas State,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g107,South Florida,Army,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g108,Southern Miss,Auburn,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g109,Arizona,BYU,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g110,Stony Brook,Ball State,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g111,Prairie View A&M,Baylor,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g112,Memphis,Boise State,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g113,Colgate,Central Michigan,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g114,Western Carolina,Cincinnati,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g115,Georgia Southern,Clemson,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g116,Fordham,Coastal Carolina,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g117,Weber State,Colorado,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g118,Southern Utah,Colorado State,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g119,Maryland,Connecticut,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g120,Appalachian State,East Carolina,True,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False
g121,Campbell,Florida,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g122,Navy,Florida Atlantic,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g123,Buffalo,Florida International,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g124,Sacramento State,Fresno State,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g125,Western Kentucky,Georgia,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g126,Tennessee,Georgia Tech,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g127,New Mexico State,Hawaii,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g128,Southern,Houston,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g129,Duke,Illinois,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g130,Howard,Indiana,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g131,Iowa State,Iowa,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
g132,Wagner,James Madison,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g133,Washington State,Kansas State,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False
