source,date,away,home,matched,game_id,match_method,status,rows
Massey Games,2026-09-05,Northwestern LA,Louisiana Tech,True,g54,exact,,
Massey Games,2026-09-05,FL Atlantic,Florida,True,g39,exact,,
Massey Games,2026-09-05,Utah Tech,BYU,True,g31,exact,,
Massey Games,2026-09-05,Toledo,Michigan St,True,g58,exact,,
Massey Games,2026-09-05,Ark Pine Bluff,Missouri,False,,unmatched,,
Massey Games,2026-09-05,S Dakota St,Northwestern,True,g67,exact,,
Massey Games,2026-09-05,Lamar,Louisiana,True,g53,exact,,
Massey Games,2026-09-05,Hampton,Maryland,True,g55,exact,,
Massey Games,2026-09-05,Morgan St,Arizona St,True,g27,exact,,
Massey Games,2026-09-05,Fresno St,USC,True,g90,exact,,
Massey Games,2026-09-05,Mercyhurst,New Mexico St,True,g65,exact,,
Massey Games,2026-09-05,Northern Arizona,Arizona,True,g26,exact,,
Massey Games,2026-09-05,Portland St,San Diego St,True,g77,exact,,
Massey Games,2026-09-05,MS Valley St,CS Sacramento,False,,unmatched,,
Massey Games,2026-09-05,UNLV,Hawaii,True,g42,exact,,
Massey Games,2026-09-05,C Michigan,New Mexico,True,g64,exact,,
Massey Games,2026-09-05,UCLA,California,True,g33,exact,,
Massey Games,2026-09-05,WKU,Nevada,True,g63,exact,,
Massey Games,2026-09-06,Notre Dame,Wisconsin,True,g97,neutral_reversed,,
Massey Games,2026-09-07,SMU,Florida St,True,g99,exact,,
Massey Games,2026-09-03,Massachusetts,Rutgers,True,g16,exact,,
Massey Games,2026-09-03,Bethune-Cookman,UCF,True,g10,exact,,
Massey Games,2026-09-03,Akron,Wake Forest,True,g18,exact,,
Massey Games,2026-09-03,SUNY Albany,Buffalo,False,,unmatched,,
Massey Games,2026-09-03,West Georgia,Kennesaw,True,g13,exact,,
Massey Games,2026-09-03,Colorado,Georgia Tech,True,g12,exact,,
Massey Games,2026-09-03,E Illinois,Minnesota,True,g14,exact,,
Massey Games,2026-09-03,Idaho,Utah,True,g17,exact,,
Massey Games,2026-09-03,UAB,Illinois,True,g44,exact,,
Massey Games,2026-09-04,LIU Post,Kansas,False,,unmatched,,
Massey Games,2026-09-04,UTEP,Oklahoma,True,g69,date_tolerance,,
Massey Games,2026-09-04,Miami FL,Stanford,True,g22,exact,,
Massey Games,2026-09-05,East Carolina,Alabama,True,g24,exact,,
