market,season,bucket,n,opener_n,direction_n,direction_accuracy,positive_clv_rate,average_clv,median_clv,mae,median_ae,signed_error,overshoot_rate,undershoot_rate,wrong_direction_rate,unchanged_rate,average_abs_adjustment,actual_result_mae
spread,2023,1.0-1.5,9,8,3,0.6666666666666666,0.25,0.1875,0.0,12.300332689568775,12.987016590512775,-0.8913753368134402,0.3333333333333333,0.0,0.3333333333333333,0.0,1.1941756888585051,11.861111281056868
spread,2024,0-0.5,618,617,386,0.5569948186528497,0.3719723183391003,0.1375432525951557,0.0,6.9918442190534345,5.551062990123631,0.9527634865902069,0.4430051813471503,0.05699481865284974,0.4430051813471503,0.06310679611650485,0.173568541523813,14.10222877533655
spread,2024,0.5-1.0,79,78,57,0.5614035087719298,0.4266666666666667,0.14,0.5,10.263837168723496,10.194403984206868,0.6621299227904157,0.49122807017543857,0.05263157894736842,0.43859649122807015,0.0379746835443038,0.6361693779087643,16.799935760037272
spread,2024,1.0-1.5,12,12,9,0.4444444444444444,0.3333333333333333,-0.08333333333333333,0.25,16.46542943866133,15.932177479115662,8.860792210121316,0.4444444444444444,0.0,0.5555555555555556,0.0,1.1666627120323787,17.980995069729136
spread,2024,1.5-2.0,1,1,1,1.0,1.0,1.0,1.0,26.60114287710814,26.60114287710814,26.60114287710814,1.0,0.0,0.0,0.0,1.598857122891862,45.10114287710814
spread,2025,0-0.5,621,617,438,0.5182648401826484,0.3893653516295026,0.23927958833619212,0.0,7.483741872283762,5.5791354527592105,1.6920093193693477,0.410958904109589,0.06164383561643835,0.4817351598173516,0.05475040257648953,0.16917897528185896,14.485711495238222
spread,2025,0.5-1.0,87,85,63,0.6666666666666666,0.5185185185185185,0.8395061728395061,1.0,10.512220822637731,7.605309511271305,0.0646931834345068,0.5873015873015873,0.06349206349206349,0.3333333333333333,0.04597701149425287,0.663371934793197,15.600685510772019
spread,2025,1.0-1.5,6,6,5,0.2,0.16666666666666666,-0.8333333333333334,-1.0,19.096641428680545,19.613578566641145,6.886913678757746,0.2,0.0,0.8,0.0,1.1312339274095626,17.76330809534721
total,2021,0-0.5,387,1,1,0.0,0.0,-3.0,-3.0,4.998965363347629,4.278699427483403,0.4723721113613892,0.0,0.0,1.0,0.0,0.03961394262063361,12.905004954522202
total,2021,0.5-1.0,48,0,0,,,,,4.548158954844617,3.331616268542369,-0.11172800226202224,,,,0.0,0.735122072674291,14.274748853368322
total,2021,1.0-1.5,41,0,0,,,,,3.6196329665325173,2.1181105897934387,1.4596200751853585,,,,0.0,1.238265100630762,12.582718954142523
total,2021,1.5-2.0,39,0,0,,,,,3.8856565151853166,3.8253091805853856,1.005130534458857,,,,0.0,1.732873756702536,10.948827174130768
total,2021,2.0-3.0,71,0,0,,,,,3.9255281702589744,3.074037538668236,0.36835615143011113,,,,0.0,2.539554778497418,14.224989968682435
total,2021,3.0+,96,0,0,,,,,4.41310682132291,3.3906319521550152,-1.1237124230927336,,,,0.0,4.473171836038715,12.447453042239852
total,2022,0-0.5,267,1,1,1.0,1.0,1.0,1.0,5.281231502212576,4.758016482793657,0.7827234507862476,1.0,0.0,0.0,0.0,0.05638319518621721,12.779472967242468
total,2022,0.5-1.0,54,0,0,,,,,4.18503750686037,3.5391688475578853,0.11095663212542127,,,,0.0,0.7387564413488841,10.763581569733121
total,2022,1.0-1.5,51,2,2,0.5,0.5,1.0,1.0,4.953537798975238,4.954819980473019,1.0141251111147456,0.0,0.0,0.5,0.0,1.2244984193623418,14.714311507832667
total,2022,1.5-2.0,52,0,0,,,,,4.679100183202113,3.637067756324388,-2.143101676089674,,,,0.0,1.719503176813336,14.078651448543608
total,2022,2.0-3.0,100,0,0,,,,,4.550453421211615,3.9543650051843215,-0.45216279199833076,,,,0.0,2.4765937722578983,13.284794506151824
total,2022,3.0+,157,5,5,0.6,0.6,0.5,1.5,4.534729999871479,4.039759097445497,-0.27305447816093165,0.4,0.2,0.4,0.0,4.595883993889059,13.426395777817596
total,2023,0-0.5,275,121,57,0.3684210526315789,0.18584070796460178,-0.24778761061946902,0.0,5.001508580643859,4.202885216009385,0.059922940758945914,0.2631578947368421,0.10526315789473684,0.631578947368421,0.02909090909090909,0.06229439902893387,13.04645655931645
total,2023,0.5-1.0,71,29,16,0.5625,0.3333333333333333,0.18518518518518517,0.0,4.058919134853943,3.7693042506998466,-0.03615573757011968,0.5,0.0,0.4375,0.028169014084507043,0.7536269142053558,13.799276229534637
total,2023,1.0-1.5,54,22,12,0.5833333333333334,0.35,-0.1,0.0,4.252407414708771,3.9063728021664943,1.0281017387606524,0.4166666666666667,0.0,0.4166666666666667,0.037037037037037035,1.2553032543814904,12.745069373150908
total,2023,1.5-2.0,49,19,8,0.125,0.058823529411764705,-0.6470588235294118,0.0,4.4700758607736075,3.757254698153268,0.20618216713381973,0.0,0.125,0.875,0.04081632653061224,1.7222821631252514,12.403949065812618
total,2023,2.0-3.0,103,40,19,0.47368421052631576,0.24324324324324326,-0.3918918918918919,0.0,4.312075952156779,3.6062371011413177,0.01738207590255873,0.3157894736842105,0.0,0.5263157894736842,0.02912621359223301,2.5217575518453024,13.65728248847929
total,2023,3.0+,146,65,36,0.3888888888888889,0.23333333333333334,-0.325,-0.25,4.0299948322867785,3.274342181298991,0.5583430825195054,0.2222222222222222,0.0,0.6111111111111112,0.03424657534246575,4.388848413682287,13.651910267666114
total,2024,0-0.5,372,363,282,0.574468085106383,0.47230320699708456,0.34110787172011664,0.0,4.5733937949541215,3.8906981536642533,-0.05289750700362946,0.3971631205673759,0.07446808510638298,0.425531914893617,0.053763440860215055,0.04483473955684794,13.112450697107976
total,2024,0.5-1.0,48,48,32,0.46875,0.3409090909090909,0.0,0.0,4.378816542704105,3.629310622192616,-1.416870793296395,0.34375,0.09375,0.53125,0.08333333333333333,0.707805380319681,14.039283043770041
total,2024,1.0-1.5,47,47,30,0.5666666666666667,0.38636363636363635,0.20454545454545456,0.0,3.7893894813235147,3.2870570871420526,0.47650259113780863,0.4666666666666667,0.1,0.43333333333333335,0.06382978723404255,1.268182475330405,13.244256239425061
total,2024,1.5-2.0,54,54,38,0.6052631578947368,0.4791666666666667,0.6041666666666666,0.0,3.013463648572579,2.9742115986179805,-0.8687997313991629,0.2631578947368421,0.21052631578947367,0.39473684210526316,0.1111111111111111,1.735420654682642,11.32307249857087
total,2024,2.0-3.0,82,82,62,0.5967741935483871,0.4868421052631579,0.2236842105263158,0.0,3.8864999936939704,3.7197788919588355,-0.9566155116602196,0.45161290322580644,0.06451612903225806,0.4032258064516129,0.07317073170731707,2.481220729479668,12.551768158723206
total,2024,3.0+,107,106,81,0.6419753086419753,0.5777777777777777,0.5,1.0,3.7458611436797296,3.1318127248902883,-0.5003694235680948,0.4444444444444444,0.1111111111111111,0.35802469135802467,0.14953271028037382,4.267409925941028,12.170976863856263
total,2025,0-0.5,366,350,260,0.5961538461538461,0.48742138364779874,0.550314465408805,0.0,3.8250236998549068,3.142674290295531,0.010929874226953348,0.38846153846153847,0.12692307692307692,0.40384615384615385,0.08743169398907104,0.04363890224515439,12.504986823877713
total,2025,0.5-1.0,49,49,35,0.5428571428571428,0.4318181818181818,0.18181818181818182,0.0,3.655780503521639,3.120502639812976,-0.12429838932705761,0.45714285714285713,0.02857142857142857,0.45714285714285713,0.10204081632653061,0.7412230542550132,11.85930388115039
total,2025,1.0-1.5,46,45,37,0.5945945945945946,0.5365853658536586,0.43902439024390244,1.0,3.3157841172199043,3.107909256950716,-0.815957289381027,0.2972972972972973,0.16216216216216217,0.40540540540540543,0.08695652173913043,1.2639091001511864,12.364358967154821
total,2025,1.5-2.0,51,50,40,0.625,0.5681818181818182,0.4772727272727273,1.0,4.248942246188188,3.0655805780356857,-0.37806253999717065,0.475,0.1,0.375,0.11764705882352941,1.7449940372640742,13.900175675418021
total,2025,2.0-3.0,82,81,57,0.5614035087719298,0.4444444444444444,0.7083333333333334,0.0,3.348162962531576,2.5449171165943696,-0.5768483237332195,0.3684210526315789,0.08771929824561403,0.43859649122807015,0.10975609756097561,2.4078608964560617,13.363116129846482
total,2025,3.0+,120,113,78,0.6923076923076923,0.5346534653465347,1.00990099009901,1.0,3.632446062005573,2.92253660267815,-0.6100555041489307,0.47435897435897434,0.15384615384615385,0.3076923076923077,0.1,4.592734397070101,12.805608046486487
