market,season,completed_week,target_week,n,mean_abs,median_abs,p25_abs,p75_abs,p90_abs,signed_mean
spread,2024,15,16,134,0.1981591340545701,0.17611192847892188,0.11038132526554523,0.26721374056074465,0.3421224317454687,-5.426836426339385e-17
spread,2024,16,17,134,0.1814234262061298,0.17286075359835185,0.11433096979598056,0.23295622968318086,0.31054333453639044,9.113771097669196e-18
spread,2025,2,3,93,3.136804766778841,2.5313584165172647,0.8942526081129785,4.189914933538199,7.369506231352799,0.39925994824037336
spread,2025,3,4,135,2.350875744798071,1.693975300184709,0.6459178433892228,3.3127985306048,5.958019521607837,0.012381772176288993
spread,2025,4,5,136,1.566255449900781,1.0772657095801268,0.38715622202452393,2.3066313949558768,3.646389830178963,-2.481674996220938e-16
spread,2025,5,6,136,1.0464936101411075,0.7020744018728751,0.3805209900005214,1.2219849251563417,2.660827213790073,2.8408647983055474e-16
spread,2025,6,7,136,0.9714863738728736,0.7227042490246718,0.31542627598795747,1.396344489073439,2.1268170382420446,-2.514328614592266e-16
spread,2025,7,8,136,0.66176853459622,0.4815634514292336,0.18754772905226946,1.025011747562486,1.494824314995285,2.4163677594782817e-16
spread,2025,8,9,136,0.7303804528656535,0.6657848864932314,0.33319491721310235,1.0044049947285503,1.414209429254152,-1.6326809185664067e-18
spread,2025,9,10,136,0.6558452173033491,0.5705350486632086,0.2220799557763205,0.9057989719320068,1.368765417485938,-1.3714519715957817e-16
spread,2025,10,11,136,0.5503086765789935,0.45421793693589274,0.23462945709678218,0.7762420130885078,1.0413104259478358,1.6326809185664068e-16
spread,2025,11,12,136,0.5102435505998878,0.35107800970947345,0.16786568930277368,0.7131287177277611,1.1989501821011646,-1.730641773680391e-16
spread,2025,12,13,136,0.5001983178895867,0.39514750362033735,0.16982734590610993,0.710945869388766,1.086850626379538,-6.530723674265627e-18
spread,2025,13,14,136,0.45420115203833544,0.3443630447010648,0.16628813168950263,0.6222630525118182,1.0856305272541205,2.938825653419532e-16
spread,2025,14,15,136,0.5987029957375446,0.5270625134916624,0.2906245794274569,0.8210099639683097,1.0978824778977603,-2.97147927179086e-16
spread,2025,15,16,136,0.24306992956062934,0.22390303021757352,0.1426999030485412,0.31534957908736927,0.4088715162173311,-7.510332225405471e-17
spread,2025,16,17,136,0.21832666705077894,0.2111548981508129,0.1539126754894462,0.2997694828396069,0.3647615192870237,3.102093745276173e-17
total,2021,2,3,130,0.30806483089482783,0.18139928304175978,0.12364948260709244,0.4123058652641424,0.7508279554104391,3.433151199225484e-16
total,2021,3,4,130,0.2832378062051522,0.2391184755479152,0.05535753077548855,0.45392214823407817,0.5859275491599809,3.9199412946380526e-16
total,2021,4,5,130,0.34802583238793006,0.30894164194075235,0.1026985324551361,0.5603162827617059,0.685666129089818,-1.0248212535001446e-16
total,2021,5,6,130,0.31749926009865187,0.23663213669210872,0.09958200356848962,0.4941029026482156,0.6743013153295737,1.2263694333551729e-15
total,2021,6,7,130,0.2889592874994147,0.22577999514496921,0.049765626388646844,0.47320500330380755,0.672779196314318,-4.54337422385064e-16
total,2021,7,8,130,0.2943099934167893,0.22661038354709429,0.10220004153279161,0.43817325912770716,0.6472956665395754,-2.4066219103028395e-15
total,2021,8,9,130,0.30533624405380805,0.24508982426961956,0.12825369300638684,0.4035470409092632,0.625756444945067,1.0453176785701474e-15
total,2021,9,10,130,0.32571166145163477,0.2551069183959328,0.0961437005364052,0.5008962673255906,0.7182051685571217,-9.462516240651334e-16
total,2021,10,11,130,0.31044468632495753,0.2760940168728022,0.11528551743870025,0.4962727327324069,0.6396637130172271,2.3827094143878358e-15
total,2021,11,12,130,0.3314592212137284,0.29153667427087526,0.10435808644224487,0.4700066590505938,0.6895536629413317,-1.5406479510952173e-15
total,2021,12,13,130,0.3182541607273599,0.2990667534159351,0.1426390545198216,0.45177637824608774,0.6272548418651849,6.832141690000964e-16
total,2021,13,14,130,0.31623643708551397,0.27198517336420597,0.11750492392306311,0.48339330581991546,0.6798282478111756,4.099285014000578e-17
total,2021,14,15,130,0.32297689104562627,0.23631097162317327,0.09560417453253489,0.4918556989269336,0.6694385640711232,-7.105427357601002e-16
total,2022,2,3,131,0.3428654395515672,0.26984276416168473,0.045346340508765404,0.5782310185139528,0.7172180544060708,-2.288245928616735e-16
total,2022,3,4,131,0.33638981621364916,0.2474688556765275,0.07147604338984226,0.4953343239301345,0.7745988563637529,-1.678047014318939e-16
total,2022,4,5,131,0.33595897166098865,0.2960716578390332,0.11384505274218792,0.49902238112838737,0.7274389653891797,-8.152935493812218e-16
