model,market,season,stage,n,opener_n,direction_n,direction_accuracy,positive_clv_rate,average_clv,median_clv,mae,median_ae,signed_error,overshoot_rate,undershoot_rate,wrong_direction_rate,unchanged_rate,average_abs_adjustment,actual_result_mae
no_adjustment,total,2023,Weeks 4-6,168,112,53,0.41509433962264153,0.21359223300970873,-0.16990291262135923,0.0,4.812118783748481,3.8845190645223937,0.6093359256998594,0.32075471698113206,0.07547169811320754,0.5849056603773585,0.05357142857142857,0.0,13.883721500802576
no_adjustment,total,2023,Weeks 7-9,163,133,85,0.38823529411764707,0.2619047619047619,-0.4087301587301587,0.0,5.110854785656138,4.502800171285131,0.880762785452111,0.23529411764705882,0.07058823529411765,0.611764705882353,0.04294478527607362,0.0,12.629221367218907
no_adjustment,total,2024,Weeks 1-3,101,94,77,0.6233766233766234,0.5274725274725275,0.34065934065934067,1.0,5.798291042206677,5.1218772817336315,0.30271020724840075,0.5194805194805194,0.05194805194805195,0.37662337662337664,0.0297029702970297,0.0,11.303350507663298
no_adjustment,total,2024,Weeks 10-12,150,149,101,0.5445544554455446,0.39855072463768115,0.007246376811594203,0.0,4.161999154859566,3.8413462507797327,-0.7772436189417273,0.38613861386138615,0.039603960396039604,0.45544554455445546,0.07333333333333333,0.0,12.796230066749068
no_adjustment,total,2024,Weeks 13+,138,137,103,0.5533980582524272,0.4318181818181818,0.1893939393939394,0.0,3.8629918633368767,3.306565266373614,0.43443446368582184,0.3300970873786408,0.06796116504854369,0.44660194174757284,0.036231884057971016,0.0,12.786587377001652
no_adjustment,total,2024,Weeks 4-6,154,153,122,0.5655737704918032,0.4791666666666667,0.4236111111111111,0.0,4.7502722550617,4.153358892170239,0.8261585959824806,0.36065573770491804,0.13934426229508196,0.4344262295081967,0.05844155844155844,0.0,13.698566021156026
no_adjustment,total,2024,Weeks 7-9,167,167,130,0.5538461538461539,0.47058823529411764,0.3790849673202614,0.0,4.281649941055916,3.4853960852731376,-0.4665246777642725,0.4,0.09230769230769231,0.4461538461538462,0.08383233532934131,0.0,13.052522928797686
no_adjustment,total,2025,Weeks 1-3,97,97,76,0.4868421052631579,0.4111111111111111,0.07777777777777778,0.0,4.341315882615855,4.030879180151118,0.5230080713411899,0.35526315789473684,0.06578947368421052,0.5131578947368421,0.07216494845360824,0.0,13.345901450166012
no_adjustment,total,2025,Weeks 10-12,161,155,120,0.5916666666666667,0.5071428571428571,0.6714285714285714,1.0,3.8527692962887183,3.494479478274023,-0.10811441791743369,0.3416666666666667,0.13333333333333333,0.4083333333333333,0.09316770186335403,0.0,12.202024086250585
no_adjustment,total,2025,Weeks 13+,137,136,89,0.47191011235955055,0.34146341463414637,0.3008130081300813,0.0,4.215565586295752,3.6227814081892404,0.5395043448066581,0.2808988764044944,0.12359550561797752,0.5280898876404494,0.0948905109489051,0.0,13.219784462887416
