team,conference,rank_active,combo_active,rating_spplus_active,rating_fpi_active,rating_teamrankings_active,avg_total_wins_active,avg_conference_wins_active,make_title_game_pct_active,conference_title_pct_active,lose_title_game_pct_active,bowl_eligibility_pct_active,rank_spplus_only,combo_spplus_only,rating_spplus_spplus_only,rating_fpi_spplus_only,rating_teamrankings_spplus_only,avg_total_wins_spplus_only,avg_conference_wins_spplus_only,make_title_game_pct_spplus_only,conference_title_pct_spplus_only,lose_title_game_pct_spplus_only,bowl_eligibility_pct_spplus_only,combo_delta_active_minus_spplus,avg_total_wins_delta_active_minus_spplus,avg_conference_wins_delta_active_minus_spplus,make_title_game_pct_delta_active_minus_spplus,conference_title_pct_delta_active_minus_spplus,lose_title_game_pct_delta_active_minus_spplus,bowl_eligibility_pct_delta_active_minus_spplus
Alabama,SEC,11,19.9667,18.2,20.1,21.6,7.9768,6.0912,0.1812,0.0705,0.1107,0.9652,11,18.2,18.2,20.1,21.6,7.6305,5.7807,0.1451,0.0523,0.0928,0.9406,1.7667000000000002,0.3463000000000003,0.31049999999999933,0.03609999999999999,0.018199999999999994,0.017900000000000013,0.024599999999999955
Oklahoma,SEC,12,19.0,17.2,17.8,22.0,7.8092,5.39,0.075,0.0251,0.0499,0.9561,12,17.2,17.2,17.8,22.0,7.5355,5.1568,0.0604,0.0209,0.0395,0.9294,1.8000000000000007,0.27369999999999983,0.23320000000000007,0.014599999999999995,0.004200000000000002,0.0104,0.026699999999999946
USC,B1G,13,18.2333,16.8,17.0,20.9,8.3704,5.4206,0.0454,0.0111,0.0343,0.9941,13,16.8,16.8,17.0,20.9,8.0382,5.0921,0.0267,0.0064,0.0203,0.984,1.4332999999999991,0.3322000000000003,0.3285,0.0187,0.0047,0.013999999999999999,0.010099999999999998
Michigan,B1G,15,17.2667,16.1,15.9,19.8,8.1041,5.5679,0.0426,0.0095,0.0331,0.9844,14,16.1,16.1,15.9,19.8,7.8621,5.3019,0.027,0.0043,0.0227,0.9717,1.1666999999999987,0.24200000000000088,0.266,0.0156,0.0052,0.010399999999999996,0.012700000000000045
Tennessee,SEC,16,15.9667,16.0,15.1,16.8,6.742,4.9579,0.0439,0.0131,0.0308,0.8136,15,16.0,16.0,15.1,16.8,6.9723,5.2082,0.0734,0.0229,0.0505,0.8503,-0.03330000000000055,-0.23029999999999973,-0.2502999999999993,-0.029500000000000005,-0.0098,-0.019700000000000002,-0.036699999999999955
Ole Miss,SEC,14,18.0667,15.9,16.0,22.3,6.6763,4.9478,0.0457,0.0148,0.0309,0.807,16,15.9,15.9,16.0,22.3,6.2245,4.5507,0.0292,0.0097,0.0195,0.7013,2.1667000000000005,0.4518000000000004,0.3971,0.016499999999999997,0.0051,0.0114,0.10570000000000002
Penn State,B1G,18,15.2667,15.7,13.7,16.4,9.5708,6.6301,0.0892,0.0148,0.0744,0.9995,17,15.7,15.7,13.7,16.4,9.6905,6.7549,0.1067,0.0168,0.0899,0.9996,-0.43329999999999913,-0.11969999999999992,-0.12480000000000047,-0.0175,-0.0019999999999999983,-0.0155,-9.999999999998899e-05
BYU,B12,19,14.4,15.5,13.1,14.6,8.1233,6.9905,0.5054,0.1548,0.3506,0.9762,18,15.5,15.5,13.1,14.6,8.298,7.1151,0.5159,0.1621,0.3538,0.9832,-1.0999999999999996,-0.17469999999999963,-0.12460000000000004,-0.010500000000000065,-0.007300000000000001,-0.0031999999999999806,-0.007000000000000006
Florida,SEC,17,15.3,14.9,13.6,17.4,6.0457,4.3811,0.0138,0.0035,0.0103,0.6525,19,14.9,14.9,13.6,17.4,6.1794,4.546,0.0202,0.005,0.0152,0.6867,0.40000000000000036,-0.13370000000000015,-0.16490000000000027,-0.0063999999999999994,-0.0015,-0.0049,-0.03420000000000001
Missouri,SEC,20,14.1333,14.8,12.2,15.4,5.9421,4.1995,0.0119,0.0019,0.01,0.6224,20,14.8,14.8,12.2,15.4,6.4576,4.6932,0.0302,0.0066,0.0236,0.754,-0.6667000000000005,-0.5155000000000003,-0.49370000000000047,-0.0183,-0.0047,-0.0136,-0.13160000000000005
Washington,B1G,21,13.6,14.5,9.9,16.4,6.7962,4.877,0.0129,0.0014,0.0115,0.8587,21,14.5,14.5,9.9,16.4,7.0511,5.1096,0.0176,0.0028,0.0148,0.9011,-0.9000000000000004,-0.2549000000000001,-0.23260000000000058,-0.004700000000000001,-0.0014,-0.003300000000000001,-0.04239999999999999
Iowa,B1G,22,12.7,13.6,10.6,13.9,7.1741,5.2703,0.0115,0.0016,0.0099,0.9102,22,13.6,13.6,10.6,13.9,7.3612,5.4569,0.0142,0.0017,0.0125,0.935,-0.9000000000000004,-0.18710000000000004,-0.18660000000000032,-0.002700000000000001,-9.999999999999983e-05,-0.0026,-0.024800000000000044
Clemson,ACC,23,12.6,12.8,13.4,11.6,7.2417,5.5193,0.1044,0.0346,0.0698,0.9067,23,12.8,12.8,13.4,11.6,7.1979,5.4585,0.1298,0.0477,0.0821,0.896,-0.20000000000000107,0.04380000000000006,0.06080000000000041,-0.025399999999999992,-0.0131,-0.012300000000000005,0.010699999999999932
South Carolina,SEC,26,12.0,12.1,11.7,12.2,5.1102,3.7243,0.0038,0.0005,0.0033,0.379,24,12.1,12.1,11.7,12.2,5.327,3.9444,0.0076,0.0018,0.0058,0.441,-0.09999999999999964,-0.2168000000000001,-0.22009999999999996,-0.0038,-0.0013,-0.0024999999999999996,-0.062
Utah,B12,28,11.0667,11.9,8.5,12.8,7.9499,6.1844,0.2604,0.0595,0.2009,0.958,25,11.9,11.9,8.5,12.8,8.0261,6.2344,0.244,0.0564,0.1876,0.965,-0.8332999999999995,-0.07619999999999916,-0.04999999999999982,0.016400000000000026,0.0030999999999999986,0.013300000000000006,-0.007000000000000006
Auburn,SEC,24,12.2,11.2,12.0,13.4,5.4643,3.7192,0.004,0.001,0.003,0.4847,26,11.2,11.2,12.0,13.4,5.3602,3.6165,0.0041,0.0012,0.0029,0.4518,1.0,0.10409999999999986,0.10270000000000001,-0.00010000000000000026,-0.00019999999999999987,0.00010000000000000026,0.03290000000000004
Louisville,ACC,27,11.4,11.0,9.5,13.7,7.4551,6.5912,0.3524,0.0912,0.2612,0.9072,27,11.0,11.0,9.5,13.7,7.5,6.5155,0.3803,0.1098,0.2705,0.9087,0.40000000000000036,-0.04490000000000016,0.07569999999999943,-0.027900000000000036,-0.01859999999999999,-0.00930000000000003,-0.0014999999999999458
SMU,ACC,25,12.1333,10.9,11.1,14.4,7.9396,6.8885,0.4114,0.1064,0.305,0.9732,28,10.9,10.9,11.1,14.4,7.6269,6.5748,0.3419,0.0954,0.2465,0.9515,1.2332999999999998,0.3127000000000004,0.31369999999999987,0.0695,0.010999999999999996,0.058499999999999996,0.02169999999999994
Kansas State,B12,32,8.5667,10.4,5.1,10.2,7.5309,5.7067,0.09,0.0184,0.0716,0.915,29,10.4,10.4,5.1,10.2,7.9829,6.077,0.1204,0.0253,0.0951,0.9602,-1.8332999999999995,-0.45199999999999996,-0.3703000000000003,-0.030399999999999996,-0.0069,-0.023500000000000007,-0.04520000000000002
Arizona,B12,30,8.7,10.2,7.2,8.7,6.5523,4.7564,0.0524,0.012,0.0404,0.7846,30,10.2,10.2,7.2,8.7,6.8113,4.9506,0.0549,0.0127,0.0422,0.8393,-1.5,-0.25900000000000034,-0.19419999999999948,-0.0024999999999999953,-0.0006999999999999992,-0.001800000000000003,-0.05470000000000008
Vanderbilt,SEC,29,9.6,10.0,9.0,9.8,4.8222,3.154,0.0014,0.0,0.0014,0.3073,31,10.0,10.0,9.0,9.8,5.214,3.521,0.0029,0.0004,0.0025,0.4128,-0.40000000000000036,-0.3918000000000008,-0.367,-0.0014999999999999998,-0.0004,-0.0011,-0.10549999999999998
Virginia Tech,ACC,34,8.3333,9.4,7.4,8.2,6.3532,4.8086,0.0328,0.008,0.0248,0.7377,32,9.4,9.4,7.4,8.2,6.6711,5.1134,0.0657,0.0194,0.0463,0.8015,-1.0667000000000009,-0.31789999999999985,-0.3048000000000002,-0.03289999999999999,-0.0114,-0.021500000000000002,-0.06379999999999997
Illinois,B1G,35,8.2667,9.3,6.3,9.2,6.0982,4.4001,0.0024,0.0,0.0024,0.6753,33,9.3,9.3,6.3,9.2,6.205,4.5334,0.003,0.0003,0.0027,0.7041,-1.0333000000000006,-0.10679999999999978,-0.1333000000000002,-0.0006000000000000003,-0.0003,-0.00030000000000000035,-0.028799999999999937
TCU,B12,37,7.9667,9.1,6.4,8.4,6.0513,4.4309,0.0403,0.0074,0.0329,0.6486,34,9.1,9.1,6.4,8.4,6.2687,4.6194,0.0444,0.0084,0.036,0.7055,-1.1332999999999993,-0.2173999999999996,-0.18849999999999945,-0.0040999999999999995,-0.0009999999999999992,-0.0030999999999999986,-0.05690000000000006
Florida State,ACC,33,8.4667,8.8,9.3,7.3,5.2045,3.8052,0.0151,0.0026,0.0125,0.414,35,8.8,8.8,9.3,7.3,5.4611,4.0085,0.025,0.0051,0.0199,0.4878,-0.33330000000000126,-0.2565999999999997,-0.2032999999999996,-0.0099,-0.0025000000000000005,-0.0074,-0.07380000000000003
Houston,B12,31,8.6333,8.2,7.1,10.6,6.7774,4.9265,0.0386,0.0068,0.0318,0.827,36,8.2,8.2,7.1,10.6,6.5152,4.704,0.0204,0.0038,0.0166,0.7728,0.4333000000000009,0.2622,0.22250000000000014,0.0182,0.0029999999999999996,0.015200000000000002,0.054199999999999915
Nebraska,B1G,36,8.1667,7.7,8.8,8.0,5.2988,3.3592,0.0,0.0,0.0,0.4362,37,7.7,7.7,8.8,8.0,5.0247,3.0811,0.0001,0.0001,0.0,0.3395,0.46670000000000034,0.2740999999999998,0.2780999999999998,-0.0001,-0.0001,0.0,0.09669999999999995
Oklahoma State,B12,43,5.7,7.1,3.3,6.7,5.2977,4.3492,0.0149,0.0021,0.0128,0.445,38,7.1,7.1,3.3,6.7,5.6914,4.7367,0.0225,0.0044,0.0181,0.5583,-1.3999999999999995,-0.39369999999999994,-0.3875000000000002,-0.007599999999999999,-0.0023000000000000004,-0.005300000000000001,-0.11330000000000001
Boise State,PAC12,42,5.8333,6.8,4.0,6.7,8.261,6.5793,0.8775,0.6399,0.2376,0.9822,39,6.8,6.8,4.0,6.7,8.6061,6.8773,0.9397,0.7498,0.1899,0.9935,-0.9666999999999994,-0.3451000000000004,-0.29800000000000004,-0.06220000000000003,-0.1099,0.04769999999999999,-0.011300000000000088
Virginia,ACC,38,7.8333,6.6,7.9,9.0,7.053,5.359,0.0631,0.0106,0.0525,0.8593,40,6.6,6.6,7.9,9.0,6.5693,4.8779,0.0437,0.0085,0.0352,0.7649,1.2333000000000007,0.4836999999999998,0.48109999999999964,0.0194,0.0020999999999999994,0.017299999999999996,0.09439999999999993
Pittsburgh,ACC,39,7.7,6.5,6.6,10.0,6.5392,4.8679,0.0305,0.0054,0.0251,0.7714,41,6.5,6.5,6.6,10.0,5.9686,4.3995,0.0216,0.0044,0.0172,0.6278,1.2000000000000002,0.5705999999999998,0.4683999999999999,0.008899999999999998,0.001,0.0079,0.14359999999999995
Arizona State,B12,40,6.6333,6.4,4.8,8.7,5.1955,4.2408,0.0166,0.0031,0.0135,0.4227,42,6.4,6.4,4.8,8.7,4.9863,4.036,0.0102,0.0016,0.0086,0.3609,0.23329999999999984,0.20920000000000005,0.20480000000000054,0.0063999999999999994,0.0014999999999999998,0.0049,0.06180000000000002
Georgia Tech,ACC,44,5.3333,6.0,4.2,5.8,4.9195,3.9912,0.0061,0.0009,0.0052,0.3349,43,6.0,6.0,4.2,5.8,4.9958,4.0088,0.0091,0.0017,0.0074,0.3645,-0.6666999999999996,-0.07629999999999981,-0.017599999999999838,-0.003,-0.0007999999999999999,-0.0022000000000000006,-0.029600000000000015
Duke,ACC,53,3.7,5.7,3.5,1.9,5.0445,3.966,0.0049,0.0006,0.0043,0.3661,44,5.7,5.7,3.5,1.9,5.6541,4.435,0.0191,0.0039,0.0152,0.5358,-2.0,-0.6095999999999995,-0.4689999999999994,-0.014199999999999999,-0.0033,-0.0109,-0.16970000000000007
Minnesota,B1G,50,4.6333,5.2,0.6,8.1,4.6282,3.0588,0.0003,0.0,0.0003,0.2573,45,5.2,5.2,0.6,8.1,4.8969,3.2703,0.0004,0.0,0.0004,0.3291,-0.5667,-0.26869999999999994,-0.21150000000000002,-0.00010000000000000005,0.0,-0.00010000000000000005,-0.07180000000000003
UCLA,B1G,51,4.6,5.1,0.5,8.2,5.7666,3.6411,0.0004,0.0,0.0004,0.577,46,5.1,5.1,0.5,8.2,5.9899,3.8203,0.0006,0.0001,0.0005,0.6416,-0.5,-0.22329999999999917,-0.17920000000000025,-0.00019999999999999993,-0.0001,-9.999999999999999e-05,-0.06459999999999999
Arkansas,SEC,49,4.7,5.0,4.4,4.7,2.5734,1.4578,0.0,0.0,0.0,0.0086,47,5.0,5.0,4.4,4.7,2.6208,1.5316,0.0,0.0,0.0,0.0106,-0.2999999999999998,-0.04740000000000011,-0.07380000000000009,0.0,0.0,0.0,-0.002
NC State,ACC,47,4.9333,4.9,3.7,6.2,6.3105,5.0691,0.0401,0.0047,0.0354,0.7148,48,4.9,4.9,3.7,6.2,6.1972,4.9596,0.0458,0.0072,0.0386,0.685,0.03329999999999966,0.11330000000000062,0.10949999999999971,-0.005700000000000004,-0.0024999999999999996,-0.0032000000000000015,0.029799999999999938
Northwestern,B1G,54,3.6,4.6,1.4,4.8,4.1652,2.5174,0.0001,0.0,0.0001,0.1375,49,4.6,4.6,1.4,4.8,4.2885,2.585,0.0001,0.0,0.0001,0.1586,-0.9999999999999996,-0.12330000000000041,-0.0676000000000001,0.0,0.0,0.0,-0.02109999999999998
Baylor,B12,45,5.2,4.5,6.5,4.6,5.0244,3.8514,0.0094,0.0017,0.0077,0.3708,50,4.5,4.5,6.5,4.6,4.7849,3.6178,0.0043,0.0007,0.0036,0.3061,0.7000000000000002,0.2394999999999996,0.23360000000000003,0.0051,0.001,0.0041,0.06470000000000004
Cincinnati,B12,57,3.0667,4.5,4.4,0.3,4.4785,2.8697,0.0025,0.0002,0.0023,0.2272,51,4.5,4.5,4.4,0.3,4.6518,3.1159,0.003,0.0005,0.0025,0.2691,-1.4333,-0.17329999999999934,-0.24619999999999997,-0.0005,-0.00030000000000000003,-0.0002000000000000001,-0.04189999999999999
Mississippi State,SEC,48,4.8,3.9,4.1,6.4,2.9848,1.5865,0.0001,0.0,0.0001,0.0214,52,3.9,3.9,4.1,6.4,2.8795,1.5299,0.0,0.0,0.0,0.0196,0.8999999999999999,0.10529999999999973,0.056599999999999984,0.0001,0.0,0.0001,0.0017999999999999995
Kentucky,SEC,41,6.0333,3.8,5.4,8.9,3.0525,1.6868,0.0,0.0,0.0,0.0319,53,3.8,3.8,5.4,8.9,2.634,1.3369,0.0,0.0,0.0,0.0134,2.2333,0.4185000000000003,0.3499000000000001,0.0,0.0,0.0,0.018499999999999996
Maryland,B1G,60,2.5667,3.8,1.0,2.9,4.3538,3.129,0.0002,0.0,0.0002,0.2029,54,3.8,3.8,1.0,2.9,4.7701,3.5164,0.0004,0.0,0.0004,0.2979,-1.2332999999999998,-0.41630000000000056,-0.38739999999999997,-0.0002,0.0,-0.0002,-0.095
North Carolina,ACC,55,3.6,3.8,4.9,2.1,3.9502,2.7007,0.0008,0.0002,0.0006,0.1235,55,3.8,3.8,4.9,2.1,4.0236,2.7887,0.0019,0.0003,0.0016,0.1367,-0.19999999999999973,-0.07339999999999991,-0.08800000000000008,-0.0010999999999999998,-9.999999999999996e-05,-0.001,-0.01319999999999999
California,ACC,58,2.8667,3.7,0.9,4.0,4.671,3.6581,0.0049,0.0002,0.0047,0.2931,56,3.7,3.7,0.9,4.0,4.9185,3.9217,0.0094,0.0012,0.0082,0.355,-0.8333000000000004,-0.2474999999999996,-0.26359999999999983,-0.0045000000000000005,-0.0009999999999999998,-0.0035000000000000005,-0.061899999999999955
Kansas,B12,52,3.9667,3.7,2.8,5.4,4.4623,3.243,0.0055,0.0007,0.0048,0.2343,57,3.7,3.7,2.8,5.4,4.2827,3.0811,0.0031,0.0002,0.0029,0.1909,0.2666999999999997,0.17959999999999976,0.1618999999999997,0.0024,0.0005,0.0018999999999999998,0.04340000000000002
Wake Forest,ACC,56,3.1333,3.6,3.4,2.4,4.8813,3.2561,0.0034,0.0002,0.0032,0.3201,58,3.6,3.6,3.4,2.4,4.9975,3.3218,0.0052,0.0007,0.0045,0.3534,-0.4666999999999999,-0.11619999999999919,-0.06570000000000009,-0.0018,-0.0005,-0.0012999999999999995,-0.033299999999999996
UNLV,MW,63,1.2667,2.8,1.8,-0.8,9.2332,6.3168,0.6938,0.4511,0.2427,0.9965,59,2.8,2.8,1.8,-0.8,9.383,6.2831,0.666,0.425,0.241,0.9987,-1.5332999999999999,-0.14979999999999905,0.03369999999999962,0.027799999999999936,0.026100000000000012,0.001700000000000007,-0.0021999999999999797
Central Florida,B12,59,2.5667,2.3,2.1,3.3,4.7752,3.5396,0.0049,0.0001,0.0048,0.3033,60,2.3,2.3,2.1,3.3,4.6723,3.3987,0.0027,0.0,0.0027,0.2817,0.26670000000000016,0.10289999999999999,0.14090000000000025,0.0021999999999999997,0.0001,0.0020999999999999994,0.021600000000000008
Rutgers,B1G,64,0.8,1.8,-0.2,0.8,3.7111,2.1343,0.0,0.0,0.0,0.0803,61,1.8,1.8,-0.2,0.8,3.9769,2.4306,0.0,0.0,0.0,0.118,-1.0,-0.26580000000000004,-0.2963,0.0,0.0,0.0,-0.0377
Wisconsin,B1G,46,5.0,1.8,4.8,8.4,5.1196,4.1235,0.0011,0.0002,0.0009,0.3894,62,1.8,1.8,4.8,8.4,4.1735,3.2064,0.0001,0.0,0.0001,0.155,3.2,0.9461000000000004,0.9171,0.001,0.0002,0.0007999999999999999,0.23440000000000003
Navy,American,65,0.4333,1.1,-0.7,0.9,7.7084,6.4494,0.631,0.3925,0.2385,0.955,63,1.1,1.1,-0.7,0.9,7.6663,6.4817,0.6409,0.4061,0.2348,0.9544,-0.6667000000000001,0.04210000000000047,-0.03230000000000022,-0.00990000000000002,-0.013600000000000001,0.003699999999999981,0.0005999999999999339
Iowa State,B12,68,0.0333,1.0,-0.9,0.0,3.7219,2.696,0.0014,0.0,0.0014,0.0951,64,1.0,1.0,-0.9,0.0,3.81,2.7893,0.0014,0.0,0.0014,0.1044,-0.9667,-0.08809999999999985,-0.09329999999999972,0.0,0.0,0.0,-0.009300000000000003
Colorado,B12,62,1.3333,0.9,4.5,-1.4,3.2798,2.6393,0.0011,0.0003,0.0008,0.0694,65,0.9,0.9,4.5,-1.4,2.9584,2.4026,0.0005,0.0,0.0005,0.0439,0.4332999999999999,0.3213999999999997,0.2366999999999999,0.0006000000000000001,0.0003,0.00030000000000000003,0.025500000000000002
West Virginia,B12,61,1.8333,0.8,0.2,4.5,4.4068,3.1877,0.001,0.0,0.001,0.2152,66,0.8,0.8,0.2,4.5,3.9304,2.709,0.0003,0.0,0.0003,0.125,1.0332999999999999,0.4763999999999995,0.4786999999999999,0.0007000000000000001,0.0,0.0007000000000000001,0.0902
Michigan State,B1G,67,0.1333,0.4,0.3,-0.3,3.9029,2.1434,0.0,0.0,0.0,0.1072,67,0.4,0.4,0.3,-0.3,4.0344,2.1908,0.0,0.0,0.0,0.1234,-0.26670000000000005,-0.13149999999999995,-0.047399999999999665,0.0,0.0,0.0,-0.016199999999999992
New Mexico,MW,75,-2.0333,-0.5,-3.5,-2.1,7.2771,5.534,0.4292,0.1998,0.2294,0.9095,68,-0.5,-0.5,-3.5,-2.1,7.3037,5.5042,0.4074,0.1844,0.223,0.9142,-1.5333,-0.02660000000000018,0.029799999999999827,0.02180000000000004,0.015399999999999997,0.006399999999999989,-0.0047000000000000375
Syracuse,ACC,69,-0.5667,-0.7,-0.8,-0.2,3.1684,2.3642,0.0007,0.0001,0.0006,0.0412,69,-0.7,-0.7,-0.8,-0.2,3.1155,2.3091,0.001,0.0001,0.0009,0.0396,0.13329999999999997,0.05290000000000017,0.05509999999999993,-0.00030000000000000003,0.0,-0.00030000000000000003,0.0015999999999999973
Memphis,American,71,-1.5,-1.1,-1.9,-1.5,6.4731,5.1566,0.2387,0.1156,0.1231,0.7648,70,-1.1,-1.1,-1.9,-1.5,6.6499,5.3952,0.2966,0.1418,0.1548,0.8075,-0.3999999999999999,-0.17680000000000007,-0.23859999999999992,-0.05789999999999998,-0.026200000000000015,-0.03169999999999999,-0.04269999999999996
San Diego State,PAC12,66,0.4,-1.3,1.4,1.1,6.6347,4.9911,0.4472,0.1619,0.2853,0.7788,71,-1.3,-1.3,1.4,1.1,6.2512,4.6577,0.3936,0.1083,0.2853,0.6974,1.7000000000000002,0.38349999999999973,0.33340000000000014,0.05359999999999998,0.053599999999999995,0.0,0.08140000000000003
North Dakota State,MW,84,-4.1667,-1.4,-8.3,-2.8,7.4302,5.0391,0.2246,0.0887,0.1359,0.9286,72,-1.4,-1.4,-8.3,-2.8,7.8956,5.2801,0.2766,0.1237,0.1529,0.9718,-2.7666999999999997,-0.4653999999999998,-0.24099999999999966,-0.05200000000000002,-0.035,-0.017000000000000015,-0.043200000000000016
Boston College,ACC,81,-3.4667,-1.5,-2.7,-6.2,2.0495,1.4139,0.0,0.0,0.0,0.0048,73,-1.5,-1.5,-2.7,-6.2,2.4063,1.7157,0.0,0.0,0.0,0.0107,-1.9667,-0.3567999999999998,-0.30180000000000007,0.0,0.0,0.0,-0.0059
UTSA,American,79,-2.7667,-1.5,-5.3,-1.5,6.4927,5.2122,0.195,0.0859,0.1091,0.7712,74,-1.5,-1.5,-5.3,-1.5,7.0067,5.6215,0.3387,0.1656,0.1731,0.8671,-1.2667000000000002,-0.5140000000000002,-0.4093,-0.1437,-0.0797,-0.064,-0.09589999999999999
Stanford,ACC,78,-2.7333,-1.9,-3.3,-3.0,2.0533,1.4371,0.0002,0.0,0.0002,0.0039,75,-1.9,-1.9,-3.3,-3.0,2.142,1.5051,0.0003,0.0,0.0003,0.0051,-0.8332999999999999,-0.08869999999999978,-0.06800000000000006,-9.999999999999996e-05,0.0,-9.999999999999996e-05,-0.0012000000000000005
East Carolina,American,77,-2.1,-2.0,-0.6,-3.7,7.1279,5.7267,0.2708,0.1226,0.1482,0.8959,76,-2.0,-2.0,-0.6,-3.7,7.2023,5.734,0.2811,0.1207,0.1604,0.9039,-0.10000000000000009,-0.0743999999999998,-0.007299999999999862,-0.010300000000000031,0.001899999999999999,-0.012199999999999989,-0.008000000000000007
James Madison,Sun Belt,72,-1.8667,-2.1,-2.0,-1.5,7.3366,6.2382,0.6279,0.4342,0.1937,0.9216,77,-2.1,-2.1,-2.0,-1.5,7.4209,6.2779,0.5795,0.3945,0.185,0.9316,0.23330000000000006,-0.08429999999999982,-0.039699999999999847,0.0484,0.03969999999999996,0.008700000000000013,-0.010000000000000009
Fresno State,PAC12,70,-0.9333,-2.3,-2.5,2.0,7.3458,4.5895,0.285,0.1012,0.1838,0.9058,78,-2.3,-2.3,-2.5,2.0,7.1686,4.4187,0.2799,0.0761,0.2038,0.8765,1.3666999999999998,0.17720000000000002,0.17079999999999984,0.005099999999999993,0.025099999999999997,-0.020000000000000018,0.029300000000000104
Air Force,MW,87,-5.5333,-2.4,-6.8,-7.4,6.8172,5.2824,0.2533,0.0984,0.1549,0.8213,79,-2.4,-2.4,-6.8,-7.4,7.4342,5.6246,0.3735,0.1666,0.2069,0.9159,-3.1332999999999998,-0.617,-0.34220000000000006,-0.12019999999999997,-0.0682,-0.05199999999999999,-0.09460000000000002
