team,team_normalized,historical_conference,current_2026_conference,development_home_games,raw_team_hfa,conference_hfa,shrunk_team_hfa,current_site_hfa,difference_recommended_vs_current,difference_recommended_vs_2_5,holdout_2025_home_games,holdout_current_site_mae,holdout_conference_team_mae,confidence
Maryland,maryland,Big Ten,B1G,17,-0.04117647058823525,2.4681331438047853,1.135062411158493,2.3,-1.1649375888415068,-1.364937588841507,4,4.925000000000001,3.760062411158494,High
Minnesota,minnesota,Big Ten,B1G,17,1.0764705882352938,2.4681331438047853,1.728812411158493,2.4,-0.6711875888415069,-0.771187588841507,5,4.58,4.445762482231698,High
Penn State,penn st,Big Ten,B1G,17,1.035294117647059,2.4681331438047853,1.7069374111584932,3.4,-1.6930625888415067,-0.7930625888415068,5,2.519999999999999,3.2958375533049042,High
Purdue,purdue,Big Ten,B1G,17,4.752941176470588,2.4681331438047853,3.681937411158493,1.3,2.381937411158493,1.181937411158493,5,4.120000000000001,3.116387482231698,High
Stanford,stanford,Pac-12,ACC,17,5.376470588235295,2.6501574921093454,4.098511324426256,1.4,2.698511324426256,1.5985113244262559,6,3.0666666666666678,2.466170441475418,High
Washington State,washington st,Pac-12,PAC12,17,-4.7176470588235295,2.6501574921093454,-1.2639886755737444,3.3,-4.563988675573745,-3.7639886755737444,4,17.825000000000003,13.261011324426255,High
Baylor,baylor,Big 12,B12,16,2.6062499999999997,2.4505879844475102,2.5309296698939563,2.5,0.03092966989395629,0.03092966989395629,5,3.78,3.7614421980636266,High
California,california,Pac-12,ACC,16,4.659000000000001,2.6501574921093454,3.686979431665813,2.8,0.8869794316658131,1.1869794316658129,4,1.8749999999999991,1.2315102841670922,High
Kansas State,kansas st,Big 12,B12,16,1.5124999999999997,2.4505879844475102,1.9664135408616985,3.8,-1.8335864591383013,-0.5335864591383015,5,3.2400000000000007,5.073586459138301,High
Nebraska,nebraska,Big Ten,B1G,16,3.03125,2.4681331438047853,2.7587741018410252,1.5,1.2587741018410252,0.25877410184102523,6,2.383333333333334,3.2225160678940177,High
Oregon,oregon,Pac-12,B1G,16,2.9888750000000006,2.6501574921093454,2.8249794316658123,2.5,0.32497943166581233,0.32497943166581233,6,2.300000000000001,2.4083264772219386,High
Rutgers,rutgers,Big Ten,B1G,16,3.5749999999999993,2.4681331438047853,3.0394192631313475,2.1,0.9394192631313474,0.5394192631313475,4,2.1249999999999996,2.194709631565673,High
Syracuse,syracuse,ACC,ACC,16,1.5562500000000001,2.6733097014925375,2.0967627587867117,2.9,-0.8032372412132882,-0.4032372412132883,4,4.75,4.348381379393356,High
UCLA,ucla,Pac-12,B1G,16,0.10624999999999962,2.6501574921093454,1.337172980052909,1.7,-0.3628270199470909,-1.162827019947091,5,8.7,9.06282701994709,High
Utah,utah,Pac-12,B12,16,1.820125,2.6501574921093454,2.2217536252141996,3.3,-1.0782463747858002,-0.2782463747858004,5,1.5200000000000005,1.615649274957161,High
Arizona,arizona,Pac-12,B12,15,5.106666666666667,2.6501574921093454,3.8784120793880064,2.7,1.1784120793880062,1.3784120793880064,5,2.6000000000000005,3.187047247632804,High
Indiana,indiana,Big Ten,B1G,15,5.033333333333333,2.4681331438047853,3.7507332385690595,1.9,1.8507332385690596,1.2507332385690595,4,2.5499999999999994,2.6753666192845293,High
Iowa State,iowa st,Big 12,B12,15,2.8266666666666667,2.4505879844475102,2.6386273255570885,2.7,-0.06137267444291172,0.13862732555708845,5,2.6800000000000006,2.6431763953342533,High
Kansas,kansas,Big 12,B12,15,3.7133333333333334,2.4505879844475102,3.081960658890422,2.4,0.6819606588904219,0.5819606588904218,4,2.8250000000000006,3.1659803294452096,High
Kentucky,kentucky,SEC,SEC,15,2.0933333333333337,2.736456348395011,2.4148948408641724,2.7,-0.2851051591358278,-0.08510515913582761,3,1.5333333333333339,1.8184384924691617,High
Louisville,louisville,ACC,ACC,15,3.273333333333333,2.6733097014925375,2.9733215174129355,2.9,0.07332151741293558,0.4733215174129355,5,3.78,3.8533215174129354,High
Notre Dame,notre dame,FBS Independents,Independent,15,2.3800000000000003,2.5529123509966944,2.466456175498347,3.2,-0.7335438245016532,-0.03354382450165305,7,4.928571428571429,5.662115253073082,High
Oklahoma,oklahoma,Big 12,SEC,15,3.5866666666666673,2.4505879844475102,3.0186273255570892,3.3,-0.2813726744429106,0.5186273255570892,4,1.1500000000000012,1.0093136627785455,High
Oklahoma State,oklahoma st,Big 12,B12,15,3.213333333333333,2.4505879844475102,2.831960658890422,2.8,0.03196065889042199,0.3319606588904218,6,4.8999999999999995,4.899999999999999,High
Oregon State,oregon st,Pac-12,PAC12,15,3.5533333333333332,2.6501574921093454,3.1017454127213395,3.5,-0.3982545872786605,0.6017454127213395,5,5.94,6.178952752367197,High
San Diego State,san diego st,Mountain West,PAC12,15,2.481466666666667,2.7033417328939717,2.592404199780319,1.9,0.6924041997803192,0.09240419978031911,5,3.5599999999999996,3.6984808399560634,High
TCU,tcu,Big 12,B12,15,0.9733333333333332,2.4505879844475102,1.711960658890422,2.2,-0.48803934110957825,-0.7880393411095781,5,2.5600000000000005,2.812823604665747,High
Temple,temple,American Athletic,American,15,1.8681333333333334,2.37729004745856,2.122711690395947,2.9,-0.777288309604053,-0.37728830960405313,5,1.8800000000000001,1.6354576619208108,High
Texas Tech,texas tech,Big 12,B12,15,3.8666666666666663,2.4505879844475102,3.1586273255570885,3.2,-0.041372674442911705,0.6586273255570885,5,2.2399999999999993,2.2151763953342525,High
Air Force,air force,Mountain West,MW,14,0.057142857142856815,2.7033417328939717,1.4258664135658472,3.2,-1.774133586434153,-1.0741335864341528,4,2.1250000000000004,1.4620667932170763,Medium
Auburn,auburn,SEC,SEC,14,0.7285714285714285,2.736456348395011,1.7671325939974196,2.6,-0.8328674060025805,-0.7328674060025804,5,1.6000000000000008,1.7665734812005163,Medium
BYU,byu,FBS Independents,B12,14,3.1372857142857145,2.5529123509966944,2.835023629825877,2.1,0.7350236298258768,0.33502362982587686,4,3.100000000000001,3.835023629825877,Medium
Cincinnati,cincinnati,American Athletic,B12,14,2.321428571428572,2.37729004745856,2.3503224383406347,2.1,0.2503224383406346,-0.1496775616593653,5,4.139999999999999,3.9898065369956184,Medium
Houston,houston,American Athletic,B12,14,1.607142857142857,2.37729004745856,2.005494852133738,1.7,0.30549485213373795,-0.4945051478662621,4,1.8500000000000008,1.8500000000000005,Medium
LSU,lsu,SEC,SEC,14,5.67857142857143,2.736456348395011,4.156787766411213,3.9,0.25678776641121326,1.6567877664112132,3,2.5,2.585595922137071,Medium
Memphis,memphis,American Athletic,American,14,0.492857142857143,2.37729004745856,1.4675638176509795,2.5,-1.0324361823490205,-1.0324361823490205,4,7.649999999999999,6.6175638176509795,Medium
Michigan State,michigan st,Big Ten,B1G,14,-0.2285714285714284,2.4681331438047853,1.166275764036958,2.0,-0.8337242359630419,-1.333724235963042,4,5.25,5.6668621179815215,Medium
New Mexico,new mexico,Mountain West,MW,14,2.0158571428571426,2.7033417328939717,2.3714526204623985,0.9,1.4714526204623986,-0.12854737953760154,5,5.459999999999999,3.9885473795376014,Medium
Northwestern,northwestern,Big Ten,B1G,14,4.5,2.4681331438047853,3.449034384726613,2.1,1.3490343847266129,0.949034384726613,3,3.066666666666667,2.849678128242204,Medium
