team,historical_conference,development_home_games,current_site_hfa,conference_hfa,shrunk_team_hfa,difference_recommended_vs_current,confidence
Arkansas,SEC,12,2.4,2.736456348395011,3.2239572305898214,0.8239572305898215,Medium
Boston College,ACC,12,1.9,2.6733097014925375,2.314801686014373,0.41480168601437306,Medium
Duke,ACC,12,3.2,2.6733097014925375,1.5851720563847433,-1.6148279436152568,Medium
Florida State,ACC,12,1.9,2.6733097014925375,3.9555424267551134,2.0555424267551134,Medium
Missouri,SEC,12,2.5,2.736456348395011,2.6350683417009324,0.1350683417009324,Medium
NC State,ACC,12,3.1,2.6733097014925375,2.844431315644002,-0.2555686843559979,Medium
San José State,Mountain West,12,2.5,2.7033417328939717,3.8989676293855404,1.3989676293855404,Medium
Tulsa,American Athletic,12,0.7,2.37729004745856,2.5244203967362373,1.8244203967362373,Medium
UConn,FBS Independents,12,1.9,2.5529123509966944,4.070951306109275,2.170951306109275,Medium
Vanderbilt,SEC,12,0.9,2.736456348395011,2.9951424157750064,2.0951424157750065,Medium
Georgia,SEC,11,1.8,2.736456348395011,3.20180173945866,1.4018017394586602,Medium
Massachusetts,FBS Independents,11,1.6,2.5529123509966944,2.1074494332673237,0.5074494332673236,Medium
Rice,Conference USA,11,2.9,2.31889552238806,3.881824339839265,0.9818243398392652,Medium
SMU,American Athletic,11,3.4,2.37729004745856,2.4099750273799385,-0.9900249726200614,Medium
Arkansas State,Sun Belt,10,2.9,2.4417531905688947,3.133051914341337,0.23305191434133699,Medium
Army,FBS Independents,10,1.8,2.5529123509966944,2.4157474105980166,0.6157474105980165,Medium
Charlotte,Conference USA,10,1.7,2.31889552238806,3.0282173134328354,1.3282173134328354,Medium
Clemson,ACC,10,2.5,2.6733097014925375,2.255985820895523,-0.24401417910447698,Medium
Coastal Carolina,Sun Belt,10,2.3,2.4417531905688947,0.6890519143413367,-1.610948085658663,Medium
Georgia State,Sun Belt,10,1.7,2.4417531905688947,2.389051914341337,0.6890519143413372,Medium
Liberty,FBS Independents,10,3.5,2.5529123509966944,1.295747410598017,-2.204252589401983,Medium
Pittsburgh,ACC,10,1.9,2.6733097014925375,3.195985820895522,1.2959858208955222,Medium
Texas A&M,SEC,10,2.5,2.736456348395011,1.2538738090370067,-1.2461261909629933,Medium
UTSA,American Athletic,10,2.0,2.37729004745856,2.1632540284751363,0.16325402847513626,Medium
Louisiana,Sun Belt,9,2.7,2.4417531905688947,1.9844290774388924,-0.7155709225611078,Medium
UTEP,Conference USA,9,2.5,2.31889552238806,2.9085597014925377,0.40855970149253773,Medium
Marshall,Sun Belt,8,1.3,2.4417531905688947,2.953317298197105,1.653317298197105,Medium
UAB,Conference USA,8,3.8,2.31889552238806,2.521018818948735,-1.278981181051265,Medium
Virginia,ACC,8,3.3,2.6733097014925375,3.131375892277742,-0.16862410772225767,Medium
