conference_shrinkage,team_shrinkage,selection_games,conference_mae,conference_team_mae,generic_2_5_mae,current_site_mae
15,40,436,4.172263752114223,4.129226447936692,4.165825688073395,4.327293577981651
10,40,436,4.171880264118106,4.129433941331874,4.165825688073395,4.327293577981651
5,40,436,4.171368693675179,4.1296085280419454,4.165825688073395,4.327293577981651
0,40,436,4.170806299316507,4.129708865010274,4.165825688073395,4.327293577981651
80,60,436,4.172581702953993,4.135315766049059,4.165825688073395,4.327293577981651
60,60,436,4.172817466343368,4.135853142188721,4.165825688073395,4.327293577981651
40,60,436,4.172901152209076,4.136515181549158,4.165825688073395,4.327293577981651
30,60,436,4.172806930576784,4.136897514185262,4.165825688073395,4.327293577981651
20,60,436,4.172523656657602,4.137304778320171,4.165825688073395,4.327293577981651
15,60,436,4.172263752114223,4.137507966529198,4.165825688073395,4.327293577981651
10,60,436,4.171880264118106,4.137697791019633,4.165825688073395,4.327293577981651
5,60,436,4.171368693675179,4.13787512476362,4.165825688073395,4.327293577981651
0,60,436,4.170806299316507,4.137993750553082,4.165825688073395,4.327293577981651
80,80,436,4.172581702953993,4.141055732593244,4.165825688073395,4.327293577981651
60,80,436,4.172817466343368,4.141552941973404,4.165825688073395,4.327293577981651
0,5,436,4.170806299316507,4.142151499472527,4.165825688073395,4.327293577981651
40,80,436,4.172901152209076,4.1422092151220955,4.165825688073395,4.327293577981651
80,5,436,4.172581702953993,4.14224740503942,4.165825688073395,4.327293577981651
5,5,436,4.171368693675179,4.142271015854886,4.165825688073395,4.327293577981651
60,5,436,4.172817466343368,4.142316288981023,4.165825688073395,4.327293577981651
10,5,436,4.171880264118106,4.142326760154765,4.165825688073395,4.327293577981651
20,5,436,4.172523656657602,4.142343441059986,4.165825688073395,4.327293577981651
15,5,436,4.172263752114223,4.1423459763533295,4.165825688073395,4.327293577981651
30,5,436,4.172806930576784,4.142362202753656,4.165825688073395,4.327293577981651
40,5,436,4.172901152209076,4.142363457816993,4.165825688073395,4.327293577981651
30,80,436,4.172806930576784,4.142589604734586,4.165825688073395,4.327293577981651
20,80,436,4.172523656657602,4.142995632897675,4.165825688073395,4.327293577981651
15,80,436,4.172263752114223,4.143198396617248,4.165825688073395,4.327293577981651
10,80,436,4.171880264118106,4.143387760542732,4.165825688073395,4.327293577981651
