path,market,relevant_columns,max_populated_rows,rows,games
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260722_022024.csv,total,win_total,279,279,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260722_120024.csv,total,win_total,279,279,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260723_120021.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260724_120025.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260725_032646.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260725_120026.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260726_120024.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260727_120025.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/market_win_totals_import_before_visible_dk_merge_20260728_120024.csv,total,win_total,278,278,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/projection_market_edge_audit.csv,spread,market_spread_home | market_spread_home_source | market_spread_home_raw | has_projection_spread | has_market_spread,902,902,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/audit/projection_market_edge_audit.csv,total,projected_total | projected_total_source | projected_total_raw | market_total | market_total_source | market_total_raw | total_edge | total_side | has_projection_total | has_market_total | has_total_edge,902,902,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/audit/quarantined_market_win_totals_history.csv,total,win_total,138,138,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/quarantined_market_win_totals_import.csv,total,win_total,138,138,
/Users/jameslindesmith/NCAAF_AUTO/data/audit/sgo_odds_inventory.csv,spread,book_spread,132,462,68.0
/Users/jameslindesmith/NCAAF_AUTO/data/audit/sgo_odds_inventory.csv,total,book_over_under,176,462,68.0
/Users/jameslindesmith/NCAAF_AUTO/data/audit/site_market_data_audit.csv,spread,market_spread_home | market_spread_text | market_spread_book | market_spread_price | has_actual_market_spread | spread_edge_home_if_actual,902,902,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/audit/site_market_data_audit.csv,total,projected_total | market_total | market_total_book | market_total_over_price | market_total_under_price | market_total_last_update | has_actual_market_total | total_edge_if_actual,902,902,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/audit/suspect_current_win_total_board_by_book.csv,total,win_total,261,261,
/Users/jameslindesmith/NCAAF_AUTO/data/audits/game_line_history_audit.csv,spread,spread_columns,1,2,
/Users/jameslindesmith/NCAAF_AUTO/data/audits/game_line_history_audit.csv,total,total_columns,1,2,
/Users/jameslindesmith/NCAAF_AUTO/data/bets/market_clv_match_audit.csv,total,win_total_rows,7,7,
/Users/jameslindesmith/NCAAF_AUTO/data/history/game_line_model_history.csv,spread,market_spread_home | market_spread_open_home | model_spread_home | market_spread_book | market_spread_last_update,765,902,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/history/game_line_model_history.csv,total,market_total | market_total_open | projected_total | market_total_book | market_total_last_update,765,902,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/history/matchup_line_history_clean.csv,spread,market_spread_home | market_spread_open_home | market_spread_text | market_spread_price | market_spread_book | market_spread_last_update | model_spread_home,4233,4541,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/history/matchup_line_history_clean.csv,total,market_total | market_total_open | market_total_book | market_total_over_price | market_total_under_price | market_total_last_update | projected_total,4233,4541,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/history/saturday_shadow_line_snapshots.csv,spread,official_model_spread | opening_spread | closing_spread | market_baseline_spread | raw_matchup_spread_delta | applied_spread_delta | saturday_shadow_spread | expected_spread_clv | spread_status | spread_components | missing_spread_components | away_spread_impact | home_spread_impact | spread_projected_market_value_score | shadow_spread_formula | spread_projection_readiness | spread_impact | spread_value_tier | spread_value_label | current_model_spread | current_market_spread | predicted_market_rating_spread | predicted_updated_sp_plus_spread,22550,22550,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/history/saturday_shadow_line_snapshots.csv,total,official_model_total | opening_total | closing_total | market_baseline_total | market_baseline_total_source | raw_total_delta | applied_total_delta | saturday_shadow_total | expected_total_clv | total_data_state | total_status | current_market_total | total_components | missing_total_components | away_total_impact | home_total_impact | total_projected_market_value_score | total_impact | total_value_tier | total_value_label | current_model_total | predicted_sp_plus_component_total | raw_60_40_total | total_bias_correction,22550,22550,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/markets/sgo/sgo_ncaaf_game_odds.csv,spread,market_spread_home | market_spread_open_home | market_spread_text | market_spread_book | market_spread_price | market_spread_last_update | market_best_home_spread_home | market_best_home_spread_text | market_best_home_spread_price | market_best_home_spread_book | market_best_away_spread_home | market_best_away_spread_text | market_best_away_spread_price | market_best_away_spread_book,74,76,76.0
/Users/jameslindesmith/NCAAF_AUTO/data/markets/sgo/sgo_ncaaf_game_odds.csv,total,market_total | market_total_open | market_total_book | market_total_over_price | market_total_under_price | market_total_last_update | market_best_over_total | market_best_under_total,67,76,76.0
/Users/jameslindesmith/NCAAF_AUTO/data/markets/sgo/sgo_ncaaf_game_odds.csv,moneyline,market_home_moneyline | market_home_moneyline_book | market_away_moneyline | market_away_moneyline_book,60,76,76.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/actionnetwork_season_game_lines_2026.csv,spread,market_spread_home | market_spread_text | market_spread_price | market_spread_book | market_spread_last_update | market_spread_display_side | market_spread_display_team | market_best_home_spread_home | market_best_home_spread_text | market_best_home_spread_price | market_best_home_spread_book | market_best_away_spread_home | market_best_away_spread_text | market_best_away_spread_price | market_best_away_spread_book | market_spread_hold_pct | market_spread_hold_label | market_spread_hold_home_line | market_spread_hold_away_line,107,107,107.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/actionnetwork_season_game_lines_2026.csv,total,market_total | market_total_book | market_total_over_price | market_total_under_price | market_total_last_update | market_best_over_total | market_best_under_total | market_total_open,105,107,107.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/actionnetwork_visible_dk_win_totals.csv,total,win_total,138,138,
/Users/jameslindesmith/NCAAF_AUTO/data/odds/cfbd_lines_2026.csv,spread,spread | formatted_spread | spread_open,103,103,53.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/cfbd_lines_2026.csv,total,total | total_open,59,103,53.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/cfbd_lines_2026.csv,moneyline,home_moneyline | away_moneyline | home_moneyline_implied | away_moneyline_implied,54,103,53.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/game_line_history.csv,spread,market_spread_home | market_spread_text | market_spread_price | market_spread_book | market_spread_last_update,16195,16216,350.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/game_line_history.csv,total,market_total | market_total_book | market_total_over_price | market_total_under_price | market_total_last_update,9821,16216,350.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/game_line_history_before_remove_duplicate_snapshot_20260603_231459.csv,spread,market_spread_home | market_spread_text | market_spread_price | market_spread_book | market_spread_last_update,518,518,172.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/game_line_history_before_remove_duplicate_snapshot_20260603_231459.csv,total,market_total | market_total_book | market_total_over_price | market_total_under_price | market_total_last_update,147,518,172.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/season_game_lines_2026.csv,spread,market_spread_home | market_spread_open_home | market_spread_text | market_spread_book | market_formatted_spread,53,53,53.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/season_game_lines_2026.csv,total,market_total | market_total_open | market_total_book,51,53,53.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/season_game_lines_2026.csv,moneyline,home_moneyline | away_moneyline | home_moneyline_implied | away_moneyline_implied,9,53,53.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/season_game_lines_2026_audit.csv,spread,has_spread | selected_spread_book,53,53,53.0
/Users/jameslindesmith/NCAAF_AUTO/data/odds/season_game_lines_2026_audit.csv,total,has_total | selected_total_book,53,53,53.0
