season,week,game_id,home_team,away_team,fpi_target,tr_target,actual_close,actual_result_spread,timing_unknown_opener,home_completed_week,away_completed_week,home_current_snapshot_week,away_current_snapshot_week,home_target_sp_plus_week,away_target_sp_plus_week,cutoff_valid,game_identity_valid
2024,15,401673463,SMU,Clemson,-1.32,-1.1,-2.5,3,1.0,14.0,14.0,13.0,13.0,14.0,14.0,True,True
2024,15,401673469,Texas,Georgia,-4.21,-3.6,-2.5,3,-2.0,14.0,14.0,13.0,13.0,14.0,14.0,True,True
2025,3,401752696,Alabama,Wisconsin,-15.59,-24.9,-18.5,-24,-20.5,2.0,2.0,1.0,1.0,2.0,2.0,True,True
2025,4,401762468,Charlotte,Rice,1.22,7.2,1.5,11,4.5,2.0,2.0,1.0,1.0,2.0,2.0,True,True
2025,4,401754537,Clemson,Syracuse,-9.67,-14.8,-17.5,13,-20.0,3.0,2.0,2.0,1.0,3.0,2.0,True,True
2025,4,401756897,Colorado,Wyoming,-12.76,-15.5,-12.5,-17,-14.0,3.0,3.0,2.0,2.0,3.0,3.0,True,True
2025,4,401752843,Indiana,Illinois,-3.25,-4.6,-7.5,-53,-5.0,2.0,3.0,1.0,2.0,2.0,3.0,True,True
2025,4,401752708,Memphis,Arkansas,2.3,9.3,7.5,-1,6.0,3.0,3.0,2.0,2.0,3.0,3.0,True,True
2025,4,401752713,Missouri,South Carolina,-9.39,-13.0,-10.5,-9,-10.5,3.0,3.0,2.0,2.0,3.0,3.0,True,True
2025,4,401752846,Nebraska,Michigan,-0.0,-2.9,1.5,3,1.0,2.0,3.0,1.0,2.0,2.0,3.0,True,True
2025,4,401752848,Notre Dame,Purdue,-20.19,-27.6,-24.5,-26,-26.5,3.0,3.0,2.0,2.0,3.0,3.0,True,True
2025,4,401752714,Oklahoma,Auburn,-3.88,-6.8,-6.5,-7,-6.5,3.0,3.0,2.0,2.0,3.0,3.0,True,True
2025,4,401752844,Rutgers,Iowa,-1.71,-1.8,2.5,10,2.0,2.0,3.0,1.0,2.0,2.0,3.0,True,True
2025,4,401752715,Tennessee,UAB,-36.29,-38.5,-38.5,-32,-38.0,3.0,3.0,2.0,2.0,3.0,3.0,True,True
2025,4,401756901,Utah,Texas Tech,-3.73,-2.5,-3.5,24,-4.5,3.0,3.0,2.0,2.0,3.0,3.0,True,True
2025,4,401754539,Virginia,Stanford,-8.54,-11.3,-16.5,-28,-15.0,2.0,3.0,1.0,2.0,2.0,3.0,True,True
2025,4,401752845,Wisconsin,Maryland,-4.98,-10.3,-10.5,17,-7.0,3.0,2.0,2.0,1.0,3.0,2.0,True,True
2025,5,401760378,Air Force,Hawaii,-3.75,-5.2,-6.5,9,-5.5,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2025,5,401752717,Arkansas,Notre Dame,1.49,5.0,5.5,43,6.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2025,5,401756903,Colorado,BYU,8.22,10.9,6.5,3,5.5,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2025,5,401752718,Georgia,Alabama,-1.21,3.2,-2.5,3,-3.5,3.0,3.0,2.0,2.0,3.0,3.0,True,True
2025,5,401752850,Illinois,USC,6.33,6.3,6.5,-2,5.5,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2025,5,401752853,Iowa,Indiana,8.73,13.3,8.5,5,7.5,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2025,5,401756905,Kansas,Cincinnati,-5.01,-4.1,-4.5,3,-6.5,4.0,2.0,3.0,1.0,4.0,2.0,True,True
