source,model,split,n,mae,median_absolute_error,rmse,bias,correlation,direction_agreement,dimension,level
FPI,elastic_net,2025_locked_holdout_diagnostic,18,2.0887311764245644,1.15677096115662,2.859998385963308,-1.087540220859513,0.985738737248641,0.9444444444444444,week,9
FPI,elastic_net,2025_locked_holdout_diagnostic,19,1.8700802451036322,1.0966742698075418,2.761571793289832,0.17052832279246424,0.9620218202739866,0.9473684210526315,week,10
FPI,elastic_net,2025_locked_holdout_diagnostic,18,3.0916233629414624,2.3362685168298087,4.056861311184481,-0.2852167444564093,0.9004680104775643,0.9444444444444444,week,11
FPI,elastic_net,2025_locked_holdout_diagnostic,18,2.3428796440488915,1.8426452636134103,2.9391253988916484,-0.16603028570199807,0.9821508564425007,1.0,week,12
FPI,elastic_net,2025_locked_holdout_diagnostic,24,2.762387178818283,1.8827295896191623,3.4877705978494484,0.3019461331088183,0.9729679194310633,0.9166666666666666,week,13
FPI,elastic_net,2025_locked_holdout_diagnostic,27,2.3614433220672097,1.5156967400333126,3.0880426931593123,-0.5181581926855907,0.9847008364001022,0.9259259259259259,week,14
FPI,elastic_net,2025_locked_holdout_diagnostic,4,5.387725437625116,5.503751419569619,6.530827146483021,-3.2418331707615247,0.9859742175528378,1.0,week,15
FPI,elastic_net,2025_locked_holdout_diagnostic,56,2.723074330972594,1.9931582751808319,3.717636793857911,-0.005170414714321606,0.5645981004780741,0.7142857142857143,favorite_size,0-3
FPI,elastic_net,2025_locked_holdout_diagnostic,73,2.7480963819183617,2.108068287270786,3.5197387664790485,-0.7679393142805865,0.8935589522560848,0.958904109589041,favorite_size,3.5-7
FPI,elastic_net,2025_locked_holdout_diagnostic,56,2.7423185651005406,2.073855287311513,3.5710953670808383,-0.30041193304400304,0.9666969221854229,1.0,favorite_size,7.5-14
FPI,elastic_net,2025_locked_holdout_diagnostic,33,3.148499633668435,2.4794323085719636,4.05249201121643,0.4225817648010468,0.9817653199447719,1.0,favorite_size,14+
FPI,elastic_net,2025_locked_holdout_diagnostic,218,2.800795990693552,2.099605713351621,3.6688824865879255,-0.27168340907575445,0.9526128335056988,0.9128440366972477,coverage,"(0.8, 1.0]"
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,1,12.670359420327086,12.670359420327086,12.670359420327086,12.670359420327086,,1.0,week,3
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,14,5.247568951576986,4.644054181439147,6.697520432899829,3.463670785352886,0.8878501253233592,0.7142857142857143,week,4
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,17,3.3114870482534484,3.120558795474224,4.096757520914617,-0.5401795118314903,0.9295703948602824,0.8823529411764706,week,5
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,16,3.3954726992373145,3.3164813589380904,4.235583975105649,0.03424355502455445,0.9415721381534152,0.9375,week,6
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,19,3.0859802852302693,1.2983944553344173,4.476331290925332,-1.6372992781055922,0.8979909021107265,0.9473684210526315,week,7
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,23,2.938963156227193,2.8315051905600743,3.6602710451419265,2.047810796323435,0.9578311867575608,0.8695652173913043,week,8
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,18,1.5621882545039285,1.5736269215221408,1.711993336110329,-0.20065900731200725,0.9936547712146627,0.9444444444444444,week,9
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,19,2.2085975446682498,2.1672015800529874,2.5208487670629807,1.3666179220090844,0.9895814351326124,0.9473684210526315,week,10
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,18,2.8975714560874697,2.219420961712575,3.5149919696854472,0.5830624688786248,0.9443055812469914,0.9444444444444444,week,11
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,18,2.3928741931037285,2.0469750044337367,3.011838477977622,0.7900163976942856,0.9784615160363509,1.0,week,12
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,24,2.5275209814744026,1.9053155353634357,3.2113134753106896,1.211938659525295,0.9819356002720414,0.9166666666666666,week,13
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,27,1.700226743429677,1.5984172000930776,2.144127919820451,-0.08883044921201114,0.9923975658389733,0.9629629629629629,week,14
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,4,3.723029251312125,4.065272109415815,4.28058192082797,-2.04699640296654,0.9422366883992087,1.0,week,15
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,33,2.804362096049111,2.610528494053213,3.5296093257622947,1.0180193159954798,0.5343313467279859,0.696969696969697,favorite_size,0-3
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,60,2.6673652942275736,2.053666434659812,3.4871521919384136,0.31089469717763524,0.8329375015296879,0.9166666666666666,favorite_size,3.5-7
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,74,2.6039259178636716,1.917601920298008,3.4939198841410724,0.24703739900515534,0.9415049328693146,0.972972972972973,favorite_size,7.5-14
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,51,3.2251385738503675,2.441430801611588,4.449623137178215,1.246233115959859,0.9795021964711884,1.0,favorite_size,14+
TeamRankings,elastic_net,2025_locked_holdout_diagnostic,218,2.7970571193190623,2.2061023119525527,3.7427864534944684,0.61507787017818,0.9573271792075306,0.9220183486238532,coverage,"(0.8, 1.0]"
