season,week,game_id,home_team,away_team,home_completed_week,away_completed_week,feature_week_gap_home,feature_week_gap_away,cutoff_valid,game_identity_valid,feature_coverage,source_coverage
2022,1,401403969,Oregon St.,Boise St.,,,,,False,False,0.0,0.0
2022,1,,Pittsburgh,West Va.,,,,,False,False,0.0,0.0
2022,1,401405064,Purdue,Penn St.,,,,,False,False,0.0,0.0
2022,1,401403967,San Diego St.,Arizona,,,,,False,False,0.0,0.0
2022,1,401403863,South Carolina,Georgia St.,,,,,False,False,0.0,0.0
2022,1,401415612,South Florida,BYU,,,,,False,False,0.0,0.0
2022,1,401404157,Southern Miss.,Liberty,,,,,False,False,0.0,0.0
2022,1,401411099,Syracuse,Louisville,,,,,False,False,0.0,0.0
2022,1,401403864,Tennessee,Ball St.,,,,,False,False,0.0,0.0
2022,1,,Texas,Louisiana-Monroe,,,,,False,False,0.0,0.0
2022,1,401426542,Texas-San Antonio,Houston,,,,,False,False,0.0,0.0
2022,1,401414778,Tulane,Massachusetts,,,,,False,False,0.0,0.0
2022,1,401403971,UCLA,Bowling Green,,,,,False,False,0.0,0.0
2022,1,401426540,USC,Rice,,,,,False,False,0.0,0.0
2022,1,,Washington,Kent,,,,,False,False,0.0,0.0
2022,1,401415211,Wyoming,Tulsa,,,,,False,False,0.0,0.0
2022,2,401403977,Air Force,Colorado,,1.0,,1.0,False,False,0.0,0.3333333333333333
2022,2,401403875,Arizona,Mississippi St.,1.0,,1.0,,False,False,0.0,0.3333333333333333
2022,2,401403869,Arkansas,South Carolina,1.0,1.0,1.0,1.0,True,True,0.9032258064516129,0.8333333333333334
2022,2,401426553,Army,Texas-San Antonio,1.0,,1.0,,False,False,0.0,0.3333333333333333
2022,2,,Auburn,San Jose St.,,,,,False,False,0.0,0.0
2022,2,401404062,BYU,Baylor,1.0,,1.0,,False,False,0.0,0.3333333333333333
2022,2,,Ball St.,Western Mich.,,,,,False,False,0.0,0.0
2022,2,401403976,California,UNLV,,,,,False,False,0.0,0.0
2022,2,401415613,Central Florida,Louisville,,1.0,,1.0,False,False,0.0,0.3333333333333333
2022,2,,Central Mich.,South Alabama,,,,,False,False,0.0,0.0
2022,2,401426545,Charlotte,Maryland,1.0,1.0,1.0,1.0,True,True,0.8709677419354839,0.5
2022,2,,Colorado St.,Middle Tenn.,,,,,False,False,0.0,0.0
2022,2,401404148,Connecticut,Syracuse,,1.0,,1.0,False,False,0.0,0.3333333333333333
2022,2,401415024,East Carolina,Old Dominion,,,,,False,False,0.0,0.0
2022,2,401403871,Florida,Kentucky,1.0,1.0,1.0,1.0,True,True,0.9032258064516129,0.8333333333333334
2022,2,401403979,Fresno St.,Oregon St.,,,,,False,False,0.0,0.0
2022,2,401411103,Georgia St.,North Carolina,,1.0,,1.0,False,False,0.0,0.0
2022,2,401405070,Illinois,Virginia,1.0,,1.0,,False,False,0.0,0.3333333333333333
2022,2,401404064,Iowa,Iowa St.,,,,,False,False,0.0,0.0
2022,2,401403876,Kansas St.,Missouri,,1.0,,1.0,False,False,0.0,0.3333333333333333
2022,2,401426551,Liberty,UAB,1.0,,1.0,,False,False,0.0,0.3333333333333333
2022,2,,Louisiana-Lafayette,Eastern Mich.,,,,,False,False,0.0,0.0
2022,2,,Miami (Fla.),Southern Miss.,,,,,False,False,0.0,0.0
2022,2,,Michigan,Hawaii,,,,,False,False,0.0,0.0
2022,2,401405078,Michigan St.,Akron,,,,,False,False,0.0,0.0
2022,2,401415617,Navy,Memphis,,1.0,,1.0,False,False,0.0,0.3333333333333333
2022,2,401405072,Nebraska,Georgia Southern,1.0,,1.0,,False,False,0.0,0.0
2022,2,401415214,New Mexico,Boise St.,,,,,False,False,0.0,0.0
2022,2,401405073,Northwestern,Duke,1.0,1.0,1.0,1.0,True,True,0.8709677419354839,0.5
2022,2,401404125,Notre Dame,Marshall,1.0,,1.0,,False,False,0.0,0.3333333333333333
2022,2,401405079,Ohio St.,Arkansas St.,,,,,False,False,0.0,0.0
2022,2,,Oklahoma,Kent,,,,,False,False,0.0,0.0
2022,2,401403975,Oklahoma St.,Arizona St.,,,,,False,False,0.0,0.0
2022,2,401405080,Penn St.,Ohio,,1.0,,1.0,False,False,0.0,0.3333333333333333
2022,2,401403877,Pittsburgh,Tennessee,1.0,1.0,1.0,1.0,True,True,0.8709677419354839,0.5
2022,2,401403980,Stanford,USC,,1.0,,1.0,False,False,0.0,0.3333333333333333
2022,2,401403868,Texas,Alabama,1.0,1.0,1.0,1.0,True,True,0.8709677419354839,0.5
2022,2,,Texas A&M,Appalachian St.,,,,,False,False,0.0,0.0
2022,2,,Texas St.,Florida Intl.,,,,,False,False,0.0,0.0
2022,2,401404063,Texas Tech,Houston,,1.0,,1.0,False,False,0.0,0.3333333333333333
2022,2,401414779,Toledo,Massachusetts,,,,,False,False,0.0,0.0
2022,2,,Tulsa,Northern Ill.,,,,,False,False,0.0,0.0
2022,2,401426552,UTEP,New Mexico St.,1.0,,1.0,,False,False,0.0,0.3333333333333333
2022,2,401403879,Vanderbilt,Wake Forest,1.0,,1.0,,False,False,0.0,0.0
2022,2,401411108,Virginia Tech,Boston College,,,,,False,False,0.0,0.0
2022,2,,West Va.,Kansas,,,,,False,False,0.0,0.0
2022,2,401403984,Wisconsin,Washington St.,,,,,False,False,0.0,0.0
2022,3,,Alabama,Louisiana-Monroe,,,,,False,False,0.0,0.0
2022,3,,Appalachian St.,Troy St.,,,,,False,False,0.0,0.0
2022,3,,Arizona St.,Eastern Mich.,,,,,False,False,0.0,0.0
2022,3,401403882,Auburn,Penn St.,2.0,,1.0,,False,False,0.0,0.0
2022,3,401404071,Baylor,Texas St.,2.0,,1.0,,False,False,0.0,0.3333333333333333
2022,3,401415029,Bowling Green,Marshall,,2.0,,1.0,False,False,0.0,0.3333333333333333
2022,3,401426556,Clemson,Louisiana Tech,1.0,,2.0,,False,False,0.0,0.3333333333333333
2022,3,401416601,Coastal Carolina,Buffalo,,1.0,,2.0,False,False,0.0,0.3333333333333333
2022,3,401403883,Florida,South Florida,2.0,,1.0,,False,False,0.0,0.3333333333333333
2022,3,401426555,Florida Atlantic,Central Florida,,,,,False,False,0.0,0.0
2022,3,401426554,Georgia St.,Charlotte,,2.0,,1.0,False,False,0.0,0.3333333333333333
2022,3,401403886,Georgia Tech,Mississippi,,,,,False,False,0.0,0.0
2022,3,401404068,Houston,Kansas,2.0,2.0,1.0,1.0,True,True,0.8709677419354839,0.5
2022,3,401426563,Indiana,Western Kentucky,1.0,,2.0,,False,False,0.0,0.3333333333333333
2022,3,401405082,Iowa,Nevada,2.0,1.0,1.0,2.0,True,True,0.9032258064516129,0.8333333333333334
2022,3,401404069,Iowa St.,Ohio,,2.0,,1.0,False,False,0.0,0.3333333333333333
2022,3,401404074,Kansas St.,Tulane,,1.0,,2.0,False,False,0.0,0.3333333333333333
2022,3,401403885,LSU,Mississippi St.,1.0,,2.0,,False,False,0.0,0.0
2022,3,401411109,Louisville,Florida St.,2.0,,1.0,,False,False,0.0,0.3333333333333333
2022,3,401405087,Maryland,SMU,2.0,1.0,1.0,2.0,True,True,0.9032258064516129,0.8333333333333334
2022,3,401415622,Memphis,Arkansas St.,2.0,,1.0,,False,False,0.0,0.3333333333333333
2022,3,401415623,Miami (Ohio),Cincinnati,,1.0,,2.0,False,False,0.0,0.3333333333333333
2022,3,401404149,Michigan,Connecticut,2.0,,1.0,,False,False,0.0,0.0
2022,3,401403988,Minnesota,Colorado,1.0,2.0,2.0,1.0,True,True,0.8387096774193549,0.8333333333333334
2022,3,401404072,NC St.,Texas Tech,,2.0,,1.0,False,False,0.0,0.3333333333333333
2022,3,401404070,Nebraska,Oklahoma,2.0,2.0,1.0,1.0,True,True,0.967741935483871,0.6666666666666666
