snapshot_date,season,team,conference,book,win_total,over_odds,under_odds,source_url,notes
2026-07-17,2026,Northern Illinois Huskies,,DraftKings,3.5,-120,-110,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Northern Illinois Huskies
2026-07-17,2026,North Carolina,,DraftKings,4.5,-130,110,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=North Carolina Tar Heels
2026-07-17,2026,Iowa Hawkeyes,,DraftKings,7.5,-125,105,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Iowa Hawkeyes
2026-07-17,2026,Penn State,,DraftKings,8.5,-166,130,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Penn State Nittany Lions
2026-07-17,2026,Virginia,,DraftKings,7.5,-150,125,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Virginia Cavaliers
2026-07-17,2026,Notre Dame,,DraftKings,11.5,160,-190,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Notre Dame Fighting Irish
2026-07-17,2026,Ole Miss,,DraftKings,7.5,-166,130,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Ole Miss Rebels
2026-07-17,2026,Temple,,DraftKings,5.5,-110,-120,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Temple Owls
2026-07-17,2026,Texas A&M,,DraftKings,8.5,100,-120,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Texas A&M Aggies
2026-07-17,2026,UTSA,,DraftKings,7.5,-125,-105,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=UTSA Roadrunners
2026-07-17,2026,Rice,,DraftKings,3.5,-115,-115,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Rice Owls
2026-07-17,2026,UAB Blazers,,DraftKings,3.5,-115,-115,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=UAB Blazers
2026-07-17,2026,Florida Atlantic,,DraftKings,5.5,-160,125,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Florida Atlantic Owls
2026-07-17,2026,Michigan State,,DraftKings,4.5,130,-156,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Michigan State Spartans
2026-07-17,2026,Washington Huskies,,DraftKings,7.5,-170,140,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Washington Huskies
2026-07-17,2026,Jacksonville State,,DraftKings,7.5,105,-136,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Jacksonville State Gamecocks
2026-07-17,2026,West Virginia,,DraftKings,5.5,-160,134,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=West Virginia Mountaineers
2026-07-17,2026,Akron,,DraftKings,4.5,-125,-105,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Akron Zips
2026-07-17,2026,Ohio State,,DraftKings,9.5,-166,140,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Ohio State Buckeyes
2026-07-17,2026,Virginia Tech,,DraftKings,6.5,-150,125,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Virginia Tech Hokies
2026-07-17,2026,North Dakota State Bison,,DraftKings,8.5,-180,140,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=North Dakota State Bison
2026-07-17,2026,Vanderbilt Commodores,,DraftKings,5.5,-130,110,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Vanderbilt Commodores
