season,completed_week,target_week,game_id,date,away_team,home_team,baseline_market_spread,shadow_spread,later_market_spread,baseline_spread_error_to_later_market,shadow_spread_error_to_later_market,spread_market_error_improvement,shadow_improved_later_spread_estimate,baseline_market_total,shadow_total,later_market_total,baseline_total_error_to_later_market,shadow_total_error_to_later_market,total_market_error_improvement,shadow_improved_later_total_estimate,shadow_spread_movement_direction,later_spread_movement_direction,spread_direction_agreement,shadow_total_movement_direction,later_total_movement_direction,total_direction_agreement,actual_home_margin,baseline_spread_error_to_actual,shadow_spread_error_to_actual,shadow_improved_actual_spread_diagnostic,actual_total,baseline_total_error_to_actual,shadow_total_error_to_actual,shadow_improved_actual_total_diagnostic,eligibility_notes,provenance
2025,13,14,401761666,2025-11-29T20:30:00.000Z,Troy,Southern Miss,-6.5,-4.954668459042786,-6.5,0.0,1.5453315409572141,-1.5453315409572141,False,50.5,51.16352133971725,50.5,0.0,0.6635213397172492,-0.6635213397172492,False,up,unchanged,False,up,unchanged,False,-10.0,16.5,14.954668459042786,True,46.0,4.5,5.163521339717249,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401762441,2025-11-29T20:30:00.000Z,Army,UTSA,-6.5,-7.381502328925853,-8.5,2.0,1.118497671074147,0.881502328925853,True,51.5,49.85589165007426,50.5,1.0,0.6441083499257374,0.3558916500742626,True,down,down,True,down,down,True,-3.0,9.5,10.381502328925853,False,51.0,0.5,1.1441083499257374,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401761662,2025-11-29T20:45:00.000Z,James Madison,Coastal Carolina,21.5,27.086370948708986,23.5,2.0,3.5863709487089857,-1.5863709487089857,False,53.5,51.94301236439701,53.5,0.0,1.5569876356029866,-1.5569876356029866,False,up,up,True,down,unchanged,False,-49.0,27.5,21.913629051291014,True,69.0,15.5,17.056987635602987,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401752785,2025-11-29T21:30:00.000Z,Florida State,Florida,-2.5,-1.2313775517665113,1.5,4.0,2.7313775517665113,1.2686224482334887,True,51.5,49.85726409148873,48.5,3.0,1.3572640914887302,1.6427359085112698,True,up,up,True,down,down,True,19.0,16.5,17.76862244823349,False,61.0,9.5,11.14273590851127,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401752946,2025-11-29T23:30:00.000Z,Oregon State,Washington State,-12.5,-11.061741633229232,-14.5,2.0,3.438258366770768,-1.4382583667707678,False,43.5,,42.5,,,,,up,down,False,,down,,24.0,11.5,12.938258366770768,False,40.0,3.5,,,missing eligible total adjustment,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401752923,2025-11-30T00:00:00.000Z,Maryland,Michigan State,-3.5,-4.28672457825328,-4.5,1.0,0.21327542174671965,0.7867245782532803,True,47.5,45.588421573069034,48.5,1.0,2.9115784269309657,-1.9115784269309657,False,down,down,True,down,up,False,10.0,6.5,5.71327542174672,True,66.0,18.5,20.411578426930966,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401754613,2025-11-30T00:00:00.000Z,Virginia Tech,Virginia,-11.5,-13.763660953825624,-9.5,2.0,4.2636609538256245,-2.2636609538256245,False,52.5,,53.5,,,,,down,up,False,,up,,20.0,8.5,6.2363390461743755,True,34.0,18.5,,,missing eligible total adjustment,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401762520,2025-11-30T00:00:00.000Z,Rice,South Florida,-26.5,-32.80951880134455,-28.5,2.0,4.309518801344552,-2.3095188013445522,False,59.5,63.67465935811225,57.5,2.0,6.174659358112251,-4.174659358112251,False,down,down,True,up,down,False,49.0,22.5,16.190481198655448,True,55.0,4.5,8.674659358112251,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401752784,2025-11-30T00:30:00.000Z,Alabama,Auburn,5.5,,6.5,,,,,51.5,,48.5,,,,,,up,,,down,,-7.0,1.5,,,47.0,4.5,,,missing eligible total adjustment,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401752919,2025-11-30T00:30:00.000Z,UCLA,USC,-20.5,-21.299617247853806,-21.5,1.0,0.2003827521461936,0.7996172478538064,True,61.5,59.12313181837297,59.5,2.0,0.3768681816270316,1.6231318183729684,True,down,down,True,down,down,True,19.0,1.5,2.2996172478538064,False,39.0,22.5,20.12313181837297,True,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401752922,2025-11-30T00:30:00.000Z,Northwestern,Illinois,-6.5,-5.7746006101721825,-7.5,1.0,1.7253993898278175,-0.7253993898278175,False,47.5,48.58392270124045,44.5,3.0,4.0839227012404535,-1.0839227012404535,False,up,down,False,up,down,False,7.0,0.5,1.2253993898278175,False,33.0,14.5,15.583922701240454,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401754612,2025-11-30T00:30:00.000Z,North Carolina,NC State,-2.5,-3.3632917872952275,-7.5,5.0,4.1367082127047725,0.8632917872952275,True,53.5,52.44840622434995,49.5,4.0,2.9484062243499523,1.0515937756500477,True,down,down,True,down,down,True,23.0,20.5,19.63670821270477,True,61.0,7.5,8.551593775650048,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401762518,2025-11-30T00:30:00.000Z,Charlotte,Tulane,-29.5,-36.39929440556487,-31.5,2.0,4.8992944055648735,-2.8992944055648735,False,52.5,46.65772485881114,52.5,0.0,5.842275141188857,-5.842275141188857,False,down,down,True,down,unchanged,False,27.0,2.5,9.399294405564874,False,27.0,25.5,19.657724858811143,True,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401754609,2025-11-30T01:00:00.000Z,SMU,California,10.5,13.11887959981995,13.5,3.0,0.3811204001800501,2.61887959981995,True,54.5,51.537369550965934,52.5,2.0,0.9626304490340658,1.0373695509659342,True,up,up,True,down,down,True,3.0,13.5,16.118879599819948,False,73.0,18.5,21.462630449034066,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401760425,2025-11-30T02:00:00.000Z,UNLV,Nevada,9.5,11.33562429801896,7.5,2.0,3.83562429801896,-1.8356242980189599,False,52.5,48.424785262687976,52.5,0.0,4.075214737312024,-4.075214737312024,False,up,down,False,down,unchanged,False,-25.0,15.5,13.66437570198104,True,59.0,6.5,10.575214737312024,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401754614,2025-11-30T03:30:00.000Z,Notre Dame,Stanford,32.5,37.653046475129486,33.5,1.0,4.153046475129486,-3.1530464751294858,False,51.5,48.00438449401659,49.5,2.0,1.4956155059834089,0.5043844940165911,True,up,up,True,down,down,True,-29.0,3.5,8.653046475129486,False,69.0,17.5,20.99561550598341,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401760423,2025-11-30T03:30:00.000Z,Fresno State,San José State,2.5,3.9523216467064026,3.5,1.0,0.4523216467064026,0.5476783532935974,True,46.5,43.325941824814436,44.5,2.0,1.1740581751855643,0.8259418248144357,True,up,up,True,down,down,True,-27.0,24.5,23.0476783532936,True,55.0,8.5,11.674058175185564,False,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
2025,13,14,401760424,2025-11-30T04:00:00.000Z,Wyoming,Hawai'i,-10.5,-8.70461425323737,-8.5,2.0,0.20461425323737004,1.79538574676263,True,44.5,40.93937725501686,44.5,0.0,3.5606227449831422,-3.5606227449831422,False,up,up,True,down,unchanged,False,20.0,9.5,11.29538574676263,False,34.0,10.5,6.939377255016858,True,combined total effect; team-level total attribution unavailable,baseline/open=data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv; spread=data/research/postgame_pbp_market_rating_update_2021_2024/holdout_2025_predictions.csv; total=data/research/postgame_total_market_update_baseline_aware_2021_2025/holdout_2025_predictions_baseline_aware.csv; later/close=evaluation only
