game_id,season,week,start_date,away_team,home_team,opening_total,closing_total,actual_total,normalized_away,normalized_home
401310741,2021,11,2021-11-14T00:00:00.000Z,Air Force,Colorado State,,45.0,56.0,air force,colorado state
401310743,2021,11,2021-11-14T00:00:00.000Z,New Mexico,Fresno State,,51.0,41.0,new mexico,fresno state
401282130,2021,11,2021-11-14T00:30:00.000Z,Arkansas,LSU,,59.5,29.0,arkansas,lsu
401282688,2021,11,2021-11-14T00:30:00.000Z,Notre Dame,Virginia,,62.0,31.0,notre dame,virginia
401282690,2021,11,2021-11-14T00:30:00.000Z,NC State,Wake Forest,,64.5,87.0,nc state,wake forest
401287941,2021,11,2021-11-14T00:30:00.000Z,Kansas,Texas,,61.5,113.0,kansas,texas
401287940,2021,11,2021-11-14T01:00:00.000Z,TCU,Oklahoma State,,54.0,80.0,tcu,oklahoma state
401309898,2021,11,2021-11-14T02:00:00.000Z,Colorado,UCLA,,57.0,64.0,colorado,ucla
401309895,2021,11,2021-11-14T03:30:00.000Z,Washington State,Oregon,,57.5,62.0,washington state,oregon
401310744,2021,11,2021-11-14T03:30:00.000Z,Utah State,San José State,,58.0,65.0,utah state,san jose state
401310746,2021,11,2021-11-14T03:30:00.000Z,Nevada,San Diego State,,45.0,44.0,nevada,san diego state
401309589,2021,12,2021-11-17T00:00:00.000Z,Toledo,Ohio,,57.5,58.0,toledo,ohio
401309588,2021,12,2021-11-17T00:30:00.000Z,Western Michigan,Eastern Michigan,,66.0,43.0,western michigan,eastern michigan
401308841,2021,12,2021-11-17T01:00:00.000Z,Bowling Green,Miami (OH),,52.0,41.0,bowling green,miami ohio
401309590,2021,12,2021-11-18T00:00:00.000Z,Northern Illinois,Buffalo,,59.0,60.0,northern illinois,buffalo
401309591,2021,12,2021-11-18T00:00:00.000Z,Central Michigan,Ball State,,57.0,54.0,central michigan,ball state
401282691,2021,12,2021-11-19T00:30:00.000Z,Louisville,Duke,,60.5,84.0,louisville,duke
401282264,2021,12,2021-11-20T01:00:00.000Z,Southern Miss,Louisiana Tech,,47.5,54.0,southern miss,louisiana tech
401301045,2021,12,2021-11-20T02:00:00.000Z,Memphis,Houston,,59.0,44.0,memphis,houston
401309899,2021,12,2021-11-20T02:00:00.000Z,Arizona,Washington State,,52.5,62.0,arizona,washington state
401310747,2021,12,2021-11-20T02:00:00.000Z,Air Force,Nevada,,54.5,80.0,air force,nevada
401310751,2021,12,2021-11-20T04:30:00.000Z,San Diego State,UNLV,,41.0,48.0,san diego state,unlv
401282137,2021,12,2021-11-20T17:00:00.000Z,New Mexico State,Kentucky,,61.0,72.0,new mexico state,kentucky
401282263,2021,12,2021-11-20T17:00:00.000Z,Florida Atlantic,Western Kentucky,,64.0,69.0,florida atlantic,western kentucky
401282692,2021,12,2021-11-20T17:00:00.000Z,Florida State,Boston College,,55.5,49.0,florida state,boston college
401282693,2021,12,2021-11-20T17:00:00.000Z,Wake Forest,Clemson,,57.0,75.0,wake forest,clemson
401282786,2021,12,2021-11-20T17:00:00.000Z,Michigan State,Ohio State,,70.5,63.0,michigan state,ohio state
401282808,2021,12,2021-11-20T17:00:00.000Z,Purdue,Northwestern,,47.5,46.0,purdue,northwestern
401282818,2021,12,2021-11-20T17:00:00.000Z,Rutgers,Penn State,,45.0,28.0,rutgers,penn state
401286305,2021,12,2021-11-20T17:00:00.000Z,Massachusetts,Army,,56.0,50.0,umass,army
401287944,2021,12,2021-11-20T17:00:00.000Z,Iowa State,Oklahoma,,59.0,49.0,iowa state,oklahoma
401287947,2021,12,2021-11-20T17:00:00.000Z,Texas,West Virginia,,56.5,54.0,texas,west virginia
401301048,2021,12,2021-11-20T17:00:00.000Z,South Florida,Tulane,,59.5,59.0,south florida,tulane
401309592,2021,12,2021-11-20T17:00:00.000Z,Kent State,Akron,,72.5,38.0,kent state,akron
401309644,2021,12,2021-11-20T18:00:00.000Z,Texas State,Coastal Carolina,,60.0,56.0,texas state,coastal carolina
401282721,2021,12,2021-11-20T19:00:00.000Z,Illinois,Iowa,,38.5,56.0,illinois,iowa
401309643,2021,12,2021-11-20T19:00:00.000Z,Arkansas State,Georgia State,,65.5,48.0,arkansas state,georgia state
401282697,2021,12,2021-11-20T19:30:00.000Z,Georgia Tech,Notre Dame,,58.0,55.0,georgia tech,notre dame
401309903,2021,12,2021-11-20T20:00:00.000Z,Washington,Colorado,,43.0,37.0,washington,colorado
401282135,2021,12,2021-11-20T20:30:00.000Z,Arkansas,Alabama,,58.5,77.0,arkansas,alabama
401282261,2021,12,2021-11-20T20:30:00.000Z,Marshall,Charlotte,,62.0,77.0,marshall,charlotte
401282265,2021,12,2021-11-20T20:30:00.000Z,Old Dominion,Middle Tennessee,,49.0,41.0,old dominion,middle tennessee
401282267,2021,12,2021-11-20T20:30:00.000Z,UAB,UTSA,,53.5,65.0,uab,utsa
401282698,2021,12,2021-11-20T20:30:00.000Z,Virginia,Pittsburgh,,66.5,86.0,virginia,pittsburgh
401282732,2021,12,2021-11-20T20:30:00.000Z,Minnesota,Indiana,,43.5,49.0,minnesota,indiana
401282770,2021,12,2021-11-20T20:30:00.000Z,Michigan,Maryland,,57.5,77.0,michigan,maryland
401282803,2021,12,2021-11-20T20:30:00.000Z,Nebraska,Wisconsin,,43.5,63.0,nebraska,wisconsin
401301046,2021,12,2021-11-20T20:30:00.000Z,SMU,Cincinnati,,65.5,62.0,smu,cincinnati
401301047,2021,12,2021-11-20T20:30:00.000Z,East Carolina,Navy,,46.5,73.0,east carolina,navy
401309642,2021,12,2021-11-20T20:30:00.000Z,App State,Troy,,51.5,52.0,appalachian state,troy
401282141,2021,12,2021-11-20T21:00:00.000Z,Florida,Missouri,,69.0,47.0,florida,missouri
401282266,2021,12,2021-11-20T21:00:00.000Z,Rice,UTEP,,47.0,66.0,rice,utep
401282695,2021,12,2021-11-20T21:00:00.000Z,Syracuse,NC State,,49.5,58.0,syracuse,nc state
401286293,2021,12,2021-11-20T21:00:00.000Z,UConn,UCF,,55.5,66.0,uconn,ucf
401286298,2021,12,2021-11-20T21:00:00.000Z,Louisiana,Liberty,,53.5,56.0,louisiana,liberty
401287945,2021,12,2021-11-20T21:00:00.000Z,Kansas,TCU,,64.5,59.0,kansas,tcu
401301049,2021,12,2021-11-20T21:00:00.000Z,Temple,Tulsa,,50.5,54.0,temple,tulsa
401309645,2021,12,2021-11-20T21:00:00.000Z,BYU,Georgia Southern,,57.5,51.0,byu,georgia southern
401309904,2021,12,2021-11-20T21:00:00.000Z,UCLA,USC,,65.5,95.0,ucla,usc
401287943,2021,12,2021-11-20T22:30:00.000Z,Baylor,Kansas State,,50.0,30.0,baylor,kansas state
401282142,2021,12,2021-11-21T00:00:00.000Z,Auburn,South Carolina,,45.0,38.0,auburn,south carolina
401282262,2021,12,2021-11-21T00:00:00.000Z,North Texas,Florida International,,57.5,56.0,north texas,florida international
401309900,2021,12,2021-11-21T00:00:00.000Z,California,Stanford,,46.0,52.0,california,stanford
401282139,2021,12,2021-11-21T00:30:00.000Z,Vanderbilt,Ole Miss,,65.5,48.0,vanderbilt,mississippi
401282143,2021,12,2021-11-21T00:30:00.000Z,South Alabama,Tennessee,,61.5,74.0,south alabama,tennessee
401282694,2021,12,2021-11-21T00:30:00.000Z,Virginia Tech,Miami,,55.5,64.0,virginia tech,miami
401309901,2021,12,2021-11-21T00:30:00.000Z,Oregon,Utah,,58.5,45.0,oregon,utah
401287946,2021,12,2021-11-21T01:00:00.000Z,Oklahoma State,Texas Tech,,55.0,23.0,oklahoma state,texas tech
401310750,2021,12,2021-11-21T01:00:00.000Z,Wyoming,Utah State,,52.0,61.0,wyoming,utah state
401282138,2021,12,2021-11-21T02:00:00.000Z,UL Monroe,LSU,,57.5,41.0,louisiana monroe,lsu
401310748,2021,12,2021-11-21T02:00:00.000Z,New Mexico,Boise State,,48.0,37.0,new mexico,boise state
401309902,2021,12,2021-11-21T03:30:00.000Z,Arizona State,Oregon State,,59.0,34.0,arizona state,oregon state
401310749,2021,12,2021-11-21T04:00:00.000Z,Colorado State,Hawai'i,,53.5,95.0,colorado state,hawaii
401309650,2021,13,2021-11-27T21:00:00.000Z,UL Monroe,Louisiana,,55.0,37.0,louisiana monroe,louisiana
401404059,2022,1,2022-09-04T00:00:00.000Z,UL Monroe,Texas,,64.5,62.0,louisiana monroe,texas
401403880,2022,3,2022-09-17T20:00:00.000Z,UL Monroe,Alabama,,61.5,70.0,louisiana monroe,alabama
401415226,2022,5,2022-09-30T00:00:00.000Z,Utah State,BYU,,60.0,64.0,utah state,byu
401415625,2022,5,2022-09-30T23:00:00.000Z,Tulane,Houston,,51.5,51.0,tulane,houston
401426576,2022,5,2022-09-30T23:30:00.000Z,UTSA,Middle Tennessee,,64.0,75.0,utsa,middle tennessee
401415228,2022,5,2022-10-01T00:00:00.000Z,San Diego State,Boise State,,38.0,48.0,san diego state,boise state
401404007,2022,5,2022-10-01T02:30:00.000Z,Washington,UCLA,,64.5,72.0,washington,ucla
401415229,2022,5,2022-10-01T03:00:00.000Z,New Mexico,UNLV,,44.5,51.0,new mexico,unlv
401403905,2022,5,2022-10-01T16:00:00.000Z,Kentucky,Ole Miss,,55.0,41.0,kentucky,mississippi
401404085,2022,5,2022-10-01T16:00:00.000Z,Texas Tech,Kansas State,,56.0,65.0,texas tech,kansas state
401405099,2022,5,2022-10-01T16:00:00.000Z,Illinois,Wisconsin,,43.5,44.0,illinois,wisconsin
401405100,2022,5,2022-10-01T16:00:00.000Z,Michigan,Iowa,,42.0,41.0,michigan,iowa
401405101,2022,5,2022-10-01T16:00:00.000Z,Purdue,Minnesota,,53.0,30.0,purdue,minnesota
401411124,2022,5,2022-10-01T16:00:00.000Z,Louisville,Boston College,,48.5,67.0,louisville,boston college
401415628,2022,5,2022-10-01T16:00:00.000Z,Temple,Memphis,,50.0,27.0,temple,memphis
