game_id,week,date,away_team,home_team,projection_margin_home,projection_margin_home_source,projection_margin_home_raw,market_spread_home,market_spread_home_source,market_spread_home_raw,ats_edge_home,ats_edge_side,projected_total,projected_total_source,projected_total_raw,market_total,market_total_source,market_total_raw,total_edge,total_side,has_projection_spread,has_market_spread,has_ats_edge,has_projection_total,has_market_total,has_total_edge,possible_pk_bug
g60,1,2026-09-05,UL-Monroe,Mississippi State,30.8,blend_spread_home,30.8,,,,,,54.5,blend_total,54.5,,,,,,True,False,False,True,False,False,False
g61,1,2026-09-05,Towson,Navy,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g62,1,2026-09-05,Ohio,Nebraska,22.8,blend_spread_home,22.8,,,,,,45.1,blend_total,45.1,,,,,,True,False,False,True,False,False,False
g63,1,2026-09-05,Western Kentucky,Nevada,-4.8,blend_spread_home,-4.8,,,,,,51.8,blend_total,51.8,,,,,,True,False,False,True,False,False,False
g64,1,2026-09-05,Central Michigan,New Mexico,12.8,blend_spread_home,12.8,,,,,,49.4,blend_total,49.4,,,,,,True,False,False,True,False,False,False
g65,1,2026-09-05,Mercyhurst,New Mexico State,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g66,1,2026-09-05,Fordham,North Dakota State,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g67,1,2026-09-05,South Dakota State,Northwestern,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g68,1,2026-09-05,Ball State,Ohio State,60.0,blend_spread_home,60.0,,,,,,49.2,blend_total,49.2,,,,,,True,False,False,True,False,False,False
g69,1,2026-09-05,UTEP,Oklahoma,41.0,blend_spread_home,41.0,,,,,,47.9,blend_total,47.9,,,,,,True,False,False,True,False,False,False
g70,1,2026-09-05,Norfolk State,Old Dominion,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g71,1,2026-09-05,Boise State,Oregon,24.0,blend_spread_home,24.0,,,,,,53.0,blend_total,53.0,,,,,,True,False,False,True,False,False,False
g72,1,2026-09-05,Marshall,Penn State,25.5,blend_spread_home,25.5,,,,,,58.0,blend_total,58.0,,,,,,True,False,False,True,False,False,False
g73,1,2026-09-05,Miami-OH,Pittsburgh,11.3,blend_spread_home,11.3,,,,,,48.2,blend_total,48.2,,,,,,True,False,False,True,False,False,False
g74,1,2026-09-05,Indiana State,Purdue,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g75,1,2026-09-05,HCU,Rice,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g76,1,2026-09-05,MVSU,Sacramento State,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g77,1,2026-09-05,Portland State,San Diego State,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g78,1,2026-09-05,Southeastern La.,South Alabama,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g79,1,2026-09-05,Kent State,South Carolina,34.5,blend_spread_home,34.5,,,,,,49.9,blend_total,49.9,,,,,,True,False,False,True,False,False,False
g80,1,2026-09-05,Florida International,South Florida,13.5,blend_spread_home,13.5,,,,,,57.0,blend_total,57.0,,,,,,True,False,False,True,False,False,False
g81,1,2026-09-05,Alcorn State,Southern Miss,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
