market,snapshot_prev,snapshot_latest,season,conference,team,book,field,previous,latest,change,implied_prob_change_pct,summary
Win Total,2026-05-10,2026-05-11,2026,,Maryland,BetMGM,Over Odds,-160,-185,-25.0,3.37,Maryland BetMGM over -160 → -185
Win Total,2026-05-10,2026-05-11,2026,,Maryland,BetMGM,Under Odds,+125,+140,15.0,-2.78,Maryland BetMGM under +125 → +140
Win Total,2026-05-10,2026-05-11,2026,Mid-American,Miami (OH),Caesars,Over Odds,-180,-200,-20.0,2.38,Miami (OH) Caesars over -180 → -200
Win Total,2026-05-10,2026-05-11,2026,Mid-American,Miami (OH),Caesars,Under Odds,+140,+150,10.0,-1.67,Miami (OH) Caesars under +140 → +150
Win Total,2026-05-10,2026-05-11,2026,Conference USA,Middle Tennessee,Caesars,Over Odds,+140,+150,10.0,-1.67,Middle Tennessee Caesars over +140 → +150
Win Total,2026-05-10,2026-05-11,2026,Conference USA,Middle Tennessee,Caesars,Under Odds,-180,-200,-20.0,2.38,Middle Tennessee Caesars under -180 → -200
Win Total,2026-05-10,2026-05-11,2026,,Minnesota,BetMGM,Over Odds,-175,+130,305.0,-20.16,Minnesota BetMGM over -175 → +130
Win Total,2026-05-10,2026-05-11,2026,,Minnesota,BetMGM,Under Odds,+135,-170,-305.0,20.41,Minnesota BetMGM under +135 → -170
Win Total,2026-05-10,2026-05-11,2026,,Minnesota,BetMGM,Win Total,5.5,6.5,1.0,,Minnesota BetMGM win total 5.5 → 6.5
Win Total,2026-05-10,2026-05-11,2026,,Mississippi State,FanDuel,Over Odds,-115,-118,-3.0,0.64,Mississippi State FanDuel over -115 → -118
Win Total,2026-05-10,2026-05-11,2026,,Mississippi State,FanDuel,Under Odds,-105,-104,1.0,-0.24,Mississippi State FanDuel under -105 → -104
Win Total,2026-05-10,2026-05-11,2026,,Missouri,BetMGM,Under Odds,+120,+115,-5.0,1.06,Missouri BetMGM under +120 → +115
Win Total,2026-05-10,2026-05-11,2026,Southeastern,Missouri,Caesars,Over Odds,-150,-125,25.0,-4.44,Missouri Caesars over -150 → -125
Win Total,2026-05-10,2026-05-11,2026,Southeastern,Missouri,Caesars,Under Odds,+115,-105,-220.0,4.71,Missouri Caesars under +115 → -105
Win Total,2026-05-10,2026-05-11,2026,,Missouri,FanDuel,Over Odds,-140,-128,12.0,-2.19,Missouri FanDuel over -140 → -128
Win Total,2026-05-10,2026-05-11,2026,,Missouri,FanDuel,Under Odds,+114,+104,-10.0,2.29,Missouri FanDuel under +114 → +104
Win Total,2026-05-10,2026-05-11,2026,,NC State,FanDuel,Over Odds,-110,-108,2.0,-0.46,NC State FanDuel over -110 → -108
Win Total,2026-05-10,2026-05-11,2026,,NC State,FanDuel,Under Odds,-110,-112,-2.0,0.45,NC State FanDuel under -110 → -112
Win Total,2026-05-10,2026-05-11,2026,Mountain West,New Mexico,Caesars,Over Odds,-180,-200,-20.0,2.38,New Mexico Caesars over -180 → -200
Win Total,2026-05-10,2026-05-11,2026,Mountain West,New Mexico,Caesars,Under Odds,+140,+150,10.0,-1.67,New Mexico Caesars under +140 → +150
Win Total,2026-05-10,2026-05-11,2026,,North Carolina,FanDuel,Over Odds,-144,-142,2.0,-0.34,North Carolina FanDuel over -144 → -142
Win Total,2026-05-10,2026-05-11,2026,,North Carolina,FanDuel,Under Odds,+118,+116,-2.0,0.42,North Carolina FanDuel under +118 → +116
Win Total,2026-05-10,2026-05-11,2026,,Northwestern,BetMGM,Over Odds,-125,-118,7.0,-1.43,Northwestern BetMGM over -125 → -118
Win Total,2026-05-10,2026-05-11,2026,,Northwestern,BetMGM,Under Odds,+100,-110,-210.0,2.38,Northwestern BetMGM under +100 → -110
Win Total,2026-05-10,2026-05-11,2026,,Northwestern,FanDuel,Over Odds,-112,-114,-2.0,0.44,Northwestern FanDuel over -112 → -114
Win Total,2026-05-10,2026-05-11,2026,Sun Belt,Old Dominion,Caesars,Over Odds,-120,-110,10.0,-2.16,Old Dominion Caesars over -120 → -110
Win Total,2026-05-10,2026-05-11,2026,Sun Belt,Old Dominion,Caesars,Under Odds,-110,-120,-10.0,2.16,Old Dominion Caesars under -110 → -120
