Date,Account,Bet Description,Source,Sportsbook,Bet Amount,Sport,Bet,Bet Type,Bet Line,Bet Price,Result,Profit,Running Profit,Closing Line,Closing Price,CLV,EV,Notes,CLV %,missing_date,missing_sport,missing_bet_type,pulled_at,stake,bet_price,bet_line,closing_line,closing_price,profit_num,status,is_open,realized_profit,side,team_guess,line_clv,bet_implied_prob,closing_implied_prob,price_clv_pp,book_norm,current_market_match,current_market_source,current_market_book,current_market_line,current_market_price,current_market_note,line_clv_current,price_clv_current_pp,clv_pct_current,current_no_vig_prob,line_adjusted_fair_prob,ev_current_dollars,ev_current_pct,beat_clv,clv_category,market_category,clv_grade,week_bucket,bet_id,closing_clv_frozen,closing_frozen_at,closing_kickoff_utc,closing_game,closing_market_source,closing_market_book,closing_market_line,closing_market_price,closing_line_clv,closing_price_clv_pp,closing_clv_pct,closing_ev_dollars,closing_ev_pct
6/21/2026,,Win Total,Model,Fan Duel,$50.0,NCAAF,texas state under 6.5,Total,6.5,116.0,,-$50.0,"-$1,426",,,,,,,False,False,False,2026-07-18T08:01:26,50.0,116.0,6.5,,,-50.0,Open,True,0.0,Under,Texas State,,0.4629629629629629,,,FanDuel,True,market_win_totals_import.csv,MGM,6.5,-165.0,,0.0,12.58655863000316,0.1258655863000315,0.5888285492629945,0.5888285492629945,13.593483320403408,0.2718696664080681,Yes,Win Total,Win Total,Positive,Preseason,319b33ef80c04858,,,,,,,,,,,,,
6/25/2026,James,Win Total,Powers,Draft Kings,$136.0,NCAAF,Iowa state under 5.5,Total,5.5,-136.0,,-$136.0,"-$1,562",,,,,,,False,False,False,2026-07-18T08:01:26,136.0,-136.0,5.5,,,-136.0,Open,True,0.0,Under,Iowa State,,0.576271186440678,,,DraftKings,True,actionnetwork_win_totals_all_brand_rows.csv,DraftKings,4.5,134.0,,1.0,-2.195851797706616,-0.0219585179770661,0.4043126684636118,0.5543126684636118,-5.182210242587608,-0.03810448707785,No,Win Total,Win Total,Neutral/Negative,Preseason,7eaeb3416b72c191,,,,,,,,,,,,,
6/25/2026,,Win Total,Powers,Draft Kings,$152.0,NCAAF,Missouri st under 4.5,Total,4.5,-152.0,,-$152.0,"-$1,714",,,,,,,False,False,False,2026-07-18T08:01:26,152.0,-152.0,4.5,,,-152.0,Open,True,0.0,Under,Missouri State,,0.6031746031746031,,,DraftKings,True,market_win_totals_import.csv,DraftKings,4.5,-170.0,,0.0,-1.1646615277477568,-0.0116466152774775,0.5915279878971256,0.5915279878971256,-2.9349470499243537,-0.0193088621705549,No,Win Total,Win Total,Neutral/Negative,Preseason,58a837baa67b8099,,,,,,,,,,,,,
6/25/2026,,Win Total,Powers,Draft Kings,$110.0,NCAAF,Cal under 6.5,Total,6.5,-110.0,,-$110.0,"-$1,824",,,,,,,False,False,False,2026-07-18T08:01:26,110.0,-110.0,6.5,,,-110.0,Open,True,0.0,Under,California,,0.5238095238095238,,,DraftKings,True,actionnetwork_win_totals_all_brand_rows.csv,DraftKings,6.5,-120.0,,0.0,-0.2070393374741241,-0.0020703933747412,0.5217391304347826,0.5217391304347826,-0.4347826086956559,-0.0039525691699605,No,Win Total,Win Total,Neutral/Negative,Preseason,965eef1587d78044,,,,,,,,,,,,,
6/25/2026,,Win Total,Powers,MGM,$85.0,NCAAF,UConn under 5.5 ,Total,5.5,115.0,,-$85.0,"-$1,909",,,,,,,False,False,False,2026-07-18T08:01:26,85.0,115.0,5.5,,,-85.0,Open,True,0.0,Under,UConn,,0.4651162790697674,,,MGM,True,market_win_totals_import.csv,MGM,5.5,-110.0,,0.0,2.668027548314483,0.0266802754831448,0.4917965545529122,0.4917965545529122,4.875820344544707,0.0573625922887612,Yes,Win Total,Win Total,Positive,Preseason,d3d5fe33503ce5f0,,,,,,,,,,,,,
7/1/2026,,Win Total,Powers,MGM,$165.0,NCAAF,Air Force over 6.5 wins,Total,6.5,-165.0,,-$165.0,"-$2,074",,,,,,,False,False,False,2026-07-18T08:01:26,165.0,-165.0,6.5,,,-165.0,Open,True,0.0,Over,Air Force Over 6.5 Wins,,0.6226415094339622,,,MGM,,,,,,No current win-total market match,,,,,,,,,Win Total,Win Total,,Preseason,65e69c4d41b28220,,,,,,,,,,,,,
7/1/2026,,Win Total,Powers,MGM,$90.0,NCAAF,san jose state under 5.5 wins,Total,5.5,-175.0,,-$90.0,"-$2,164",,,,,,,False,False,False,2026-07-18T08:01:26,90.0,-175.0,5.5,,,-90.0,Open,True,0.0,Under,San Jose State Under 5.5 Wins,,0.6363636363636364,,,MGM,,,,,,No current win-total market match,,,,,,,,,Win Total,Win Total,,Preseason,eb6fd919ff9a0674,,,,,,,,,,,,,
7/1/2026,,Win Total,Powers,Draft Kings,$90.0,NCAAF,san jose state under 5.5 wins,Total,5.5,-170.0,,-$90.0,"-$2,254",,,,,,,False,False,False,2026-07-18T08:01:26,90.0,-170.0,5.5,,,-90.0,Open,True,0.0,Under,San Jose State Under 5.5 Wins,,0.6296296296296297,,,DraftKings,,,,,,No current win-total market match,,,,,,,,,Win Total,Win Total,,Preseason,3a024b6317b164ca,,,,,,,,,,,,,
7/5/2026,,Win Total,Powers,MGM,$125.0,NCAAF,Florida Atlantic over 5.5,Total,5.5,-125.0,,-$125.0,"-$2,379",,,,,,,False,False,False,2026-07-18T08:01:26,125.0,-125.0,5.5,,,-125.0,Open,True,0.0,Over,Florida Atlantic,,0.5555555555555556,,,MGM,True,market_win_totals_import.csv,Caesars,5.5,-160.0,,0.0,1.9607843137254832,0.0196078431372548,0.5751633986928104,0.5751633986928104,4.411764705882341,0.0352941176470587,Yes,Win Total,Win Total,Positive,Preseason,287b3dcb0fafc349,,,,,,,,,,,,,
7/15/2026,,Week 1,Powers,Draft Kings,$112.0,NCAAF,West Virginia,Side,-17.5,-112.0,,-$112.0,"-$2,491",,,,,,,False,False,False,2026-07-18T08:01:26,112.0,-112.0,-17.5,,,-112.0,Open,True,0.0,,West Virginia,,0.5283018867924528,,,DraftKings,True,data/odds/action_ncaaf_game_lines_2026.csv,DraftKings,-17.5,-105.0,Coastal Carolina at West Virginia,0.0,-1.61067648412333,-0.0161067648412333,0.5121951219512195,0.5121951219512195,-3.414634146341463,-0.0304878048780487,No,Spread,Spread,Neutral/Negative,Week 1,bddc65d863a3aa02,,,,,,,,,,,,,
7/15/2026,,Week 1,Powers,Caesers,$117.0,NCAAF,West Virginia,Side,-17.5,-117.0,,-$117.0,"-$2,608",,,,,,,False,False,False,2026-07-18T08:01:26,117.0,-117.0,-17.5,,,-117.0,Open,True,0.0,,West Virginia,,0.5391705069124424,,,Caesers,True,data/odds/action_ncaaf_game_lines_2026.csv,DraftKings,-17.5,-105.0,Coastal Carolina at West Virginia,0.0,-2.697538496122287,-0.0269753849612228,0.5121951219512195,0.5121951219512195,-5.853658536585364,-0.0500312695434646,No,Spread,Spread,Neutral/Negative,Week 1,3b4411839d198be1,,,,,,,,,,,,,
